# Age        Mg/Ca        SST     SSTadj.
24          4.00       29.4       29.4
36          3.58       28.1       28.2
48          3.21       26.9       27.0
60          3.32       27.3       27.4
72          3.40       27.6       27.7
84          3.40       27.6       27.7
96          3.50       27.9       28.1
108         3.66       28.4       28.6
120         3.79       28.8       29.0
132         3.88       29.0       29.3
144         3.59       28.2       28.4
156         3.38       27.5       27.8
168         3.32       27.3       27.6
180         3.26       27.1       27.4
192         3.21       26.9       27.3
204         3.57       28.1       28.5
216         3.86       28.9       29.4
228         3.68       28.4       28.8
240         3.75       28.6       29.1
252         4.01       29.4       29.9
264         3.94       29.2       29.7
276         3.70       28.5       29.0
288         3.37       27.5       27.9
300         3.13       26.6       27.1
312         3.29       27.2       27.6
324         3.54       28.0       28.4
336         3.88       29.0       29.5
348         3.77       28.7       29.1
360         3.59       28.1       28.6
372         3.31       27.3       27.7
384         3.10       26.5       26.9
396         2.93       25.9       26.3
408         3.23       27.0       27.4
420         3.34       27.3       27.7
432         3.83       28.9       29.3
444         4.63       31.0       31.4
456         4.07       29.6       29.9
468         3.50       27.9       28.2
480         3.50       27.9       28.2
492         3.45       27.7       28.1
504         3.57       28.1       28.4
516         4.23       30.0       30.3
528         4.25       30.0       30.4
540         4.03       29.4       29.8
552         3.75       28.6       28.9
564         3.65       28.3       28.6
576         3.63       28.3       28.6
588         3.77       28.7       29.0
600         4.01       29.4       29.7
612         4.11       29.6       29.9
624         3.82       28.9       29.1
636         3.80       28.8       29.0
648         3.76       28.7       28.9
660         3.62       28.3       28.5
672         3.66       28.4       28.6
684         3.64       28.3       28.6
696         3.51       27.9       28.1
708         3.56       28.1       28.3
720         3.79       28.8       29.0
732         4.26       30.1       30.3
744         3.99       29.3       29.5
756         3.77       28.7       28.9
768         3.71       28.5       28.7
780         3.47       27.8       28.0
792         3.32       27.3       27.5
804         3.38       27.5       27.7
816         3.80       28.8       29.0
828         3.94       29.2       29.4
840         3.30       27.2       27.4
852         3.21       26.9       27.1
864         3.48       27.8       28.0
876         3.68       28.4       28.7
888         3.81       28.8       29.1
900         3.88       29.0       29.3
912         3.63       28.3       28.5
924         3.31       27.3       27.5
936         3.38       27.5       27.7
948         3.49       27.8       28.1
960         3.61       28.2       28.5
972         3.68       28.4       28.7
984         3.79       28.8       29.0
996         3.90       29.1       29.4
1008        3.90       29.1       29.4
1020        3.66       28.4       28.7
1032        3.42       27.6       27.9
1044        3.48       27.8       28.1
1056        3.70       28.5       28.8
1068        3.83       28.9       29.2
1080        3.57       28.1       28.4
1092        3.45       27.7       28.1
1104        3.60       28.2       28.6
1116        4.40       30.4       30.8
1128        4.20       29.9       30.3
1140        3.83       28.9       29.3
1152        3.97       29.3       29.7
1164        3.80       28.8       29.2
1176        3.62       28.2       28.7
1188        3.69       28.5       28.9
1200        4.03       29.4       29.9
1212        4.21       29.9       30.4
1224        3.94       29.2       29.7
1236        3.64       28.3       28.8
1248        3.33       27.3       27.8
1260        3.86       28.9       29.5
1272        3.88       29.0       29.6
1284        3.70       28.5       29.1
1296        3.70       28.5       29.1
1308        3.99       29.3       30.0
1320        3.32       27.3       28.0
1332        3.46       27.7       28.4
1344        3.84       28.9       29.6
1356        3.51       27.9       28.6
1368        3.67       28.4       29.1
1380        3.99       29.3       30.1
1392        3.92       29.1       29.9
1404        3.81       28.8       29.6
1416        3.70       28.5       29.3
1428        3.70       28.5       29.4
1440        3.50       27.9       28.8
1452        3.37       27.4       28.4
1464        3.63       28.3       29.2
1476        3.40       27.6       28.5
1488        3.18       26.8       27.8
1500        3.49       27.9       28.9
1512        3.60       28.2       29.2
1524        3.58       28.1       29.2
1536        3.52       27.9       29.0
1548        3.61       28.2       29.3
1560        3.74       28.6       29.7
1572        3.88       29.0       30.1
1584        4.01       29.4       30.5
1596        4.03       29.4       30.6
1608        3.83       28.9       30.0
1620        3.85       28.9       30.1
1632        3.90       29.1       30.2
1644        3.64       28.3       29.5
1656        3.60       28.2       29.4
1668        3.52       27.9       29.1
1680        3.31       27.3       28.5
1692        2.93       25.9       27.1
1704        3.16       26.7       28.0
1716        3.26       27.1       28.3
1728        3.10       26.5       27.8
1740        3.10       26.5       27.8
1752        3.36       27.4       28.7
1764        3.48       27.8       29.1
1776        3.18       26.8       28.1
1788        2.84       25.5       26.9
1800        2.98       26.1       27.4
1812        3.26       27.1       28.4
1824        3.18       26.8       28.1
1836        3.14       26.7       28.0
1848        3.40       27.6       28.9
1860        3.31       27.2       28.6
1872        3.22       27.0       28.3
1884        3.34       27.3       28.7
1896        3.40       27.6       28.9
1908        3.49       27.8       29.2
