0,1,2,3,4,5
AGE00147708,36.72,4.05,PRCP,1879,2023
AGE00147716,35.1,-1.85,PRCP,1878,2023
AGE00147718,34.85,5.72,PRCP,1880,2023
ASN00008050,-28.7769,114.605,PRCP,1877,2023
ASN00009500,-35.0289,117.8808,PRCP,1877,2023
ASN00009515,-33.6611,115.3456,PRCP,1877,2023
ASN00010111,-31.6508,116.6586,PRCP,1877,2023
ASN00011003,-31.6797,128.8792,PRCP,1878,2023
ASN00014902,-14.4589,132.2572,PRCP,1873,2023
ASN00016055,-32.3792,135.5247,PRCP,1877,2023
ASN00017014,-31.0939,138.6786,PRCP,1874,2023
ASN00017024,-30.066,138.2739,PRCP,1879,2023
ASN00017054,-31.1278,138.9618,PRCP,1875,2023
ASN00018019,-34.3853,135.4697,PRCP,1878,2023
ASN00018079,-32.7963,134.2116,PRCP,1878,2023
ASN00018091,-34.2617,136.2092,PRCP,1876,2023
ASN00019005,-32.8247,138.6907,PRCP,1878,2023
ASN00019018,-31.8777,138.8372,PRCP,1868,2023
ASN00019024,-32.8294,138.1907,PRCP,1862,2023
ASN00019032,-32.7335,138.6135,PRCP,1868,2023
ASN00019046,-31.775,138.6529,PRCP,1872,2023
ASN00019048,-32.6521,138.1003,PRCP,1879,2023
ASN00019052,-33.0338,138.2686,PRCP,1878,2023
ASN00019053,-33.0856,138.2211,PRCP,1879,2023
ASN00021001,-34.026,138.6846,PRCP,1865,2023
ASN00021010,-33.7459,138.5628,PRCP,1860,2023
ASN00021015,-33.7045,138.2927,PRCP,1879,2023
ASN00021020,-33.359,138.393,PRCP,1874,2023
ASN00021021,-33.2705,138.357,PRCP,1878,2023
ASN00021027,-33.2036,138.6059,PRCP,1878,2023
ASN00021031,-33.1851,138.3001,PRCP,1876,2023
ASN00021044,-34.1848,138.1478,PRCP,1874,2023
ASN00021055,-33.2296,138.8844,PRCP,1878,2023
ASN00022008,-34.3745,137.6733,PRCP,1879,2023
ASN00022009,-34.7708,137.5952,PRCP,1880,2023
ASN00022011,-34.0672,137.5925,PRCP,1873,2023
ASN00022013,-34.4951,137.4836,PRCP,1879,2023
ASN00022017,-34.9122,137.7977,PRCP,1879,2023
ASN00022018,-34.9906,137.3995,PRCP,1861,2023
ASN00022020,-33.9323,137.6282,PRCP,1864,2023
ASN00022022,-34.1447,138.0146,PRCP,1869,2023
ASN00022807,-35.6569,137.6364,PRCP,1878,2023
ASN00023000,-34.9254,138.5869,PRCP,1839,2023
ASN00023023,-34.7674,138.6434,PRCP,1874,2023
ASN00023026,-34.8321,138.6124,PRCP,1878,2023
ASN00023307,-34.3412,138.9155,PRCP,1866,2023
ASN00023314,-34.158,138.7483,PRCP,1876,2023
ASN00023318,-34.5169,138.9598,PRCP,1870,2023
ASN00023710,-35.1087,138.6256,PRCP,1868,2023
ASN00023718,-35.4987,138.7638,PRCP,1870,2023
ASN00023719,-34.8237,138.8859,PRCP,1870,2023
ASN00023721,-35.0608,138.5647,PRCP,1864,2023
ASN00023724,-35.0739,139.0036,PRCP,1874,2023
ASN00023733,-35.0639,138.8509,PRCP,1870,2023
ASN00023737,-34.7735,139.0501,PRCP,1876,2023
ASN00023741,-35.4519,138.3227,PRCP,1870,2023
ASN00023742,-35.5299,138.6896,PRCP,1868,2023
ASN00023747,-35.256,138.8901,PRCP,1864,2023
ASN00023753,-35.2705,138.5591,PRCP,1865,2023
ASN00024518,-35.6902,139.3375,PRCP,1865,2023
ASN00024531,-34.5719,139.2961,PRCP,1880,2023
ASN00024573,-34.4085,139.1274,PRCP,1880,2023
ASN00026012,-36.8309,139.8526,PRCP,1875,2023
ASN00026016,-36.9731,140.3664,PRCP,1880,2023
ASN00026018,-37.5872,140.3426,PRCP,1878,2023
ASN00026020,-37.8333,140.7833,PRCP,1861,2023
ASN00026025,-37.3803,140.8379,PRCP,1870,2023
ASN00026026,-37.1628,139.756,PRCP,1860,2023
ASN00030036,-18.1472,144.3183,PRCP,1873,2023
ASN00032004,-18.2553,146.0197,PRCP,1874,2023
ASN00033062,-20.0997,146.8892,PRCP,1871,2023
ASN00033065,-22.3458,149.5356,PRCP,1872,2023
ASN00035049,-24.5608,145.7869,PRCP,1878,2023
ASN00035065,-24.123,148.0856,PRCP,1865,2023
ASN00035069,-24.8819,146.2564,PRCP,1877,2023
ASN00035070,-25.6408,149.7958,PRCP,1873,2023
ASN00036004,-22.9717,145.245,PRCP,1880,2023
ASN00036143,-24.4214,145.4672,PRCP,1880,2023
ASN00039022,-25.0303,150.4342,PRCP,1873,2023
ASN00040093,-26.1831,152.6414,PRCP,1873,2023
ASN00040096,-27.5504,152.1246,PRCP,1871,2023
ASN00040111,-26.0858,152.2381,PRCP,1880,2023
ASN00040126,-25.5161,152.7156,PRCP,1878,2023
ASN00041013,-28.2264,152.0661,PRCP,1880,2023
ASN00041095,-28.6617,151.9339,PRCP,1873,2023
ASN00044026,-28.0706,145.6808,PRCP,1879,2023
ASN00046022,-31.4469,143.6548,PRCP,1879,2023
ASN00046043,-31.5631,143.3747,PRCP,1879,2023
ASN00047000,-32.5277,143.3698,PRCP,1876,2023
ASN00047019,-32.3937,142.4173,PRCP,1876,2023
ASN00047033,-33.4268,142.5719,PRCP,1878,2023
ASN00047053,-34.1065,141.9189,PRCP,1868,2023
ASN00047093,-33.7492,142.2205,PRCP,1880,2023
ASN00048015,-29.9614,146.8651,PRCP,1872,2023
ASN00049002,-34.6398,143.561,PRCP,1879,2023
