Date,Time (GMT),Predicted (m),Verified (m),Preliminary (m),Forecast Guidance(m)
2020/04/08,00:00,-3.484,-3.181,-,-
2020/04/08,00:06,-3.302,-2.998,-,-
2020/04/08,00:12,-3.119,-2.833,-,-
2020/04/08,00:18,-2.935,-2.652,-,-
2020/04/08,00:24,-2.751,-2.46,-,-
2020/04/08,00:30,-2.567,-2.277,-,-
2020/04/08,00:36,-2.384,-2.092,-,-
2020/04/08,00:42,-2.201,-1.914,-,-
2020/04/08,00:48,-2.019,-1.732,-,-
2020/04/08,00:54,-1.84,-1.561,-,-
2020/04/08,01:00,-1.662,-1.397,-,-
2020/04/08,01:06,-1.487,-1.222,-,-
2020/04/08,01:12,-1.315,-1.041,-,-
2020/04/08,01:18,-1.147,-0.871,-,-
2020/04/08,01:24,-0.983,-0.725,-,-
2020/04/08,01:30,-0.824,-0.554,-,-
2020/04/08,01:36,-0.67,-0.386,-,-
2020/04/08,01:42,-0.522,-0.24,-,-
2020/04/08,01:48,-0.379,-0.091,-,-
2020/04/08,01:54,-0.244,0.059,-,-
2020/04/08,02:00,-0.116,0.182,-,-
2020/04/08,02:06,0.005,0.31,-,-
2020/04/08,02:12,0.117,0.434,-,-
2020/04/08,02:18,0.221,0.539,-,-
2020/04/08,02:24,0.316,0.642,-,-
2020/04/08,02:30,0.402,0.733,-,-
2020/04/08,02:36,0.478,0.809,-,-
2020/04/08,02:42,0.544,0.873,-,-
2020/04/08,02:48,0.601,0.931,-,-
2020/04/08,02:54,0.647,0.976,-,-
2020/04/08,03:00,0.683,1.012,-,-
2020/04/08,03:06,0.709,1.038,-,-
2020/04/08,03:12,0.725,1.057,-,-
2020/04/08,03:18,0.73,1.052,-,-
2020/04/08,03:24,0.725,1.035,-,-
2020/04/08,03:30,0.711,1.022,-,-
2020/04/08,03:36,0.686,0.98,-,-
2020/04/08,03:42,0.652,0.933,-,-
2020/04/08,03:48,0.609,0.878,-,-
2020/04/08,03:54,0.556,0.815,-,-
2020/04/08,04:00,0.495,0.742,-,-
2020/04/08,04:06,0.425,0.66,-,-
2020/04/08,04:12,0.347,0.572,-,-
2020/04/08,04:18,0.261,0.48,-,-
2020/04/08,04:24,0.168,0.38,-,-
2020/04/08,04:30,0.068,0.278,-,-
2020/04/08,04:36,-0.038,0.171,-,-
2020/04/08,04:42,-0.151,0.057,-,-
2020/04/08,04:48,-0.27,-0.063,-,-
2020/04/08,04:54,-0.394,-0.185,-,-
2020/04/08,05:00,-0.524,-0.317,-,-
2020/04/08,05:06,-0.658,-0.454,-,-
2020/04/08,05:12,-0.797,-0.592,-,-
2020/04/08,05:18,-0.94,-0.739,-,-
2020/04/08,05:24,-1.086,-0.889,-,-
2020/04/08,05:30,-1.236,-1.052,-,-
2020/04/08,05:36,-1.389,-1.211,-,-
2020/04/08,05:42,-1.546,-1.373,-,-
2020/04/08,05:48,-1.704,-1.532,-,-
2020/04/08,05:54,-1.865,-1.697,-,-
2020/04/08,06:00,-2.028,-1.86,-,-
2020/04/08,06:06,-2.193,-2.019,-,-
2020/04/08,06:12,-2.359,-2.18,-,-
2020/04/08,06:18,-2.527,-2.342,-,-
2020/04/08,06:24,-2.696,-2.495,-,-
2020/04/08,06:30,-2.866,-2.646,-,-
2020/04/08,06:36,-3.036,-2.807,-,-
2020/04/08,06:42,-3.206,-2.968,-,-
2020/04/08,06:48,-3.377,-3.133,-,-
2020/04/08,06:54,-3.547,-3.287,-,-
2020/04/08,07:00,-3.717,-3.461,-,-
2020/04/08,07:06,-3.886,-3.638,-,-
2020/04/08,07:12,-4.055,-3.808,-,-
2020/04/08,07:18,-4.222,-3.964,-,-
2020/04/08,07:24,-4.387,-4.123,-,-
2020/04/08,07:30,-4.55,-4.287,-,-
2020/04/08,07:36,-4.711,-4.444,-,-
2020/04/08,07:42,-4.868,-4.611,-,-
2020/04/08,07:48,-5.023,-4.779,-,-
2020/04/08,07:54,-5.174,-4.948,-,-
2020/04/08,08:00,-5.321,-5.096,-,-
2020/04/08,08:06,-5.463,-5.226,-,-
2020/04/08,08:12,-5.6,-5.364,-,-
2020/04/08,08:18,-5.731,-5.515,-,-
2020/04/08,08:24,-5.857,-5.65,-,-
