Date,Time (GMT),Predicted (m),Verified (m),Preliminary (m),Forecast Guidance(m)
2023/08/29,00:00,0.041,0.24,-,-
2023/08/29,00:06,0.014,0.214,-,-
2023/08/29,00:12,-0.015,0.183,-,-
2023/08/29,00:18,-0.046,0.146,-,-
2023/08/29,00:24,-0.079,0.108,-,-
2023/08/29,00:30,-0.112,0.075,-,-
2023/08/29,00:36,-0.148,0.04,-,-
2023/08/29,00:42,-0.184,0.004,-,-
2023/08/29,00:48,-0.222,-0.033,-,-
2023/08/29,00:54,-0.262,-0.074,-,-
2023/08/29,01:00,-0.302,-0.111,-,-
2023/08/29,01:06,-0.343,-0.158,-,-
2023/08/29,01:12,-0.386,-0.203,-,-
2023/08/29,01:18,-0.429,-0.241,-,-
2023/08/29,01:24,-0.473,-0.278,-,-
2023/08/29,01:30,-0.518,-0.323,-,-
2023/08/29,01:36,-0.563,-0.368,-,-
2023/08/29,01:42,-0.609,-0.41,-,-
2023/08/29,01:48,-0.655,-0.453,-,-
2023/08/29,01:54,-0.701,-0.493,-,-
2023/08/29,02:00,-0.748,-0.537,-,-
2023/08/29,02:06,-0.795,-0.581,-,-
2023/08/29,02:12,-0.841,-0.623,-,-
2023/08/29,02:18,-0.888,-0.666,-,-
2023/08/29,02:24,-0.934,-0.712,-,-
2023/08/29,02:30,-0.98,-0.758,-,-
2023/08/29,02:36,-1.025,-0.798,-,-
2023/08/29,02:42,-1.07,-0.837,-,-
2023/08/29,02:48,-1.114,-0.873,-,-
2023/08/29,02:54,-1.158,-0.91,-,-
2023/08/29,03:00,-1.2,-0.95,-,-
2023/08/29,03:06,-1.241,-0.987,-,-
2023/08/29,03:12,-1.281,-1.021,-,-
2023/08/29,03:18,-1.32,-1.062,-,-
2023/08/29,03:24,-1.357,-1.108,-,-
2023/08/29,03:30,-1.393,-1.148,-,-
2023/08/29,03:36,-1.427,-1.184,-,-
2023/08/29,03:42,-1.459,-1.223,-,-
2023/08/29,03:48,-1.489,-1.265,-,-
2023/08/29,03:54,-1.517,-1.292,-,-
2023/08/29,04:00,-1.543,-1.321,-,-
2023/08/29,04:06,-1.567,-1.352,-,-
2023/08/29,04:12,-1.589,-1.381,-,-
2023/08/29,04:18,-1.607,-1.408,-,-
2023/08/29,04:24,-1.624,-1.427,-,-
2023/08/29,04:30,-1.638,-1.445,-,-
2023/08/29,04:36,-1.649,-1.458,-,-
2023/08/29,04:42,-1.657,-1.467,-,-
2023/08/29,04:48,-1.663,-1.474,-,-
2023/08/29,04:54,-1.666,-1.482,-,-
2023/08/29,05:00,-1.666,-1.484,-,-
2023/08/29,05:06,-1.663,-1.485,-,-
2023/08/29,05:12,-1.657,-1.485,-,-
2023/08/29,05:18,-1.649,-1.483,-,-
2023/08/29,05:24,-1.637,-1.476,-,-
2023/08/29,05:30,-1.623,-1.468,-,-
2023/08/29,05:36,-1.607,-1.452,-,-
2023/08/29,05:42,-1.587,-1.434,-,-
2023/08/29,05:48,-1.565,-1.417,-,-
2023/08/29,05:54,-1.541,-1.392,-,-
2023/08/29,06:00,-1.514,-1.362,-,-
2023/08/29,06:06,-1.485,-1.327,-,-
2023/08/29,06:12,-1.454,-1.301,-,-
2023/08/29,06:18,-1.421,-1.263,-,-
2023/08/29,06:24,-1.386,-1.231,-,-
2023/08/29,06:30,-1.349,-1.191,-,-
2023/08/29,06:36,-1.311,-1.148,-,-
2023/08/29,06:42,-1.272,-1.102,-,-
2023/08/29,06:48,-1.231,-1.058,-,-
