Date,Time (GMT),Predicted (m),Verified (m),Preliminary (m),Forecast Guidance(m)
2023/08/28,00:00,-0.967,-0.871,-,-
2023/08/28,00:06,-0.951,-0.852,-,-
2023/08/28,00:12,-0.935,-0.835,-,-
2023/08/28,00:18,-0.918,-0.818,-,-
2023/08/28,00:24,-0.901,-0.802,-,-
2023/08/28,00:30,-0.883,-0.78,-,-
2023/08/28,00:36,-0.864,-0.758,-,-
2023/08/28,00:42,-0.845,-0.717,-,-
2023/08/28,00:48,-0.826,-0.674,-,-
2023/08/28,00:54,-0.806,-0.617,-,-
2023/08/28,01:00,-0.785,-0.551,-,-
2023/08/28,01:06,-0.765,-0.531,-,-
2023/08/28,01:12,-0.744,-0.516,-,-
2023/08/28,01:18,-0.722,-0.523,-,-
2023/08/28,01:24,-0.701,-0.535,-,-
2023/08/28,01:30,-0.679,-0.526,-,-
2023/08/28,01:36,-0.657,-0.498,-,-
2023/08/28,01:42,-0.635,-0.465,-,-
2023/08/28,01:48,-0.613,-0.442,-,-
2023/08/28,01:54,-0.592,-0.42,-,-
2023/08/28,02:00,-0.57,-0.403,-,-
2023/08/28,02:06,-0.548,-0.381,-,-
2023/08/28,02:12,-0.527,-0.361,-,-
2023/08/28,02:18,-0.506,-0.335,-,-
2023/08/28,02:24,-0.486,-0.303,-,-
2023/08/28,02:30,-0.465,-0.271,-,-
2023/08/28,02:36,-0.446,-0.244,-,-
2023/08/28,02:42,-0.426,-0.222,-,-
2023/08/28,02:48,-0.408,-0.198,-,-
2023/08/28,02:54,-0.39,-0.174,-,-
2023/08/28,03:00,-0.372,-0.141,-,-
2023/08/28,03:06,-0.356,-0.114,-,-
2023/08/28,03:12,-0.34,-0.092,-,-
2023/08/28,03:18,-0.324,-0.073,-,-
2023/08/28,03:24,-0.31,-0.053,-,-
2023/08/28,03:30,-0.296,-0.031,-,-
2023/08/28,03:36,-0.283,-0.01,-,-
2023/08/28,03:42,-0.271,0.003,-,-
2023/08/28,03:48,-0.26,0.018,-,-
2023/08/28,03:54,-0.249,0.034,-,-
2023/08/28,04:00,-0.239,0.051,-,-
2023/08/28,04:06,-0.23,0.064,-,-
2023/08/28,04:12,-0.222,0.067,-,-
2023/08/28,04:18,-0.215,0.061,-,-
2023/08/28,04:24,-0.209,0.07,-,-
2023/08/28,04:30,-0.203,0.084,-,-
2023/08/28,04:36,-0.198,0.09,-,-
2023/08/28,04:42,-0.194,0.093,-,-
2023/08/28,04:48,-0.191,0.101,-,-
2023/08/28,04:54,-0.188,0.104,-,-
2023/08/28,05:00,-0.187,0.107,-,-
2023/08/28,05:06,-0.186,0.111,-,-
2023/08/28,05:12,-0.185,0.109,-,-
2023/08/28,05:18,-0.186,0.108,-,-
2023/08/28,05:24,-0.187,0.111,-,-
2023/08/28,05:30,-0.188,0.115,-,-
2023/08/28,05:36,-0.191,0.114,-,-
2023/08/28,05:42,-0.194,0.109,-,-
2023/08/28,05:48,-0.197,0.097,-,-
2023/08/28,05:54,-0.201,0.088,-,-
2023/08/28,06:00,-0.206,0.083,-,-
2023/08/28,06:06,-0.211,0.082,-,-
2023/08/28,06:12,-0.216,0.08,-,-
2023/08/28,06:18,-0.223,0.082,-,-
2023/08/28,06:24,-0.229,0.071,-,-
2023/08/28,06:30,-0.236,0.05,-,-
2023/08/28,06:36,-0.243,0.036,-,-
2023/08/28,06:42,-0.251,0.03,-,-
2023/08/28,06:48,-0.259,0.004,-,-
2023/08/28,06:54,-0.267,-0.03,-,-
2023/08/28,07:00,-0.275,-0.054,-,-
2023/08/28,07:06,-0.284,-0.069,-,-
2023/08/28,07:12,-0.293,-0.082,-,-
2023/08/28,07:18,-0.302,-0.084,-,-
2023/08/28,07:24,-0.312,-0.081,-,-
2023/08/28,07:30,-0.321,-0.087,-,-
2023/08/28,07:36,-0.331,-0.103,-,-
2023/08/28,07:42,-0.34,-0.12,-,-
2023/08/28,07:48,-0.35,-0.139,-,-
2023/08/28,07:54,-0.36,-0.154,-,-
2023/08/28,08:00,-0.369,-0.168,-,-
2023/08/28,08:06,-0.379,-0.179,-,-
2023/08/28,08:12,-0.388,-0.177,-,-
2023/08/28,08:18,-0.397,-0.176,-,-
2023/08/28,08:24,-0.406,-0.196,-,-
2023/08/28,08:30,-0.415,-0.219,-,-
2023/08/28,08:36,-0.423,-0.237,-,-
2023/08/28,08:42,-0.431,-0.253,-,-
2023/08/28,08:48,-0.439,-0.263,-,-
2023/08/28,08:54,-0.446,-0.275,-,-
2023/08/28,09:00,-0.452,-0.285,-,-
2023/08/28,09:06,-0.458,-0.294,-,-
2023/08/28,09:12,-0.463,-0.299,-,-
2023/08/28,09:18,-0.467,-0.311,-,-
2023/08/28,09:24,-0.471,-0.323,-,-
2023/08/28,09:30,-0.474,-0.324,-,-
2023/08/28,09:36,-0.476,-0.323,-,-
2023/08/28,09:42,-0.477,-0.327,-,-
2023/08/28,09:48,-0.477,-0.328,-,-
2023/08/28,09:54,-0.477,-0.332,-,-
2023/08/28,10:00,-0.475,-0.342,-,-
2023/08/28,10:06,-0.473,-0.345,-,-
2023/08/28,10:12,-0.469,-0.339,-,-
2023/08/28,10:18,-0.465,-0.33,-,-
2023/08/28,10:24,-0.46,-0.323,-,-
2023/08/28,10:30,-0.454,-0.312,-,-
2023/08/28,10:36,-0.447,-0.306,-,-
2023/08/28,10:42,-0.439,-0.296,-,-
2023/08/28,10:48,-0.43,-0.286,-,-
2023/08/28,10:54,-0.421,-0.281,-,-
2023/08/28,11:00,-0.411,-0.279,-,-
2023/08/28,11:06,-0.4,-0.267,-,-
2023/08/28,11:12,-0.388,-0.255,-,-
2023/08/28,11:18,-0.376,-0.24,-,-
2023/08/28,11:24,-0.363,-0.228,-,-
2023/08/28,11:30,-0.35,-0.214,-,-
2023/08/28,11:36,-0.336,-0.195,-,-
2023/08/28,11:42,-0.321,-0.181,-,-
2023/08/28,11:48,-0.307,-0.168,-,-
2023/08/28,11:54,-0.292,-0.154,-,-
2023/08/28,12:00,-0.276,-0.134,-,-
2023/08/28,12:06,-0.26,-0.113,-,-
2023/08/28,12:12,-0.244,-0.093,-,-
2023/08/28,12:18,-0.228,-0.074,-,-
2023/08/28,12:24,-0.211,-0.061,-,-
2023/08/28,12:30,-0.195,-0.038,-,-
2023/08/28,12:36,-0.178,-0.012,-,-
2023/08/28,12:42,-0.161,0.003,-,-
2023/08/28,12:48,-0.144,0.013,-,-
2023/08/28,12:54,-0.127,0.03,-,-
2023/08/28,13:00,-0.109,0.056,-,-
2023/08/28,13:06,-0.092,0.081,-,-
2023/08/28,13:12,-0.075,0.103,-,-
2023/08/28,13:18,-0.059,0.123,-,-
2023/08/28,13:24,-0.042,0.147,-,-
2023/08/28,13:30,-0.025,0.168,-,-
2023/08/28,13:36,-0.009,0.182,-,-
2023/08/28,13:42,0.007,0.193,-,-
2023/08/28,13:48,0.022,0.218,-,-
2023/08/28,13:54,0.037,0.242,-,-
2023/08/28,14:00,0.052,0.255,-,-
2023/08/28,14:06,0.066,0.269,-,-
2023/08/28,14:12,0.079,0.288,-,-
2023/08/28,14:18,0.092,0.307,-,-
2023/08/28,14:24,0.104,0.326,-,-
2023/08/28,14:30,0.116,0.342,-,-
2023/08/28,14:36,0.126,0.348,-,-
2023/08/28,14:42,0.136,0.358,-,-
2023/08/28,14:48,0.145,0.366,-,-
2023/08/28,14:54,0.152,0.381,-,-
2023/08/28,15:00,0.159,0.407,-,-
2023/08/28,15:06,0.165,0.418,-,-
2023/08/28,15:12,0.17,0.425,-,-
2023/08/28,15:18,0.174,0.427,-,-
2023/08/28,15:24,0.177,0.419,-,-
2023/08/28,15:30,0.178,0.417,-,-
2023/08/28,15:36,0.179,0.423,-,-
2023/08/28,15:42,0.179,0.425,-,-
2023/08/28,15:48,0.177,0.426,-,-
2023/08/28,15:54,0.174,0.427,-,-
2023/08/28,16:00,0.17,0.424,-,-
2023/08/28,16:06,0.165,0.428,-,-
2023/08/28,16:12,0.159,0.418,-,-
2023/08/28,16:18,0.152,0.392,-,-
2023/08/28,16:24,0.144,0.39,-,-
2023/08/28,16:30,0.135,0.379,-,-
2023/08/28,16:36,0.125,0.351,-,-
2023/08/28,16:42,0.114,0.341,-,-
2023/08/28,16:48,0.102,0.333,-,-
2023/08/28,16:54,0.089,0.307,-,-
2023/08/28,17:00,0.075,0.283,-,-
2023/08/28,17:06,0.06,0.274,-,-
2023/08/28,17:12,0.044,0.266,-,-
2023/08/28,17:18,0.028,0.247,-,-
2023/08/28,17:24,0.011,0.217,-,-
2023/08/28,17:30,-0.007,0.2,-,-
2023/08/28,17:36,-0.026,0.195,-,-
2023/08/28,17:42,-0.046,0.185,-,-
2023/08/28,17:48,-0.066,0.162,-,-
2023/08/28,17:54,-0.087,0.147,-,-
2023/08/28,18:00,-0.108,0.128,-,-
2023/08/28,18:06,-0.13,0.105,-,-
2023/08/28,18:12,-0.153,0.078,-,-
2023/08/28,18:18,-0.176,0.044,-,-
2023/08/28,18:24,-0.2,0.017,-,-
2023/08/28,18:30,-0.224,-0.012,-,-
2023/08/28,18:36,-0.248,-0.044,-,-
2023/08/28,18:42,-0.273,-0.073,-,-
2023/08/28,18:48,-0.298,-0.092,-,-
2023/08/28,18:54,-0.324,-0.112,-,-
2023/08/28,19:00,-0.349,-0.134,-,-
2023/08/28,19:06,-0.375,-0.155,-,-
2023/08/28,19:12,-0.402,-0.178,-,-
2023/08/28,19:18,-0.428,-0.21,-,-
2023/08/28,19:24,-0.455,-0.243,-,-
2023/08/28,19:30,-0.482,-0.272,-,-
2023/08/28,19:36,-0.508,-0.298,-,-
2023/08/28,19:42,-0.535,-0.323,-,-
2023/08/28,19:48,-0.562,-0.343,-,-
2023/08/28,19:54,-0.589,-0.368,-,-
2023/08/28,20:00,-0.616,-0.393,-,-
2023/08/28,20:06,-0.643,-0.418,-,-
2023/08/28,20:12,-0.67,-0.442,-,-
2023/08/28,20:18,-0.696,-0.47,-,-
2023/08/28,20:24,-0.723,-0.499,-,-
2023/08/28,20:30,-0.749,-0.529,-,-
2023/08/28,20:36,-0.775,-0.564,-,-
2023/08/28,20:42,-0.8,-0.594,-,-
2023/08/28,20:48,-0.825,-0.622,-,-
2023/08/28,20:54,-0.85,-0.649,-,-
2023/08/28,21:00,-0.874,-0.679,-,-
2023/08/28,21:06,-0.898,-0.711,-,-
2023/08/28,21:12,-0.921,-0.74,-,-
2023/08/28,21:18,-0.944,-0.766,-,-
2023/08/28,21:24,-0.965,-0.787,-,-
2023/08/28,21:30,-0.986,-0.806,-,-
2023/08/28,21:36,-1.006,-0.819,-,-
2023/08/28,21:42,-1.025,-0.833,-,-
2023/08/28,21:48,-1.043,-0.851,-,-
2023/08/28,21:54,-1.061,-0.869,-,-
2023/08/28,22:00,-1.077,-0.892,-,-
2023/08/28,22:06,-1.092,-0.911,-,-
2023/08/28,22:12,-1.106,-0.923,-,-
2023/08/28,22:18,-1.118,-0.931,-,-
2023/08/28,22:24,-1.13,-0.943,-,-
2023/08/28,22:30,-1.14,-0.958,-,-
2023/08/28,22:36,-1.149,-0.971,-,-
2023/08/28,22:42,-1.157,-0.98,-,-
2023/08/28,22:48,-1.163,-0.983,-,-
2023/08/28,22:54,-1.168,-0.982,-,-
2023/08/28,23:00,-1.172,-0.977,-,-
2023/08/28,23:06,-1.174,-0.964,-,-
2023/08/28,23:12,-1.176,-0.95,-,-
2023/08/28,23:18,-1.176,-0.928,-,-
2023/08/28,23:24,-1.174,-0.909,-,-
2023/08/28,23:30,-1.172,-0.885,-,-
2023/08/28,23:36,-1.168,-0.866,-,-
2023/08/28,23:42,-1.163,-0.859,-,-
2023/08/28,23:48,-1.157,-0.856,-,-
2023/08/28,23:54,-1.15,-0.847,-,-
2023/08/29,00:00,-1.142,-0.833,-,-
2023/08/29,00:06,-1.132,-0.815,-,-
2023/08/29,00:12,-1.122,-0.799,-,-
2023/08/29,00:18,-1.11,-0.788,-,-
2023/08/29,00:24,-1.098,-0.778,-,-
2023/08/29,00:30,-1.084,-0.769,-,-
2023/08/29,00:36,-1.07,-0.758,-,-
