Date,Time (GMT),Predicted (m),Verified (m),Preliminary (m),Forecast Guidance(m)
2024/07/06,00:00,-0.074,-0.015,-,0.141
2024/07/06,00:06,-0.078,-0.02,-,0.137
2024/07/06,00:12,-0.082,-0.019,-,0.133
2024/07/06,00:18,-0.086,-0.024,-,0.128
2024/07/06,00:24,-0.09,-0.041,-,0.123
2024/07/06,00:30,-0.094,-0.048,-,0.117
2024/07/06,00:36,-0.099,-0.054,-,0.111
2024/07/06,00:42,-0.104,-0.059,-,0.106
2024/07/06,00:48,-0.108,-0.066,-,0.1
2024/07/06,00:54,-0.113,-0.065,-,0.094
2024/07/06,01:00,-0.118,-0.061,-,0.088
2024/07/06,01:06,-0.123,-0.069,-,0.082
2024/07/06,01:12,-0.129,-0.079,-,0.075
2024/07/06,01:18,-0.134,-0.079,-,0.067
2024/07/06,01:24,-0.14,-0.075,-,0.06
2024/07/06,01:30,-0.146,-0.087,-,0.052
2024/07/06,01:36,-0.152,-0.099,-,0.045
2024/07/06,01:42,-0.158,-0.098,-,0.038
2024/07/06,01:48,-0.164,-0.11,-,0.032
2024/07/06,01:54,-0.171,-0.131,-,0.026
2024/07/06,02:00,-0.178,-0.13,-,0.02
2024/07/06,02:06,-0.184,-0.139,-,0.015
2024/07/06,02:12,-0.192,-0.15,-,0.011
2024/07/06,02:18,-0.199,-0.151,-,0.006
2024/07/06,02:24,-0.206,-0.155,-,0.001
2024/07/06,02:30,-0.214,-0.167,-,-0.004
2024/07/06,02:36,-0.222,-0.174,-,-0.01
2024/07/06,02:42,-0.23,-0.178,-,-0.015
2024/07/06,02:48,-0.238,-0.191,-,-0.021
2024/07/06,02:54,-0.246,-0.211,-,-0.026
2024/07/06,03:00,-0.255,-0.215,-,-0.032
2024/07/06,03:06,-0.264,-0.224,-,-0.038
2024/07/06,03:12,-0.273,-0.243,-,-0.043
2024/07/06,03:18,-0.282,-0.247,-,-0.05
2024/07/06,03:24,-0.291,-0.263,-,-0.056
2024/07/06,03:30,-0.3,-0.279,-,-0.063
2024/07/06,03:36,-0.31,-0.273,-,-0.069
2024/07/06,03:42,-0.319,-0.314,-,-0.076
2024/07/06,03:48,-0.329,-0.302,-,-0.083
2024/07/06,03:54,-0.338,-0.32,-,-0.089
2024/07/06,04:00,-0.348,-0.333,-,-0.095
2024/07/06,04:06,-0.358,-0.354,-,-0.1
2024/07/06,04:12,-0.368,-0.364,-,-0.105
2024/07/06,04:18,-0.377,-0.372,-,-0.109
2024/07/06,04:24,-0.387,-0.391,-,-0.114
2024/07/06,04:30,-0.397,-0.395,-,-0.12
2024/07/06,04:36,-0.406,-0.403,-,-0.126
2024/07/06,04:42,-0.416,-0.414,-,-0.132
2024/07/06,04:48,-0.426,-0.422,-,-0.138
2024/07/06,04:54,-0.435,-0.436,-,-0.145
2024/07/06,05:00,-0.444,-0.446,-,-0.15
2024/07/06,05:06,-0.454,-0.453,-,-0.156
2024/07/06,05:12,-0.463,-0.47,-,-0.162
2024/07/06,05:18,-0.472,-0.463,-,-0.167
2024/07/06,05:24,-0.48,-0.476,-,-0.171
2024/07/06,05:30,-0.489,-0.493,-,-0.176
2024/07/06,05:36,-0.498,-0.491,-,-0.181
2024/07/06,05:42,-0.506,-0.504,-,-0.185
2024/07/06,05:48,-0.515,-0.514,-,-0.189
2024/07/06,05:54,-0.523,-0.518,-,-0.193
2024/07/06,06:00,-0.531,-0.531,-,-0.197
2024/07/06,06:06,-0.538,-0.537,-,-0.2
2024/07/06,06:12,-0.546,-0.548,-,-0.203
2024/07/06,06:18,-0.554,-0.56,-,-0.206
2024/07/06,06:24,-0.561,-0.566,-,-0.21
2024/07/06,06:30,-0.568,-0.577,-,-0.214
2024/07/06,06:36,-0.575,-0.585,-,-0.218
2024/07/06,06:42,-0.582,-0.592,-,-0.223
2024/07/06,06:48,-0.588,-0.604,-,-0.229
2024/07/06,06:54,-0.595,-0.609,-,-0.235
2024/07/06,07:00,-0.601,-0.619,-,-0.241
2024/07/06,07:06,-0.607,-0.627,-,-0.247
2024/07/06,07:12,-0.613,-0.629,-,-0.253
2024/07/06,07:18,-0.618,-0.637,-,-0.259
2024/07/06,07:24,-0.623,-0.643,-,-0.265
2024/07/06,07:30,-0.628,-0.65,-,-0.27
2024/07/06,07:36,-0.633,-0.652,-,-0.274
2024/07/06,07:42,-0.637,-0.654,-,-0.279
2024/07/06,07:48,-0.641,-0.657,-,-0.282
2024/07/06,07:54,-0.645,-0.661,-,-0.285
2024/07/06,08:00,-0.648,-0.661,-,-0.287
2024/07/06,08:06,-0.651,-0.671,-,-0.288
2024/07/06,08:12,-0.654,-0.669,-,-0.289
2024/07/06,08:18,-0.656,-0.674,-,-0.289
2024/07/06,08:24,-0.657,-0.674,-,-0.288
2024/07/06,08:30,-0.659,-0.67,-,-0.288
2024/07/06,08:36,-0.659,-0.672,-,-0.287
2024/07/06,08:42,-0.659,-0.668,-,-0.287
2024/07/06,08:48,-0.659,-0.671,-,-0.286
2024/07/06,08:54,-0.658,-0.67,-,-0.286
2024/07/06,09:00,-0.657,-0.667,-,-0.286
2024/07/06,09:06,-0.655,-0.669,-,-0.286
2024/07/06,09:12,-0.653,-0.669,-,-0.286
2024/07/06,09:18,-0.65,-0.665,-,-0.286
2024/07/06,09:24,-0.646,-0.663,-,-0.286
2024/07/06,09:30,-0.642,-0.656,-,-0.286
2024/07/06,09:36,-0.638,-0.656,-,-0.285
2024/07/06,09:42,-0.632,-0.65,-,-0.285
2024/07/06,09:48,-0.627,-0.648,-,-0.284
2024/07/06,09:54,-0.621,-0.64,-,-0.282
2024/07/06,10:00,-0.614,-0.644,-,-0.28
2024/07/06,10:06,-0.607,-0.639,-,-0.278
2024/07/06,10:12,-0.599,-0.636,-,-0.274
2024/07/06,10:18,-0.591,-0.625,-,-0.27
2024/07/06,10:24,-0.583,-0.612,-,-0.265
2024/07/06,10:30,-0.574,-0.608,-,-0.26
2024/07/06,10:36,-0.565,-0.591,-,-0.253
2024/07/06,10:42,-0.555,-0.578,-,-0.246
2024/07/06,10:48,-0.545,-0.574,-,-0.238
2024/07/06,10:54,-0.535,-0.559,-,-0.231
2024/07/06,11:00,-0.524,-0.556,-,-0.222
2024/07/06,11:06,-0.513,-0.543,-,-0.214
2024/07/06,11:12,-0.502,-0.529,-,-0.206
2024/07/06,11:18,-0.49,-0.52,-,-0.199
2024/07/06,11:24,-0.479,-0.501,-,-0.191
