Date,Time (GMT),Predicted (m),Verified (m),Preliminary (m),Forecast Guidance(m)
2017/08/23,00:00,-0.052,-0.028,-,-
2017/08/23,00:06,-0.049,-0.031,-,-
2017/08/23,00:12,-0.046,-0.032,-,-
2017/08/23,00:18,-0.044,-0.038,-,-
2017/08/23,00:24,-0.041,-0.022,-,-
2017/08/23,00:30,-0.038,-0.017,-,-
2017/08/23,00:36,-0.036,-0.006,-,-
2017/08/23,00:42,-0.034,0.012,-,-
2017/08/23,00:48,-0.031,0.016,-,-
2017/08/23,00:54,-0.029,0.021,-,-
2017/08/23,01:00,-0.027,0.025,-,-
2017/08/23,01:06,-0.025,-0.004,-,-
2017/08/23,01:12,-0.023,0.02,-,-
2017/08/23,01:18,-0.021,0.036,-,-
2017/08/23,01:24,-0.019,0.038,-,-
2017/08/23,01:30,-0.018,0.026,-,-
2017/08/23,01:36,-0.017,0.033,-,-
2017/08/23,01:42,-0.016,0.03,-,-
2017/08/23,01:48,-0.015,0.045,-,-
2017/08/23,01:54,-0.014,0.051,-,-
2017/08/23,02:00,-0.014,0.073,-,-
2017/08/23,02:06,-0.013,0.065,-,-
2017/08/23,02:12,-0.013,0.063,-,-
2017/08/23,02:18,-0.014,0.067,-,-
2017/08/23,02:24,-0.014,0.082,-,-
2017/08/23,02:30,-0.015,0.074,-,-
2017/08/23,02:36,-0.016,0.076,-,-
2017/08/23,02:42,-0.018,0.09,-,-
2017/08/23,02:48,-0.02,0.084,-,-
2017/08/23,02:54,-0.022,0.097,-,-
2017/08/23,03:00,-0.024,0.089,-,-
2017/08/23,03:06,-0.027,0.092,-,-
2017/08/23,03:12,-0.03,0.091,-,-
2017/08/23,03:18,-0.034,0.082,-,-
2017/08/23,03:24,-0.037,0.081,-,-
2017/08/23,03:30,-0.041,0.073,-,-
2017/08/23,03:36,-0.046,0.062,-,-
2017/08/23,03:42,-0.051,0.062,-,-
2017/08/23,03:48,-0.056,0.052,-,-
2017/08/23,03:54,-0.061,0.053,-,-
2017/08/23,04:00,-0.066,0.047,-,-
2017/08/23,04:06,-0.072,0.033,-,-
2017/08/23,04:12,-0.078,0.023,-,-
2017/08/23,04:18,-0.084,0.015,-,-
2017/08/23,04:24,-0.091,0.003,-,-
2017/08/23,04:30,-0.098,-0.011,-,-
2017/08/23,04:36,-0.104,-0.014,-,-
2017/08/23,04:42,-0.111,-0.022,-,-
2017/08/23,04:48,-0.119,-0.047,-,-
2017/08/23,04:54,-0.126,-0.049,-,-
2017/08/23,05:00,-0.133,-0.059,-,-
2017/08/23,05:06,-0.141,-0.067,-,-
2017/08/23,05:12,-0.148,-0.079,-,-
2017/08/23,05:18,-0.156,-0.089,-,-
2017/08/23,05:24,-0.164,-0.096,-,-
2017/08/23,05:30,-0.171,-0.106,-,-
2017/08/23,05:36,-0.179,-0.107,-,-
2017/08/23,05:42,-0.187,-0.119,-,-
2017/08/23,05:48,-0.195,-0.127,-,-
2017/08/23,05:54,-0.203,-0.131,-,-
2017/08/23,06:00,-0.21,-0.147,-,-
2017/08/23,06:06,-0.218,-0.168,-,-
2017/08/23,06:12,-0.226,-0.17,-,-
2017/08/23,06:18,-0.233,-0.179,-,-
2017/08/23,06:24,-0.241,-0.187,-,-
2017/08/23,06:30,-0.249,-0.192,-,-
2017/08/23,06:36,-0.256,-0.199,-,-
2017/08/23,06:42,-0.263,-0.203,-,-
2017/08/23,06:48,-0.271,-0.213,-,-
2017/08/23,06:54,-0.278,-0.22,-,-
2017/08/23,07:00,-0.285,-0.23,-,-
2017/08/23,07:06,-0.292,-0.241,-,-
2017/08/23,07:12,-0.3,-0.251,-,-
2017/08/23,07:18,-0.306,-0.263,-,-
2017/08/23,07:24,-0.313,-0.274,-,-
2017/08/23,07:30,-0.32,-0.281,-,-
2017/08/23,07:36,-0.327,-0.296,-,-
2017/08/23,07:42,-0.333,-0.303,-,-
2017/08/23,07:48,-0.339,-0.318,-,-
2017/08/23,07:54,-0.345,-0.329,-,-
2017/08/23,08:00,-0.351,-0.334,-,-
2017/08/23,08:06,-0.357,-0.34,-,-
2017/08/23,08:12,-0.362,-0.335,-,-
2017/08/23,08:18,-0.367,-0.352,-,-
2017/08/23,08:24,-0.372,-0.356,-,-
2017/08/23,08:30,-0.377,-0.352,-,-
2017/08/23,08:36,-0.381,-0.381,-,-
2017/08/23,08:42,-0.385,-0.374,-,-
2017/08/23,08:48,-0.389,-0.378,-,-
2017/08/23,08:54,-0.392,-0.379,-,-
2017/08/23,09:00,-0.395,-0.389,-,-
2017/08/23,09:06,-0.397,-0.401,-,-
2017/08/23,09:12,-0.4,-0.398,-,-
2017/08/23,09:18,-0.401,-0.399,-,-
2017/08/23,09:24,-0.403,-0.395,-,-
2017/08/23,09:30,-0.404,-0.401,-,-
2017/08/23,09:36,-0.404,-0.402,-,-
2017/08/23,09:42,-0.404,-0.397,-,-
2017/08/23,09:48,-0.404,-0.403,-,-
2017/08/23,09:54,-0.403,-0.399,-,-
2017/08/23,10:00,-0.401,-0.411,-,-
2017/08/23,10:06,-0.399,-0.42,-,-
2017/08/23,10:12,-0.397,-0.419,-,-
2017/08/23,10:18,-0.394,-0.419,-,-
2017/08/23,10:24,-0.391,-0.407,-,-
2017/08/23,10:30,-0.387,-0.414,-,-
2017/08/23,10:36,-0.383,-0.418,-,-
2017/08/23,10:42,-0.379,-0.416,-,-
2017/08/23,10:48,-0.374,-0.421,-,-
2017/08/23,10:54,-0.369,-0.416,-,-
2017/08/23,11:00,-0.363,-0.409,-,-
2017/08/23,11:06,-0.357,-0.406,-,-
2017/08/23,11:12,-0.35,-0.402,-,-
2017/08/23,11:18,-0.344,-0.406,-,-
2017/08/23,11:24,-0.337,-0.397,-,-
2017/08/23,11:30,-0.329,-0.39,-,-
2017/08/23,11:36,-0.322,-0.385,-,-
2017/08/23,11:42,-0.314,-0.38,-,-
2017/08/23,11:48,-0.306,-0.381,-,-
2017/08/23,11:54,-0.297,-0.373,-,-
2017/08/23,12:00,-0.289,-0.351,-,-
2017/08/23,12:06,-0.28,-0.361,-,-
2017/08/23,12:12,-0.271,-0.347,-,-
2017/08/23,12:18,-0.262,-0.331,-,-
2017/08/23,12:24,-0.253,-0.335,-,-
2017/08/23,12:30,-0.243,-0.311,-,-
2017/08/23,12:36,-0.234,-0.303,-,-
2017/08/23,12:42,-0.224,-0.297,-,-
2017/08/23,12:48,-0.215,-0.291,-,-
2017/08/23,12:54,-0.205,-0.279,-,-
2017/08/23,13:00,-0.196,-0.262,-,-
2017/08/23,13:06,-0.186,-0.262,-,-
2017/08/23,13:12,-0.177,-0.243,-,-
2017/08/23,13:18,-0.167,-0.233,-,-
2017/08/23,13:24,-0.158,-0.227,-,-
2017/08/23,13:30,-0.148,-0.204,-,-
2017/08/23,13:36,-0.139,-0.212,-,-
2017/08/23,13:42,-0.13,-0.189,-,-
2017/08/23,13:48,-0.121,-0.185,-,-
2017/08/23,13:54,-0.113,-0.188,-,-
2017/08/23,14:00,-0.104,-0.17,-,-
2017/08/23,14:06,-0.096,-0.166,-,-
2017/08/23,14:12,-0.088,-0.157,-,-
2017/08/23,14:18,-0.08,-0.148,-,-
2017/08/23,14:24,-0.073,-0.14,-,-
2017/08/23,14:30,-0.065,-0.126,-,-
2017/08/23,14:36,-0.058,-0.131,-,-
2017/08/23,14:42,-0.052,-0.107,-,-
2017/08/23,14:48,-0.046,-0.096,-,-
2017/08/23,14:54,-0.04,-0.093,-,-
2017/08/23,15:00,-0.034,-0.085,-,-
2017/08/23,15:06,-0.029,-0.085,-,-
2017/08/23,15:12,-0.024,-0.068,-,-
2017/08/23,15:18,-0.02,-0.07,-,-
2017/08/23,15:24,-0.016,-0.069,-,-
2017/08/23,15:30,-0.012,-0.057,-,-
2017/08/23,15:36,-0.009,-0.06,-,-
2017/08/23,15:42,-0.006,-0.045,-,-
2017/08/23,15:48,-0.003,-0.031,-,-
2017/08/23,15:54,-0.001,-0.027,-,-
2017/08/23,16:00,0.001,-0.023,-,-
2017/08/23,16:06,0.002,-0.015,-,-
2017/08/23,16:12,0.003,-0.017,-,-
2017/08/23,16:18,0.004,-0.007,-,-
2017/08/23,16:24,0.004,-0.009,-,-
2017/08/23,16:30,0.005,-0.013,-,-
2017/08/23,16:36,0.004,-0.008,-,-
2017/08/23,16:42,0.004,-0.005,-,-
2017/08/23,16:48,0.003,-0.017,-,-
2017/08/23,16:54,0.002,0.002,-,-
2017/08/23,17:00,0.001,0.013,-,-
2017/08/23,17:06,-,0.01,-,-
2017/08/23,17:12,-0.002,0.013,-,-
2017/08/23,17:18,-0.004,-0.001,-,-
2017/08/23,17:24,-0.006,-0.003,-,-
2017/08/23,17:30,-0.008,-0.012,-,-
2017/08/23,17:36,-0.01,-0.007,-,-
2017/08/23,17:42,-0.012,-0.021,-,-
2017/08/23,17:48,-0.015,-0.033,-,-
2017/08/23,17:54,-0.018,-0.031,-,-
2017/08/23,18:00,-0.02,-0.04,-,-
2017/08/23,18:06,-0.023,-0.045,-,-
2017/08/23,18:12,-0.026,-0.043,-,-
2017/08/23,18:18,-0.029,-0.046,-,-
2017/08/23,18:24,-0.032,-0.061,-,-
2017/08/23,18:30,-0.035,-0.06,-,-
2017/08/23,18:36,-0.038,-0.068,-,-
2017/08/23,18:42,-0.042,-0.062,-,-
2017/08/23,18:48,-0.045,-0.067,-,-
2017/08/23,18:54,-0.048,-0.082,-,-
2017/08/23,19:00,-0.052,-0.092,-,-
2017/08/23,19:06,-0.055,-0.1,-,-
2017/08/23,19:12,-0.058,-0.099,-,-
2017/08/23,19:18,-0.062,-0.107,-,-
2017/08/23,19:24,-0.065,-0.108,-,-
2017/08/23,19:30,-0.069,-0.107,-,-
2017/08/23,19:36,-0.072,-0.106,-,-
2017/08/23,19:42,-0.076,-0.104,-,-
2017/08/23,19:48,-0.079,-0.103,-,-
2017/08/23,19:54,-0.083,-0.101,-,-
2017/08/23,20:00,-0.086,-0.102,-,-
2017/08/23,20:06,-0.09,-0.104,-,-
2017/08/23,20:12,-0.093,-0.114,-,-
2017/08/23,20:18,-0.096,-0.117,-,-
2017/08/23,20:24,-0.1,-0.119,-,-
2017/08/23,20:30,-0.103,-0.129,-,-
2017/08/23,20:36,-0.106,-0.137,-,-
2017/08/23,20:42,-0.109,-0.142,-,-
2017/08/23,20:48,-0.112,-0.144,-,-
2017/08/23,20:54,-0.115,-0.146,-,-
2017/08/23,21:00,-0.117,-0.147,-,-
2017/08/23,21:06,-0.12,-0.154,-,-
2017/08/23,21:12,-0.122,-0.162,-,-
2017/08/23,21:18,-0.125,-0.168,-,-
2017/08/23,21:24,-0.127,-0.176,-,-
2017/08/23,21:30,-0.129,-0.185,-,-
2017/08/23,21:36,-0.13,-0.191,-,-
2017/08/23,21:42,-0.132,-0.199,-,-
2017/08/23,21:48,-0.133,-0.203,-,-
2017/08/23,21:54,-0.135,-0.2,-,-
2017/08/23,22:00,-0.136,-0.195,-,-
2017/08/23,22:06,-0.136,-0.197,-,-
2017/08/23,22:12,-0.137,-0.19,-,-
2017/08/23,22:18,-0.137,-0.185,-,-
2017/08/23,22:24,-0.137,-0.182,-,-
2017/08/23,22:30,-0.137,-0.179,-,-
2017/08/23,22:36,-0.137,-0.178,-,-
2017/08/23,22:42,-0.136,-0.178,-,-
2017/08/23,22:48,-0.136,-0.18,-,-
2017/08/23,22:54,-0.135,-0.181,-,-
2017/08/23,23:00,-0.133,-0.186,-,-
2017/08/23,23:06,-0.132,-0.191,-,-
2017/08/23,23:12,-0.13,-0.191,-,-
2017/08/23,23:18,-0.129,-0.197,-,-
2017/08/23,23:24,-0.127,-0.203,-,-
2017/08/23,23:30,-0.125,-0.192,-,-
2017/08/23,23:36,-0.122,-0.218,-,-
2017/08/23,23:42,-0.12,-0.198,-,-
2017/08/23,23:48,-0.117,-0.201,-,-
2017/08/23,23:54,-0.114,-0.205,-,-
2017/08/24,00:00,-0.112,-0.211,-,-
2017/08/24,00:06,-0.109,-0.203,-,-
2017/08/24,00:12,-0.105,-0.189,-,-
2017/08/24,00:18,-0.102,-0.194,-,-
2017/08/24,00:24,-0.099,-0.198,-,-
2017/08/24,00:30,-0.096,-0.189,-,-
2017/08/24,00:36,-0.092,-0.19,-,-
2017/08/24,00:42,-0.089,-0.173,-,-
2017/08/24,00:48,-0.085,-0.176,-,-
2017/08/24,00:54,-0.081,-0.181,-,-
2017/08/24,01:00,-0.078,-0.165,-,-
2017/08/24,01:06,-0.074,-0.169,-,-
2017/08/24,01:12,-0.071,-0.144,-,-
2017/08/24,01:18,-0.067,-0.121,-,-
2017/08/24,01:24,-0.063,-0.11,-,-
2017/08/24,01:30,-0.06,-0.094,-,-
2017/08/24,01:36,-0.057,-0.079,-,-
2017/08/24,01:42,-0.053,-0.059,-,-
2017/08/24,01:48,-0.05,-0.057,-,-
2017/08/24,01:54,-0.047,-0.042,-,-
2017/08/24,02:00,-0.044,-0.032,-,-
2017/08/24,02:06,-0.041,-0.022,-,-
2017/08/24,02:12,-0.038,-0.009,-,-
2017/08/24,02:18,-0.036,-,-,-
2017/08/24,02:24,-0.033,0.006,-,-
2017/08/24,02:30,-0.031,0.006,-,-
2017/08/24,02:36,-0.029,0.023,-,-
2017/08/24,02:42,-0.027,0.019,-,-
2017/08/24,02:48,-0.026,0.033,-,-
2017/08/24,02:54,-0.025,0.032,-,-
