#Jurisdiction	Cause	Response Category	Protection Zone	Year	Annee	Juridiction	Data Qualifier	Area (hectares)	Area (hectares) null
Manitoba	Forest industry	Unspecified	Intensive	1990	1990	Manitoba	E	878	878
Manitoba	Incendiary	Unspecified	Intensive	1990	1990	Manitoba	E	223	223
Manitoba	Lightning	Unspecified	Intensive	1990	1990	Manitoba	E	10427	10427
Manitoba	Miscellaneous known causes	Unspecified	Intensive	1990	1990	Manitoba	E	317	317
Manitoba	Other industry	Unspecified	Intensive	1990	1990	Manitoba	E	8	8
Manitoba	Railways	Unspecified	Intensive	1990	1990	Manitoba	E	201	201
Manitoba	Recreation	Unspecified	Intensive	1990	1990	Manitoba	E	570	570
Manitoba	Residents	Unspecified	Intensive	1990	1990	Manitoba	E	3741	3741
Northwest Territories	Incendiary	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	1	1
Northwest Territories	Lightning	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	104604	104604
Northwest Territories	Miscellaneous known causes	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	1	1
Northwest Territories	Recreation	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	6	6
Northwest Territories	Residents	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	3	3
Northwest Territories	Unspecified	Unspecified	Intensive	1990	1990	Territoires du Nord-Ouest	E	1	1
Saskatchewan	Forest industry	Unspecified	Intensive	1990	1990	Saskatchewan	E	4	4
Saskatchewan	Incendiary	Unspecified	Intensive	1990	1990	Saskatchewan	E	505	505
Saskatchewan	Lightning	Unspecified	Intensive	1990	1990	Saskatchewan	E	154677	154677
Saskatchewan	Miscellaneous known causes	Unspecified	Intensive	1990	1990	Saskatchewan	E	131	131
Saskatchewan	Railways	Unspecified	Intensive	1990	1990	Saskatchewan	E	3	3
Saskatchewan	Recreation	Unspecified	Intensive	1990	1990	Saskatchewan	E	412	412
Saskatchewan	Residents	Unspecified	Intensive	1990	1990	Saskatchewan	E	31617	31617
Newfoundland and Labrador	Recreation	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	35	35
Newfoundland and Labrador	Recreation	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Recreation	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Residents	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	19	19
Newfoundland and Labrador	Residents	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Residents	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Forest industry	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	2593	2593
Newfoundland and Labrador	Forest industry	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Forest industry	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Railways	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	71	71
Newfoundland and Labrador	Railways	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Railways	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Other industry	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	5	5
Newfoundland and Labrador	Other industry	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Other industry	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Incendiary	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	12	12
Newfoundland and Labrador	Incendiary	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Incendiary	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Miscellaneous known causes	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	30	30
Newfoundland and Labrador	Miscellaneous known causes	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Miscellaneous known causes	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	s		
Newfoundland and Labrador	Lightning	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	994	994
Newfoundland and Labrador	Lightning	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	88	88
Newfoundland and Labrador	Lightning	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Unspecified	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Unspecified	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Newfoundland and Labrador	Unspecified	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	0	
Prince Edward Island	Recreation	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Recreation	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Recreation	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Residents	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	28	28
Prince Edward Island	Residents	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Residents	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Forest industry	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Forest industry	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Forest industry	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Railways	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Railways	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Railways	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Other industry	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	1	1
Prince Edward Island	Other industry	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Other industry	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Incendiary	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	53	53
Prince Edward Island	Incendiary	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
Prince Edward Island	Incendiary	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	0	
