#Jurisdiction	Cause	ResponseCategory	ProtectionZone	Year	Annee	Juridiction	DataQualifier	ISO	Niveaudintervention	Origine	Qualificatifs de donnees	Zonedeprotection	Nombre	Nombre (nul)	Number	Number (null)	Number of Records
Manitoba	Forest industry	Unspecified	Intensive	1990	1990	Manitoba	E	MB	Indeterminee	Industrie forestiere	E	Intensive	7	7	7	7	1
Manitoba	Incendiary	Unspecified	Intensive	1990	1990	Manitoba	E	MB	Indeterminee	Incendiaires	E	Intensive	39	39	39	39	1
Manitoba	Lightning	Unspecified	Intensive	1990	1990	Manitoba	E	MB	Indeterminee	Foudre	E	Intensive	282	282	282	282	1
Manitoba	Miscellaneous known causes	Unspecified	Intensive	1990	1990	Manitoba	E	MB	Indeterminee	Causes diverses connues	E	Intensive	33	33	33	33	1
Manitoba	Other industry	Unspecified	Intensive	1990	1990	Manitoba	E	MB	Indeterminee	Autres industrielles	E	Intensive	3	3	3	3	1
Manitoba	Railways	Unspecified	Intensive	1990	1990	Manitoba	E	MB	Indeterminee	Chemins de fer	E	Intensive	18	18	18	18	1
Manitoba	Recreation	Unspecified	Intensive	1990	1990	Manitoba	E	MB	Indeterminee	Recreation	E	Intensive	98	98	98	98	1
Manitoba	Residents	Unspecified	Intensive	1990	1990	Manitoba	E	MB	Indeterminee	Residants	E	Intensive	90	90	90	90	1
Newfoundland and Labrador	Recreation	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Normale	Recreation	a	Intensive	60	60	60	60	1
Newfoundland and Labrador	Recreation	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Modulee	Recreation	a	Intensive	0		0		1
Newfoundland and Labrador	Recreation	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Aucune	Recreation	a	Intensive	0		0		1
Newfoundland and Labrador	Residents	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Normale	Residants	a	Intensive	53	53	53	53	1
Newfoundland and Labrador	Residents	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Modulee	Residants	a	Intensive	0		0		1
Newfoundland and Labrador	Residents	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Aucune	Residants	a	Intensive	0		0		1
Newfoundland and Labrador	Forest industry	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Normale	Industrie forestiere	a	Intensive	5	5	5	5	1
Newfoundland and Labrador	Forest industry	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Modulee	Industrie forestiere	a	Intensive	0		0		1
Newfoundland and Labrador	Forest industry	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Aucune	Industrie forestiere	a	Intensive	0		0		1
Newfoundland and Labrador	Railways	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Normale	Chemins de fer	a	Intensive	7	7	7	7	1
Newfoundland and Labrador	Railways	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Modulee	Chemins de fer	a	Intensive	0		0		1
Newfoundland and Labrador	Railways	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Aucune	Chemins de fer	a	Intensive	0		0		1
Newfoundland and Labrador	Other industry	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Normale	Autres industrielles	a	Intensive	6	6	6	6	1
Newfoundland and Labrador	Other industry	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Modulee	Autres industrielles	a	Intensive	0		0		1
Newfoundland and Labrador	Other industry	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Aucune	Autres industrielles	a	Intensive	0		0		1
Newfoundland and Labrador	Incendiary	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Normale	Incendiaires	a	Intensive	11	11	11	11	1
Newfoundland and Labrador	Incendiary	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Modulee	Incendiaires	a	Intensive	0		0		1
Newfoundland and Labrador	Incendiary	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Aucune	Incendiaires	a	Intensive	0		0		1
Newfoundland and Labrador	Miscellaneous known causes	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Normale	Causes diverses connues	a	Intensive	24	24	24	24	1
Newfoundland and Labrador	Miscellaneous known causes	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Modulee	Causes diverses connues	a	Intensive	0		0		1
Newfoundland and Labrador	Miscellaneous known causes	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Aucune	Causes diverses connues	a	Intensive	1	1	1	1	1
Newfoundland and Labrador	Lightning	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Normale	Foudre	a	Intensive	4	4	4	4	1
Newfoundland and Labrador	Lightning	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Modulee	Foudre	a	Intensive	2	2	2	2	1
Newfoundland and Labrador	Lightning	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Aucune	Foudre	a	Intensive	0		0		1
Newfoundland and Labrador	Unspecified	Full	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Normale	Indeterminee	a	Intensive	0		0		1
Newfoundland and Labrador	Unspecified	Modified	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Modulee	Indeterminee	a	Intensive	0		0		1
Newfoundland and Labrador	Unspecified	None	Intensive	1990	1990	Terre-Neuve-et-Labrador	a	NL	Aucune	Indeterminee	a	Intensive	0		0		1
Prince Edward Island	Recreation	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	PE	Normale	Recreation	a	Intensive	2	2	2	2	1
Prince Edward Island	Recreation	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	PE	Modulee	Recreation	a	Intensive	0		0		1
Prince Edward Island	Recreation	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	PE	Aucune	Recreation	a	Intensive	0		0		1
Prince Edward Island	Residents	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	PE	Normale	Residants	a	Intensive	11	11	11	11	1
Prince Edward Island	Residents	Modified	Intensive	1990	1990	Ile-du-Prince-Edouard	a	PE	Modulee	Residants	a	Intensive	0		0		1
Prince Edward Island	Residents	None	Intensive	1990	1990	Ile-du-Prince-Edouard	a	PE	Aucune	Residants	a	Intensive	0		0		1
Prince Edward Island	Forest industry	Full	Intensive	1990	1990	Ile-du-Prince-Edouard	a	PE	Normale	Industrie forestiere	a	Intensive	0		0		1
