#Year	Area (hectares)
1990	953323.658253559
1991	1545787.60000647
1992	851825.920002631
1993	1950352.40000182
1994	6161348.76000245
1995	7375354.84000601
1996	1861749.55000235
1997	632748.540004848
1998	4741030.02400482
1999	1717142.98000176
2000	634154.561003488
2001	647669.471001217
2002	2763604.79600298
2003	2168405.23000199
2004	3182999.24559955
2005	1686769.96600467
2006	2100679.69000542
2007	1785467.96700078
2008	1664924.80100052
2009	762566.849000623
2010	3177965.30839882
2011	2397427.88747378
2012	1811691.04869217
2013	4268502.36319905
2014	4545657.85380055
2015	3908380.33043966
2016	1319606.25530173
2017	3589430.26110783
2018	2328850.95436025
2019	1786214.4283415
2020	218232.131323
2021	4307520.1
