#Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1900,41.30,16.42,62.74,39.74,50.56,51.41,43.44,28.86,27.60,6.97,21.77,22.80
1901,19.02,8.41,46.04,40.53,23.72,37.97,36.79,63.98,25.06,39.24,14.89,8.73
1902,18.01,8.23,20.63,3.35,3.08,20.48,9.71,25.25,16.76,30.34,28.55,72.03
1903,18.57,12.54,51.96,49.25,46.28,29.93,52.68,30.11,87.73,42.52,48.03,58.47
1904,51.59,47.38,34.81,31.66,44.55,22.76,54.74,23.33,18.91,60.94,18.08,40.48
1905,36.30,24.68,29.74,97.43,42.50,36.30,40.84,16.45,16.37,41.98,18.37,24.07
1906,23.57,76.98,88.61,13.35,54.18,45.07,25.71,51.71,88.97,57.16,49.10,36.42
1907,68.21,17.50,47.77,24.59,18.63,44.70,31.05,37.71,12.49,18.19,51.32,63.67
1908,20.82,69.01,50.38,23.31,21.49,36.43,28.51,40.90,41.10,41.52,35.14,28.83
1909,36.03,59.17,29.75,35.20,36.99,69.10,25.52,79.90,21.34,25.70,26.72,36.84
1910,86.55,13.25,85.28,5.96,25.21,68.67,41.05,22.65,37.22,36.03,52.51,47.38
1911,96.47,109.85,33.19,5.90,48.45,23.01,33.84,19.96,31.56,16.19,44.03,57.69
1912,14.14,22.40,31.27,3.28,3.01,90.41,66.08,32.28,29.65,30.31,48.34,31.77
1913,33.01,53.13,68.50,29.46,68.98,46.47,13.20,13.59,28.41,41.13,13.86,34.81
1914,30.26,42.34,52.10,25.99,38.53,24.51,23.71,2.75,9.30,17.79,46.12,61.57
1915,14.66,10.60,7.70,16.06,50.74,38.46,36.96,38.55,43.45,30.00,6.08,39.88
1916,29.14,24.05,16.38,40.69,13.43,82.74,75.78,49.11,57.59,63.36,82.57,72.30
1917,73.17,79.21,28.11,10.19,24.84,51.55,47.54,47.38,74.80,61.81,94.76,45.86
1918,83.60,20.30,22.87,41.82,44.87,22.65,25.35,61.73,9.57,19.18,10.83,14.95
1919,15.90,57.05,22.28,18.38,58.84,14.07,9.83,20.05,15.94,14.64,11.26,50.48
1920,30.30,26.13,15.11,16.32,19.52,94.83,80.52,55.67,67.66,57.07,40.38,59.09
1921,34.66,40.22,65.39,40.93,63.95,84.47,58.03,33.78,58.02,31.23,30.66,74.12
1922,27.51,23.60,6.54,18.84,20.51,31.92,43.45,17.34,26.86,30.62,8.96,72.42
1923,17.87,7.16,10.31,9.87,27.48,98.73,51.08,17.46,33.10,31.45,17.67,67.81
1924,37.49,81.24,34.27,29.66,13.72,32.29,27.83,51.13,50.94,48.32,108.42,39.65
1925,78.65,36.34,28.31,4.52,55.95,38.27,32.03,35.94,19.79,11.03,52.53,36.87
1926,35.73,7.38,74.09,55.42,63.17,33.51,26.19,30.76,45.30,18.24,7.15,53.86
1927,45.64,13.00,28.83,16.01,17.06,22.49,20.05,22.97,17.87,41.99,44.94,58.95
1928,49.38,115.96,50.53,45.35,17.88,41.41,36.77,6.27,12.38,29.34,19.41,18.84
1929,12.64,43.93,29.13,52.69,9.27,22.91,11.03,27.49,23.31,24.05,32.29,46.17
1930,38.00,19.82,23.01,21.56,40.43,50.84,43.70,44.30,17.45,71.24,30.70,67.30
1931,19.99,13.24,86.66,58.75,83.97,83.38,31.93,16.95,26.74,19.48,54.16,66.91
1932,7.31,37.96,48.15,54.52,31.36,35.71,30.51,35.14,38.69,23.71,41.65,23.59
1933,46.45,16.81,13.28,22.57,30.90,30.05,58.57,26.64,54.07,44.26,90.78,63.88
