,Month,Time,AAp,ApB,BC,CCp,CpD,DDp,DpE,EEp,EpFp,FpG,GH,HHp,HpI,IIpp,IppJ,JJpp,JppK,KKp,KpA,INTERIOR,AIS,EAIS,WAIS,APIS,QML,NoQML,CpDc,CpDc2,CpDc3,CpDi,DDpc,DDpi,GH2,HHp2,JJpp2,GH3,GHc,CCpc,residual,EAISres,WAISres,TM,INTERIOR2,QML2,ROSS,RONNE
0,4.0,2002.2932,-16.1408,-259.3094,-6.8529,-78.1651,96.9536,34.4731,47.147,-17.9762,-125.4967,243.0527,737.5868,13.2612,140.5216,167.3493,-41.0384,-128.6382,-61.0707,-53.3387,-27.5382,-66.807,664.7796,-341.8186,739.7658,266.8324,-302.9885,-38.8302,98.2435,145.6724,134.0363,-1.2899,28.4776,81.6201,706.059,-32.484,-51.3652,783.332,847.5809,10.086,-262.2599,-218.6937,-43.5662,153.6821,-25.0543,7.9035,2.2662,-51.6046
1,5.0,2002.3562,-65.5648,-233.8027,37.7241,-100.6518,174.9294,29.749,19.3375,-39.9607,-149.2762,240.5336,766.1704,94.4749,7.5338,252.845,28.9726,-27.9928,-41.5216,-68.8969,-9.5151,-164.4521,915.0875,-298.1737,923.9098,289.3514,-308.8826,10.7089,181.1628,134.2449,235.0948,-6.2334,6.124,49.0864,804.4943,74.2752,-46.1171,786.37,823.4863,-54.3398,-82.0004,-219.5403,137.5398,123.4466,17.3713,-118.9667,70.7402,-0.2588
2,8.0,2002.6247,-166.3563,-88.9177,-100.1248,-67.6233,35.3765,99.9609,-10.8437,-44.3148,-98.4291,229.3588,715.3645,92.9999,43.6722,156.1851,9.3914,-124.2585,-100.0224,-44.8453,-37.965,-238.159,498.6083,-525.6759,815.0355,209.2487,-293.2391,-232.4368,95.527,184.8392,85.1749,-60.1504,115.9257,89.1172,743.7892,33.6126,-93.2959,774.7518,802.6891,3.5078,-376.7973,-417.081,40.2837,125.4906,-200.7567,-57.781,-16.5194,-80.5089
3,9.0,2002.7082,-182.2692,-133.3241,-89.5328,-8.6361,78.7941,80.3281,-55.2637,-58.4099,-82.1256,240.5005,734.118,47.6295,35.3696,148.3482,14.7555,-211.3986,-58.9184,-29.377,-86.0272,-246.6378,384.561,-542.6362,728.7239,198.4733,-401.6205,-141.0157,74.8023,183.1354,109.3047,3.9918,76.2456,25.0644,726.7753,23.2569,-179.6832,758.4906,820.8775,-3.6049,-270.6491,-240.8824,-29.7668,161.5269,-197.6494,-128.421,-50.7767,-46.512
4,10.0,2002.7918,-100.0059,-208.4828,-56.499,-66.193,139.908,-22.8014,44.4617,-26.8705,-112.1515,243.985,784.016,49.9649,34.7858,176.635,35.6908,-102.3049,-59.1599,-56.7829,-18.0315,-272.0599,680.1638,-430.4571,863.5093,247.1116,-326.5203,-103.9369,161.1441,98.4602,150.2678,-21.236,-28.0812,21.6603,796.561,21.802,-86.6871,812.1788,822.8522,-28.5523,-235.4107,-286.7413,51.3305,48.877,-132.9805,-99.8036,27.0751,-32.7575
5,11.0,2002.8753,-68.8427,-284.7985,-31.1374,-100.5441,61.418,55.9194,-24.3925,-43.8495,-88.8477,241.0203,742.5216,-9.4961,104.476,177.219,-19.7059,-149.6052,-117.5305,-51.7584,-32.3973,-244.375,359.6684,-637.9136,735.5929,261.9891,-386.0386,-251.875,107.1739,92.3611,83.0034,-45.7559,33.2778,31.5269,708.5065,-10.7254,-114.3608,743.7509,788.4175,-43.7727,-398.7338,-390.5758,-8.158,98.892,-215.2768,-49.14,-6.3365,-30.7476
6,12.0,2002.9589,-78.2628,-272.3371,-49.2611,20.8415,-62.4657,46.1664,-15.4389,-16.8453,-158.4288,209.9153,766.4361,56.8225,27.7629,165.3828,9.0271,-98.9809,-69.1641,-76.2605,-8.6552,-325.9128,396.2543,-581.6828,775.7643,202.1728,-359.2551,-222.4277,61.3424,114.5848,26.5828,-123.8081,68.4749,30.7275,808.8307,-2.5128,-82.0401,825.7715,790.7477,66.4268,-364.5048,-314.4976,-50.0072,25.5754,-153.1916,-36.1095,65.1597,-3.6701
7,13.0,2003.0438,-302.0991,-32.2764,-120.8446,-63.6745,-274.734,312.1757,-67.7205,-2.1317,-103.1938,201.0973,796.376,-17.4803,25.967,176.9253,-3.9186,-148.0498,-162.8815,-52.6971,-56.9707,-364.8564,103.869,-823.8542,728.7494,198.9738,-391.3462,-432.508,-74.6818,207.088,-11.5844,-200.0522,324.6037,244.4553,728.5445,5.054,-102.7526,773.8417,789.6937,58.2396,-647.3738,-602.2815,-45.0923,57.3428,-316.3906,2.2503,14.3083,-75.347
8,14.0,2003.1247,-181.0551,-127.1495,-77.1309,-7.3314,35.9199,-53.0292,102.594,-43.0502,-26.6433,234.7579,665.6207,5.0764,74.9685,159.2962,-1.1838,-133.633,-152.086,-57.2787,-1.5864,-91.3659,417.0761,-561.1835,745.1787,233.0809,-309.7911,-251.3925,44.3289,178.6312,-23.3745,-8.409,27.557,49.5648,610.2749,-10.2338,-62.977,680.9309,765.5441,-1.6977,-281.0383,-345.2861,64.2479,94.8778,-161.7849,39.1661,-15.4278,-75.3073
9,15.0,2003.2055,-108.699,-230.8616,-49.8794,-31.9029,116.5736,30.8061,-48.57,-23.1866,-99.6876,226.143,644.4184,31.2761,41.0856,165.0176,4.6004,-110.0593,-45.6794,-53.5188,-28.1688,-170.5037,429.7074,-473.0868,692.0906,210.7036,-367.7294,-105.3573,119.8908,87.806,91.3719,-3.3172,-12.0361,-17.7639,661.8974,6.1695,-102.4317,669.525,719.1767,-10.6681,-184.9187,-207.4842,22.5655,98.9627,-81.2627,-82.2331,-18.0095,-32.7523
10,16.0,2003.289,-154.4362,-170.0806,-36.7849,-69.2203,30.2399,51.0219,62.776,-2.3307,-43.1016,216.1187,798.1168,-24.3411,76.4914,108.2145,9.7117,-63.0311,-47.0221,-47.4915,-30.1202,-188.7377,664.7305,-413.4487,883.7617,194.4175,-354.637,-58.8117,115.0897,132.4991,87.9456,-84.8498,71.8846,113.7979,726.46,2.3831,-18.0985,771.3926,788.2611,-3.6603,-175.3302,-287.6993,112.3691,80.2496,-147.0714,18.7166,35.6276,-20.9798
