,Month,Time,NW,NN,NE,SW,SE,GIS
0,4.0,2002.2932,633.4448,255.6978,101.3334,243.3419,739.1352,1972.9531
1,5.0,2002.3562,604.2422,255.6693,183.4005,327.7877,630.1134,2001.2131
2,8.0,2002.6247,594.6681,243.4628,117.7597,156.7882,637.7695,1750.4483
3,9.0,2002.7082,525.1827,262.1519,151.0843,192.1595,569.0359,1699.6142
4,10.0,2002.7918,515.6137,245.9076,130.6944,211.2323,644.7252,1748.1732
5,11.0,2002.8753,582.0785,243.496,110.7187,214.295,589.7576,1740.3458
6,12.0,2002.9589,521.7883,252.0039,52.3377,239.2622,678.4167,1743.8088
7,13.0,2003.0438,567.8223,251.6948,213.9997,345.2257,411.4416,1790.1841
8,14.0,2003.1247,555.9444,245.7351,101.4998,189.1695,696.4524,1788.8012
9,15.0,2003.2055,502.8894,241.1835,129.4313,275.5292,719.2236,1868.2569
10,16.0,2003.289,625.447,247.7986,103.3656,190.6457,790.8863,1958.1432
11,17.0,2003.3589,573.2772,234.8314,114.9991,210.3514,804.3284,1937.7874
12,19.0,2003.5397,476.0381,209.3652,70.4663,174.0,804.8745,1734.744
13,20.0,2003.6247,478.3288,175.8074,40.4545,199.3876,734.0724,1628.0508
14,21.0,2003.7082,488.891,185.7951,68.2533,140.5088,686.465,1569.9133
15,22.0,2003.7904,556.7983,220.1548,66.235,81.6791,678.0007,1602.8679
16,23.0,2003.8753,517.3825,202.5595,68.3805,68.7707,687.5526,1544.6458
17,24.0,2003.9589,509.7964,197.6105,21.89,141.9876,717.0258,1588.3104
18,25.0,2004.0191,531.3649,157.4836,-5.0939,199.8312,665.8373,1549.4231
19,26.0,2004.1298,497.1641,160.7474,56.6099,154.4799,663.9244,1532.9256
20,27.0,2004.2077,525.666,173.9682,45.1193,170.1242,646.9584,1561.8361
21,28.0,2004.291,518.6742,176.4605,12.6478,176.9382,722.5604,1607.2811
22,29.0,2004.3743,488.3737,165.9853,40.6532,222.0893,714.3346,1631.4361
23,30.0,2004.4577,509.9691,193.6518,67.597,154.007,720.9182,1646.1431
24,31.0,2004.541,494.7993,165.5404,48.7996,129.582,686.317,1525.0383
25,32.0,2004.6257,488.0945,183.418,23.5704,76.7621,648.2261,1420.0712
26,33.0,2004.709,454.9436,164.0959,35.2021,135.9592,586.5167,1376.7174
27,34.0,2004.7923,460.7808,185.6206,-12.1358,159.4621,583.2832,1377.0109
28,35.0,2004.8757,472.105,183.8978,8.6994,107.5547,566.0084,1338.2654
29,36.0,2004.959,488.7018,182.838,31.0728,166.7992,507.5479,1376.9597
30,37.0,2005.0438,481.2677,160.1554,26.2802,124.9707,535.7928,1328.4669
31,38.0,2005.1247,481.0586,153.1674,-14.2709,208.1089,524.567,1352.631
32,39.0,2005.2055,494.7263,178.2046,18.5755,246.1867,478.8251,1416.5183
33,40.0,2005.289,489.6269,188.4043,-3.5844,205.9612,549.9087,1430.3167
34,41.0,2005.3726,490.7036,172.9878,43.2456,238.4993,529.2857,1474.7219
35,42.0,2005.4562,504.4166,197.1155,81.5941,239.7078,496.9271,1519.761
36,43.0,2005.5397,434.3704,173.3517,13.3926,265.764,480.6801,1367.5588
37,44.0,2005.6247,432.7969,135.9092,6.2737,212.2061,384.1427,1171.3287
38,45.0,2005.7082,435.4178,132.1971,-31.1387,159.4914,397.0741,1093.0416
39,46.0,2005.7918,414.0911,140.4122,-34.7785,140.0364,438.9569,1098.7182
40,47.0,2005.8753,444.5878,133.4194,-10.322,185.2303,336.021,1088.9366
41,48.0,2005.9589,526.2372,162.1158,-8.1702,87.5411,367.1523,1134.8761
42,49.0,2006.0438,453.7451,125.8387,-17.865,147.1328,376.946,1085.7976
43,50.0,2006.1247,450.2836,123.8156,-2.0751,156.777,401.2186,1130.0197
44,51.0,2006.2055,375.5623,131.8306,41.0003,226.1666,386.798,1161.3577
45,52.0,2006.289,445.7089,102.3226,27.3529,165.6419,410.299,1151.3254
46,53.0,2006.3726,398.4699,151.6887,61.7046,230.5065,346.4334,1188.8031
47,54.0,2006.4562,434.389,132.7329,45.1519,257.347,330.8948,1200.5156
48,55.0,2006.5397,385.5621,163.5894,12.7585,266.1128,330.5403,1158.5631
49,56.0,2006.6247,355.1767,150.9094,42.5786,220.9822,260.1537,1029.8006
50,57.0,2006.7082,356.4196,163.2236,24.8119,190.1549,234.3455,968.9556
51,58.0,2006.7918,355.8555,176.387,57.7714,148.7045,242.7437,981.4621
52,59.0,2006.8753,348.4252,162.5674,46.2052,214.9524,145.2435,917.3936
53,60.0,2006.9589,368.6456,115.8926,17.2289,171.1968,182.9323,855.8963
54,61.0,2007.0438,357.6899,140.3052,21.1726,185.8306,176.2344,881.2326
55,62.0,2007.1247,306.0851,136.9847,78.3898,224.626,228.7381,974.8238
56,63.0,2007.2055,383.192,141.838,24.3364,100.3844,286.2316,935.9825
57,64.0,2007.289,345.4076,124.6331,54.446,173.0007,249.9101,947.3974
58,65.0,2007.3726,299.8357,145.4596,62.8923,159.7339,323.2568,991.1783
59,66.0,2007.4562,319.1607,175.073,41.7145,232.127,263.7533,1031.8285
60,67.0,2007.5397,308.7656,180.4172,33.7745,206.3859,175.5313,904.8745
61,68.0,2007.6247,251.5453,145.5112,20.5215,152.9221,150.9322,721.4323
62,69.0,2007.7082,261.9888,154.7034,-0.1831,107.4566,126.6184,650.5841
63,70.0,2007.7918,228.282,129.9278,11.2524,95.0637,124.6601,589.186
64,71.0,2007.8753,261.3278,107.0561,33.776,168.681,21.3877,592.2286
65,72.0,2007.9589,275.1189,122.1971,8.6573,156.231,69.4404,631.6446
66,73.0,2008.0437,274.1948,114.6008,11.9807,78.4027,177.9233,657.1024
67,74.0,2008.1257,232.5296,119.109,81.5416,123.7495,101.1581,658.0878
68,75.0,2008.2077,274.6697,95.5523,41.9352,145.2598,145.9801,703.397
69,76.0,2008.291,244.9589,102.3143,57.2277,173.1608,156.1461,733.8079
70,77.0,2008.3743,235.4348,108.3392,88.797,148.8667,136.3272,717.7649
71,78.0,2008.4577,184.7104,122.8626,80.2129,171.0605,167.7637,726.6101
72,79.0,2008.541,229.462,101.1286,33.329,89.2507,142.0365,595.2068
73,80.0,2008.6257,186.5232,71.4831,17.2696,51.8562,91.9251,419.0573
74,81.0,2008.709,154.4383,67.627,8.9299,72.4683,61.1083,364.5719
75,82.0,2008.7923,145.173,40.7291,29.1089,118.8972,21.7195,355.6277
76,83.0,2008.8757,172.6716,48.7279,17.3144,109.5534,71.2368,419.504
77,84.0,2008.959,185.512,57.2639,8.2511,113.6467,99.2731,463.9469
78,85.0,2009.0438,207.7746,49.1701,14.0554,84.5728,138.8725,494.4454
79,86.0,2009.1247,184.5276,44.2279,16.5757,139.6694,86.9374,471.9381
80,87.0,2009.2055,166.3093,29.0439,19.0038,129.0208,114.7455,458.1233
81,88.0,2009.289,153.3707,45.0954,0.4547,159.7682,128.4523,487.1413
82,89.0,2009.3726,150.6574,34.7873,39.7163,152.187,130.8901,508.238
83,90.0,2009.4562,141.8955,77.3389,54.1729,194.9557,104.8371,573.2002
84,91.0,2009.5397,128.0319,69.5008,45.8368,153.2339,82.3246,478.9282
85,92.0,2009.6247,79.6622,17.3412,-21.5035,80.4576,75.1846,231.1421
86,93.0,2009.7082,32.9375,18.7763,36.5866,99.587,-12.3591,175.5282
87,94.0,2009.7918,56.7506,14.3703,41.2201,139.9427,-13.6846,238.5993
88,95.0,2009.8753,43.2367,-9.2451,51.2275,52.0578,50.8018,188.0786
89,96.0,2009.9589,51.1778,-11.0489,21.871,86.8941,51.3107,200.2046
90,97.0,2010.0438,62.2563,7.4409,27.1336,72.8375,68.5542,238.2225
91,98.0,2010.1247,26.9025,0.4131,36.6957,92.0367,92.673,248.7211
92,99.0,2010.2055,0.5773,17.4181,37.9469,168.2334,71.6987,295.8744
93,100.0,2010.289,61.5695,3.0708,15.8251,123.1784,60.5151,264.1588
94,101.0,2010.3726,69.4598,31.0057,23.577,141.8581,44.5185,310.419
95,102.0,2010.4562,14.5391,52.4622,30.667,143.5785,-27.1758,214.0709
96,103.0,2010.5397,13.0833,-26.9554,-18.0789,88.8755,-47.952,8.9726
97,104.0,2010.6247,-49.7117,-38.2671,-18.5371,38.3567,-114.8838,-183.043
98,105.0,2010.7082,-80.6775,-25.0513,-1.622,-50.3144,-123.2372,-280.9024
99,106.0,2010.7918,-43.1133,-12.6114,-40.0867,-28.406,-119.7818,-243.9993
100,107.0,2010.8753,-82.0922,-15.1186,-19.3326,-61.395,-111.2911,-289.2294
101,108.0,2010.9534,-42.5697,-15.1271,-69.5204,-18.014,-118.6019,-263.8332
102,110.0,2011.1342,17.0448,3.6455,-55.1692,9.6508,-188.0005,-212.8285
103,111.0,2011.2055,25.4187,1.6592,-40.9049,-79.8823,-148.734,-242.4433
104,112.0,2011.289,3.4158,-16.7321,-38.2918,-10.7512,-161.4041,-223.7634
105,113.0,2011.3726,-29.9741,4.4677,-12.7611,-10.6847,-146.7135,-195.6657
106,115.0,2011.5452,-83.0926,-23.1118,-34.2537,-58.9459,-153.3899,-352.7939
107,116.0,2011.6247,-165.0553,-58.7733,-0.32,-107.7585,-220.6995,-552.6066
108,117.0,2011.7082,-170.2837,-55.1707,-42.2238,-56.7528,-277.7809,-602.2119
109,118.0,2011.7918,-163.3635,-68.6844,-57.7189,-72.0029,-284.4892,-646.259
110,119.0,2011.8356,-184.4049,-67.0494,-25.0798,-80.4873,-308.9182,-665.9395
111,120.0,2012.0014,-149.0318,-83.0334,-66.6905,-90.1949,-272.2293,-661.1798
112,121.0,2012.0437,-143.3311,-92.0206,-50.5918,-136.676,-273.9662,-696.5856
113,122.0,2012.1257,-147.5181,-102.6029,-18.8901,-84.0404,-290.5904,-643.6419
114,123.0,2012.2077,-128.2271,-85.3903,-30.484,-104.181,-232.4696,-580.7521
115,124.0,2012.2596,-116.3354,-91.8281,-24.2107,-74.0685,-252.3726,-558.8153
116,126.0,2012.4577,-156.5742,-65.9457,-7.5724,-120.3676,-189.5619,-540.0217
117,127.0,2012.541,-181.6138,-82.7066,-22.4447,-196.4393,-280.2188,-763.4232
118,128.0,2012.6257,-246.5862,-111.4717,-85.3436,-157.89,-436.2411,-1037.5326
119,129.0,2012.7008,-294.6018,-123.775,-96.3939,-215.4908,-457.9747,-1188.2361
120,131.0,2012.8825,-229.2245,-132.4483,-83.0924,-236.3017,-481.9917,-1163.0585
121,132.0,2012.959,-258.5658,-134.2074,-86.8679,-240.127,-411.7865,-1131.5546
122,133.0,2013.0438,-262.1234,-131.0313,-81.4414,-190.8271,-470.0908,-1135.514
123,134.0,2013.1219,-281.9048,-146.3115,-106.2727,-223.3534,-392.098,-1149.9404
124,136.0,2013.3027,-290.606,-130.5613,-69.1703,-261.5083,-373.2079,-1125.0537
125,137.0,2013.3726,-288.5622,-140.5749,-89.8187,-257.0757,-321.6484,-1097.68
126,138.0,2013.4562,-273.6871,-106.0129,-67.7647,-143.8594,-411.4593,-1002.7834
127,139.0,2013.5397,-329.1948,-115.7495,-95.3843,-184.462,-403.8127,-1128.6033
128,142.0,2013.7918,-363.2069,-92.6817,-65.058,-207.0139,-458.3301,-1186.2907
129,143.0,2013.8753,-323.7206,-103.3514,-105.8308,-222.4807,-454.8147,-1210.1982
130,144.0,2013.9589,-289.4231,-125.0592,-116.0679,-195.14,-489.4079,-1215.0981
131,145.0,2014.0247,-262.3196,-99.6332,-85.4031,-242.5655,-483.0887,-1173.0102
132,147.0,2014.2055,-283.3923,-122.9753,-83.1316,-286.7141,-370.0471,-1146.2604
133,148.0,2014.289,-366.328,-124.29,-63.6219,-209.2808,-366.6317,-1130.1523
134,149.0,2014.3726,-373.2235,-134.3039,-57.3461,-176.225,-365.2744,-1106.3729
135,150.0,2014.4479,-416.512,-126.4361,-18.8285,-184.7875,-374.8685,-1121.4326
136,152.0,2014.6247,-460.8609,-134.7511,-56.871,-271.5116,-447.0164,-1371.0109
137,153.0,2014.7082,-446.4565,-130.6477,-85.5151,-250.9536,-487.9079,-1401.4809
138,154.0,2014.7918,-396.2249,-113.6026,-91.3604,-281.1597,-506.2914,-1388.6389
139,155.0,2014.8781,-437.9306,-133.5862,-42.3162,-260.1325,-521.021,-1394.9865
140,157.0,2015.0603,-401.7828,-175.1197,-17.8148,-258.3477,-529.146,-1382.2109
141,158.0,2015.1247,-400.7615,-173.7,-28.9201,-274.664,-450.4303,-1328.4759
142,159.0,2015.2055,-430.8814,-169.1529,-30.8045,-219.7571,-492.7584,-1343.3543
143,160.0,2015.289,-465.1322,-153.85,-3.886,-217.6184,-473.9491,-1314.4357
144,161.0,2015.3192,-461.4559,-153.5492,-25.8214,-249.562,-431.8712,-1322.2597
145,163.0,2015.537,-561.978,-195.5417,-30.6565,-215.3267,-417.1987,-1420.7016
146,164.0,2015.6247,-563.1176,-200.0217,-47.2383,-223.1133,-503.199,-1536.6899
147,165.0,2015.7041,-563.6166,-211.3046,-46.9694,-268.0166,-502.4848,-1592.3919
148,168.0,2015.9781,-508.4932,-254.5558,-46.5186,-262.991,-519.4791,-1592.0377
149,169.0,2016.0437,-526.3694,-209.6975,-7.6202,-240.6957,-513.424,-1497.8068
150,170.0,2016.1216,-590.8669,-243.8629,-12.1145,-213.2914,-530.3971,-1590.5328
151,171.0,2016.2077,-609.3712,-257.4265,-25.7866,-211.4145,-483.3365,-1587.3354
152,173.0,2016.3839,-620.6692,-223.2438,-0.4531,-224.9318,-414.0211,-1483.319
153,174.0,2016.4577,-571.2348,-208.3939,-11.638,-218.1434,-447.9034,-1457.3136
154,175.0,2016.5383,-621.9525,-247.7485,-50.6325,-219.8128,-501.5291,-1641.6755
155,176.0,2016.6393,-687.1312,-254.6187,-78.9867,-188.5393,-639.5113,-1848.7872
156,179.0,2016.9071,-549.7815,-248.9635,-97.1439,-231.1648,-752.1152,-1879.1689
157,180.0,2016.9809,-599.595,-278.2207,-109.1269,-308.7203,-622.9591,-1918.622
158,181.0,2017.0562,-580.7524,-247.3164,-123.6949,-184.6729,-727.7407,-1864.1773
159,183.0,2017.2466,-775.6694,-288.0792,-94.8485,-186.1326,-460.4345,-1805.1642
160,184.0,2017.3123,-773.3052,-271.8631,-4.4677,-271.541,-476.5395,-1797.7165
161,185.0,2017.3616,-710.5612,-273.7537,-49.1867,-230.8949,-467.5596,-1731.9561
162,186.0,2017.4425,-655.8381,-243.6405,-61.7892,-255.3424,-536.7552,-1753.3653
163,198.0,2018.4562,-705.8341,-270.6974,5.1941,-323.7586,-530.0979,-1825.1938
164,199.0,2018.5219,-790.1004,-290.8696,0.4812,-180.2644,-544.9758,-1805.729
165,202.0,2018.8329,-741.6572,-253.9027,-27.356,-320.6101,-607.0552,-1950.5813
166,203.0,2018.8753,-781.8968,-263.2385,-14.1366,-233.3686,-625.6738,-1918.3144
167,204.0,2018.9589,-780.3324,-278.767,-30.6122,-289.5766,-588.247,-1967.5353
168,205.0,2019.0438,-756.6374,-289.3139,-17.9481,-339.8295,-577.9258,-1981.6547
169,206.0,2019.1219,-813.5078,-277.8962,-72.0764,-238.4826,-590.7205,-1992.6835
170,207.0,2019.2055,-820.8268,-304.2935,-39.1709,-303.1556,-562.4391,-2029.8859
171,208.0,2019.289,-780.0281,-301.1755,-46.0901,-276.4095,-563.5397,-1967.2429
172,209.0,2019.3726,-801.8691,-304.7707,-12.7076,-299.6994,-537.311,-1956.3578
173,210.0,2019.4562,-861.4433,-306.0935,-50.3102,-273.4405,-531.964,-2023.2516
174,211.0,2019.5397,-895.0108,-330.6059,-74.5293,-298.5054,-610.3378,-2208.9892
175,212.0,2019.6247,-916.5538,-391.1756,-99.2266,-379.9549,-648.1367,-2435.0475
176,213.0,2019.7082,-959.4511,-361.5895,-88.1843,-402.6851,-702.5166,-2514.4266
