,Month,Time,AIS,QML,GH3,DDpi,CpDc,APIS
0,4.0,2002.288,533.750998091154,-295.30934112701794,685.9903981714064,50.65030417736587,101.56709171027654,263.12403564595115
1,5.0,2002.371,532.2662131907528,-284.9290849563846,681.5881051529847,47.43259784997086,98.93796078437076,250.16002020332078
2,6.0,2002.455,522.552394737298,-281.6311594343047,666.5455833030153,51.16171313308579,101.53597888345347,238.8312997553551
3,7.0,2002.538,521.3497098368966,-281.0718032636714,665.6433902845937,53.67820680569079,109.08084795754766,235.2357843127248
4,8.0,2002.623,557.2187578304544,-284.0008083901326,676.8692396030774,49.18684369932178,119.12791508161995,237.12675885942818
5,9.0,2002.707,563.6317393770328,-281.0116828680465,688.6498177531084,44.92675898243975,105.10133318070318,227.83153841146466
6,10.0,2002.79,533.7347544765986,-281.13932669741934,664.8858247346864,44.3156526550417,100.10220225479686,221.19882296883216
7,11.0,2002.874,472.5367360231767,-288.4835011753333,643.7476028847175,43.62866793815968,95.93442035388011,210.31860252086864
8,12.0,2002.958,441.02101756975503,-293.1553756532472,632.9459810347486,51.11098322127768,88.04953845296333,207.17298207290514
9,13.0,2003.042,382.30329911630025,-306.64325013116735,615.1383591847791,51.35789850439258,78.66695655204603,196.02146162493952
10,14.0,2003.123,381.42808132194,-307.42943266343946,594.4976238294521,43.25994895597165,83.16342757616219,191.4280561929754
11,15.0,2003.204,393.6358635275467,-303.0658151957178,596.5792884741246,36.70649940754761,75.0824986002778,194.66995076100912
12,16.0,2003.288,473.57434507412495,-295.6295896736317,622.2089666241557,34.19741469066561,91.51981669936106,197.34203031304568
13,17.0,2003.371,486.8980601737236,-273.1674335029984,629.4990736057341,23.144008363270608,81.08648577345527,191.68541487041531
14,18.0,2003.455,456.616341720269,-266.33440798091857,613.7653517557646,20.201923646385538,67.43570387253796,178.92579442244963
15,19.0,2003.538,444.0382568198676,-261.7681518102852,597.5613587373431,21.102017318990534,76.26547294663219,181.06997897981933
16,20.0,2003.623,471.2720048134256,-258.06115693674633,593.7958080558268,39.967654212621504,84.55154007070443,195.66515352652263
17,21.0,2003.707,489.49078636000377,-258.5405314146603,593.3222862058578,35.403269495739494,90.73925816978769,201.32363307855914
18,22.0,2003.79,480.47850145956954,-258.64427524403317,591.7683931874358,25.976763168341428,86.67432724388136,201.2298176359266
19,23.0,2003.874,422.769783006148,-251.6556497219471,571.0898713374669,20.09047845145942,76.01194534296461,188.3022971879631
20,24.0,2003.958,346.29546455272606,-264.442524199861,561.0438494874978,13.89259373457741,73.40616344204784,168.85247673999962
21,25.0,2004.042,301.9962460992713,-261.21859867778113,538.2772276375287,25.72270901769233,67.70678154113055,158.200356292034
22,26.0,2004.124,312.3391947518905,-237.5645118586005,525.8389634506541,43.22928107978436,68.20860159023574,156.80214585473675
23,27.0,2004.206,351.35354340447685,-227.26212503942617,531.1015992637795,55.49215314187331,65.20322163934038,154.55933541743735
24,28.0,2004.29,403.33252495105495,-219.4480995173401,536.4139774138105,64.4549684249913,64.47843973842362,148.8949149694739
25,29.0,2004.373,439.6013400506539,-223.84294334670676,556.7875843953888,61.86176209759631,61.804108812517846,158.14599952684353
26,30.0,2004.456,476.22895515021946,-213.01088717607956,559.2832913769669,67.21415577019825,77.42737788661151,148.37578408421103
27,31.0,2004.54,481.50213669679783,-213.37496165399347,553.7777695269978,62.27677105331624,79.75719598569476,167.6552636362475
28,32.0,2004.624,533.7577182433761,-218.8510361319074,539.7632476770289,82.75088633643423,111.285414084778,173.41054318828398
29,33.0,2004.708,525.4553997899545,-230.6012106098213,530.04412582706,80.04670161955222,109.75433218386124,173.61382274032047
30,34.0,2004.791,493.3511148895201,-229.92695443919422,524.0052328086379,66.62309529215416,97.30920125795491,177.519507297688
31,35.0,2004.874,478.9854299891189,-230.12239826856086,529.7223397902162,59.41518896475917,81.89877033204912,183.8538918550576
32,36.0,2004.958,403.01971153569735,-241.49477274647478,509.04371794024723,55.95420424787716,88.73888843113237,173.25237140709413
33,37.0,2005.042,343.2432930822423,-247.36694722439483,482.214496090278,46.71661953099208,86.66110653021506,159.48155095912847
34,38.0,2005.123,346.1095752878821,-227.65252975666704,464.2804607349509,48.05486998257113,88.64457755433122,171.1358455271644
35,39.0,2005.204,358.4292574934887,-211.06061228894538,459.18272537962343,45.49392043414709,81.23214857844685,170.8003400951981
36,40.0,2005.288,370.7650390400671,-212.70478676685929,464.1580035296546,52.997635717265084,79.65836667753008,163.84621964723468
37,41.0,2005.371,395.5646541396658,-203.15393059622596,464.27211051123277,50.9975293898701,73.02753575162428,156.65510420460424
38,42.0,2005.455,429.2184356862111,-194.0154050741461,463.20088866126343,48.942744672985015,69.751153850707,143.08528375663863
39,43.0,2005.538,431.47775078580975,-188.9294489035127,469.097395642842,46.583038345590026,68.8341229248012,134.75036831400826
40,44.0,2005.623,444.5006987793678,-189.83145402997394,466.6973449613256,44.943175239221,70.42079004887347,140.57934286071162
41,45.0,2005.707,502.32788032594596,-193.06102850788784,499.8314231113567,43.02469052233899,94.11310814795672,134.59412241274813
42,46.0,2005.79,575.4878954255116,-192.32077233726068,520.8693300929347,49.776384194940924,102.4529772220504,151.98890697011566
43,47.0,2005.874,581.42297697209,-196.3636468151746,518.3781082429657,55.19559947805892,97.22539532113363,150.75328652215208
44,48.0,2005.958,533.0243585186682,-199.43052129308853,499.48968639299665,62.9919147611769,94.50541342021688,143.90646607418864
