Fedchenko Glacier, Tajikistan Trace Element Data 
----------------------------------------------------------------------- 
               World Data Center for Paleoclimatology, Boulder 
                                  and 
                     NOAA Paleoclimatology Program 
----------------------------------------------------------------------- 
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!! 


NAME OF DATA SET: Fedchenko Glacier, Tajikistan Trace Element Data 
LAST UPDATE: 7/2011 (Original receipt by WDC Paleo) 
CONTRIBUTORS: Aizen, V.B., P.A. Mayewski, E.M. Aizen, D.R. Joswiak, 
A.B. Surazakov, S. Kaspari, B. Grigholm, M. Krachler, M. Handley, 
and A. Finaev. 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2011-098 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Aizen, V.B., et al. 2011. 
Fedchenko Glacier, Tajikistan Trace Element Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2011-098. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA. 


ORIGINAL REFERENCE: 
Aizen, V.B., P.A. Mayewski, E.M. Aizen, D.R. Joswiak, A.B. Surazakov, 
S. Kaspari, B. Grigholm, M. Krachler, M. Handley, and A. Finaev. 2009. 
Stable-isotope and trace element time series from Fedchenko 
glacier (Pamirs) snow/firn cores. 
Journal of Glaciology, Vol. 55, No. 190, pp. 275-291, April 2009. 
DOI: 10.3189/002214309788608787 

ABSTRACT: 
In summer 2005, two pilot snow/firn cores were obtained at 5365 
and 5206 m a.s.l. on Fedchenko glacier, Pamirs, Tajikistan, 
the world's longest and deepest alpine glacier. The well-defined 
seasonal layering appearing in stable-isotope and trace element 
distribution identified the physical links controlling the climate 
and aerosol concentration signals. Air temperature and humidity/
precipitation were the primary determinants of stable-isotope ratios. 
Most precipitation over the Pamirs originated in the Atlantic. 
In summer, water vapor was re-evaporated from semi-arid regions 
in central Eurasia. The semi-arid regions contribute to non-soluble 
aerosol loading in snow accumulated on Fedchenko glacier. In the 
Pamir core, concentrations of rare earth elements, major and other 
elements were less than those in the Tien Shan but greater than 
those in Antarctica, Greenland, the Alps and the Altai. 
The content of heavy metals in the Fedchenko cores is 2-14 times 
lower than in the Altai glaciers. Loess from Afghan-Tajik deposits 
is the predominant lithogenic material transported to the Pamirs. 
Trace elements generally showed that aerosol concentration tended 
to increase on the windward slopes during dust storms but tended 
to decrease with altitude under clear conditions. The trace element 
profile documented one of the most severe droughts in the 20th century. 




GEOGRAPHIC REGION: Pamir, Tajikistan, Central Asia 
PERIOD OF RECORD: 

FUNDING SOURCES: 
US National Science Foundation (ATM-0754644 and ATM-0754479), 
US National Oceanic and Atmospheric Administration (NA04OAR4600179) 
(to UI and UM). 



DESCRIPTION: 
High-resolution Major and Trace Element data from two shallow 2005 
Fedchenko Glacier ice cores from upper accumulation zone of the Pamir.  

Fedchenko Glacier ice cores: 
Core 1: 38.55°N, 72.26°E, 5365m elev., 12.58m core length
Core 2: 38.55°N, 72.26°E, 5206m elev., 9.14m core length 




DATA: 
1a. Fedchenko Glacier core 1 elements data, part 1 of 2 

Core 1 Sample#   Depth(m)    Sr(ppt)    Cd(ppt)    Sb(ppt)    Cs(ppt)    Ba(ppt)    La(ppt)    Ce(ppt)    Pr(ppt)    Nd(ppt)    Sm(ppq)    Eu(ppq)    Gd(ppq)    Tb(ppq)    Dy(ppq)    Ho(ppq)    Er(ppq)    Tm(ppq)
FreshSnow 1          0.0   10311.89     126.18      71.99      84.89   12554.42     941.65    2127.02     259.32    1026.50  234936.77   56682.37   99583.23   32965.56  165539.03   31900.51   82639.71   11208.92
SnowPit 1            0.1    1483.71      54.21      43.74     112.78    6600.13     645.99    1443.16     178.86     707.59  168164.88   38745.42   69705.82   23575.00  115646.54   22663.59   58462.27    7996.55
SnowPit 2            0.2     764.78      28.56      23.01      42.13    1968.95     204.30     461.60      57.29     225.09   50075.08   12046.85   22197.89    7184.17   36904.63    6997.97   18461.14    2621.59
SnowPit 3            0.3     180.27       5.94      10.54      21.29    1341.73      97.21     222.09      26.51     107.43   24696.06    5775.05   10042.57    3568.29   18339.29    3417.19    8957.55    1228.26
SnowPit 4            0.4     375.04       7.06       9.66      12.51     703.38      60.46     134.77      16.75      66.50   14596.68    3569.45    5974.19    2163.90   11132.64    2110.30    5664.86     752.43
SnowPit 5            0.5     112.84       2.13       4.21      10.06     296.82      34.37      78.22       9.35      36.66    8283.20    2010.52    3185.24    1135.60    6007.07    1096.41    2702.83     369.75
SnowPit 6            0.6     309.86       3.45       6.72      16.79     466.57      47.52     109.13      12.67      51.41   10729.70    2428.87    4391.00    1498.86    7556.47    1404.73    3507.98     481.15
SnowPit 7            0.7     790.04       7.12       6.87      12.38     696.82      61.39     141.36      17.50      69.61   15326.71    3641.61    6282.84    2122.33   11002.92    2092.85    5284.34     738.20
SnowPit 8            0.8    1108.59       7.64       6.24      21.37     787.61      89.14     195.67      24.63      98.18   22857.13    5422.65    9640.44    3218.00   16219.47    3124.96    7774.27    1070.86
SnowPit 9            0.9    2483.90       8.38       8.02      18.73     916.15      81.06     191.76      23.58      94.31   22207.48    5443.42    9358.59    3117.13   15410.66    2871.27    7325.32     995.43
SnowPit 10           1.0     490.58       2.19       4.82       6.43     268.22      29.30      66.70       8.22      32.60    7199.75    1752.12    2859.60    1000.42    5210.20     967.63    2489.93     325.01
SnowPit 11           1.1     307.49       2.69       5.12       7.85     301.59      37.27      85.87      10.50      41.74    9181.79    2097.60    3499.17    1232.25    6226.47    1200.29    2970.67     393.87
SnowPit 12           1.2     230.73       0.87       1.78       2.15      98.21       8.03      17.23       2.12       8.22    1709.91     440.32     527.67     250.79    1149.82     208.45     539.36      76.19
SnowPit 13           1.3     236.24       0.73       1.78       0.98      95.56       3.60       8.29       0.98       3.99     907.74     213.10     215.45     112.35     658.77     118.44     318.56      44.98
SnowPit 14           1.4     689.59       2.91       3.64       0.92     172.19       4.14       7.34       1.11       4.29     899.57     263.99     286.62     144.82     782.39     152.80     422.04      55.71
SnowPit 15           1.5     984.81       4.09       6.73       4.44     364.52      15.86      36.58       4.61      18.47    4043.36     946.18    1570.50     550.93    2755.11     522.04    1392.54     186.45
SnowPit 16           1.6     469.20       6.12       4.95       3.68     273.74      18.71      43.31       5.24      21.23    4670.50    1126.35    1934.05     625.08    3133.51     615.12    1633.50     230.91
SnowPit 17           1.7     618.50       3.06       4.10      11.91     638.44      84.79     175.47      20.66      75.39   14450.80    3608.78    6101.45    1782.15    7786.90    1469.33    3639.92     493.55
SnowPit 18           1.8     853.44       4.65       7.66      21.10     931.92      93.23     201.88      24.38      91.79   18891.19    4247.79    7902.16    2424.25   11989.14    2322.91    6071.85     809.30
