Fremont Glacier 1991 Core Major Ions Data
-----------------------------------------------------------------------
             NOAA Paleoclimatology Program  
                         and
        World Data Center for Paleoclimatology, Boulder         
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!

NAME OF DATA SET: Fremont Glacier 1991 Core Major Ions Data
LAST UPDATE: 11/2004 (Original Receipt by WDC Paleo)

CONTRIBUTOR: Paul Schuster, USGS

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-079

SUGGESTED DATA CITATION: Schuster, P.F., et al., 2004,
Fremont Glacier 1991 Core Major Ions Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2004-079.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCES: 
Schuster, P.F., D.E. White, D.L., Naftz, and L.D. Cecil.  2000. 
Chronological refinement of an ice core record at 
upper Fremont Glacier in south central North America. 
Journal of Geophysical Research, Vol. 105, p. 4657-4666. 


ABSTRACT:
The potential to use ice cores from alpine glaciers in the midlatitudes 
to reconstruct paleoclimatic records has not been widely recognized. 
Although excellent paleoclimatic records exist for the polar regions, 
paleoclimatic ice core records are not common from midlatitude locations. 
An ice core removed from the Upper Fremont Glacier in Wyoming provides 
evidence for abrupt climate change during the mid-1800s. Volcanic events 
(Krakatau and Tambora) identified from electrical conductivity measurements 
(ECM) and isotopic and chemical data from the Upper Fremont Glacier were 
reexamined to confirm and refine previous chronological estimates of the 
ice core. At a depth of 152 m the refined age-depth profile shows good 
agreement (1736 +/- 10 A.D.) with the 14C age date (1729 +/- 95 A.D.). 
The d18O profile of the Upper Fremont Glacier (UFG) ice core indicates 
a change in climate known as the Little Ice Age (LIA). However, the 
sampling interval for d18O is sufficiently large (20 cm) such that it is 
difficult to pinpoint the LIA termination on the basis of d18O data alone. 
Other research has shown that changes in the d18O variance are generally 
coincident with changes in ECM variance. The ECM data set contains over 
125,000 data points at a resolution of 1 data point per millimeter of 
ice core. A 999-point running average of the ECM data set and results 
from f tests indicates that the variance of the ECM data decreases 
significantly at about 108 m. At this depth, the age-depth profile 
predicts an age of 1845 A.D. Results indicate the termination of the 
LIA was abrupt with a major climatic shift to warmer temperatures 
around 1845 A.D. and continuing to present day. Prediction limits 
(error bars) calculated for the profile ages are +/- 10 years 
(90% confidence level). Thus a conservative estimate for the time 
taken to complete the LIA climatic shift to present-day climate is 
about 10 years, suggesting the LIA termination in alpine regions of 
central North America may have occurred on a relatively short 
(decadal) timescale.



GEOGRAPHIC REGION: Wyoming, USA 

PERIOD OF RECORD: 1717-1991 AD.

DESCRIPTION:
Fremont Glacier 1991 Core Major Ions Data


DATA:



 SAMPLE   DUP    START      END       MID     CHLORIDE  NITRATE   SULFATE
   ID            DEPTH     DEPTH     DEPTH      MG/L      MG/L      MG/L


 FRE-1     1       0        0.5       0.25     2.156     1.205     1.201
 FRE-2     1      0.5       0.69     0.595     1.694     0.994     0.868
 FRE-3     1      0.69      1.08     0.885     1.207     0.693     0.555
 FRE-4     1      1.08      1.25     1.165     0.828      0.45     0.229
 FRE-5     1      1.25      1.41      1.33     0.299     0.218     0.109
 FRE-6     1      1.41      1.59      1.5      0.329     0.242     0.118
 FRE-7     1      1.59      1.78     1.685     1.781     1.055     0.492
 FRE-8     1      1.78      1.98      1.88     0.429     0.233     0.128
 FRE-9     1      1.98      2.16      2.07     1.797     0.758     0.411
 FRE-10    1      2.16      2.39     2.275     0.203     0.086      0.04
 FRE-11    1      2.39      2.62     2.505     0.143      0.11     0.046
 FRE-12    1      2.62      2.81     2.715     1.099      0.63     0.335
 FRE-13    1      2.81      3.04     2.925     0.296     0.118     0.065
 FRE-14    1      3.04      3.25     3.145     0.145     0.104     0.046
 FRE-15    1      3.25      3.45      3.35     0.614     0.251     0.154
 FRE-16    1      3.45      3.72     3.585     0.243     0.156     0.076
 FRE-17    1      3.72      3.97     3.845     0.204     0.121     0.057
 FRE-18    1      3.97      4.2      4.085     0.168     0.145     0.046
 FRE-19    1      4.2       4.44      4.32     0.587     0.152     0.087
 FRE-20    1      4.4       4.65     4.525     0.691     0.179     0.074
 FRE-21    1      4.65      4.82     4.735     0.788     0.157     0.083
 FRE-22    1      4.82       5        4.91     0.233     0.102      0.02
 FRE-23    1       5        5.19     5.095     0.224      0.13     0.024
 FRE-24    1      5.19      5.58     5.385     0.287     0.158     0.051
 FRE-25    1      5.58      5.85     5.715     0.344     0.148      0.06
 FRE-26    1      5.85      6.14     5.995     0.242     0.135      0.04
 FRE-27    1      6.14      6.37     6.255     0.657     0.165     0.102
 FRE-28    1      6.37      6.59      6.48      0.36     0.139     0.068
 FRE-29    1      6.59      6.82     6.705     0.326     0.128     0.063
 FRE-30    1      6.82      7.04      6.93     0.172      0.09      0.04
 FRE-31    1      7.04      7.38      7.21     0.125     0.137     0.031
 FRE-32    1      7.38      7.59     7.485      0.09     0.054     0.023
 FRE-33    1      7.59      7.83      7.71     0.187     0.132     0.063
 FRE-34    1      7.83      8.09      7.96     0.299     0.206     0.128
 FRE-35    1      8.09      8.33      8.21     0.152     0.108     0.055
 FRE-36    1      8.33      8.55      8.44     0.136     0.114     0.048
 FRE-37    1      8.55      8.76     8.655     0.145     0.101     0.023
 FRE-38    1      8.76      9.1       8.93      0.35      0.14      0.06
 FRE-39    1      9.1       9.31     9.205     0.286     0.116     0.041
 FRE-40    1      9.31      9.62     9.465     0.132     0.077     0.025
 FRE-41    1      9.62      9.84      9.73     0.095     <0.01     0.076
 FRE-42    1      9.84     10.06      9.95     0.055     0.049     0.021
 FRE-43    1     10.06     10.32     10.19     0.052     0.052     0.043
 FRE-44    1     10.32     10.51     10.415    0.066     0.067     0.057
 FRE-45    1     10.51     10.72     10.615    0.065     0.085     0.064
 FRE-46    1     10.72     10.92     10.82     0.042     0.054     0.015
 FRE-47    1     10.92     11.13     11.025    0.036     0.043     0.013
 FRE-48    1     11.13     11.45     11.29     0.053     0.059     0.022
 FRE-49    1     11.45     11.67     11.56     0.033     0.038     0.015
 FRE-50    1     11.67     11.88     11.775    0.046     0.063     0.022
 FRE-51    1     11.88     12.15     12.015    0.056     0.057     0.067
 FRE-52    1     12.15     12.35     12.25     0.082     <0.01     0.164
 FRE-53    1     12.35     12.56     12.455    0.064      0.07     0.096
 FRE-54    1     12.56     12.79     12.675     0.08     0.072     0.072
 FRE-55    1     12.79       13      12.895    0.068     0.058     0.057
 FRE-56    1       13      13.24     13.12     0.024     0.012     0.029
 FRE-57    1     13.24     13.47     13.355    0.035     0.032     0.044
 FRE-58    1     13.47     13.67     13.57     0.041     0.042     0.026
 FRE-59    1     13.67     13.86     13.765     0.04     0.058      0.02
 FRE-60    1     13.86     14.09     13.975    0.049     0.044     0.045
 FRE-61    1     14.09      14.3     14.195    0.042     0.047      0.02
 FRE-62    1      14.3     14.55     14.425    0.084     0.101     0.067
 FRE-63    1     14.55      14.7     14.625    0.109     0.122     0.081
 FRE-64    1      14.7     14.88     14.79     0.039     0.048     0.031
 FRE-65    1     14.88      15.1     14.99     0.094     0.104     0.089
 FRE-66    1      15.1      15.3      15.2     0.043     0.141     0.151
 FRE-67    1      15.3     15.48     15.39      0.02     0.064     0.059
 FRE-68    1     15.48     15.71     15.595    0.041     0.102     0.062
 FRE-69    1     15.71     16.01     15.86     0.032     0.064     0.038
 FRE-69    2     15.71     16.01     15.86     0.031     0.064     0.036
 FRE-70    1     16.01     16.28     16.145    0.037     0.034     0.031
 FRE-71    1     16.28     16.52      16.4     0.033     0.109     0.041
 FRE-72    1     16.52      16.8     16.66     0.033     0.062     0.028
 FRE-73    1      16.8       17       16.9     0.012     0.021     <0.01
 FRE-74    1       17      17.24     17.12     0.024     0.033     <0.01
 FRE-75    1     17.24     17.44     17.34     0.018     0.033     <0.01
 FRE-76    1     17.44     17.67     17.555    0.024     0.034      0.01
 FRE-77    1     17.67     17.92     17.795    0.031     0.036     <0.01
 FRE-78    1     17.92     18.16     18.04     0.022     0.035     <0.01
