Fremont Glacier 1998 Core Tritium Data
-----------------------------------------------------------------------
             NOAA Paleoclimatology Program  
                         and
        World Data Center for Paleoclimatology, Boulder         
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!

NAME OF DATA SET: Fremont Glacier 1998 Core Tritium Data
LAST UPDATE: 11/2004 (Original Receipt by WDC Paleo)

CONTRIBUTOR: Paul Schuster, USGS

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-079

SUGGESTED DATA CITATION: Schuster, P.F., et al., 2004,
Fremont Glacier 1998 Core Tritium Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2004-079.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: Unpublished data

GEOGRAPHIC REGION: Wyoming, USA 

PERIOD OF RECORD: 1717-1991 AD.

DESCRIPTION:
Fremont Glacier 1998 Core Tritium Data



DATA:
Column 1: Sample ID
Column 2: Depth, cm.
Column 3: d18O
Column 4: Tritium
Column 5: Tritium error 1-sigma

         
 ID           depth      d18O       TU        TU^1 sigma
S127K         1678.9    -17.85      15.6       1.2
S128K         1686.8    -17.88      15.6       1.2
S129K         1694.4    -17.91      15.8       1.3
S130K           1702    -17.84      15.8       1.3
S131K         1709.6    -17.87      18.8       1.3
S132K         1717.2    -17.85      18.8       1.3
S133K         1724.8    -17.88      19.3       1.3
S134K         1732.4    -17.92      19.3       1.3
S135K           1740    -17.88      19.1       1.3
S136K         1747.6    -17.86      19.1       1.3
S137K         1755.2    -17.84      19.3       1.3
S138K         1764.6    -17.91      19.3       1.3
S139K         1775.5    -17.81      18.9       1.3
S140K         1786.1    -17.90      18.9       1.3
S141K         1796.4    -18.07      20.4       1.4
S142K         1806.4    -18.10      20.4       1.4
S143K         1816.4    -18.02      13.7       1.2
S144K         1826.3    -18.05      13.7       1.2
S145K         1834.9    -18.05      16.4       1.3
S146K         1842.3    -18.03      16.4       1.3
S147K         1849.9    -18.37      17.1       1.2
S148K         1857.5    -18.02      17.1       1.2
S149K         1864.9    -18.00      17.4       1.2
S150K         1872.3    -18.07      17.4       1.2
S151K         1879.7    -18.08      17.2       1.2
S152K         1887.1    -18.10      17.2       1.2
S153K         1894.8    -18.10      19.3       1.4
S154K         1902.5    -18.12      19.3       1.4
S155K         1909.9    -18.16      20.2       1.4
S156K         1917.3    -18.09      20.2       1.4
S157K         1924.7    -18.02      21.4       1.5
S158K         1932.1    -17.83      21.4       1.5
S159K         1939.7    -18.07        19       1.4
S160K         1947.3    -18.18        19       1.4
S161K         1954.7    -18.23      22.7       1.4
S162K         1962.1    -18.39      22.7       1.4
S163K         1969.5    -18.21      21.8       1.5
S164K         1976.9    -18.33      21.8       1.5
S165K       1984.525    -18.17      26.1       1.6
S166K       1992.175    -18.22      26.1       1.6
S167K       1999.625    -18.25      30.4       1.7
S168K       2007.075    -18.26      30.4       1.7
S169K       2014.525    -18.28      27.9       1.7
S170K       2021.975    -18.29      27.9       1.7
S171K        2030.15    -18.24      26.4       1.5
S172K       2038.325    -18.41      26.4       1.5
S173K       2045.775    -18.53      25.5       1.6
S174K       2053.225    -18.64      25.5       1.6
S175K       2060.675    -18.64      28.1       1.6
S176K       2068.125    -18.56      28.1       1.6
S177K       2075.575    -18.54        26       1.5
S178K       2083.025    -18.46        26       1.5
S179K       2090.475    -18.48      25.6       1.4
S180K       2097.925    -18.53      25.6       1.4
S181K       2105.375    -18.45      27.7       1.5
S182K       2112.825    -18.43      27.7       1.5
S183K         2120.5    -18.33      32.8       1.6
S184K       2128.175    -18.33      32.8       1.6
S185K       2135.625    -18.29      43.1       1.8
S186K       2143.075    -18.23      43.1       1.8
S187K        2150.75    -18.17      47.7       1.9
S188K       2158.425    -18.15      47.7       1.9
S189K       2165.875    -18.11        56         5
S190K       2173.325    -18.21        56         5
S191K       2180.775    -18.28        51         5
S192K       2189.625    -18.25        59         5
S193K        2200.21    -18.52        56         5
S194K        2210.74    -18.38        54         5
S195K       2219.545    -18.40        46         5
S196K       2227.015    -18.68        46         4
S197K       2234.485    -18.86        45         5
S198K       2241.955    -18.93        52         5
S199K       2249.425    -18.93        49         5
S200K       2256.895    -18.93        45         4
S201K       2264.365    -18.97        48         5
S202K       2271.835    -18.92        49         5
S203K       2279.305    -18.99        53         5
S204K        2287.01    -18.98        56         5
S205K       2294.715    -18.88        56         5
S206K       2302.185    -18.86        55         5
S207K       2309.655    -18.83        54         5
S208K       2317.125    -19.06        41         5
S209K       2324.595    -19.11        45         5
S210K       2332.065    -19.00        47         5
S211K       2339.535    -18.97        48         5
S212K       2347.005    -19.00        47         5
S213K       2354.475    -18.87        53         5
S214K       2361.945    -18.38        59         5
S215K       2369.415    -17.84        90         5
S216K        2377.12    -17.39       110         5
S217K       2384.825    -17.29       126         5
S218K       2392.295    -17.31       133         5
S219K       2399.815    -17.61       164         6
S220K       2407.115    -17.60       199         6
S221K       2414.145    -17.65       223         6
S222K       2421.175    -17.83       230         7
S223K       2428.205    -17.79       223         6
S224K       2435.235    -18.13       231         7
S225K       2442.265    -18.90       214         6
S226K       2449.295    -19.24       234         7
S227K       2456.325    -19.39       276         7
S228K        2463.37    -20.70       115         5
S229K       2470.415    -19.94        64         5
S230K       2477.445    -19.01        54         5
S231K       2484.475    -19.01        95         5
S232K       2491.505    -18.98        97         5
S233K       2498.535    -18.97        93         5
S234K       2505.315    -18.99        99         5
S235K       2512.345    -18.99        96         5
S236K       2519.625    -18.99        84         5
S237K       2526.655    -19.00        87         5
S238K       2533.685    -18.90        89         5
S239K       2540.715    -18.93        95         5
S240K       2547.745    -18.87        85         5
S241K        2554.79    -18.71        78         6
S242K       2561.835    -18.74        82         6
S243K       2568.865    -18.82        78         6
S244K       2575.895    -18.09        81         6
S245K       2582.925    -18.82        75         6
S246K       2589.955    -18.78        80         6
S247K        2597.01    -18.79        71         6
S248K       2604.075    -18.72        70         6
S249K       2611.125    -18.67        81         5
S250K       2618.175    -18.60        84         5
S251K       2625.225    -18.58        82         5
S252K       2632.275    -18.34        79         5
S253K       2639.325    -18.07        87         6
S254K       2646.375    -18.83        84         5
S255K        2653.51    -18.09        92         6
S256K        2660.63    -18.13        86         6
S257K        2667.65    -18.05        86         6
S258K        2674.67    -17.87       113         6
S259K        2681.69    -17.73       117         6
S260K        2688.71    -17.71       119         6
S261K        2695.73    -17.83       112         6
S262K        2702.75    -17.88       121         6
S263K        2709.77    -17.87       113         6
S264K        2716.79    -18.09       117         6
S265K        2723.82    -18.25       100         6
S266K        2730.85    -18.42        65         6
S267K        2737.87    -18.20        75         5
S268K        2744.89    -18.64        64         5
S269K        2751.91    -18.72        66         6
S270K        2758.93    -18.74        59         5
S271K        2765.95    -18.82        64         5
S272K        2772.97    -18.80        52         5
S273K       2780.025    -18.87        57         5
S274K       2787.135    -18.90        65         5
S275K       2794.265    -18.78        64         6
S276K       2801.395    -18.90        66         5
S277K       2808.525    -19.00        65         5
S278K        2815.72    -18.93        63         6
S279K       2822.915    -18.88        63         5
S280K       2830.045    -18.84        67         5
S281K       2837.175    -18.87        85         6
S282K       2844.305    -18.80        65         5
S283K       2851.365    -18.75        68         5
S284K        2858.34    -18.72        66         6
S285K         2865.3    -18.68        71         5
S286K        2872.26    -18.52        81         5
S287K        2879.22    -18.36        90         6
S288K        2886.18    -18.20       110         6
S289K        2893.14    -17.97       139         6
S290K         2900.1    -17.98       142         6
S291K        2907.06    -17.62       182         6
S292K        2914.02    -17.41       211         6
S293K        2920.98    -17.25       187         7
S294K        2928.14    -17.37       188         6
S295K         2935.3    -17.46       173         6
S296K        2942.26    -17.80       140         6
S297K        2949.22    -17.81       122         6
S298K        2956.18    -17.95       136         6
S299K        2963.14    -17.77       110         6
S300K         2970.1    -17.91       124         6
S301K        2977.06    -17.85       144         6
S302K        2984.32    -17.70       131         6
S303K       2991.825    -17.73       158         6
S304K       2999.275    -17.66       171         6
S305K       3006.725    -17.77       159         6
S306K       3014.175    -18.12       121         6
S307K       3021.625    -18.33       116         6
S308K       3029.075    -18.03       149         6
S309K       3036.525    -17.79       164         6
S310K       3043.975    -17.62       193         6
S311K       3051.425    -17.49       218         7
S312K       3058.875    -17.47       239         7
S313K       3066.325    -17.54       289         8
S314K           3074    -17.54       209         7
S315K         3081.9    -17.86        81         6
S316K       3089.575    -18.01        46         6
S317K       3097.025    -17.79        58         6
S318K       3104.475    -17.52        59         6
S319K        3112.15    -17.29        86         6
S320K       3119.825    -17.07       157         7
S321K        3127.44    -16.80       199         7
S322K       3134.975    -16.85       177         7
S323K       3142.265    -17.40       120         6
S324K       3149.555    -17.33        67         5
S325K       3156.845    -17.28        46         5
S326K       3164.135    -17.67        54         5
S327K       3171.425    -18.08        47         5
S328K       3178.715    -18.66        39         5
S329K       3186.005    -19.04        29         5
S330K       3193.295    -18.46        36         5
S331K       3200.585    -17.71        34         5
S332K       3207.875    -17.88        39         5
S333K       3215.165    -18.39        61         5
S334K       3222.455    -18.18        60         5
S335K       3229.745    -17.95        53         5
S336K       3237.035    -17.99        73         5
S337K       3244.325    -17.75        82         5
S338K        3251.76    -17.98        76         5
S339K       3259.195    -17.87        77         5
S340K       3266.485    -17.74        62         5
S341K       3273.775    -17.96        57         5
S342K       3281.065    -18.13        57         5
S343K       3288.675    -18.98        51         5
S344K        3296.45    -19.98        64         5
S345K        3304.07    -18.45        95         6
S346K        3311.69    -18.39        95         6
S347K        3319.31    -18.26        95         6
S348K        3326.93    -18.41        97         6
S349K        3334.55    -18.35       117         6
S350K        3342.17    -18.14       145         6
S351K        3349.79    -17.76       149         6
S352K        3357.41    -17.46        96         6
S353K        3365.03    -17.76        64         5
S354K        3372.65    -18.02        49         5
S355K        3380.27    -18.39        35         5
S356K        3387.89    -18.32        30         5
S357K        3395.51    -18.04        22         5
S358K        3403.13    -18.07        26         5
S359K        3410.75    -18.39        31         5
S360K        3418.37    -18.47        39         5
S361K        3425.99    -18.78        40         5
S362K        3433.92    -18.75        97         6
S363.5K      3441.85    -18.65       125         6
S363K        3449.47    -18.56       130         6
S364.5K      3457.09    -18.45        86         6
S364K        3465.02    -18.55       119         6
S365.5K      3472.95    -18.73        62         5
S365K        3480.57    -18.57       124         6
S366K        3488.47    -18.58       129         6
S367K        3496.24    -18.51       107         6
S368K         3503.6    -18.44       113         7
S369K        3510.96    -18.49       117         7
S370K         3518.5    -18.41       117         7
S371K        3526.04    -18.55       115         7
S372K         3533.4    -18.55       109         7
S373K        3540.76    -18.46       124         7
S374K        3548.12    -18.40       129         7
S375K        3555.48    -18.32       134         7
S376K        3562.84    -18.38       131         7
S377K         3570.2    -18.30       130         7
S378K        3577.56    -18.30       126         7
S379K        3584.92    -18.19       119         7
S380K        3592.28    -18.11        82         6
S381K        3599.64    -18.17        50         6
S382K        3607.18    -18.18        53         6
S383K        3614.72    -18.36        54         6
S384K        3622.08    -18.35        72         6
S385K        3629.44    -18.48        94         6
S386K         3636.8    -18.52       109         7
S387K        3644.16    -18.56       110         7
S388K        3651.52    -18.58       121         7
S389K        3658.88    -18.58       124         7
S390K        3666.42    -18.59       122         7
S391K        3673.96    -18.51       102         6
S392K        3682.18    -18.57       116         7
S393K        3690.54    -18.52       102         6
S394K           3699    -18.37        84         5
S395K        3707.46    -18.40        89         5
S396K         3715.1    -18.41        83         5
S397K        3722.74    -18.42        74         5
S398K        3730.38    -18.31        69         5
S399K        3738.02    -18.36        59         5
S400K        3745.66    -18.41        52         5
S401K         3753.3    -18.26        47         5
S402K        3760.94    -18.21        45         5
S403K        3768.58    -18.41        44         5
S404K        3776.22    -18.50        38         5
S405K        3783.86    -18.43        25         5
S406K         3791.5    -18.61        28         5
S407K        3799.14    -18.79        32         5
S408K        3806.78    -18.95        26         5
S409K        3814.42    -19.16        18         5
S410K        3822.06    -19.12      11.7       1.2
S411K         3829.7    -19.21      11.7       1.2
S412K        3837.34    -19.48       9.5       1.2
S413K        3844.98    -19.86       9.5       1.2
S414K        3852.62    -20.51        14         6
S415K        3860.26    -21.25      31.8       1.6
S416K         3867.9    -18.76      31.8       1.6
S417K        3877.36    -18.56        79         3
S418K        3886.66    -18.72        79         3
S419K       3893.975    -18.74        62         5
S420K       3901.285    -18.75        63         5
S421K       3908.595    -18.66        54         5
S422K       3915.905    -18.71        61         5
S423K       3923.215    -18.67        40         5
S424K       3930.525    -18.54        37         5
S425K       3937.835    -18.62        31         5
S426K       3945.145    -18.61        31         5
S427K       3952.455    -18.63        32         5
S428K        3959.92    -18.71        33         5
S429K       3967.385    -18.63        26         4
S430K       3974.695    -18.64        22         4
S431K       3982.005    -18.59        20         3
S432K       3989.315    -18.36        21         3
S433K       3996.625    -18.44        11         3
S434K       4003.935    -18.83         5         3
S435K       4011.245    -19.13        18         3
S436K       4018.555    -19.38        20         3
S437K       4025.865    -19.54        23         3
S438K       4033.175    -19.28         2         3
S439K       4040.485    -19.50        -2         3
S440K        4047.95    -19.52         3         3
S441K       4055.415    -19.91        -1         3
S442.5K     4062.725    -20.05         8         5
S442K       4070.035    -20.63        -4         4
S443K       4077.495    -20.36        15         3
S444K           4085    -18.95        16         3
S445K         4092.4    -19.88         7         3
S446K         4099.8    -19.13        19         3
S447K         4107.2    -18.98        21         3
S448K         4114.6    -18.87        20         3
S449K           4122    -18.87        19         3
S450K         4129.4    -18.87        17         3
S451K           4137    -18.86        19         3
S452K         4144.6    -18.89        16         3
S453K           4152    -18.89        23         3
S454K         4159.4    -18.85        38         3
S455K         4166.8    -18.84        39         3
S456K         4174.2    -18.82        18         3
S457K         4181.6    -18.77        23         3
S458K           4189    -18.86        20         3
S459K         4196.4    -18.90        36         3
S460K         4203.8    -19.01        29         3
S461K         4211.2    -19.00        35         3
S462K         4218.6    -18.92        31         3
S463K         4226.2    -18.79        23         3
S464K         4233.8    -18.70        10         3
S465K         4241.2    -18.52        14         3
S466K         4248.6    -18.54        15         3
S467K           4256    -18.55        14         3
S468K         4263.4    -18.58        12         3
S469K        4271.01    -18.80        13         3
S470K         4278.6    -18.87        12         3
S471K        4285.96    -18.90        28         3
S472K        4293.32    -18.92        16         3
S473K        4300.68    -18.93        26         3
S474K        4308.04    -19.00      18.2       1.4
S475K        4315.58    -18.91      18.2       1.4
S476K        4323.12    -18.73      16.3       1.4
S477K        4330.48    -18.52      16.3       1.4
S478K        4337.84    -18.17      20.9       1.5
S479K         4345.2    -18.01      20.9       1.5
S480K        4352.56    -17.54      18.2       1.5
S481K        4359.92    -17.69      18.2       1.5
S482K        4367.28    -18.08       7.3       1.2
S483K        4374.64    -18.24       7.3       1.2
S484K           4382    -18.17         2       1.2
S485K        4389.36    -18.01         2       1.2
S486K        4396.72    -18.01       3.7       1.3
S487K        4404.26    -18.31       3.7       1.3
S488K         4411.8    -18.43       7.6       1.3
S489K        4419.16    -18.46       7.6       1.3
S490K        4426.52    -18.49      10.6       1.1
S491K        4433.88    -18.57      10.6       1.1
S492K        4441.24    -18.61        11       1.1
S493K         4448.6    -18.61        11       1.1
S494K        4455.96    -18.64      10.7       1.2
S495K        4463.32    -18.42      10.7       1.2
S496K        4472.08    -18.59      12.2       1.2
S497K         4482.3    -18.68      12.2       1.2
S498K        4491.22    -18.68      10.7       1.1
S499K        4498.64    -18.80      10.7       1.1
S500K        4507.56    -18.46      12.6       1.3
S501K        4516.48    -18.58      12.6       1.3
S502K        4523.76    -18.53      16.5       1.4
S503K        4531.04    -18.60      16.5       1.4
S504K        4538.32    -18.59      13.8       1.3
S505K         4545.6    -18.58      13.8       1.3
S506K        4552.88    -18.70      13.5       1.3
S507K        4560.16    -18.67      13.5       1.3
S508K        4567.44    -18.71      13.6       1.3
S509K        4574.72    -18.74      13.6       1.3
S510K        4582.14    -18.69      13.1       1.3
S511K        4589.56    -18.67      13.1       1.3
S512K        4596.84    -18.55      11.8       1.3
S513K        4604.12    -18.61      11.8       1.3
S514K         4611.4    -18.54      12.7       1.3
S515K        4618.68    -18.46      12.7       1.3
S516K        4625.96    -18.49      12.3       1.3
S517K        4633.24    -18.43      12.3       1.3
S518K        4640.52    -18.44      11.1       1.3
S519K         4647.8    -18.30      11.1       1.3
S520K        4655.08    -18.21       7.5       1.2
S521K        4662.48    -18.36       7.5       1.2
S522K        4669.95    -18.42       9.3       1.3
S523K        4677.37    -18.40       9.3       1.3
S524K        4684.79    -18.60      11.1       1.3
S525K        4692.21    -18.68      11.1       1.3
S526K        4699.63    -18.65       9.5       1.2
S527K        4707.05    -18.72       9.5       1.2
S528K        4714.47    -18.83        10       1.2
S529K        4721.89    -18.87        10       1.2
S530K        4729.31    -18.87      12.8       1.3
S531K        4736.73    -18.83      12.8       1.3
S532K        4744.15    -18.96      14.2       1.3
S533K        4751.78    -18.93      14.2       1.3
S534K        4759.41    -18.85       9.7       1.3
S535K        4766.83    -18.83       9.7       1.3
S536K        4774.25    -18.87        10         3
S537K        4781.67    -18.92       6.1       1.1
S538K        4789.09    -18.95       6.1       1.1
S539K        4796.51    -19.02       5.3       1.1
S540K        4803.93    -18.96       5.3       1.1
S541K        4811.35    -19.00       3.1       1.1
S542K        4818.77    -18.86       3.1       1.1
S543K        4826.19    -18.69      -0.4         1
S544K        4833.61    -18.57      -0.4         1
S545K        4841.24    -18.47       0.7       1.1
S546K        4848.87    -18.68       0.7       1.1
S547K        4856.29    -18.70       1.5         1
S548K        4863.71    -18.68       1.5         1
S549K         4871.1    -18.76       0.2         1
S550K        4878.46    -19.13       0.2         1
S551K        4885.82    -19.01       3.2       1.1
S552K        4893.18    -19.27       3.2       1.1
S553K        4900.54    -19.23       0.9         1
S554K         4907.9    -18.95       0.9         1
S555K        4915.26    -18.79       0.2         1
S556K        4922.62    -18.66       0.2         1
S557K         4926.3    -18.35       3.3       1.1
S558K         4937.7    -18.40       3.3       1.1
S559K        4945.06    -18.64       0.4         1
S560K        4952.42    -18.57       0.4         1
S561K        4959.78    -18.75       0.7       1.1
S562K        4967.14    -18.87       0.7       1.1
S563K         4974.5    -18.86       0.2       1.2
S564K        4981.86    -19.06       0.2       1.2
S565K        4989.22    -18.87       1.8       1.2
S566K        4996.58    -18.80       1.8       1.2
S567K        5003.94    -18.78      -1.4       1.1
S568K         5011.3    -18.66      -1.4       1.1
S569K        5018.84    -17.73      -2.2       1.1
S570K        5026.38    -17.66      -2.2       1.1
S571K        5033.74    -17.83      -0.8       1.2
S572K         5041.1    -18.27      -0.8       1.2
S573K        5048.46    -18.29        -1       1.2
S574K        5055.82    -18.10        -1       1.2
