Fremont Glacier 1998 Core Ions Data
-----------------------------------------------------------------------
             NOAA Paleoclimatology Program  
                         and
        World Data Center for Paleoclimatology, Boulder         
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!

NAME OF DATA SET: Fremont Glacier 1998 Core Ions Data
LAST UPDATE: 11/2004 (Original Receipt by WDC Paleo)

CONTRIBUTOR: Paul Schuster, USGS

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-079

SUGGESTED DATA CITATION: Schuster, P.F., et al., 2004,
Fremont Glacier 1998 Core IOns Data. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2004-079.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: Unpublished data


GEOGRAPHIC REGION: Wyoming, USA 

PERIOD OF RECORD: 1717-1991 AD.

DESCRIPTION:
Fremont Glacier 1998 Core Ions Data



DATA:
Column 1:  Site ID
Column 2:  Boulder Lab ID
Column 3:  Original Lab ID
Column 4:  Adjusted Length, cm.
Column 5:  Depth Range, cm.
Column 6:  Centered Depth, cm.
Column 7:  Cl, ueq/L
Column 8:  Estimated Flag for Cl
Column 9:  NO3, ueq/L
Column 10: Estimated Flag for NO3
Column 11: SO4, ueq/L
Column 12: Estimated Flag for SO4
Column 13: Na, ueq/L
Column 14: Estimated Flag for Na
Column 15: NH4, ueq/L
Column 16: Estimated Flag for NH4
Column 17: K, ueq/L
Column 18: Estimated Flag for K
Column 19: Mg, ueq/L
Column 20: Estimated Flag for Mg
Column 21: Ca, ueq/L
Column 22: Estimated Flag for Ca

E: Estimated, Designated when concentration is between detection limit and quantitation limit.


Site ID    LabIDB  LabID     Length   Depth Range     C.Depth     Cl         NO3        SO4         Na          NH4          K             Mg        Ca
                                                                 ueq/L       ueq/L      ueq/L       ueq/L       ueq/L        ueq/L         ueq/L     ueq/L
UFG98-4     3517    S1S       7.4     623 - 630       626.68     3.94        4.81       1.56E       2.26        <0.9         1.48          <1.0      6.62
UFG98-4     3518    S2S       7.4     630 - 638       634.04     2.53E       6.93       2.02E       2.20         1.57E       1.53          <1.0      6.25
UFG98-4     3519    S3S       7.4     638 - 645        641.4     1.44E       1.43E      1.86E       1.68E        2.09E       0.94E         <1.0      4.53
UFG98-4     3520    S4S       7.4     645 - 652       648.76     0.96E      <0.2        1.13E       1.02E       <0.9         0.75E         <1.0      3.46
UFG98-4     3521    S5S       7.4     652 - 660       656.12     1.36E      <0.2        0.82E       1.35E       <0.9         0.95E         <1.0      3.41
UFG98-4     3522    S6S       7.4     660 - 667       663.48     1.01E      <0.2       <0.6         2.06         1.74E       1.07          <1.0      3.18
UFG98-4     3523    S7S       7.4     667 - 675       670.84     2.34E      <0.2        1.63E       3.15        <0.9         2.09          <1.0      5.55
UFG98-4     3524    S8S       7.4     675 - 682        678.2     1.49E      <0.2        1.23E       1.46E       <0.9         1.21          <1.0      3.33
UFG98-4     3525    S9S       7.4     682 - 689       685.56     1.87E      <0.2        1.59E       1.70E       <0.9         1.78          <1.0      4.31
UFG98-4     3526    S10S      7.4     689 - 697       692.92     1.24E      <0.2        1.29E       1.22E       <0.9         0.89E         <1.0      3.66
UFG98-4     3527    S11S      7.4     697 - 704       700.28     1.43E      <0.2        1.10E       0.80E       <0.9         0.66E         <1.0      3.03
UFG98-4     3528    S12S      7.4     704 - 711       707.64     1.57E      <0.2        1.60E       1.36E       <0.9         0.76E         <1.0      4.15
UFG98-4     3529    S13S      7.4     711 - 719          715     1.80E      <0.2        0.64E       0.95E       <0.9         0.77E         <1.0      4.08
UFG98-4     3530    S14S      7.4     719 - 726       722.36     1.15E      <0.2       <0.6         0.61E       <0.9         0.94E         <1.0      3.25
UFG98-4     3531    S15S      7.4     726 - 733       729.72    <0.8        <0.2        0.65E       0.82E       <0.9         0.84E         <1.0      3.20
UFG98-4     3532    S16S      7.4     733 - 741       737.08     1.32E      <0.2        0.92E       1.36E        3.74E       1.59          <1.0      6.42
UFG98-4     3533    S17S      7.4     741 - 748       744.44     1.38E      <0.2        1.04E       1.42E       <0.9         1.35          <1.0      5.33
UFG98-4     3534    S18S      7.4     748 - 755        751.8     0.95E      <0.2       <0.6         1.46E       <0.9         1.42          <1.0      4.37
UFG98-4     3535    S19S      7.4     755 - 763       759.16     0.85E      <0.2       <0.6         0.85E       <0.9         1.24          <1.0      4.28
UFG98-4     3536    S20S      7.4     763 - 770       766.52     1.01E      <0.2        0.77E       0.96E        1.48E       1.32          <1.0      4.30
UFG98-4     3537    S21S      7.4     770 - 778       773.88     1.51E      <0.2        0.97E       1.30E       <0.9         1.75          <1.0      6.69
UFG98-4     3538    S22S      7.4     778 - 785       781.24     1.03E      <0.2       <0.6         1.68E       <0.9         1.67          <1.0      4.59
UFG98-4     3539    S23S      7.4     785 - 792        788.6     1.22E      <0.2       <0.6         0.73E       <0.9         1.09          <1.0      4.21
UFG98-4     3540    S24S      7.4     792 - 800       795.96     1.70E      <0.2       <0.6         0.88E       <0.9         1.06          <1.0      4.48
UFG98-4     3541    S25S      7.4     800 - 807       803.32     1.64E      <0.2       <0.6         1.89E       <0.9         0.67E         <1.0      5.61
UFG98-4     3542    S26S       9      807 - 816        811.5     0.91E      <0.2        0.94E       1.02E       <0.9         0.48E         <1.0      3.08
UFG98-4     3543    S27S       14     816 - 830          823     2.11E       1.12E      1.84E       2.36E       <0.9         1.10          <1.0      5.60
UFG98-4     3544    S28S       11     830 - 841        835.5     1.89E      <0.2        1.03E       1.78E       <0.9         0.96E         <1.0      6.35
UFG98-4     3545    S29S       11     841 - 852        846.5     2.03E      <0.2        1.14E       1.40E       <0.9         0.88E         <1.0      7.02
UFG98-4     3546    S30S       11     852 - 863        857.5     2.54E       1.30E      1.31E       1.63E       <0.9         0.93E         <1.0      6.62
UFG98-4     3547    S31S       11     863 - 874        868.5     1.99E      <0.2        1.05E       1.14E       <0.9         0.74E         <1.0      6.21
UFG98-4     3548    S32S       11     874 - 885        879.5     1.94E       0.45E      1.00E       1.26E       <0.9         0.56E         <1.0      4.88
UFG98-4     3549    S33S       11     885 - 896        890.5     1.28E      <0.2       <0.6         1.22E       <0.9         0.58E         <1.0      2.61
UFG98-4     3550    S34S       11     896 - 907        901.5     1.32E       0.58E     <0.6         1.09E       <0.9         0.55E         <1.0      2.40
UFG98-4     3551    S35S       11     907 - 918        912.5     1.60E      <0.2       <0.6         0.66E       <0.9         0.41E         <1.0      2.36
UFG98-4     3552    S36S       11     918 - 929        923.5     1.86E      <0.2       <0.6         0.83E       <0.9         0.85E         <1.0      3.09
UFG98-4     3553    S37S       11     929 - 940        934.5     1.18E      <0.2       <0.6         0.67E       <0.9         0.65E         <1.0      2.95
UFG98-4     3554    S38S       11     940 - 951        945.5     2.10E      <0.2        0.73E       0.93E       <0.9         0.52E         <1.0      3.29
UFG98-4     3555    S39S       11     951 - 962        956.5     1.88E      <0.2        0.61E       0.90E       <0.9         0.82E         <1.0      4.71
UFG98-4     3556    S40S       11     962 - 973        967.5     1.54E      <0.2       <0.6         1.12E       <0.9         0.87E         <1.0      4.82
UFG98-4     3557    S41S       8      973 - 981          977     2.49E      <0.2        0.79E       1.39E       <0.9         0.51E         <1.0      3.15
UFG98-4     3558    S42S       11     981 - 992        986.5     1.95E      <0.2        0.70E       1.03E       <0.9         0.61E         <1.0      4.86
UFG98-4     3559    S43S       8      992 - 1000         996     8.32E       0.68E      1.16E       0.95E       <0.9         0.61E         <1.0      3.32
UFG98-4     3560    S44S       11    1000 - 1011      1005.5     1.20E      <0.2       <0.6         0.73E       <0.9         0.59E         <1.0      3.48
