# Guliya Ice Cap Ice Thickness Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/25130 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/guliya/guliya2018plateau-thickness.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Core
#
# Dataset DOI: 
#
# Parameter_Keywords: physical properties
#--------------------
# Contribution_Date
#	Date: 2018-11-15
#--------------------
# File_Last_Modified_Date
#	Date: 2018-11-15
#--------------------
# Title
#	Study_Name: Guliya Ice Cap Ice Thickness Data
#--------------------
# Investigators
#	Investigators: Kutuzov, S.; Thompson, L.G.; Lavrentiev, I.; Tian, L. 
#--------------------
# Description_Notes_and_Keywords
#	Description: Ground-penetrating radar (GPR) ice thickness measurements for two areas (Plateau and Summit) of the Guliya Ice Cap, Tibetan Plateau, China
#--------------------
# Publication 
#	Authors: Stanislav Kutuzov, Lonnie G. Thompson, Ivan Lavrentiev, and Lide Tian 
#	Published_Date_or_Year: 2018-11-22    
#	Published_Title: Ice thickness measurements of Guliya ice cap, western Kunlun Mountains (Tibetan Plateau), China
#	Journal_Name: Journal of Glaciology
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.1017/jog.2018.91 
#	Online_Resource: https://www.cambridge.org/core/journals/journal-of-glaciology/article/ice-thickness-measurements-of-guliya-ice-cap-western-kunlun-mountains-tibetan-plateau-china/F3E348AF818A9D2FEA83BDBDB6603751 
#	Full_Citation: 
#	Abstract: Despite their high value and importance for various glaciological applications, detailed ice thickness measurements of alpine glaciers are still very limited. Knowledge of bedrock topography is essential for paleoglaciological studies. The Guliya ice cap located on the Tibetan Plateau is one of the highest and largest ice caps in mid-low latitude regions. A detailed ground-penetrating radar (GPR) survey was conducted on the Guliya ice cap in 2015 using 20 and 40 MHz frequency antennas. An empirical Bayesian kriging method was used for ice thickness interpolation and uncertainty assessment. GPR measurements revealed complex basal topography of the Guliya glacier with a maximum thickness of 371.12 ± 13 m. The internal reflections caused by changes in the dielectric properties were registered on the 40 MHz radargrams at the summit and were attributed to density variations. As a result of this fieldwork, one of the largest ice thickness datasets in High Mountain Asia was obtained. Guliya glacier elevation changes were assessed by differencing digital elevation models. The glacier gained mass from 2000 to 2015 with an average rate of 0.270 ± 0.11 m w.e. a-1 at the summit and 0.279 ± 0.11 m w.e. a-1 at the lower elevations.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: 1502919 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Chinese Academy of Sciences
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Guliya Plateau
#	Location: Asia>Eastern Asia>China
#	Country: China
#	Northernmost_Latitude: 35.233
# 	Southernmost_Latitude: 35.233
# 	Easternmost_Longitude: 81.4683
# 	Westernmost_Longitude: 81.4683
# 	Elevation: 6050 m
#------------------
# Data_Collection   
#	Collection_Name: GP2018thick
#	Earliest_Year: 2015
#	Most_Recent_Year: 2015
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## FID	ID,,,,,,,,N,	
## lat	latitude, , , decimal degrees, , , , ,N,
## long	longitude, , , decimal degrees, , , , ,N,
## elev	elevation, , , m asl, , , , ,N, Elevation_HMA8 m filled by DEM_SRTM_X 
## depth_m	depth, , , m, , , , ,N,
## depth_err	depth error, , , m, , , , ,N, error estimation (Kutuzov et al. 2018) egpr(m)
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
FID	lat	long	elev	depth_m	depth_err
0	35.239	81.472	6037	170.2	11.2
1	35.239	81.472	6037	170.2	11.2
2	35.239	81.472	6037	170.2	11.2
3	35.239	81.472	6037	170.2	11.2
4	35.239	81.472	6037	170.2	11.2
5	35.239	81.472	6037	172.2	11.2
6	35.239	81.472	6037	172.2	11.2
7	35.239	81.472	6038	180.0	11.3
8	35.239	81.472	6038	186.0	11.3
9	35.238	81.471	6039	191.9	11.4
10	35.238	81.471	6039	195.8	11.4
11	35.238	81.471	6040	201.7	11.4
12	35.238	81.471	6040	201.7	11.4
13	35.238	81.471	6038	207.6	11.5
14	35.238	81.470	6041	217.5	11.5
15	35.238	81.471	6038	213.5	11.5
16	35.238	81.470	6041	217.5	11.5
17	35.238	81.470	6041	221.4	11.6
18	35.238	81.470	6042	229.3	11.6
19	35.238	81.470	6042	235.2	11.7
20	35.238	81.470	6042	235.2	11.7
21	35.238	81.470	6042	237.2	11.7
22	35.238	81.470	6042	241.1	11.7
23	35.238	81.470	6042	249.0	11.8
24	35.238	81.470	6042	254.9	11.9
25	35.238	81.470	6042	264.8	11.9
26	35.238	81.469	6043	274.6	12.0
27	35.238	81.469	6043	282.5	12.1
28	35.238	81.469	6042	282.5	12.1
29	35.238	81.468	6042	286.4	12.1
30	35.237	81.468	6041	282.5	12.1
31	35.237	81.468	6045	282.5	12.1
32	35.237	81.468	6045	282.5	12.1
33	35.237	81.467	6043	284.5	12.1
34	35.237	81.467	6044	282.5	12.1
35	35.237	81.467	6045	278.5	12.1
36	35.237	81.467	6045	278.5	12.1
37	35.237	81.466	6047	276.6	12.0
38	35.236	81.466	6046	272.6	12.0
39	35.236	81.466	6050	272.6	12.0
40	35.236	81.465	6049	276.6	12.0
41	35.236	81.465	6051	268.7	12.0
42	35.236	81.465	6050	272.6	12.0
43	35.235	81.465	6046	280.5	12.1
44	35.235	81.465	6046	280.5	12.1
45	35.235	81.464	6048	280.5	12.1
46	35.235	81.464	6048	292.3	12.2
47	35.235	81.464	6049	294.3	12.2
48	35.235	81.464	6047	290.4	12.2
49	35.235	81.464	6048	288.4	12.2
50	35.235	81.463	6048	288.4	12.2
51	35.243	81.464	6051	249.0	11.8
52	35.243	81.464	6051	249.0	11.8
53	35.243	81.464	6051	249.0	11.8
54	35.243	81.464	6051	251.0	11.8
55	35.243	81.464	6051	249.0	11.8
56	35.243	81.464	6051	254.9	11.9
57	35.243	81.464	6051	260.8	11.9
58	35.243	81.464	6051	266.7	12.0
59	35.243	81.463	6051	266.7	12.0
60	35.243	81.463	6051	270.7	12.0
61	35.243	81.463	6051	268.7	12.0
62	35.243	81.463	6052	268.7	12.0
63	35.242	81.464	6053	266.7	12.0
64	35.242	81.464	6053	274.6	12.0
65	35.242	81.464	6051	270.7	12.0
66	35.242	81.464	6051	272.6	12.0
67	35.242	81.464	6051	278.5	12.1
68	35.242	81.465	6047	276.6	12.0
69	35.242	81.465	6046	278.5	12.1
70	35.242	81.465	6045	282.5	12.1
71	35.242	81.465	6045	278.5	12.1
72	35.242	81.465	6044	282.5	12.1
73	35.242	81.465	6044	288.4	12.2
74	35.242	81.465	6044	288.4	12.2
75	35.242	81.465	6044	288.4	12.2
76	35.242	81.465	6043	290.4	12.2
77	35.242	81.465	6043	290.4	12.2
78	35.242	81.466	6042	284.5	12.1
79	35.242	81.466	6046	284.5	12.1
80	35.242	81.466	6045	284.5	12.1
81	35.242	81.465	6047	270.7	12.0
82	35.242	81.464	6047	270.7	12.0
83	35.242	81.466	6045	290.4	12.2
84	35.242	81.466	6043	290.4	12.2
85	35.241	81.466	6043	290.4	12.2
86	35.241	81.466	6043	290.4	12.2
87	35.241	81.466	6043	290.4	12.2
88	35.241	81.466	6043	288.4	12.2
89	35.241	81.466	6043	284.5	12.1
90	35.241	81.466	6043	286.4	12.1
91	35.241	81.466	6043	288.4	12.2
92	35.241	81.466	6043	290.4	12.2
93	35.241	81.466	6043	278.5	12.1
94	35.241	81.466	6043	278.5	12.1
95	35.241	81.466	6043	290.4	12.2
96	35.241	81.466	6043	280.5	12.1
97	35.241	81.466	6043	282.5	12.1
98	35.241	81.466	6043	282.5	12.1
99	35.241	81.467	6042	288.4	12.2
100	35.241	81.467	6042	290.4	12.2
101	35.241	81.467	6043	288.4	12.2
102	35.241	81.467	6040	296.3	12.2
103	35.241	81.467	6040	296.3	12.2
104	35.241	81.467	6037	300.2	12.3
105	35.241	81.468	6036	298.2	12.2
106	35.241	81.468	6040	304.2	12.3
107	35.241	81.468	6043	304.2	12.3
108	35.241	81.468	6039	306.1	12.3
109	35.241	81.468	6038	302.2	12.3
110	35.241	81.469	6036	296.3	12.2
111	35.241	81.469	6036	294.3	12.2
112	35.241	81.469	6034	284.5	12.1
113	35.241	81.469	6034	278.5	12.1
114	35.241	81.470	6032	276.6	12.0
115	35.241	81.470	6029	274.6	12.0
116	35.241	81.470	6028	274.6	12.0
117	35.241	81.470	6028	264.8	11.9
118	35.241	81.470	6029	260.8	11.9
119	35.240	81.471	6029	262.8	11.9
120	35.240	81.471	6031	254.9	11.9
121	35.240	81.471	6031	251.0	11.8
122	35.240	81.471	6033	243.1	11.8
123	35.240	81.471	6033	241.1	11.7
124	35.240	81.471	6031	229.3	11.6
125	35.240	81.471	6031	225.4	11.6
126	35.240	81.472	6030	223.4	11.6
127	35.240	81.472	6030	215.5	11.5
128	35.240	81.472	6030	211.6	11.5
129	35.240	81.472	6028	207.6	11.5
130	35.240	81.472	6028	201.7	11.4
131	35.240	81.472	6027	199.7	11.4
132	35.240	81.473	6027	197.8	11.4
133	35.240	81.473	6026	195.8	11.4
134	35.240	81.473	6026	193.8	11.4
135	35.240	81.473	6025	193.8	11.4
136	35.240	81.473	6025	191.9	11.4
137	35.240	81.473	6022	191.9	11.4
138	35.240	81.474	6022	193.8	11.4
139	35.240	81.474	6021	197.8	11.4
140	35.240	81.474	6021	195.8	11.4
141	35.240	81.474	6021	199.7	11.4
142	35.240	81.474	6020	203.7	11.4
143	35.240	81.474	6020	203.7	11.4
144	35.240	81.474	6018	207.6	11.5
145	35.240	81.474	6018	205.7	11.5
146	35.239	81.474	6018	207.6	11.5
147	35.239	81.475	6018	209.6	11.5
148	35.239	81.475	6015	217.5	11.5
149	35.239	81.475	6017	217.5	11.5
150	35.239	81.475	6014	217.5	11.5
151	35.239	81.475	6014	219.4	11.6
152	35.239	81.475	6014	219.4	11.6
153	35.239	81.475	6012	219.4	11.6
154	35.239	81.475	6012	223.4	11.6
155	35.239	81.476	6009	225.4	11.6
156	35.239	81.476	6009	221.4	11.6
157	35.239	81.476	6006	227.3	11.6
158	35.239	81.476	6006	229.3	11.6
