# Guliya Ice Cap Ice Thickness Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/25130 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/guliya/guliya2018summit-thickness.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Core
#
# Dataset DOI: 
#
# Parameter_Keywords: physical properties
#--------------------
# Contribution_Date
#	Date: 2018-11-15
#--------------------
# File_Last_Modified_Date
#	Date: 2018-11-15
#--------------------
# Title
#	Study_Name: Guliya Ice Cap Ice Thickness Data
#--------------------
# Investigators
#	Investigators: Kutuzov, S.; Thompson, L.G.; Lavrentiev, I.; Tian, L. 
#--------------------
# Description_Notes_and_Keywords
#	Description: Ground-penetrating radar (GPR) ice thickness measurements for two areas (Plateau and Summit) of the Guliya Ice Cap, Tibetan Plateau, China
#--------------------
# Publication 
#	Authors: Stanislav Kutuzov, Lonnie G. Thompson, Ivan Lavrentiev, and Lide Tian 
#	Published_Date_or_Year: 2018-11-22    
#	Published_Title: Ice thickness measurements of Guliya ice cap, western Kunlun Mountains (Tibetan Plateau), China
#	Journal_Name: Journal of Glaciology
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.1017/jog.2018.91 
#	Online_Resource: https://www.cambridge.org/core/journals/journal-of-glaciology/article/ice-thickness-measurements-of-guliya-ice-cap-western-kunlun-mountains-tibetan-plateau-china/F3E348AF818A9D2FEA83BDBDB6603751 
#	Full_Citation: 
#	Abstract: Despite their high value and importance for various glaciological applications, detailed ice thickness measurements of alpine glaciers are still very limited. Knowledge of bedrock topography is essential for paleoglaciological studies. The Guliya ice cap located on the Tibetan Plateau is one of the highest and largest ice caps in mid-low latitude regions. A detailed ground-penetrating radar (GPR) survey was conducted on the Guliya ice cap in 2015 using 20 and 40 MHz frequency antennas. An empirical Bayesian kriging method was used for ice thickness interpolation and uncertainty assessment. GPR measurements revealed complex basal topography of the Guliya glacier with a maximum thickness of 371.12 ± 13 m. The internal reflections caused by changes in the dielectric properties were registered on the 40 MHz radargrams at the summit and were attributed to density variations. As a result of this fieldwork, one of the largest ice thickness datasets in High Mountain Asia was obtained. Guliya glacier elevation changes were assessed by differencing digital elevation models. The glacier gained mass from 2000 to 2015 with an average rate of 0.270 ± 0.11 m w.e. a-1 at the summit and 0.279 ± 0.11 m w.e. a-1 at the lower elevations.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: 1502919 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Chinese Academy of Sciences
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Guliya Summit
#	Location: Asia>Eastern Asia>China
#	Country: China
#	Northernmost_Latitude: 35.2896
# 	Southernmost_Latitude: 35.2896
# 	Easternmost_Longitude: 81.4955
# 	Westernmost_Longitude: 81.4955
# 	Elevation: 6650 m
#------------------
# Data_Collection   
#	Collection_Name: GS2018thick
#	Earliest_Year: 2015
#	Most_Recent_Year: 2015
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## FID	ID,,,,,,,,N,	
## lat	latitude, , , decimal degrees, , , , ,N,
## long	longitude, , , decimal degrees, , , , ,N,
## elev	elevation, , , m asl, , , , ,N, Elevation_HMA8 m filled by DEM_SRTM_X 
## depth_m	depth, , , m, , , , ,N,
## depth_err	depth error, , , m, , , , ,N, error estimation (Kutuzov et al. 2018) egpr(m)
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
FID	lat	long	elev	depth_m	depth_err
0	35.290	81.496	6632	43.8	4.5
1	35.289	81.496	6632	43.8	4.5
2	35.289	81.496	6632	43.8	4.5
3	35.289	81.496	6632	44.5	4.5
4	35.289	81.496	6632	42.5	4.5
5	35.289	81.496	6632	42.5	4.5
6	35.289	81.496	6632	44.5	4.5
7	35.289	81.496	6632	43.8	4.5
8	35.289	81.496	6631	43.8	4.5
9	35.289	81.496	6631	44.5	4.5
10	35.289	81.496	6631	44.5	4.5
11	35.289	81.496	6631	44.5	4.5
12	35.289	81.496	6631	43.8	4.5
13	35.289	81.496	6630	43.1	4.5
14	35.289	81.496	6630	42.5	4.5
15	35.289	81.496	6630	41.8	4.5
16	35.289	81.496	6630	41.8	4.5
17	35.289	81.497	6630	40.5	4.5
18	35.289	81.497	6630	40.5	4.5
19	35.289	81.497	6630	40.5	4.5
20	35.289	81.497	6630	39.9	4.5
21	35.289	81.497	6630	41.8	4.5
22	35.289	81.497	6629	41.2	4.5
23	35.289	81.497	6629	40.5	4.5
24	35.289	81.497	6629	39.9	4.5
25	35.289	81.497	6629	39.9	4.5
26	35.289	81.497	6628	37.9	4.5
27	35.289	81.497	6627	37.2	4.5
28	35.289	81.497	6627	36.6	4.5
29	35.289	81.497	6627	36.6	4.5
30	35.289	81.497	6626	36.6	4.5
31	35.289	81.497	6626	37.2	4.5
32	35.289	81.497	6625	35.3	4.5
33	35.289	81.497	6625	35.3	4.5
34	35.289	81.497	6624	35.3	4.5
35	35.289	81.497	6624	35.3	4.5
36	35.289	81.497	6624	37.2	4.5
37	35.289	81.498	6623	37.9	4.5
38	35.289	81.498	6623	37.2	4.5
39	35.289	81.498	6622	35.9	4.5
40	35.289	81.498	6621	35.9	4.5
41	35.288	81.498	6621	34.6	4.5
42	35.288	81.498	6621	33.3	4.5
43	35.288	81.498	6620	33.3	4.5
44	35.288	81.498	6620	36.6	4.5
45	35.288	81.498	6620	37.2	4.5
46	35.288	81.498	6620	37.9	4.5
47	35.288	81.498	6620	39.9	4.5
48	35.288	81.498	6620	40.5	4.5
49	35.288	81.498	6620	41.8	4.5
50	35.288	81.498	6620	42.5	4.5
51	35.288	81.498	6620	41.8	4.5
52	35.288	81.498	6619	42.5	4.5
53	35.288	81.498	6620	45.1	4.5
54	35.288	81.498	6620	45.8	4.5
55	35.288	81.497	6620	47.1	4.5
56	35.288	81.497	6621	47.7	4.5
57	35.288	81.497	6622	47.1	4.5
58	35.288	81.497	6621	47.1	4.5
59	35.288	81.497	6621	47.1	4.5
60	35.288	81.497	6622	47.1	4.5
61	35.288	81.497	6622	45.8	4.5
62	35.288	81.497	6622	47.7	4.5
63	35.288	81.497	6622	46.4	4.5
64	35.288	81.497	6622	48.4	4.5
65	35.288	81.497	6622	49.7	4.5
66	35.288	81.497	6622	50.4	4.5
67	35.288	81.497	6622	49.1	4.5
68	35.288	81.497	6622	50.4	4.5
69	35.288	81.497	6623	48.4	4.5
70	35.288	81.497	6623	49.7	4.5
71	35.288	81.497	6623	49.7	4.5
72	35.288	81.497	6623	49.1	4.5
73	35.288	81.496	6624	48.4	4.5
74	35.288	81.496	6624	48.4	4.5
75	35.288	81.496	6624	46.4	4.5
76	35.288	81.496	6625	48.4	4.5
77	35.288	81.496	6625	47.7	4.5
78	35.288	81.496	6625	47.1	4.5
79	35.288	81.496	6625	47.1	4.5
80	35.288	81.496	6626	45.1	4.5
81	35.288	81.496	6626	47.1	4.5
82	35.288	81.496	6626	46.4	4.5
83	35.288	81.496	6626	46.4	4.5
84	35.288	81.496	6627	44.5	4.5
85	35.288	81.496	6627	44.5	4.5
86	35.289	81.496	6627	44.5	4.5
87	35.289	81.496	6627	46.4	4.5
88	35.289	81.496	6628	44.5	4.5
89	35.289	81.496	6629	44.5	4.5
90	35.289	81.496	6629	45.8	4.5
91	35.289	81.496	6629	45.8	4.5
92	35.289	81.496	6629	44.5	4.5
93	35.289	81.496	6630	44.5	4.5
94	35.289	81.496	6630	43.8	4.5
95	35.289	81.496	6631	45.1	4.5
96	35.289	81.496	6631	45.8	4.5
97	35.289	81.496	6631	46.4	4.5
98	35.289	81.496	6631	46.4	4.5
99	35.289	81.496	6632	44.5	4.5
100	35.289	81.496	6632	44.5	4.5
101	35.289	81.496	6632	43.1	4.5
102	35.289	81.496	6632	45.1	4.5
