# Illimani Ice Core 2000 Year Pb Concentration and Pb Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://ncdc.noaa.gov/paleo/study/18056
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/trop/illimani/illimani2015pb.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2015-02-24
#--------------------
# Title
#	Study_Name: Illimani Ice Core 2000 Year Pb Concentration and Pb Isotope Data
#--------------------
# Investigators
# 	Investigators: Eichler, A.; Gramlich, G.; Kellerhals, T.; Tobler, L.; Schwikowski, M. 
#--------------------
# Description_and_Notes
#	Description: Lead (Pb) concentration and Pb isotopes from the 1999 Illimani ice core, Bolivian Andes, 
#	for the past 2,000 years. Data include 10 year medians and lowpass filtered Pb and Ce concentrations, 
#	Pb enrichment factors (EFs), and 10 year and 50 year averaged Pb isotope ratios.
#
#	In 1999, two parallel ice cores were retrieved from Nevado Illimani (16°37′S, 67°46′W, 6300 m a.s.l.) 
#	in a joint operation of the French Institut de Recherche pour le Developpement (IRD) and the Swiss 
#	Paul Scherrer Institute (PSI). Both ice cores reached bedrock at depths of 138.7 and 136.7 m, respectively. 
#	Nevado Illimani is located in the eastern Bolivian Andes at the northeastern margin of the Bolivian Altiplano.
#	Analyses of the major ions, trace elements, tritium, and 14C were performed at the Laboratory of Radiochemistry 
#	and Environmental Chemistry (LCH) of the Paul Scherrer Institute (PSI) and the University of Bern, Switzerland. 
#	The mean annual accumulation rate is 0.58 m water equivalent.
#
#--------------------
# Publication 
# 	Authors: Eichler, A., G. Gramlich, T. Kellerhals, L. Tobler, and M. Schwikowski
#	Published_Date_or_Year: 2015-03-06    
#	Published_Title: Pb pollution from leaded gasoline in South America in the context of a 2000 year metallurgical history
#	Journal_Name: Science Advances
#	Volume: 1
#	Edition: e1400196
#	Issue: 1
#	Pages: 
#	DOI: 
#	Online_Resource: http://advances.sciencemag.org/content/1/1/e1400196
#	Full_Citation: 
#	Abstract: Exploitation of the extensive polymetallic deposits of the Andean Altiplano in South America since pre-colonial times has caused substantial emissions of neurotoxic Pb into the atmosphere, however, its historical significance compared to recent Pb pollution from leaded gasoline is not yet resolved. Here we present a comprehensive, two millennia Pb emission history for South America, based on a continuous, high resolution, ice core record from Illimani glacier. Illimani is the highest mountain of the eastern Bolivian Andes and is located at the northeastern margin of the Andean Altiplano. The ice core Pb deposition history revealed enhanced Pb Enrichment Factors (EFs) due to metallurgical processing for silver production during periods of the Tiwanaku/Wari culture (AD 450-950), the Inca empires (AD 1450-1532), colonial times (AD 1532-1900), and tin production at the beginning of the 20th century. After the 1960s Pb EFs increased by a factor of three compared to the emission level from metal production, which we attribute to gasoline related Pb emissions. Our results show that anthropogenic Pb pollution levels from road traffic in South America exceed those of any historical metallurgy in the last two millennia, even in regions with exceptional high local metallurgical activity.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Institut de Recherche pour le Développement (IRD, France) 
#	Grant: 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Paul Scherrer Institute (PSI, Switzerland)
#	Grant: 
#------------------
# Site_Information 
#	Site_Name: Illimani
#	Location: South America>Bolivia
#	Country: Bolivia
#	Northernmost_Latitude: -16.6167
#	Southernmost_Latitude: -16.6167
#	Easternmost_Longitude: -67.7667
#	Westernmost_Longitude: -67.7667
#	Elevation: 6300 m  
#------------------
# Data_Collection   
#	Collection_Name: Illimani2015Pb
#	Earliest_Year: 0 
#	Most_Recent_Year: 2000
#	Time_Unit: AD
#	Core_Length: 138.7m
#	Notes: 
#------------------
# Chronology: 
#
# The timescale for the Illimani core was derived using annual layer-counting, known reference horizons 
# from nuclear bomb testing in 1964 AD, volcanic eruptions (Pinatubo (1991), El Chichón (1982), Agung (1963), 
# Krakatoa (1883), Tambora (1815), “unknown” (1258)) and six 14C dating points. A two‐parameter model 
# was fitted to the time markers to obtain a continuous depth‐age relationship.
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , AD, , , , midpoint of 10 year interval,N
##Pb pg/g	Lead, , , pg/g, , ice core, 10 year median, ,N
##Pb pg/glp	Lead, , , pg/g, , ice core, 100 year low pass filtered, ,N
##PbEF	Lead Enrichment Factor, , , pg/g, , ice core, 10 year median, ,N
##PbEFlp	Lead Enrichment Factor, , , pg/g, , ice core, 100 year low pass filtered, ,N
##Ce pg/g	Cerium, , , pg/g, , ice core, 10 year median, ,N
##Ce pg/glp	Cerium, , , pg/g, , ice core, 100 year low pass filtered, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# 10 yr medians and 100 year low pass filtered Pb concentrations and EFs, and Ce concentrations Illimani ice core
#
age_AD	Pb pg/g	Pb pg/glp	PbEF	PbEFlp	Ce pg/g	Ce pg/glp
2000	162.1	93.2	7.27	10.3	34.8	24.7
1990	147.6	95.0	11.6	12.2	20.5	18.6
1980	71.7	95.2	22.2	13.2	5.09	14.9
1970	109.3	94.8	20.7	13.2	9.54	14.2
1960	59.2	94.8	6.22	12.1	16.4	16.6
1950	42.8	95.4	6.88	10.3	9.88	21.1
1940	105.9	96.1	3.68	7.99	41.1	26.5
1930	74.9	96.1	6.16	5.77	19.4	31.6
1920	174.9	94.0	5.60	3.95	48.6	35.3
1910	89.3	89.1	4.39	2.76	38.1	37.4
1900	85.5	81.2	3.23	2.20	42.4	37.9
1890	50.0	71.0	2.87	2.15	28.6	37.4
1880	65.4	60.2	2.00	2.37	52.7	36.6
1870	23.9	50.5	2.63	2.63	15.5	35.9
1860	41.8	43.7	1.79	2.74	35.6	35.5
1850	40.4	40.5	2.17	2.65	31.0	35.4
1840	46.3	40.8	1.76	2.41	40.2	35.2
1830	28.8	43.7	1.63	2.12	30.0	34.4
1820	90.4	47.6	2.31	1.92	50.2	33.0
1810	55.7	50.8	2.68	1.90	32.6	31.1
1800	47.9	52.0	3.31	2.10	23.7	28.9
1790	34.4	51.0	2.41	2.46	25.0	26.9
1780	36.3	48.1	2.80	2.90	19.7	25.4
1770	40.4	44.3	2.49	3.29	27.3	24.3
1760	45.3	41.0	3.36	3.57	24.0	23.4
1750	38.3	38.8	3.73	3.70	13.1	22.3
1740	52.3	38.3	3.65	3.69	27.3	20.6
1730	32.2	39.1	3.50	3.61	13.5	18.5
1720	47.8	40.3	2.90	3.49	23.4	16.2
1710	41.6	41.0	3.44	3.36	18.7	14.8
1700	41.8	40.4	4.43	3.20	16.1	15.1
1690	32.5	38.4	3.84	3.00	17.0	18.2
1680	33.5	35.3	2.08	2.71	33.0	24.3
1670	32.2	32.1	1.91	2.33	28.9	33.1
1660	20.1	29.8	1.46	1.88	23.8	43.2
1650	30.7	29.0	1.19	1.44	45.9	52.8
1640	22.8	30.0	1.32	1.10	35.5	60.0
1630	60.6	32.1	0.85	0.95	126.1	63.2
1620	32.2	34.6	0.80	1.03	65.9	61.4
1610	32.3	36.2	2.06	1.34	44.1	54.9
1600	29.2	36.0	1.95	1.79	37.0	44.9
1590	28.0	33.7	1.84	2.26	24.3	33.5
1580	33.1	29.7	3.18	2.63	12.3	22.6
1570	29.3	24.7	3.09	2.79	19.7	14.3
1560	15.0	20.0	2.23	2.70	9.04	9.6
1550	15.3	16.5	1.75	2.41	17.7	8.8
1540	14.6	14.8	1.48	2.00	14.3	11.3
1530	12.9	15.1	1.93	1.57	11.6	15.9
1520	27.9	16.8	1.78	1.25	25.3	21.1
1510	19.5	18.9	1.16	1.08	26.9	25.7
1500	22.8	20.7	1.12	1.07	37.1	28.9
1490	16.2	21.4	1.63	1.17	16.9	30.6
1480	13.2	20.8	1.09	1.31	22.6	30.8
1470	26.2	19.2	1.13	1.40	45.8	30.2
1460	9.8	17.1	1.34	1.39	12.7	29.4
1450	10.7	15.4	1.06	1.28	16.8	28.9
1440	16.8	14.4	0.84	1.11	41.7	29.0
1430	27.9	14.6	0.70	0.94	63.7	29.8
1420	19.1	15.9	1.33	0.82	25.9	31.1
1410	13.9	17.9	1.21	0.80	16.7	32.7
1400	16.0	20.2	1.03	0.88	28.6	34.5
1390	19.4	22.5	1.14	1.03	27.6	36.2
1380	25.8	24.7	1.05	1.20	42.1	38.1
1370	36.9	26.6	0.94	1.33	59.8	39.9
1360	16.7	28.6	1.12	1.39	26.8	42.0
1350	18.5	30.8	1.36	1.36	28.9	44.3
1340	35.9	33.2	1.38	1.28	50.6	47.0
1330	51.7	35.7	1.15	1.18	74.5	50.0
1320	45.5	38.2	1.21	1.09	69.2	53.3
1310	40.1	40.3	1.26	1.04	46.0	57.0
1300	41.5	41.7	1.23	1.04	46.1	61.1
1290	28.0	42.3	1.15	1.06	49.3	65.4
1280	34.0	42.2	0.96	1.09	65.6	69.7
1270	51.8	41.7	0.78	1.09	101.1	73.8
1260	43.7	41.3	0.82	1.06	78.9	77.5
1250	29.3	41.1	1.08	1.00	50.9	80.2
1240	54.3	41.4	0.96	0.93	103.4	81.9
1230	39.1	42.0	0.70	0.89	111.4	82.1
1220	46.9	42.6	1.44	0.89	41.5	80.9
1210	38.3	42.8	1.07	0.93	54.7	78.3
1200	71.9	42.4	0.72	1.01	164.8	74.8
1190	22.8	41.1	1.37	1.09	27.0	70.8
1180	13.3	39.1	0.99	1.15	29.8	66.9
1170	33.9	36.7	0.91	1.16	59.5	63.7
1160	31.9	34.4	1.11	1.11	59.6	61.8
1150	58.5	32.7	0.89	1.02	106.7	61.4
1140	37.1	32.1	0.94	0.91	62.3	62.5
1130	30.0	32.5	1.00	0.81	52.4	64.9
1120	46.5	33.8	0.83	0.76	101.8	67.9
1110	23.6	35.6	0.80	0.77	48.8	70.8
1100	24.8	37.2	0.92	0.84	52.9	72.6
1090	28.3	38.3	0.97	0.93	46.0	72.6
1080	40.5	38.3	1.01	1.03	71.4	70.6
1070	31.3	37.2	0.85	1.11	72.8	66.8
1060	68.8	35.1	1.10	1.15	115.6	61.6
1050	25.0	32.6	0.99	1.14	58.9	56.2
1040	30.4	29.9	1.14	1.10	42.6	51.5
1030	23.2	27.6	1.47	1.03	24.6	48.5
1020	20.6	26.0	0.92	0.96	30.5	47.6
