Kilimanjaro Ice Core Oxygen Isotope, Ion, and Dust Data
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!

NAME OF DATA SET: Kilimanjaro Ice Core Oxygen Isotope, Ion, and Dust Data

LAST UPDATE: 10/2002 (Original Receipt by WDC Paleo)
CONTRIBUTOR: Lonnie Thompson, The Ohio State University 

IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2002-071

SUGGESTED DATA CITATION: Thompson, L.G., et al., 2002,
Kilimanjaro Ice Core Oxygen Isotope, Ion, and Dust Data,
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2002-071.
NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.

ORIGINAL REFERENCE: Thompson, L.G., E. Mosley-Thompson, M.E. Davis, 
K.A. Henderson, H.H. Brecher, V.S. Zagorodnov, T.A. Mashiotta, 
P.-N. Lin, V.N. Mikhalenko, D.R. Hardy, and J. Beer, 2002, 
Kilimanjaro Ice Core Records: Evidence of Holocene Climate Change 
in Tropical Africa, Science, Volume 298, 5593, 18 October 2002. 


GEOGRAPHIC REGION: Tropical east Africa

PERIOD OF RECORD: Late Quaternary, 11 KYrBP-present

FUNDING SOURCE:  U.S. National Science Foundation, Earth System History Program,
grant ATM-9910172.


ABSTRACT:
Six ice cores from Kilimanjaro provide an ~11.7-thousand-year record of Holocene climate 
and environmental variability for eastern equatorial Africa, including three periods of 
abrupt climate change: ~8.3, ~5.2, and ~4 thousand years ago (ka). The latter is coincident 
with the "First Dark Age," the period of the greatest historically recorded drought 
in tropical Africa. Variable deposition of F- and Na+ during the African Humid Period 
suggests rapidly fluctuating lake levels between ~11.7 and 4 ka. Over the 20th century, 
the areal extent of Kilimanjaro's ice fields has decreased ~80%, and if current 
climatological conditions persist, the remaining ice fields are likely to disappear 
between 2015 and 2020. 


DESCRIPTION: 
Kilimanjaro Ice Core Oxygen Isotope, Ion, and Dust Data


DATA:

Data from Fig. 2.  
Columns 1 and 2: The 10-year average d18O records 
from the NIF2 and NIF3 cores for their entire lengths. 

Col. 3. NIF2 depths are rescaled to the NIF3 
depth scale by matching similar 18O features.


Top Depth  KNIF2     KNIF3     KNIF2
                          (on KNIF3 depth)
       m  d18 o/oo  d18O o/oo d18O o/oo
     0.0   -10.73    -6.57     -9.36
     0.1   -10.07    -9.12     -9.29
     0.2    -9.54   -10.04    -10.04
     0.3    -9.26   -10.73    -13.10
     0.4   -10.13    -9.40    -10.74
     0.5   -13.79    -8.73    -10.18
     0.6   -10.01    -9.10     -9.94
     0.7   -10.21    -8.76     -9.40
     0.8   -10.02    -9.13     -8.63
     0.9    -9.99    -9.61     -7.79
     1.0    -8.97   -10.24     -8.95
     1.1    -8.72    -9.44     -9.14
     1.2    -7.95    -9.38     -9.66
     1.3    -8.30    -9.87     -9.08
     1.4    -8.97    -9.77     -9.33
     1.5    -9.10    -9.06     -9.11
     1.6    -9.69    -9.37     -8.97
     1.7    -9.25    -9.35     -9.70
     1.8    -9.17   -10.52    -10.32
     1.9    -9.68   -10.47    -10.67
     2.0    -8.80    -9.39     -9.22
     2.1    -9.20    -9.68     -9.29
     2.2    -8.89    -9.43    -10.40
     2.3    -9.26    -8.17     -9.96
     2.4   -10.10    -7.59     -8.28
     2.5   -10.32    -8.05     -9.00
     2.6   -10.52    -7.29     -8.23
     2.7   -10.45    -7.41     -9.89
     2.8    -8.90    -7.68    -11.05
     2.9    -9.25    -7.52    -10.66
     3.0    -9.77    -7.63    -10.62
     3.1   -10.54    -8.69    -10.72
     3.2   -10.27    -8.97    -10.85
     3.3    -8.44   -11.43    -12.30
     3.4    -8.76    -8.70    -13.78
     3.5    -9.34    -8.77    -12.50
     3.6   -10.95    -9.13    -12.84
     3.7   -10.66   -10.00    -13.45
     3.8   -10.67    -9.70    -13.49
     3.9   -10.94    -8.53    -11.82
     4.0   -14.48    -8.76    -11.28
     4.1   -12.63    -8.46     -9.99
     4.2   -12.50    -8.46     -9.63
     4.3   -12.58    -8.35     -8.77
     4.4   -12.86    -8.16     -8.81
     4.5   -13.07    -8.39     -8.94
     4.6   -13.80    -8.67     -9.96
     4.7   -12.14    -8.46    -11.21
     4.8   -11.35    -7.89    -10.89
     4.9   -10.07    -8.05     -9.33
     5.0    -9.60    -7.54     -9.05
     5.1    -8.76    -7.45     -8.33
     5.2    -8.80    -7.61     -7.91
     5.3    -9.43    -8.02     -8.03
     5.4    -9.89    -8.10     -7.88
     5.5   -11.06    -9.40     -8.32
     5.6   -10.75   -10.23     -9.18
