# Papua, Indonesia 50 Year Ice Core Isotope and Chemistry Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/24351
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/papua/papua2019d1bchem.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Core
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes, hydrogen isotopes, chemistry
#--------------------
# Contribution_Date
#	Date: 2019-12-09
#--------------------
# File_Last_Modified_Date
#	Date: 2019-12-09
#--------------------
# Title
#	Study_Name: Papua, Indonesia 50 Year Ice Core Isotope and Chemistry Data
#--------------------
# Investigators
#	Investigators: Permana, D.S.; Thompson, L.G.; Mosley-Thompson, E.; Davis, M.E.; Lin, P.-N.; Nicolas, J.P.; Bolzan, J.F.; Bird, B.W.; Mikhalenko, V.N.; Gabrielli, P.; Zagorodnov, V.; Mountain, K.R.; Schotterer, U.; Hanggoro, W.; Habibie, M.N.; Kaize, Y.; Gunawan, D.; Setyadi, G.; Susanto, R.D.; Fernández, A.; Mark, B.G.
#--------------------
# Description_Notes_and_Keywords
#	Description: Papua, Indonesia ice core isotope (d18O, dD, tritium) and chemistry (chloride, potassium) data for the past 50 years, plus calculated Nino3 SST. 
#	Data from 3 ice cores drilled in 2010 by the Ohio State University's Byrd Polar and Climate Reseach Center's Ice Core Paleoclimate Research Group.
#
#--------------------
# Publication 
#	Authors: Donaldi S. Permana, Lonnie G. Thompson, Ellen Mosley-Thompson, Mary E. Davis, Ping-Nan Lin, Julien P. Nicolas, John F. Bolzan, Broxton W. Bird, Vladimir N. Mikhalenko, Paolo Gabrielli, Victor Zagorodnov, Keith R. Mountain, Ulrich Schotterer, Wido Hanggoro, Muhammad N. Habibie, Yohanes Kaize, Dodo Gunawan, Gesang Setyadi, Raden D. Susanto, Alfonso Fernández, Bryan G. Mark
#	Published_Date_or_Year: 2019-12-09     
#	Published_Title: Disappearance of the last tropical glaciers in the Western Pacific Warm Pool (Papua, Indonesia) appears imminent
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 0.1073/pnas.1822037116 
#	Online_Resource: https://www.pnas.org/content/early/2019/12/03/1822037116
#	Full_Citation: 
#	Abstract: The glaciers near Puncak Jaya in Papua, Indonesia, the highest peak between the Himalayas and the Andes, are the last remaining tropical glaciers in the West Pacific Warm Pool (WPWP). Here, we report the recent, rapid retreat of the glaciers near Puncak Jaya by quantifying the loss of ice coverage and reduction of ice thickness over the last 8 y. Photographs and measurements of a 30-m accumulation stake anchored to bedrock on the summit of one of these glaciers document a rapid pace in the loss of ice cover and a ~5.4-fold increase in the thinning rate, which was augmented by the strong 2015-2016 El Nino. At the current rate of ice loss, these glaciers will likely disappear within the next decade. To further understand the mechanisms driving the observed retreat of these glaciers, 2 ~32-m-long ice cores to bedrock recovered in mid-2010 are used to reconstruct the tropical Pacific climate variability over approximately the past half-century on a quasi-interannual timescale. The ice core oxygen isotopic ratios show a significant positive linear trend since 1964 CE (0.018 ± 0.008 permil per year; P < 0.03) and also suggest that the glaciers' retreat is augmented by El Nino-Southern Oscillation processes, such as convection and warming of the atmosphere and sea surface. These Papua glaciers provide the only tropical records of ice core-derived climate variability for the WPWP.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: ATM-0823586
#------------------
# Site_Information 
#	Site_Name: Puncak Jaya
#	Location: Ocean>Indian Ocean>Indonesia
#	Country: Indonesia
#	Northernmost_Latitude: -4.083 
# 	Southernmost_Latitude: -4.083 
# 	Easternmost_Longitude: 137.167
# 	Westernmost_Longitude: 137.167
# 	Elevation: 4884
#------------------
# Data_Collection   
#	Collection_Name: Papua2019D1Bchem
#	Earliest_Year: 1964
#	Most_Recent_Year: 2010
#	Time_Unit: Year CE
#	Core_Length: 31.87
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_m	depth, , , meter, , ice core, , ,N,
## Cl-	chloride, bulk ice, , parts per billion, ,ice core,,,N, A blank cell means no sample was available and 0.0 means below the detection limit
## K	potassium, bulk ice, , parts per billion, ,ice core,,,N, A blank cell means no sample was available and 0.0 means below the detection limit
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
depth_m	Cl-	K
0.000	51.99	30.24
0.055	6.47	8.88
0.107	5.71	5.07
0.159	11.43	8.24
0.211	5.50	5.07
0.263	24.43	8.05
0.315	15.14	8.64
0.367	44.51	8.90
0.419	264.55	41.49
0.471	177.54	33.38
0.523	109.04	20.47
0.573	53.00	11.77
0.623	180.87	57.20
0.675	179.86	29.15
0.727	242.03	31.94
0.779	46.01	8.53
0.831	158.76	23.06
0.883	197.38	23.85
0.935	126.33	16.51
0.990	108.40	14.86
1.045	83.89	9.98
1.095	155.93	17.47
1.145	453.75	43.92
1.195	155.70	16.64
1.245	274.17	31.70
1.295	132.94	27.26
1.345	68.09	17.61
1.395	137.74	23.17
1.445	102.15	10.08
1.495	246.60	20.95
1.545	565.60	60.99
1.595	519.01	46.84
1.645	899.05	74.63
1.695	56.33	16.12
1.745	81.06	22.19
1.795	6.96	3.94
1.845	40.71	9.60
1.895	32.50	23.45
1.945	13.59	6.51
2.000	49.15	7.04
2.055	165.80	26.86
2.107	27.57	4.32
2.159	14.22	3.68
2.211	9.47	3.85
2.263	18.95	0.00
2.315	26.75	19.46
2.367	19.70	9.14
2.419	80.55	20.76
2.471	32.47	7.73
2.523	12.57	2.44
2.575	49.93	14.54
2.627	43.08	7.03
2.679	9.32	2.99
2.731	14.11	5.78
2.783	31.38	31.22
2.835	61.26	45.35
2.892	28.54	11.20
2.950	12.76	16.29
3.001	146.70	27.30
3.052	67.15	5.99
3.103	133.83	30.87
3.154	73.55	10.87
3.205	10.14	0.00
3.256	0.00	0.00
3.307	0.00	0.00
3.358	0.00	2.75
3.409	0.00	45.79
3.460	0.00	0.00
3.511	0.00	0.00
3.562	0.00	0.00
3.613	0.00	0.00
3.664	0.00	2.23
3.715	0.00	0.00
3.766	0.00	0.00
3.817	0.00	0.00
3.868	0.00	0.00
3.919	0.00	0.00
3.970	0.00	3.08
4.020	0.00	0.00
4.072	0.00	3.54
4.124	0.00	0.00
4.176	0.00	0.00
4.228	0.00	3.53
4.280	0.00	0.00
4.332	12.31	18.00
4.384	19.25	29.20
4.436	10.38	0.00
4.488	0.00	11.08
4.540	6.34	15.42
4.592	8.26	22.53
4.644	6.03	8.43
4.696	0.00	6.36
4.748	0.00	0.00
4.800	0.00	0.00
4.852	0.00	7.15
4.904	15.03	12.18
4.956	0.00	2.40
5.008	0.00	4.25
5.060	0.00	17.83
5.112	0.00	6.65
5.161	0.00	5.44
5.210	0.00	0.00
5.259	0.00	0.00
5.308	5.63	3.54
5.357	0.00	0.00
5.406	0.00	0.00
5.455	4.97	0.00
5.504	5.58	3.54
5.553	0.00	0.00
5.602	0.00	0.00
5.651	6.44	3.91
5.700	0.00	0.00
5.749	0.00	0.00
5.798	0.00	0.00
5.847	0.00	0.00
5.896	0.00	0.00
5.948	0.00	0.00
6.000	0.00	3.36
6.055	0.00	0.00
6.110	0.00	0.00
6.165	0.00	0.00
6.220	0.00	0.00
6.275	0.00	0.00
6.330	0.00	0.00
6.385	0.00	0.00
6.440	0.00	2.69
6.495	0.00	0.00
6.550	0.00	4.41
6.605	0.00	0.00
6.660	0.00	0.00
6.715	0.00	0.00
6.770	0.00	0.00
6.825	0.00	0.00
6.880	0.00	0.00
6.935	0.00	0.00
6.990	0.00	0.00
7.040	0.00	0.00
7.090	0.00	0.00
7.135	0.00	0.00
7.180	0.00	0.00
7.225	0.00	0.00
7.270	0.00	0.00
7.315	0.00	0.00
7.360	0.00	0.00
7.405	0.00	2.22
7.450	0.00	0.00
7.495	0.00	6.46
7.540	0.00	0.00
7.585	0.00	2.78
7.630	0.00	7.41
7.675	0.00	5.45
7.720	0.00	0.00
7.765	0.00	12.59
7.810	0.00	0.00
7.855	0.00	4.44
7.900	0.00	6.35
7.949	0.00	0.00
7.998	0.00	5.60
8.047	0.00	0.00
8.096	0.00	0.00
8.145	0.00	0.00
8.194	0.00	0.00
8.243	0.00	0.00
8.292	0.00	0.00
8.341	0.00	0.00
8.390	0.00	0.00
8.439	0.00	0.00
8.488	0.00	0.00
8.537	0.00	7.29
8.586	0.00	0.00
8.635	0.00	0.00
8.684	0.00	0.00
8.733	0.00	0.00
8.782	0.00	0.00
8.831	0.00	0.00
8.880	0.00	0.00
8.932	0.00	0.00
8.984	0.00	0.00
9.036	0.00	0.00
9.088	0.00	0.00
9.140	0.00	0.00
9.192	0.00	0.00
9.244	0.00	0.00
9.296	0.00	0.00
9.348	0.00	0.00
9.400	0.00	0.00
9.452	0.00	0.00
9.504	4.91	12.88
9.556	0.00	0.00
9.608	0.00	0.00
9.660	0.00	0.00
9.712	0.00	0.00
9.764	0.00	0.00
9.816	0.00	0.00
9.868	0.00	0.00
9.920	0.00	0.00
9.977	0.00	0.00
10.030	0.00	0.00
10.082	0.00	0.00
10.135	0.00	3.20
10.187	0.00	0.00
10.240	0.00	0.00
10.292	0.00	0.00
10.345	0.00	0.00
10.397	0.00	0.00
10.450	4.51	0.00
10.502	0.00	2.70
10.555	12.35	52.64
10.607	4.77	15.24
10.660	0.00	0.00
10.712	0.00	0.00
10.765	0.00	0.00
10.817	0.00	0.00
10.870	0.00	0.00
10.928	0.00	0.00
10.981	61.37	26.00
11.034	0.00	0.00
11.087	0.00	0.00
11.140	0.00	0.00
11.193	0.00	0.00
11.246	0.00	0.00
11.299	0.00	0.00
11.352	0.00	0.00
11.405	0.00	0.00
11.458	0.00	0.00
11.511	7.62	3.20
11.564	0.00	0.00
11.617	0.00	0.00
11.670	5.22	2.33
11.723	0.00	0.00
11.776	0.00	0.00
11.832	0.00	0.00
11.890	0.00	0.00
11.938	0.00	0.00
11.985	0.00	0.00
12.033	0.00	0.00
12.080	0.00	0.00
12.128	0.00	0.00
12.175	0.00	0.00
12.223	0.00	0.00
12.270	0.00	0.00
12.318	4.67	0.00
12.365	0.00	0.00
12.413	0.00	0.00
12.460	0.00	4.47
12.508	0.00	0.00
12.555	0.00	3.84
12.603	0.00	0.00
12.650	0.00	0.00
12.698	0.00	0.00
12.745	0.00	0.00
12.793	0.00	0.00
12.840	0.00	0.00
12.899	0.00	0.00
12.953	0.00	0.00
13.007	0.00	0.00
13.061	0.00	0.00
13.115	0.00	0.00
13.169	0.00	0.00
13.223	0.00	0.00
13.277	0.00	0.00
13.331	0.00	0.00
13.385	0.00	0.00
13.439	0.00	0.00
13.493	0.00	3.53
13.547	0.00	3.80
13.601	0.00	0.00
13.655	0.00	0.00
13.709	0.00	0.00
13.763	0.00	0.00
13.820	0.00	0.00
13.855	0.00	0.00
13.890	0.00	0.00
13.925	0.00	0.00
13.960	0.00	0.00
13.995	0.00	0.00
14.030	0.00	0.00
14.065	0.00	0.00
14.100	0.00	2.28
14.135	0.00	0.00
14.170	0.00	0.00
14.205	0.00	0.00
14.240	0.00	0.00
14.275	0.00	0.00
14.310	0.00	0.00
14.345	0.00	0.00
14.380	0.00	0.00
14.415	0.00	0.00
14.450	0.00	0.00
14.485	0.00	0.00
14.520	0.00	0.00
14.555	0.00	0.00
14.590	0.00	0.00
14.625	0.00	0.00
14.660	0.00	0.00
14.695	0.00	0.00
14.730	0.00	0.00
14.760	0.00	0.00
14.790	0.00	0.00
14.822	0.00	0.00
14.854	0.00	0.00
14.886	0.00	0.00
14.918	0.00	0.00
14.950	0.00	0.00
14.982	0.00	0.00
15.014	0.00	0.00
15.046	0.00	0.00
15.078	0.00	0.00
15.110	0.00	0.00
15.142	0.00	0.00
15.174	0.00	0.00
15.206	0.00	0.00
15.238	0.00	0.00
15.270	0.00	0.00
15.302	0.00	0.00
15.334	0.00	0.00
15.366	0.00	0.00
15.398	0.00	0.00
15.430	0.00	0.00
15.462	0.00	0.00
15.494	0.00	0.00
15.526	0.00	0.00
15.558	0.00	0.00
15.590	0.00	0.00
15.622	0.00	0.00
15.651	0.00	0.00
15.680	0.00	0.00
15.733	0.00	0.00
15.786	0.00	0.00
15.839	0.00	0.00
15.892	0.00	0.00
15.945	0.00	0.00
15.998	0.00	0.00
16.051	0.00	0.00
16.104	0.00	0.00
16.157	0.00	0.00
16.210	0.00	0.00
16.263	0.00	0.00
16.316	0.00	0.00
16.369	0.00	0.00
16.422	0.00	0.00
16.475	0.00	0.00
16.528	0.00	0.00
16.581	0.00	0.00
16.634	0.00	2.17
16.687	0.00	0.00
16.740	0.00	0.00
16.787	0.00	0.00
16.834	0.00	0.00
16.881	0.00	0.00
16.928	0.00	0.00
16.975	0.00	0.00
17.022	0.00	0.00
17.069	0.00	2.44
17.116	0.00	2.86
17.163	0.00	0.00
17.210	0.00	0.00
17.257	0.00	0.00
17.304	0.00	2.19
17.351	0.00	0.00
17.398	7.23	2.57
17.445	0.00	0.00
17.492	5.37	2.76
17.540	0.00	0.00
17.590	0.00	0.00
17.639	0.00	2.31
17.689	0.00	0.00
17.738	0.00	0.00
17.788	0.00	0.00
17.837	0.00	0.00
17.887	0.00	0.00
17.936	0.00	0.00
17.986	0.00	0.00
18.035	0.00	0.00
18.085	0.00	0.00
18.134	0.00	0.00
18.184	0.00	0.00
18.233	0.00	0.00
18.283	0.00	0.00
18.332	0.00	0.00
18.382	0.00	0.00
18.431	6.87	4.41
18.481	0.00	0.00
18.530	5.06	2.97
18.580	0.00	0.00
18.625	0.00	0.00
18.671	0.00	0.00
18.716	0.00	0.00
18.762	0.00	0.00
18.807	0.00	0.00
18.852	0.00	0.00
18.898	0.00	0.00
18.943	0.00	0.00
18.989	0.00	0.00
19.034	0.00	0.00
19.079	12.41	6.94
19.125	0.00	2.54
19.170	0.00	0.00
19.216	0.00	0.00
19.261	0.00	0.00
19.306	0.00	0.00
19.352	0.00	0.00
19.397	0.00	0.00
19.443	0.00	0.00
19.488	0.00	0.00
19.533	0.00	2.22
19.580	0.00	0.00
19.626	0.00	0.00
19.672	0.00	0.00
19.719	0.00	0.00
19.765	0.00	0.00
19.811	0.00	0.00
19.857	0.00	0.00
19.903	0.00	0.00
19.950	0.00	0.00
19.996	5.21	4.12
20.042	0.00	0.00
20.088	0.00	2.41
20.134	0.00	0.00
20.181	0.00	0.00
20.227	0.00	0.00
20.273	0.00	0.00
20.319	0.00	0.00
20.365	0.00	0.00
20.412	0.00	0.00
20.458	0.00	0.00
20.504	0.00	0.00
20.550	0.00	1.29
20.600	0.00	18.94
20.648	0.00	0.00
20.696	0.00	0.00
20.744	0.00	1.48
20.792	0.00	0.00
20.840	0.00	0.00
20.888	0.00	1.85
20.936	0.00	0.00
20.984	0.00	0.00
21.032	0.00	0.00
21.080	0.00	0.00
21.128	0.00	1.83
21.176	0.00	0.00
21.224	0.00	0.00
21.272	0.00	0.00
21.320	0.00	0.00
21.368	0.00	0.00
21.416	0.00	0.00
21.464	0.00	0.00
21.512	0.00	0.00
21.560	0.00	0.00
21.608	0.00	0.98
21.656	0.00	1.14
21.705	0.00	0.00
21.753	0.00	0.00
21.801	0.00	0.00
21.849	0.00	2.10
21.897	5.16	3.38
21.946	0.00	0.00
21.994	0.00	0.00
22.042	0.00	0.00
22.090	0.00	0.00
22.138	0.00	0.00
22.187	0.00	1.29
22.235	0.00	2.60
22.283	0.00	0.00
22.331	0.00	0.00
22.379	0.00	1.61
22.428	0.00	1.56
22.476	0.00	0.00
22.524	0.00	0.00
22.572	0.00	0.00
22.620	0.00	0.00
22.670	0.00	0.00
22.717	0.00	0.00
22.764	0.00	0.00
22.811	0.00	0.00
22.858	0.00	0.00
22.905	0.00	0.00
22.952	0.00	0.00
22.999	0.00	0.00
23.046	0.00	0.00
23.093	0.00	0.00
23.140	0.00	0.00
23.187	10.82	1.50
23.234	4.24	0.00
23.281	0.00	0.00
23.328	0.00	0.00
23.375	0.00	0.00
23.422	0.00	0.00
23.471	0.00	0.00
23.520	0.00	0.00
23.565	0.00	0.00
23.609	0.00	0.00
23.654	7.59	1.96
23.698	16.95	13.29
23.743	0.00	1.28
23.787	6.59	6.91
23.832	0.00	1.25
23.876	0.00	1.31
23.921	6.12	3.18
23.965	0.00	0.00
24.010	0.00	0.00
24.054	0.00	0.00
24.099	0.00	0.00
24.143	4.75	3.61
24.188	0.00	0.00
24.232	0.00	0.00
24.277	0.00	1.38
24.321	13.55	7.58
24.366	0.00	0.00
24.410	0.00	0.00
24.460	0.00	0.00
24.509	0.00	0.00
24.558	0.00	0.00
24.607	0.00	0.00
24.656	0.00	0.00
24.705	0.00	0.00
24.754	0.00	0.00
24.803	0.00	0.00
24.852	0.00	0.00
24.901	0.00	0.00
24.950	0.00	1.32
24.999	0.00	0.00
25.048	0.00	1.92
25.097	0.00	1.54
25.146	0.00	0.00
25.195	0.00	0.00
25.244	0.00	0.00
25.293	0.00	0.00
25.342	0.00	0.00
25.391	0.00	0.00
25.440	0.00	0.00
25.491	0.00	0.00
25.541	0.00	1.05
25.592	0.00	0.00
25.642	0.00	0.00
25.692	0.00	0.00
25.743	0.00	0.00
25.793	0.00	0.00
25.844	0.00	0.00
25.894	0.00	0.00
25.945	0.00	0.00
25.995	0.00	0.00
26.046	0.00	0.00
26.096	0.00	1.66
26.147	0.00	0.00
26.197	7.27	3.13
26.248	0.00	0.00
26.298	0.00	0.00
26.349	0.00	0.00
26.399	0.00	0.00
26.450	0.00	0.00
26.500	0.00	0.00
26.549	0.00	0.00
26.599	0.00	0.00
26.648	0.00	0.00
26.698	0.00	0.00
26.747	0.00	0.00
26.797	0.00	0.00
26.846	0.00	0.00
26.896	0.00	1.35
26.945	0.00	0.00
26.995	0.00	0.00
27.044	0.00	0.00
27.094	0.00	1.41
27.143	0.00	0.00
27.193	0.00	0.00
27.242	0.00	0.00
27.292	9.03	5.01
27.341	0.00	0.00
27.391	0.00	0.00
