# Papua, Indonesia 50 Year Ice Core Isotope and Chemistry Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/24351
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/papua/papua2019d1biso.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Core
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes, hydrogen isotopes, chemistry
#--------------------
# Contribution_Date
#	Date: 2019-12-09
#--------------------
# File_Last_Modified_Date
#	Date: 2019-12-09
#--------------------
# Title
#	Study_Name: Papua, Indonesia 50 Year Ice Core Isotope and Chemistry Data
#--------------------
# Investigators
#	Investigators: Permana, D.S.; Thompson, L.G.; Mosley-Thompson, E.; Davis, M.E.; Lin, P.-N.; Nicolas, J.P.; Bolzan, J.F.; Bird, B.W.; Mikhalenko, V.N.; Gabrielli, P.; Zagorodnov, V.; Mountain, K.R.; Schotterer, U.; Hanggoro, W.; Habibie, M.N.; Kaize, Y.; Gunawan, D.; Setyadi, G.; Susanto, R.D.; Fernández, A.; Mark, B.G.
#--------------------
# Description_Notes_and_Keywords
#	Description: Papua, Indonesia ice core isotope (d18O, dD, tritium) and chemistry (chloride, potassium) data for the past 50 years, plus calculated Nino3 SST. 
#	Data from 3 ice cores drilled in 2010 by the Ohio State University's Byrd Polar and Climate Reseach Center's Ice Core Paleoclimate Research Group.
#
#--------------------
# Publication 
#	Authors: Donaldi S. Permana, Lonnie G. Thompson, Ellen Mosley-Thompson, Mary E. Davis, Ping-Nan Lin, Julien P. Nicolas, John F. Bolzan, Broxton W. Bird, Vladimir N. Mikhalenko, Paolo Gabrielli, Victor Zagorodnov, Keith R. Mountain, Ulrich Schotterer, Wido Hanggoro, Muhammad N. Habibie, Yohanes Kaize, Dodo Gunawan, Gesang Setyadi, Raden D. Susanto, Alfonso Fernández, Bryan G. Mark
#	Published_Date_or_Year: 2019-12-09     
#	Published_Title: Disappearance of the last tropical glaciers in the Western Pacific Warm Pool (Papua, Indonesia) appears imminent
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 0.1073/pnas.1822037116 
#	Online_Resource: https://www.pnas.org/content/early/2019/12/03/1822037116
#	Full_Citation: 
#	Abstract: The glaciers near Puncak Jaya in Papua, Indonesia, the highest peak between the Himalayas and the Andes, are the last remaining tropical glaciers in the West Pacific Warm Pool (WPWP). Here, we report the recent, rapid retreat of the glaciers near Puncak Jaya by quantifying the loss of ice coverage and reduction of ice thickness over the last 8 y. Photographs and measurements of a 30-m accumulation stake anchored to bedrock on the summit of one of these glaciers document a rapid pace in the loss of ice cover and a ~5.4-fold increase in the thinning rate, which was augmented by the strong 2015-2016 El Nino. At the current rate of ice loss, these glaciers will likely disappear within the next decade. To further understand the mechanisms driving the observed retreat of these glaciers, 2 ~32-m-long ice cores to bedrock recovered in mid-2010 are used to reconstruct the tropical Pacific climate variability over approximately the past half-century on a quasi-interannual timescale. The ice core oxygen isotopic ratios show a significant positive linear trend since 1964 CE (0.018 ± 0.008 permil per year; P < 0.03) and also suggest that the glaciers' retreat is augmented by El Nino-Southern Oscillation processes, such as convection and warming of the atmosphere and sea surface. These Papua glaciers provide the only tropical records of ice core-derived climate variability for the WPWP.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: ATM-0823586
#------------------
# Site_Information 
#	Site_Name: Puncak Jaya
#	Location: Ocean>Indian Ocean>Indonesia
#	Country: Indonesia
#	Northernmost_Latitude: -4.083 
# 	Southernmost_Latitude: -4.083 
# 	Easternmost_Longitude: 137.167
# 	Westernmost_Longitude: 137.167
# 	Elevation: 4884
#------------------
# Data_Collection   
#	Collection_Name: Papua2019D1Biso
#	Earliest_Year: 1964
#	Most_Recent_Year: 2010
#	Time_Unit: Year CE
#	Core_Length: 31.87
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_m	depth, , , meter, , ice core, , ,N,
## d18O	delta 18O, bulk ice, , permil, ,ice core,,,N, A blank cell means no sample available
## dD	delta 2H, bulk ice, , permil, ,ice core,,,N, A blank cell means no sample available
## dust	dust, bulk ice, , particles per milliliter, ,ice core,,,N, particles >63 um diameter
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
depth_m	d18O	dD	dust
0.000	-14.33	-100.73	310874
0.030	-14.23	-100.06	95585
0.057	-14.95	-106.79	30220
0.084	-14.54	-101.96	128264
0.111	-14.46	-100.58	105794
0.138	-14.73	-104.67	86871
0.165	-14.70	-104.83	58861
0.192	-14.65	-104.24	162014
0.219	-14.56	-105.91	83347
0.246	-14.75	-104.97	34577
0.273	-14.73	-104.43	39657
0.300	-14.65	-104.01	78379
0.327	-14.36	-102.24	199045
0.354	-14.67	-104.47	49221
0.381	-14.68	-104.48	118365
0.408	-14.73	-104.49	128122
0.435	-14.77	-105.06	137776
0.462	-14.65	-104.14	81881
0.489	-14.77	-105.19	71997
0.516	-14.76	-104.46	110665
0.543	-14.82	-104.99	95524
0.570	-14.91	-104.75	187553
0.597	-14.82	-105.15	90292
0.624	-14.87	-105.91	137406
0.651	-14.76	-104.77	185817
0.681	-14.72	-103.78	364974
0.708	-14.74	-104.67	131373
0.735	-14.97	-105.96	88470
0.762	-14.84	-105.28	160513
0.789	-14.67	-104.25	38758
0.816	-14.77	-104.23	46380
0.843	-14.67	-105.34	99150
0.870	-14.70	-103.17	151906
0.897	-14.86	-104.94	89072
0.924	-14.82	-102.65	69958
0.957	-14.64	-102.95	169394
0.990	-14.88	-105.52	86474
1.019	-15.11	-105.75	128697
1.048	-15.01	-106.36	65714
1.077	-14.95	-105.90	86413
1.106	-14.94	-106.81	44582
1.135	-14.95	-106.78	51982
1.164	-14.89	-106.28	89466
1.193	-15.04	-106.80	62120
1.222	-15.21	-107.84	43298
1.251	-14.99	-106.96	64475
1.280	-14.86	-106.48	56178
1.309	-14.74	-103.91	78762
1.338	-14.73	-103.71	47599
1.367	-14.66	-103.60	51581
1.396	-14.92	-106.23	64921
1.425	-15.23	-107.94	56553
1.454	-14.80	-104.56	128060
1.483	-15.00	-106.94	109062
1.512	-14.97	-106.92	96274
1.541	-14.88	-105.94	120192
1.570	-14.86	-104.31	135407
1.599	-14.68	-103.83	147377
1.628	-14.73	-103.68	123634
1.657	-14.81	-105.87	56241
1.686	-14.68	-104.67	219743
1.715	-14.65	-104.32	127306
1.744	-15.08	-107.92	22378
1.773	-15.05	-105.95	32840
1.802	-14.99	-105.62	83767
1.831	-14.91	-105.44	132406
1.860	-14.91	-105.38	32500
1.889	-14.88	-105.13	26301
1.918	-14.86	-103.87	31761
1.947	-14.72	-102.48	65317
1.976	-14.98	-107.72	133292
2.000	-14.98	-105.30	89094
2.035	-14.70	-103.47	93252
2.061	-14.86	-105.79	143676
2.087	-14.97	-106.77	171107
2.113	-15.03	-108.27	48401
2.139	-14.99	-107.69	43500
2.165	-15.07	-109.22	32380
2.191	-15.14	-108.87	28239
2.217	-15.10	-106.38	16400
2.243	-14.96	-107.38	36781
2.269	-15.08	-108.26	57299
2.295	-15.14	-107.66	25641
2.327	-14.98	-106.21	44079
2.357	-15.09	-106.59	56335
2.383	-15.06	-108.08	30141
2.409	-15.11	-107.60	49338
2.435	-15.00	-105.48	60138
2.461	-15.15	-106.65	43519
2.487	-15.17	-107.51	43623
2.513	-15.07	-107.24	29919
2.539	-15.06	-107.49	19458
2.565	-15.11	-106.86	17980
2.591	-14.95	-105.67	31120
2.617	-15.05	-106.67	72785
2.643	-15.15	-108.68	29960
2.669	-15.09	-108.71	15622
2.695	-15.09	-107.48	14400
2.725	-15.24	-108.54	18299
2.755	-15.37	-109.47	30780
2.781	-15.36	-109.62	21782
2.807	-15.19	-109.37	22759
2.833	-15.23	-108.89	19600
2.859	-15.18	-108.35	23000
2.885	-15.16	-109.09	17680
2.915	-15.24	-108.60	15482
2.950	-15.18	-107.81	30561
2.980	-15.05	-108.49	24860
3.006	-15.19	-108.98	32840
3.032	-15.16	-108.81	83038
3.058	-15.36	-110.94	32240
3.084	-15.29	-108.30	17202
3.110	-15.22	-109.42	14480
3.136	-15.16	-106.91	22759
3.162	-15.22	-106.75	40680
3.188	-15.19	-107.46	60438
3.214	-15.20	-107.92	24181
3.240	-15.35	-111.06	17939
3.266	-15.56	-111.62	18603
3.292	-15.88	-113.02	18062
3.318	-15.65	-110.49	16221
3.344	-15.70	-113.36	14780
3.370	-15.75	-111.85	13200
3.396	-15.74	-111.25	17341
3.422	-15.74	-111.75	17918
3.448	-15.56	-111.32	34280
3.478	-15.59	-110.71	41739
3.504	-15.62	-110.53	74012
3.530	-15.64	-111.21	73000
3.556	-15.75	-111.96	46119
3.582	-15.73	-111.81	23082
3.608	-15.73	-111.48	18659
3.634	-15.74	-110.75	33000
3.660	-15.77	-111.06	36878
3.686	-15.74	-110.56	36802
3.712	-15.79	-111.96	50020
3.738	-15.77	-113.41	16418
3.764	-15.77	-113.57	18298
3.790	-16.05	-114.26	19841
3.816	-16.06	-114.22	34758
3.842	-15.92	-112.67	30238
3.868	-15.86	-111.66	30340
3.894	-15.82	-111.59	28001
3.920	-15.84	-112.64	20660
3.946	-15.91	-111.99	26460
3.970	-16.07	-113.67	19901
4.000	-16.04	-112.98	35998
4.023	-16.12	-113.19	19642
4.046	-16.22	-113.84	7780
4.069	-16.18	-113.15	11740
4.092	-16.18	-112.38	10880
