# Papua, Indonesia 50 Year Ice Core Isotope and Chemistry Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/24351
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/papua/papua2019iso-sst.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Core
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes, hydrogen isotopes, chemistry
#--------------------
# Contribution_Date
#	Date: 2019-12-09
#--------------------
# File_Last_Modified_Date
#	Date: 2019-12-09
#--------------------
# Title
#	Study_Name: Papua, Indonesia 50 Year Ice Core Isotope and Chemistry Data
#--------------------
# Investigators
#	Investigators: Permana, D.S.; Thompson, L.G.; Mosley-Thompson, E.; Davis, M.E.; Lin, P.-N.; Nicolas, J.P.; Bolzan, J.F.; Bird, B.W.; Mikhalenko, V.N.; Gabrielli, P.; Zagorodnov, V.; Mountain, K.R.; Schotterer, U.; Hanggoro, W.; Habibie, M.N.; Kaize, Y.; Gunawan, D.; Setyadi, G.; Susanto, R.D.; Fernández, A.; Mark, B.G.
#--------------------
# Description_Notes_and_Keywords
#	Description: Papua, Indonesia ice core isotope (d18O, dD, tritium) and chemistry (chloride, potassium) data for the past 50 years, plus calculated Nino3 SST. 
#	Data from 3 ice cores drilled in 2010 by the Ohio State University's Byrd Polar and Climate Reseach Center's Ice Core Paleoclimate Research Group.
#
#--------------------
# Publication 
#	Authors: Donaldi S. Permana, Lonnie G. Thompson, Ellen Mosley-Thompson, Mary E. Davis, Ping-Nan Lin, Julien P. Nicolas, John F. Bolzan, Broxton W. Bird, Vladimir N. Mikhalenko, Paolo Gabrielli, Victor Zagorodnov, Keith R. Mountain, Ulrich Schotterer, Wido Hanggoro, Muhammad N. Habibie, Yohanes Kaize, Dodo Gunawan, Gesang Setyadi, Raden D. Susanto, Alfonso Fernández, Bryan G. Mark
#	Published_Date_or_Year: 2019-12-09     
#	Published_Title: Disappearance of the last tropical glaciers in the Western Pacific Warm Pool (Papua, Indonesia) appears imminent
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 0.1073/pnas.1822037116 
#	Online_Resource: https://www.pnas.org/content/early/2019/12/03/1822037116
#	Full_Citation: 
#	Abstract: The glaciers near Puncak Jaya in Papua, Indonesia, the highest peak between the Himalayas and the Andes, are the last remaining tropical glaciers in the West Pacific Warm Pool (WPWP). Here, we report the recent, rapid retreat of the glaciers near Puncak Jaya by quantifying the loss of ice coverage and reduction of ice thickness over the last 8 y. Photographs and measurements of a 30-m accumulation stake anchored to bedrock on the summit of one of these glaciers document a rapid pace in the loss of ice cover and a ~5.4-fold increase in the thinning rate, which was augmented by the strong 2015-2016 El Nino. At the current rate of ice loss, these glaciers will likely disappear within the next decade. To further understand the mechanisms driving the observed retreat of these glaciers, 2 ~32-m-long ice cores to bedrock recovered in mid-2010 are used to reconstruct the tropical Pacific climate variability over approximately the past half-century on a quasi-interannual timescale. The ice core oxygen isotopic ratios show a significant positive linear trend since 1964 CE (0.018 ± 0.008 permil per year; P < 0.03) and also suggest that the glaciers' retreat is augmented by El Nino-Southern Oscillation processes, such as convection and warming of the atmosphere and sea surface. These Papua glaciers provide the only tropical records of ice core-derived climate variability for the WPWP.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: ATM-0823586
#------------------
# Site_Information 
#	Site_Name: Puncak Jaya
#	Location: Ocean>Indian Ocean>Indonesia
#	Country: Indonesia
#	Northernmost_Latitude: -4.083 
# 	Southernmost_Latitude: -4.083 
# 	Easternmost_Longitude: 137.167
# 	Westernmost_Longitude: 137.167
# 	Elevation: 4884
#------------------
# Data_Collection   
#	Collection_Name: Papua2019iso-SST
#	Earliest_Year: 1964
#	Most_Recent_Year: 2010
#	Time_Unit: Year CE
#	Core_Length: 31.87
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## month	month and year, , , , , ice core, , ,C,
## d18OD1	delta 18O, bulk ice, , permil, ,ice core,,,N, core D1
## d18OD1B	delta 18O, bulk ice, , permil, ,ice core,,,N, core D1B
## sst	sea surface temperature, , , degree Celcius, ,climate reconstruction,,,N, 13-month running mean NINO3 SST
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
month	d18OD1	d18OD1B	sst
01-1964	-16.12	-16.29	25.83
02-1964	-16.09	-16.39	25.63
03-1964	-16.07	-16.40	25.49
04-1964	-16.23	-16.32	25.38
05-1964	-16.15	-16.39	25.27
06-1964	-16.16	-16.46	25.13
07-1964	-16.27	-16.46	25.04
08-1964	-16.33	-16.63	25.03
09-1964	-16.34	-16.80	25.08
10-1964	-16.43	-16.63	25.14
11-1964	-16.56	-16.66	25.23
12-1964	-16.44	-16.69	25.34
01-1965	-16.48	-16.61	25.44
02-1965	-16.43	-16.56	25.54
03-1965	-16.41	-16.50	25.71
04-1965	-16.32	-16.53	25.88
05-1965	-16.37	-16.65	26.06
06-1965	-16.33	-16.51	26.24
07-1965	-16.28	-16.34	26.45
08-1965	-16.24	-16.35	26.61
09-1965	-16.26	-16.25	26.71
10-1965	-16.12	-16.13	26.74
11-1965	-16.20	-16.32	26.66
12-1965	-16.27	-16.50	26.54
01-1966	-16.35	-16.70	26.41
02-1966	-16.38	-16.51	26.26
03-1966	-16.37	-16.52	26.11
04-1966	-16.22	-16.38	26.00
05-1966	-16.25	-16.42	25.86
06-1966	-16.33	-16.53	25.71
07-1966	-16.15	-16.48	25.60
08-1966	-16.32	-16.43	25.56
09-1966	-16.24	-16.53	25.53
10-1966	-16.50	-16.67	25.48
11-1966	-16.44	-16.59	25.43
12-1966	-16.31	-16.46	25.43
01-1967	-16.35	-16.40	25.38
02-1967	-16.43	-16.65	25.30
03-1967	-16.41	-16.65	25.23
04-1967	-16.26	-16.71	25.20
05-1967	-16.19	-16.69	25.17
06-1967	-16.30	-16.79	25.16
07-1967	-16.39	-16.82	25.16
08-1967	-16.40	-16.76	25.15
09-1967	-16.27	-16.73	25.13
10-1967	-16.28	-16.81	25.15
11-1967	-16.50	-16.81	25.12
12-1967	-16.44	-16.84	25.09
01-1968	-16.54	-16.90	25.06
02-1968	-16.53	-16.90	25.06
03-1968	-16.34	-16.91	25.11
04-1968	-16.43	-17.00	25.21
05-1968	-16.51	-17.03	25.32
06-1968	-16.44	-16.99	25.45
07-1968	-16.59	-17.08	25.61
08-1968	-16.43	-16.91	25.79
09-1968	-16.45	-16.96	25.99
10-1968	-16.39	-16.90	26.14
11-1968	-16.35	-17.14	26.24
12-1968	-16.70	-17.04	26.29
01-1969	-16.62	-17.30	26.25
02-1969	-16.72	-17.29	26.22
03-1969	-16.27	-17.14	26.23
04-1969	-16.50	-17.08	26.28
05-1969	-16.38	-16.72	26.33
06-1969	-16.53	-16.78	26.38
07-1969	-16.55	-16.93	26.42
08-1969	-16.64	-17.12	26.45
09-1969	-16.64	-17.21	26.46
10-1969	-16.57	-17.03	26.44
11-1969	-16.47	-17.10	26.34
12-1969	-16.61	-16.91	26.15
01-1970	-16.60	-16.86	25.93
02-1970	-16.60	-16.69	25.74
03-1970	-16.77	-16.73	25.61
04-1970	-16.61	-16.90	25.48
05-1970	-16.49	-16.82	25.34
06-1970	-16.53	-16.94	25.21
07-1970	-16.46	-16.93	25.08
08-1970	-16.45	-16.93	24.98
09-1970	-16.19	-16.51	24.94
10-1970	-16.31	-16.89	24.91
11-1970	-16.27	-16.82	24.84
12-1970	-16.29	-16.67	24.76
01-1971	-16.28	-16.61	24.71
02-1971	-16.20	-16.54	24.71
03-1971	-15.97	-16.64	24.75
04-1971	-16.11	-16.56	24.76
05-1971	-16.08	-16.54	24.78
06-1971	-16.06	-16.58	24.79
07-1971	-16.06	-16.51	24.86
08-1971	-16.12	-16.46	24.99
09-1971	-16.12	-16.51	25.15
10-1971	-16.02	-16.48	25.27
11-1971	-15.92	-16.44	25.33
12-1971	-15.91	-16.45	25.40
01-1972	-15.78	-16.40	25.52
02-1972	-15.82	-16.36	25.66
03-1972	-15.83	-16.31	25.84
04-1972	-15.84	-16.21	26.05
05-1972	-15.87	-16.05	26.30
06-1972	-15.74	-16.20	26.55
07-1972	-15.68	-16.31	26.81
08-1972	-15.87	-16.27	26.98
09-1972	-15.92	-16.21	27.10
10-1972	-15.83	-16.22	27.10
11-1972	-15.71	-16.03	26.99
12-1972	-15.86	-16.14	26.84
01-1973	-15.79	-16.29	26.62
02-1973	-15.87	-16.46	26.37
03-1973	-15.93	-16.52	26.13
04-1973	-16.14	-16.63	25.90
05-1973	-16.51	-16.64	25.65
06-1973	-16.52	-16.73	25.39
07-1973	-16.47	-17.00	25.15
08-1973	-16.74	-17.03	24.99
09-1973	-16.94	-17.19	24.92
10-1973	-16.96	-17.27	24.87
11-1973	-17.09	-17.46	24.84
12-1973	-17.26	-17.47	24.81
01-1974	-17.13	-17.46	24.80
02-1974	-17.13	-17.55	24.84
03-1974	-17.12	-17.40	24.90
04-1974	-17.07	-17.51	24.94
05-1974	-17.01	-17.48	25.01
06-1974	-16.93	-17.45	25.08
07-1974	-16.97	-17.36	25.20
08-1974	-17.06	-17.28	25.32
09-1974	-17.23	-17.39	25.41
10-1974	-17.16	-17.45	25.47
11-1974	-17.17	-17.61	25.43
12-1974	-17.26	-17.50	25.34
01-1975	-17.41	-17.69	25.26
02-1975	-17.51	-18.18	25.17
03-1975	-17.81	-18.76	25.08
