# Puruogangri Ice Cap, China 500 Year Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22214 
#       Description: 
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/puruogangri/puruogangri2017efc.txt
#       Description:
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#
# Dataset DOI: 
#
# Parameter_Keywords: chemistry 
#--------------------
# Contribution_Date
#	Date: 2017-06-09
#--------------------
# File_Last_Modified_Date
#	Date: 2017-06-09
#--------------------
# Title
#	Study_Name: Puruogangri Ice Cap, China 500 Year Trace Element Data
#--------------------
# Investigators
#	Investigators: Beaudon, E.; Gabrielli, P.; Sierra-Hernandez, M.R.; Wegner, A.; Thompson, L.G. 
#--------------------
# Description_Notes_and_Keywords
#	Description: Trace element data from ice cores collected on the Dome A of the Puruogangri Ice Cap, Tibetan Plateau, China,
#	from  1497 to 1991 CE.  Included are annual median of concentration and enrichment factor (EF) of trace elements. 
#	Annual medians are calculated from raw concentration/EFc of individual sample values (based on freshly cut ice samples) for 
#	Ag, Bi, Cd, Fe, Pb, Sb, Tl, and Zn.  EFc were calculated using Fe as crustal element of reference and Potential Source Areas 
#	(PSA) of dust samples from the Tibetan Plateau as crustal reference.  5 year average concentrations and EFc are calculated 
#	as average of annual median values for Ag, Cd, Fe, Pb, Sb, Tl, and Zn.  Time scale is from Thompson et al. (2006) Annals of 
#	Glaciology, vol 43, 61-68. 
#--------------------
# Publication 
#	Authors: Emilie Beaudon, Paolo Gabrielli, M. Roxana Sierra-Hernández, Anna Wegner, Lonnie G. Thompson
#	Published_Date_or_Year: 2017-12-01    
#	Published_Title: Central Tibetan Plateau atmospheric trace metals contamination: a 500-year record from the Puruogangri ice core
#	Journal_Name: Science of the Total Environment
#	Volume: 601-602
#	Edition: 
#	Issue: 
#	Pages: 1349-1363
#	Report_Number: 
#	DOI: 10.1016/j.scitotenv.2017.05.195
#	Online_Resource: http://www.sciencedirect.com/science/article/pii/S0048969717313025
#	Full_Citation: 
#	Abstract: A ~ 500-year section of ice core (1497-1992) from the Puruogangri ice cap has been analyzed at high resolution for 28 trace elements (TEs: Ag, Al, As, Ba, Bi, Cd, Co, Cr, Cs, Cu, Fe, Ga, Li, Mg, Mn, Na, Nb, Ni, Pb, Rb, Sb, Sn, Sr, Ti, Tl, U, V and Zn) to assess different atmospheric contributions to the ice and provide a temporal perspective on the diverse atmospheric influences over the central Tibetan Plateau (TP). At least two volcanic depositions have significantly impacted the central TP over the past 500 years, possibly originating from the Billy Mitchell (1580, Papua New Guinea) and the Parker Peak (1641, Philippines) eruptions. A decreasing aeolian dust input to the ice cap allowed the detection of an atmospheric pollution signal. The anthropogenic pollution contribution emerges in the record since the early 1900s (for Sb and Cd) and increases substantially after 1935 (for Ag, Zn, Pb, Cd and Sb). The metallurgy (Zn, Pb and steel smelting) emission products (Cd, Zn, Pb and Ag) from the former Soviet Union and especially from central Asia (e.g., Kyrgyzstan, Kazakhstan) likely enhanced the anthropogenic deposition to the Puruogangri ice cap between 1935 and 1980, suggesting that the westerlies served as a conveyor of atmospheric pollution to central Tibet. The impact of this industrial pollution cumulated with that of the hemispheric coal and gasoline combustion which are respectively traced by Sb and Pb enrichment in the ice. The Chinese steel production accompanying the Great Leap Forward (1958-1961) and the Chinese Cultural Revolution (1966-1976) is proposed as a secondary but proximal source of Pb pollution affecting the ice cap between 1958 and 1976. The most recent decade (1980-1992) of the enrichment time series suggests that Puruogangri ice cap recorded the early Sb, Cd, Zn, Pb and Ag pollution originating from developing countries of South (i.e., India) and East (i.e., China) Asia and transported by the summer monsoonal circulation.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: ACP-1149239
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Ohio State University
#	Grant: BPCRC Fellowship
#------------------
# Site_Information 
#	Site_Name: Puruogangri Dome A Ice Core
#	Location: Asia>Eastern Asia>China
#	Country: China
#	Northernmost_Latitude: 33.916
# 	Southernmost_Latitude: 33.916
# 	Easternmost_Longitude: 89.083
# 	Westernmost_Longitude: 89.083
# 	Elevation: 5980 m
#------------------
# Data_Collection   
#	Collection_Name: Puruogangri2017EFc
#	Earliest_Year: 1497 
#	Most_Recent_Year: 1991 
#	Time_Unit: AD
#	Core_Length: 123.74 m 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	Time scale is from Thompson et al. (2006) Annals of Glaciology, vol 43, 61-68. 
#	The Puruogangri core 2 was dated by dust layer counting to 1600 AD, and was also constrained by the 1962/63 beta peak. 
#	From 1497 to 1600 AD, the core age is calculated from a 2-parameter thinning model (see Thompson et al., 2006)
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## age_AD	age, , , AD, , , , , N,
## AgEFc	Silver enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## CdEFc	Cadmium enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## SbEFc	Antimony enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## TlEFc	Thallium enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## PbEFc	Lead enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## BiEFc	Bismuth enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## FeEFc	Iron enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
## ZnEFc	Zinc enrichment factor, , , , ,icecore, annual median enrichment factor, , N, 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	AgEFc	CdEFc	SbEFc	TlEFc	PbEFc	BiEFc	FeEFc	ZnEFc
1991	5.99	4.12	3.11	1.81	3.31	2.00	1.00	1.94
1990	2.06	3.39	4.11	1.87	1.91	1.61	1.00	1.52
1989	3.40	3.23	2.69	1.76	2.83	1.92	1.00	1.92
1988	3.66	3.76	1.93	1.81	3.28	1.53	1.00	1.96
1987	4.24	3.65	1.71	1.52	3.96	1.52	1.00	1.97
1986	2.59	2.84	1.77	1.44	2.22	1.58	1.00	1.86
1985	1.77	4.35	4.22	2.78	2.60	1.52	1.00	2.34
1984	1.23	2.16	2.09	1.36	2.47	1.24	1.00	1.63
1983	2.32	2.74	1.93	1.60	2.71	1.26	1.00	1.75
1982	1.79	2.34	1.44	1.33	2.09	1.27	1.00	1.59
1981	3.48	4.68	3.27	1.83	2.56	1.65	1.00	1.84
1980	3.03	5.00	2.38	1.38	2.22	1.83	1.00	1.88
1979	3.36	3.38	2.04	1.60	2.75	1.40	1.00	1.75
1978	3.55	4.20	3.33	2.08	2.80	1.77	1.00	2.24
1977	3.31	3.58	2.65	1.87	3.71	1.32	1.00	1.86
1976	6.69	5.06	5.64	2.48	3.22	1.76	1.00	1.91
1975	4.50	6.17	3.88	2.32	3.18	1.64	1.00	2.34
1974	1.66	3.00	3.12	1.33	3.85	1.22	1.00	1.75
1973	6.80	5.99	6.94	1.97	5.36	1.99	1.00	2.19
1972	4.39	4.78	2.75	1.74	3.67	1.58	1.00	2.32
1971	3.68	4.15	3.22	1.98	3.21	1.56	1.00	2.09
1970	3.21	3.91	2.71	1.55	1.96	1.46	1.00	2.00
1969	3.65	4.07	2.53	1.60	2.95	1.50	1.00	2.54
1968	4.66	4.09	7.88	2.11	5.11	1.69	1.00	2.65
1967	2.37	5.24	3.68	2.01	2.33	1.48	1.00	2.62
1966	2.79	2.78	2.05	1.49	1.34	1.26	1.00	1.86
1965	7.66	10.07	7.39	3.36	2.98	1.77	1.00	4.45
1964	4.40	3.55	3.22	1.72	2.45	1.42	1.00	2.43
1963	3.83	3.23	1.99	1.56	2.50	1.34	1.00	1.75
1962	4.29	3.57	2.09	1.53	2.69	1.49	1.00	1.96
1961	3.70	3.28	2.09	1.41	3.14	1.64	1.00	1.81
1960	5.09	3.88	3.81	2.11	3.70	1.89	1.00	2.20
1959	4.65	4.40	5.63	1.93	2.38	2.04	1.00	1.63
1958	4.03	3.77	4.11	1.79	2.38	1.32	1.00	1.91
1957	3.05	3.38	2.76	1.57	2.41	1.32	1.00	1.73
1956	2.19	2.69	1.54	1.46	1.33	1.45	1.00	1.40
1955	2.50	3.67	2.91	1.77	2.08	1.45	1.00	1.96
1954	2.81	3.15	1.77	1.54	2.11	1.35	1.00	1.81
1953	3.70	3.55	2.65	1.89	2.99	1.42	1.00	2.01
1952	3.80	3.85	2.65	1.81	2.40	1.44	1.00	1.95
1951	2.52	2.71	1.78	1.42	2.04	1.39	1.00	1.76
1950	3.97	3.43	2.25	1.97	3.07	1.77	1.00	1.88
1949	3.08	3.18	3.02	2.09	1.91	1.66	1.00	1.96
1948	3.00	4.11	5.28	2.54	1.59	1.64	1.00	2.43
1947	2.47	3.02	4.35	2.15	1.54	1.61	1.00	2.17
1946	2.05	2.62	2.60	1.76	1.41	1.35	1.00	2.25
1945	2.39	2.44	1.75	1.50	1.91	1.41	1.00	1.54
1944	4.33	8.75	7.56	3.65	2.20	2.00	1.00	2.68
1943	4.09	4.36	5.26	2.44	2.31	1.43	1.00	2.01
1942	2.91	3.33	2.93	1.99	1.86	1.47	1.00	1.74
1941	2.44	3.56	2.30	2.43	1.99	1.44	1.00	1.86
1940	2.34	3.46	2.04	1.55	1.73	1.47	1.00	1.69
1939	2.19	3.23	5.16	3.08	1.25	1.31	1.00	1.50
1938	2.22	2.57	1.90	1.67	1.23	1.48	1.00	1.42
1937	3.44	2.80	1.98	1.54	2.24	1.57	1.00	1.77
1936	3.25	4.43	2.35	1.64	2.16	1.47	1.00	1.95
1935	3.00	4.57	2.27	1.60	1.93	1.62	1.00	1.75
1934	5.36	4.10	5.20	1.53	3.00	1.71	1.00	1.80
1933	2.31	3.41	1.35	1.68	2.38	1.29	1.00	1.64
1932	1.49	1.48	1.00	1.10	1.25	1.17	1.00	1.40
1931	0.89	1.64	0.93	0.92	1.24	1.08	1.00	1.30
1930	2.68	2.86	2.65	1.70	1.97	1.51	1.00	1.60
1929	1.13	1.83	2.05	1.46	1.49	1.28	1.00	1.51
1928	2.35	2.70	2.81	1.93	2.66	1.39	1.00	1.92
1927	2.21	2.95	1.29	1.33	1.59	1.51	1.00	1.58
1926	3.14	4.04	2.41	1.76	1.99	1.44	1.00	1.70
1925	2.55	3.44	1.74	1.30	1.91	1.48	1.00	1.63
1924	2.08	2.32	1.67	1.46	2.17	1.48	1.00	1.76
1923	1.74	2.33	1.74	1.36	1.36	1.66	1.00	1.50
1922	2.54	4.35	2.77	2.07	3.26	1.66	1.00	2.04
1921	2.41	3.17	2.74	2.01	2.04	1.77	1.00	1.66
1920	3.29	3.76	3.03	2.24	2.29	1.76	1.00	1.86
1919	2.99	4.36	3.97	2.57	1.92	1.94	1.00	1.67
1918	1.73	2.44	2.29	1.60	1.29	1.51	1.00	1.43
1917	2.35	4.39	2.85	1.99	4.21	1.50	1.00	1.96
1916	2.93	3.44	2.74	1.95	2.14	1.48	1.00	1.73
1915	1.22	1.82	2.00	1.68	1.55	1.39	1.00	1.51
1914	1.10	1.21	1.19	1.09	1.03	1.22	1.00	1.15
1913	1.70	1.91	1.78	1.61	1.47	1.14	1.00	1.50
1912	1.57	2.54	1.59	1.51	2.00	1.21	1.00	1.56
1911	1.81	3.77	4.61	1.82	3.79	1.31	1.00	1.98
1910	2.42	3.37	3.14	1.60	2.36	1.49	1.00	1.64
1909	4.58	2.58	6.32	1.46	3.19	1.37	1.00	1.68
1908	3.98	3.53	3.73	2.09	2.29	1.59	1.00	1.76
1907	2.92	2.95	2.67	1.59	2.23	1.45	1.00	1.76
1906	2.55	3.76	2.22	1.61	2.08	1.27	1.00	1.60
1905	2.14	2.64	1.87	1.53	1.55	1.31	1.00	1.58
1904	2.08	2.55	1.97	1.38	1.56	1.33	1.00	1.65
1903	2.47	3.92	2.49	1.71	1.39	1.51	1.00	1.51
