# Puruogangri Ice Cap, China 500 Year Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22214 
#       Description: 
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/puruogangri/puruogangri2017elem.txt
#       Description:
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#
# Dataset DOI: 
#
# Parameter_Keywords: chemistry 
#--------------------
# Contribution_Date
#	Date: 2017-06-09
#--------------------
# File_Last_Modified_Date
#	Date: 2017-06-09
#--------------------
# Title
#	Study_Name: Puruogangri Ice Cap, China 500 Year Trace Element Data
#--------------------
# Investigators
#	Investigators: Beaudon, E.; Gabrielli, P.; Sierra-Hernandez, M.R.; Wegner, A.; Thompson, L.G. 
#--------------------
# Description_Notes_and_Keywords
#	Description: Trace element data from ice cores collected on the Dome A of the Puruogangri Ice Cap, Tibetan Plateau, China,
#	from  1497 to 1991 CE.  Included are annual median of concentration and enrichment factor (EF) of trace elements. 
#	Annual medians are calculated from raw concentration/EFc of individual sample values (based on freshly cut ice samples) for 
#	Ag, Bi, Cd, Fe, Pb, Sb, Tl, and Zn.  EFc were calculated using Fe as crustal element of reference and Potential Source Areas 
#	(PSA) of dust samples from the Tibetan Plateau as crustal reference.  5 year average concentrations and EFc are calculated 
#	as average of annual median values for Ag, Cd, Fe, Pb, Sb, Tl, and Zn.  Time scale is from Thompson et al. (2006) Annals of 
#	Glaciology, vol 43, 61-68. 
#--------------------
# Publication 
#	Authors: Emilie Beaudon, Paolo Gabrielli, M. Roxana Sierra-Hernández, Anna Wegner, Lonnie G. Thompson
#	Published_Date_or_Year: 2017-12-01    
#	Published_Title: Central Tibetan Plateau atmospheric trace metals contamination: a 500-year record from the Puruogangri ice core
#	Journal_Name: Science of the Total Environment
#	Volume: 601-602
#	Edition: 
#	Issue: 
#	Pages: 1349-1363
#	Report_Number: 
#	DOI: 10.1016/j.scitotenv.2017.05.195
#	Online_Resource: http://www.sciencedirect.com/science/article/pii/S0048969717313025
#	Full_Citation: 
#	Abstract: A ~ 500-year section of ice core (1497-1992) from the Puruogangri ice cap has been analyzed at high resolution for 28 trace elements (TEs: Ag, Al, As, Ba, Bi, Cd, Co, Cr, Cs, Cu, Fe, Ga, Li, Mg, Mn, Na, Nb, Ni, Pb, Rb, Sb, Sn, Sr, Ti, Tl, U, V and Zn) to assess different atmospheric contributions to the ice and provide a temporal perspective on the diverse atmospheric influences over the central Tibetan Plateau (TP). At least two volcanic depositions have significantly impacted the central TP over the past 500 years, possibly originating from the Billy Mitchell (1580, Papua New Guinea) and the Parker Peak (1641, Philippines) eruptions. A decreasing aeolian dust input to the ice cap allowed the detection of an atmospheric pollution signal. The anthropogenic pollution contribution emerges in the record since the early 1900s (for Sb and Cd) and increases substantially after 1935 (for Ag, Zn, Pb, Cd and Sb). The metallurgy (Zn, Pb and steel smelting) emission products (Cd, Zn, Pb and Ag) from the former Soviet Union and especially from central Asia (e.g., Kyrgyzstan, Kazakhstan) likely enhanced the anthropogenic deposition to the Puruogangri ice cap between 1935 and 1980, suggesting that the westerlies served as a conveyor of atmospheric pollution to central Tibet. The impact of this industrial pollution cumulated with that of the hemispheric coal and gasoline combustion which are respectively traced by Sb and Pb enrichment in the ice. The Chinese steel production accompanying the Great Leap Forward (1958-1961) and the Chinese Cultural Revolution (1966-1976) is proposed as a secondary but proximal source of Pb pollution affecting the ice cap between 1958 and 1976. The most recent decade (1980-1992) of the enrichment time series suggests that Puruogangri ice cap recorded the early Sb, Cd, Zn, Pb and Ag pollution originating from developing countries of South (i.e., India) and East (i.e., China) Asia and transported by the summer monsoonal circulation.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation
#	Grant: ACP-1149239
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Ohio State University
#	Grant: BPCRC Fellowship
#------------------
# Site_Information 
#	Site_Name: Puruogangri Dome A Ice Core
#	Location: Asia>Eastern Asia>China
#	Country: China
#	Northernmost_Latitude: 33.916
# 	Southernmost_Latitude: 33.916
# 	Easternmost_Longitude: 89.083
# 	Westernmost_Longitude: 89.083
# 	Elevation: 5980 m
#------------------
# Data_Collection   
#	Collection_Name: Puruogangri2017elem
#	Earliest_Year: 1497 
#	Most_Recent_Year: 1991 
#	Time_Unit: AD
#	Core_Length: 123.74 m 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	Time scale is from Thompson et al. (2006) Annals of Glaciology, vol 43, 61-68. 
#	The Puruogangri core 2 was dated by dust layer counting to 1600 AD, and was also constrained by the 1962/63 beta peak. 
#	From 1497 to 1600 AD, the core age is calculated from a 2-parameter thinning model (see Thompson et al., 2006)
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## age_AD	age, , , AD, , , , , N,
## Ag	Silver, , , pg/g, ,icecore, annual median concentration, , N, 
## Cd	Cadmium, , , pg/g, ,icecore, annual median concentration, , N, 
## Sb	Antimony, , , pg/g, ,icecore, annual median concentration, , N, 
## Tl	Thallium, , , pg/g, ,icecore, annual median concentration, , N, 
## Pb	Lead, , , pg/g, ,icecore, annual median concentration, , N, 
## Bi	Bismuth, , , pg/g, ,icecore, annual median concentration, , N, 
## Fe	Iron, , , pg/g, ,icecore, annual median concentration, , N, 
## Zn	Zinc, , , pg/g, ,icecore, annual median concentration, , N, 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	Ag	Cd	Sb	Tl	Pb	Bi	Fe	Zn
1991	7.23	17.24	48.43	10.72	1714.08	11.01	416851.55	2172.76
1990	1.01	5.54	24.64	4.56	493.78	4.45	213174.48	870.17
1989	2.73	9.82	24.42	6.93	979.78	8.19	278242.92	1466.68
1988	19.47	70.00	116.44	38.70	6375.77	39.60	1825102.03	9073.51
1987	9.06	31.69	71.13	19.46	3434.90	20.55	1020220.32	4797.92
1986	3.12	10.96	25.66	7.61	981.81	10.12	396043.04	1929.66
1985	0.55	4.13	15.42	3.79	340.52	1.84	92088.96	584.60
1984	1.95	11.73	35.55	11.35	1595.25	8.91	572436.66	2535.22
1983	8.01	25.84	67.72	20.21	2690.73	18.46	1189851.61	5609.33
1982	4.53	23.40	48.59	16.30	2559.50	14.20	833923.58	4036.33
1981	1.48	8.76	19.45	4.85	508.70	3.58	157598.18	775.02
1980	0.95	6.16	8.96	2.13	252.56	2.37	113856.40	951.23
1979	5.24	13.78	41.43	10.74	1972.25	7.52	405710.49	2243.12
1978	1.49	5.81	16.88	4.23	490.84	3.37	144276.57	861.52
1977	8.17	28.01	74.14	20.59	3309.78	15.03	650262.84	3587.19
1976	3.81	11.71	37.03	9.27	1075.21	8.17	324994.24	1644.96
1975	1.46	4.83	23.21	4.24	382.39	2.86	158209.03	777.72
1974	4.64	29.56	120.44	17.33	4533.18	15.74	921296.55	4796.88
1973	1.04	5.07	24.99	3.66	307.58	2.13	88359.98	434.23
1972	5.52	19.95	45.73	8.94	1782.06	7.27	350227.18	2188.06
1971	3.94	15.47	45.10	9.93	1498.03	6.91	323466.31	1913.05
1970	1.53	8.04	19.87	4.60	441.66	3.24	164597.10	1093.96
1969	5.54	21.76	51.10	12.50	1784.55	10.74	531564.38	3557.98
1968	3.19	9.11	29.88	7.22	960.67	6.47	307787.00	1875.91
1967	0.58	4.95	14.16	2.30	256.30	1.59	81177.18	524.40
1966	1.69	6.79	26.21	6.50	353.36	3.42	198759.49	1623.90
1965	0.84	5.73	12.94	2.29	179.60	0.89	32980.50	917.04
1964	5.40	18.59	40.01	13.14	1337.36	9.90	486671.17	3328.86
1963	4.90	14.21	39.16	11.71	1417.21	11.85	527453.60	2451.43
1962	10.68	31.71	67.54	19.59	3097.31	16.27	888661.36	4406.13
1961	7.34	25.20	51.97	13.71	2711.11	15.69	759927.85	3695.16
1960	1.96	5.44	22.70	4.04	522.61	3.51	133450.66	735.97
1959	1.32	6.21	24.07	4.06	385.72	4.73	134808.43	599.99
1958	1.00	4.06	11.60	1.90	214.35	1.60	81531.01	403.65
1957	4.91	19.25	51.81	15.10	1757.92	9.44	574918.09	2730.97
1956	1.99	6.29	17.18	4.82	659.58	4.76	232487.33	1092.73
1955	2.74	9.37	31.24	8.69	763.09	7.29	371674.88	1567.79
1954	8.02	30.62	56.58	23.13	2865.01	15.66	875301.14	4875.43
1953	7.78	26.23	79.97	21.82	3072.29	12.17	615911.24	3443.37
1952	2.90	8.59	30.69	7.40	1131.78	5.73	290340.92	1484.31
1951	4.55	17.21	35.57	12.06	1651.37	11.53	624323.04	2895.23
1950	6.73	14.82	50.53	14.24	2229.29	10.81	492031.74	2706.42
1949	1.83	6.57	23.15	6.09	623.60	4.52	188176.40	1021.77
1948	0.95	3.69	16.02	2.91	305.24	2.09	98956.39	745.27
1947	0.64	2.70	17.69	2.54	269.67	1.81	88453.37	566.62
1946	0.97	4.14	18.58	5.00	306.14	4.20	225697.39	1038.62
1945	3.42	13.35	38.62	11.89	1155.95	8.83	496874.62	2187.79
1944	0.65	4.49	10.21	2.34	139.92	1.26	51125.47	329.51
1943	1.21	4.49	20.14	3.55	402.78	1.94	102510.66	563.52
1942	0.94	4.08	12.62	3.32	255.83	2.58	133084.27	861.01
1941	0.86	4.27	15.61	3.54	344.06	2.55	119450.06	598.40
1940	1.48	8.88	19.19	7.15	620.42	5.46	269795.05	1219.64
1939	1.88	6.32	19.01	7.55	460.11	6.41	369799.19	1235.57
1938	1.74	7.05	18.22	6.90	380.22	6.16	296295.48	1066.14
1937	3.36	10.06	30.42	7.41	996.67	7.09	340066.71	1599.06
1936	5.31	21.66	30.45	10.62	1440.85	9.79	523127.27	2534.14
1935	1.26	6.71	13.84	3.58	357.71	3.15	149650.30	762.20
1934	4.15	8.30	42.77	5.80	776.43	6.49	267119.74	1245.68
1933	2.78	11.95	23.98	5.79	761.46	5.98	359676.89	1496.43
1932	3.96	16.15	40.63	16.83	1611.19	15.86	1083458.78	4063.67
1931	3.27	19.12	44.90	16.61	1936.26	18.43	1262377.47	4303.15
1930	1.62	5.85	19.67	5.10	731.11	4.04	199684.41	928.18
1929	0.68	3.99	16.33	4.22	336.28	3.85	217762.53	867.07
1928	1.47	5.87	23.51	5.93	748.01	4.13	226263.75	1166.70
1927	2.99	13.39	25.02	9.22	899.05	9.54	518245.27	2032.87
1926	3.09	9.90	21.81	8.87	754.28	10.49	554186.06	1992.11
1925	4.74	18.95	62.28	16.32	2344.70	15.16	884153.68	3926.66
1924	4.49	21.40	44.27	16.08	2078.25	13.54	657805.64	3381.48
1923	1.50	5.05	15.99	4.87	406.97	5.18	216347.07	876.49
1922	4.43	20.84	61.28	18.84	2281.65	17.20	799231.36	3672.27
1921	3.78	13.04	44.63	15.46	1151.44	11.83	506439.50	3132.91
1920	2.99	9.08	30.43	8.97	825.55	7.82	381205.80	1734.55
1919	1.00	5.92	21.43	5.38	311.39	3.06	135255.45	608.93
1918	0.62	3.95	11.89	3.73	240.68	3.14	159434.21	604.39
1917	4.73	19.80	88.83	19.58	4187.77	11.63	689701.08	3655.78
1916	3.75	9.77	29.51	7.73	757.25	5.74	316526.69	1467.08
1915	1.03	3.94	16.03	5.11	412.65	3.96	215007.35	867.50
1914	2.03	7.00	23.39	8.72	751.67	9.43	585409.40	1805.82
1913	1.98	10.93	28.34	8.78	918.48	5.80	384327.91	1673.15
1912	8.24	52.82	104.60	38.52	5256.50	24.83	1517509.61	7760.95
1911	7.09	34.56	121.95	23.07	5583.61	23.36	1350372.75	5739.09
1910	2.09	11.35	27.57	7.61	984.60	6.61	335671.49	1475.17
