QUELCCAYA CONDUCTIVITY

REFERENCES:

Thompson, L.G., E. Mosley-Thompson, P. Grootes, and M. Pourchet. 1984. Tropical glaciers: potential for paleoclimatic reconstruction. Journal of Geophysical Research, 89 (D3), 4638-4646.

Thompson, L.G., E. Mosley-Thompson and Benjamin Morales Arnao. 1984. Major El Niño/Southern Oscillation events recorded in stratigraphy of the tropical Quelccaya Ice Cap. Science, 226 (4670), 50-52.

 Thompson, L. G., E. Mosley-Thompson, J. F. Bolzan and B. R. Koci. 1985. A 1500 year record of tropical precipitation recorded in ice cores from the Quelccaya Ice Cap, Peru. Science, 229(4717), 971-973

Thompson, L.G. and E. Mosley-Thompson. 1987. Evidence of abrupt climatic change during the last 1,500 years recorded in ice cores from the tropical Quelccaya ice cap, Peru. Abrupt Climatic Change - Evidence and Implications, NATO/NSF Workshop volume. D. Reidel Publishing Co., 99-110

Shimada, I., C.B. Schaaf, L.G. Thompson and E. Mosley-Thompson. 1991. Cultural impacts of severe droughts in the prehistoric Andes: Application of a 1,500-year ice core precipitation record. World Archaeology: Archaeology and Arid Environment, 22(3), 247-270. 

Brecher, H.H. and Thompson, L.G. 1993. Measurement of the retreat of Qori Kalis in the tropical Andes of Peru by Terrestrial Photogrammertry. Photogrammetric Engineering and Remote Sensing, 59(6), 1017-1022

Thompson, L.G., M.E. Davis and E. Mosley-Thompson. 1994. Glacial records of global climate: A 1500-year tropical ice core record of climate. Human Ecology, 22(1), 83-95.

DATA DESCRIPTION:

Conductivity measured in
the field shortly after sample recovery.

DATA:

Year  Core 1  Summit Core

1980	3.09	1.51
1979	2.50	1.00
1978	2.57	1.12
1977	2.15	1.10
1976	3.06	1.13
1975	2.76	1.23
1974	2.33	1.75
1973	1.67	1.57
1972	1.55	1.56
1971	1.26	1.37
1970	1.52	1.88
1969	2.50	2.47
1968	2.38	2.16
1967	1.73	1.88
1966	2.05	1.68
1965	1.90	1.12
1964	1.45	1.18
1963	1.75	0.90
1962	1.26	0.89
1961	1.05	0.81
1960	1.38	1.06
1959	1.68	0.98
1958	1.24	0.96
1957	1.92	0.76
1956	1.39	0.78
1955	0.80	0.79
1954	1.37	0.80
1953	0.98	0.82
1952	0.78	1.28
1951	0.97	1.44
1950	0.84	1.24
1949	1.03	1.02
1948	1.52	0.93
1947	1.99	0.86
1946	1.60	1.03
1945	1.37	1.21
1944	1.86	1.22
1943	2.58	1.76
1942	2.21	1.78
1941	1.28	1.30
1940	1.84	1.51
1939	1.36	1.49
1938	1.36	1.71
1937	0.91	1.89
1936	0.80	1.58
1935	1.07	1.49
1934	1.16	1.06
1933	1.90	0.97
1932	1.69	0.91
1931	1.04	1.04
1930	1.52	0.77
1929	1.16	1.13
1928	1.45	1.08
1927	1.06	1.08
1926	1.17	0.84
1925	1.22	1.08
1924	1.21	1.13
1923	1.18	1.39
1922	1.65	1.10
1921	1.00	1.08
1920	1.33	1.01
1919	1.43	0.99
1918	1.24	1.34
1917	1.67	1.22
1916	1.31	0.98
1915	1.08	0.98
1914	1.07	0.94
1913	2.07	0.99
1912	1.14	0.95
1911	1.38	1.02
1910	1.34	0.86
1909	1.35	0.88
1908	1.50	0.95
1907	1.81	1.53
1906	2.40	1.03
1905	1.68	1.31
1904	1.29	1.24
1903	1.43	1.62
1902	1.43	1.89
1901	2.00	1.34
1900	1.32	1.66
1899	1.60	2.07
1898	1.70	2.13
1897	2.48	1.74
1896	1.84	1.76
1895	1.87	1.65
1894	1.82	1.40
1893	1.33	2.07
1892	2.31	1.93
1891	2.18	1.92
1890	2.14	2.02
1889	1.72	1.54
1888	1.38	1.68
1887	1.43	2.16
1886	1.81	2.98
1885	2.37	1.75
1884	2.09	2.55
1883	2.33	2.33
1882	1.85	1.57
1881	2.11	2.13
1880	1.51	2.92
1879	1.69	2.54
1878	1.14	1.99
1877	1.06	2.55
1876	2.12	2.10
1875	1.66	2.43
1874	1.54	2.52
1873	1.84	2.27
1872	2.02	2.59
1871	1.65	2.35
1870	1.65	2.52
1869	1.62	2.81
1868	1.70	2.44
1867	1.23	3.33
1866	1.47	2.59
1865	1.69	2.54
1864	1.91	2.01
1863	2.74	2.05
1862	1.09	2.60
1861	1.99	1.61
1860	2.43	1.89
1859	3.91	1.48
1858	1.63	1.42
1857	2.87	2.26
1856	2.22	1.82
1855	1.79	2.90
1854	1.20	4.29
1853	1.12	3.79
1852	1.30	2.46
1851	1.76	2.94
1850	1.96	2.23
1849	1.86	2.63
1848	2.02	2.45
1847	1.95	0.00
1846	1.37	2.81
1845	1.88	4.38
1844	2.51	0.00
1843	1.97	4.60
1842	1.60	3.20
1841	1.61	2.72
1840	1.47	3.08
1839	1.27	1.30
1838	1.71	2.47
1837	1.33	3.25
1836	1.29	0.00
1835	1.81	3.02
1834	1.57	4.35
1833	1.51	2.71
1832	1.35	5.00
1831	1.69	4.51
1830	1.64	3.00
1829	1.99	1.93
1828	1.71	4.45
1827	1.74	3.55
1826	2.47	4.34
1825	2.17	3.90
1824	1.45	0.00
1823	1.84	0.00
1822	1.70	0.00
1821	1.51	0.00
1820	1.14	0.00
1819	1.15	0.00
1818	1.60	0.00
1817	1.35	0.00
1816	1.60	0.00
1815	1.71	0.00
1814	1.70	0.00
1813	1.61	0.00
1812	2.07	0.00
1811	1.20	0.00
1810	0.83	0.00
1809	1.62	0.00
1808	2.24	0.00
1807	1.37	0.00
1806	1.42	0.00
1805	1.88	0.00
1804	1.32	0.00
1803	2.05	0.00
1802	1.44	0.00
1801	0.70	0.00
1800	0.76	0.00
    		
    	
    	

