QUELCCAYA SUMMIT CORE PARTICLE SIZES, CONDUCTIVITY, DELTA 18-O AND ACCUMULATION

REFERENCES:

Thompson, L.G., E. Mosley-Thompson, P. Grootes, and M. Pourchet. 1984. Tropical glaciers: potential for paleoclimatic reconstruction. Journal of Geophysical Research, 89 (D3), 4638-4646.

Thompson, L.G., E. Mosley-Thompson and Benjamin Morales Arnao. 1984. Major El Niño/Southern Oscillation events recorded in stratigraphy of the tropical Quelccaya Ice Cap. Science, 226 (4670), 50-52.

 Thompson, L. G., E. Mosley-Thompson, J. F. Bolzan and B. R. Koci. 1985. A 1500 year record of tropical precipitation recorded in ice cores from the Quelccaya Ice Cap, Peru. Science, 229(4717), 971-973

Thompson, L.G. and E. Mosley-Thompson. 1987. Evidence of abrupt climatic change during the last 1,500 years recorded in ice cores from the tropical Quelccaya ice cap, Peru. Abrupt Climatic Change - Evidence and Implications, NATO/NSF Workshop volume. D. Reidel Publishing Co., 99-110

Shimada, I., C.B. Schaaf, L.G. Thompson and E. Mosley-Thompson. 1991. Cultural impacts of severe droughts in the prehistoric Andes: Application of a 1,500-year ice core precipitation record. World Archaeology: Archaeology and Arid Environment, 22(3), 247-270. 

Brecher, H.H. and Thompson, L.G. 1993. Measurement of the retreat of Qori Kalis in the tropical Andes of Peru by Terrestrial Photogrammertry. Photogrammetric Engineering and Remote Sensing, 59(6), 1017-1022

Thompson, L.G., M.E. Davis and E. Mosley-Thompson. 1994. Glacial records of global climate: A 1500-year tropical ice core record of climate. Human Ecology, 22(1), 83-95.

DATA DESCRIPTION:


YEAR   0.63-0.80   >0.63     >1.59   COND     O18    ACCUM    ACCUM (STAND.
                                                      (M)     DEV FROM MEAN) 

DATA:

1984    310720.   701720.    34300.   2.60   -19.93   1.521    0.235 
1983    370780.   681080.    16380.   2.26   -14.11   1.171   -0.796 
1982    288860.   599680.     9700.   1.99   -19.99   1.704    0.774 
1981    418780.   615700.     5920.   1.83   -17.58   1.521    0.236 
1980    512449.   801436.    16413.   1.94   -15.65   1.461    0.058 
1979    361637.   566449.    13500.   1.85   -17.42   1.522    0.237 
1978    270300.   412235.    10710.   1.79   -17.36   0.971   -1.386 
1977    267463.   378820.     4260.   1.79   -17.89   0.947   -1.457 
1976    240706.   337306.     5757.   1.90   -17.82   1.312   -0.382 
1975    171430.   258448.     6188.   1.92   -18.76   1.164   -0.816 
1974    324545.   467971.     7920.   1.69   -18.99   1.752    0.915 
1973    197702.   276404.     3700.   1.96   -19.49   1.406   -0.104 
1972    180730.   310418.     7195.   1.72   -18.80   1.162   -0.821 
1971    274250.   405124.     7210.   1.87   -19.15   1.692    0.738 
1970    236037.   371070.     3370.   2.23   -19.13   1.312   -0.379 
1969    456283.   717440.    15705.   2.40   -16.43   1.721    0.825 
1968    442020.   693677.    13793.   3.39   -15.74   1.128   -0.924 
1967    562534.   845777.    27594.   3.03   -16.44   1.167   -0.807 
1966    549363.   861391.    12531.   2.89   -16.17   1.456    0.043 
1965    392404.   600253.     6540.   2.09   -16.28   2.279    2.467 
1964    317765.   490980.     9830.   1.85   -16.46   2.034    1.747 
1963    241783.   349263.     4295.   1.80   -16.95   1.526    0.250 
1962    222660.   367858.     7665.   1.82   -18.05   1.886    1.311 
1961    203929.   346360.     4133.   1.87   -17.87   1.159   -0.830 
1960    236869.   364540.     2911.   1.85   -17.15   1.379   -0.182 
1959    279806.   442017.     8326.   2.24   -18.25   1.357   -0.249 
1958    254342.   381624.     4811.   1.88   -15.74   1.492    0.149 
1957    170808.   315505.    12800.   1.72   -16.23   1.195   -0.726 
1956    123740.   194060.     2757.   1.76   -16.12   1.314   -0.374 
1955    124544.   203233.     2647.   1.67   -17.73   1.454    0.037 
