# Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://ncdc.noaa.gov/paleo/study/17418
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/trop/quelccaya/quelccaya2015elem5yrefcmed.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2015-02-09
#--------------------
# Title
#	Study_Name: Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#--------------------
# Investigators
# 	Investigators: Uglietti, C; Gabrielli, P; Cooke, C.A.; Vallelonga, P; Thompson, L.G.  
#--------------------
# Description_and_Notes
#	Description: Trace element data from ice cores collected on the North Dome of the Quelccaya Ice Cap, Peru. 
#	5-year median/average concentration, enrichment factor and flux of trace elements for the Quelccaya 
#	North Dome (QND) ice core from 795 to 1990 AD. Concentrations, fluxes and enrichment factors of 
#	Ag, Al, As, Bi, Cd, Co, Cr, Cu, Fe, Mn, Mo, Pb, Rb, Sb, Ti, Tl, U and V are included. 
#
#	Raw concentration data are at annual or decadal resolution for the past 1200 years and are based on freshly 
#	cut ice samples. Included are 5 years average and median concentration, enrichment factor (EFc) and flux 
#	of trace elements for the Quelccaya North Dome core from  795 to 1990 AD; 5 years average/median concentrations 
#	and EFc are calculated as average/median of the individual sample values 5 years average/median fluxes 
#	are calculated as average/median of annual fluxes that are obtained by using reconstructed annual snow 
#	accumulation and average annual trace element concentration. Raw concentration data will be released after 
#	the planned successive publication of the detailed trace element records or within 5 years from the publication 
#	of the 2015 PNAS trace element paper.  Time scale is from Thompson et al. (2013) Science, vol. 340, 6135, 945-950. 
#	The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
#	Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
#	isotopic record to that of the Quelccaya Summit Dome core.
#
#--------------------
# Publication 
# 	Authors: Chiara Uglietti, Paolo Gabrielli, Colin A. Cooke, Paul Vallelonga, and Lonnie G. Thompson
#	Published_Date_or_Year: 2015-02-09 
#	Published_Title: Widespread pollution of the South American atmosphere predates the industrial revolution by 240 y
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages: 
#	DOI: 10.1073/pnas.1421119112
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: In the Southern Hemisphere, evidence for preindustrial atmospheric pollution is restricted to a few geological archives of low temporal resolution that record trace element deposition originating from past mining and metallurgical operations in South America. Therefore, the timing and the spatial impact of these activities on the past atmosphere remain poorly constrained. Here we present an annually resolved ice core record (A.D. 793-1989) from the high-altitude drilling site of Quelccaya (Peru) that archives preindustrial and industrial variations in trace elements. During the precolonial period (i.e., pre-A.D. 1532), the deposition of trace elements was mainly dominated by the fallout of aeolian dust and of ash from occasional volcanic eruptions, indicating that metallurgic production during the Inca Empire (A.D. 1438-1532) had a negligible impact on the South American atmosphere. In contrast, a widespread anthropogenic signal is evident after around A.D. 1540, which corresponds with the beginning of colonial mining and metallurgy in Peru and Bolivia, ~240 y before the Industrial Revolution. This shift was due to a major technological transition for silver extraction in South America (A.D. 1572), from lead-based smelting to mercury amalgamation, which precipitated a massive increase in mining activities. However, deposition of toxic trace metals during the Colonial era was still several factors lower than 20th century pollution that was unprecedented over the entirety of human history.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation 
#	Grant: ATM-0318430, MRI-0820779
#------------------
# Site_Information 
#	Site_Name: Quelccaya North Dome Ice Core
#	Location: South America>Peru
#	Country: Peru
#	Northernmost_Latitude: -13.91379
#	Southernmost_Latitude: -13.91379
#	Easternmost_Longitude: -70.80607
#	Westernmost_Longitude: -70.80607
#	Elevation: 5600 m  
#------------------
# Data_Collection   
#	Collection_Name: Quelccaya2015elem5YrEFcMed
#	Earliest_Year: 795
#	Most_Recent_Year: 1990
#	Time_Unit: AD
#	Core_Length: 128.49 m 
#	Notes: 
#------------------
# Chronology: 
#
# The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
# Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
# isotopic record to that of the Quelccaya Summit Dome core.
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , year AD, , , First thermal year (AD) after the five-years period considered, ,N
##Ag EFcM	Silver median crustal enrichment factor, , , , , , , ,N
##Al EFcM	Aluminum median crustal enrichment factor, , , , , , , ,N
##As EFcM	Arsenic median crustal enrichment factor, , , , , , , ,N
##Bi EFcM	Bismuth median crustal enrichment factor, , , , , , , ,N
##Cd EFcM	Cadmium median crustal enrichment factor, , , , , , , ,N
##Co EFcM	Cobalt median crustal enrichment factor, , , , , , , ,N
##Cr EFcM	Chromium median crustal enrichment factor, , , , , , , ,N
##Cu EFcM	Copper median crustal enrichment factor, , , , , , , ,N
##Fe EFcM	Iron median crustal enrichment factor, , , , , , , ,N
##Mn EFcM	Manganese median crustal enrichment factor, , , , , , , ,N
##Mo EFcM	Aluminum median crustal enrichment factor, , , , , , , ,N
##Pb EFcM	Lead median crustal enrichment factor, , , , , , , ,N
##Rb EFcM	Rubidium median crustal enrichment factor, , , , , , , ,N
##Sb EFcM	Antimony median crustal enrichment factor, , , , , , , ,N
##Ti EFcM	Titanium median crustal enrichment factor, , , , , , , ,N
##Tl EFcM	Thallium median crustal enrichment factor, , , , , , , ,N
##U EFcM	Uranium median crustal enrichment factor, , , , , , , ,N
##V EFcM	Vanadium median crustal enrichment factor, , , , , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# Quelccaya 2003 North Dome core 5-years median crustal enrichment factor from 795 AD to 1990 AD 
#
age_AD	Ag EFcM	Al EFcM	As EFcM	Bi EFcM	Cd EFcM	Co EFcM	Cr EFcM	Cu EFcM	Fe EFcM	Mn EFcM	Mo EFcM	Pb EFcM	Rb EFcM	Sb EFcM	Ti EFcM	Tl EFcM	U EFcM	V EFcM
1990	5.54	0.97	1.48	2.02	29.39	2.62	7.73	21.88	1.00	0.68	782.87	4.35	0.21	3.25	0.57	0.14	0.18	1.93
1985	6.05	0.94	1.36	2.35	21.12	2.86	6.06	17.08	1.00	0.51	98.68	4.95	0.25	2.06	0.70	0.15	0.24	1.93
1980	4.50	0.87	1.26	2.22	15.20	2.46	3.17	12.13	1.00	0.49	58.09	5.33	0.24	1.33	0.62	0.14	0.21	1.89
1975	6.97	1.07	1.16	1.30	17.86	3.42	5.07	13.08	1.00	0.40	37.08	3.28	0.21	0.93	0.72	0.14	0.14	1.95
1970	3.16	0.80	0.96	1.13	4.57	2.02	3.10	7.10	1.00	0.38	31.98	2.84	0.20	0.85	0.63	0.12	0.14	1.65
1965	5.71	0.85	0.80	1.45	8.60	2.17	5.16	9.27	1.00	0.35	32.69	3.22	0.21	1.06	0.68	0.13	0.14	1.69
1960	6.77	0.83	0.90	1.23	14.86	2.22	4.67	11.75	1.00	0.42	22.40	3.44	0.20	0.89	0.70	0.12	0.17	1.88
1955	4.83	0.89	0.93	1.01	7.63	3.11	2.66	6.47	1.00	0.46	16.55	3.20	0.25	1.13	0.64	0.16	0.16	1.86
1950	3.65	0.88	0.73	0.62	7.39	2.71	3.60	6.55	1.00	0.41	14.71	2.50	0.20	0.72	0.69	0.12	0.17	1.85
1945	3.64	0.92	0.93	1.09	6.96	2.66	3.01	10.21	1.00	0.43	15.52	2.61	0.22	1.46	0.69	0.15	0.14	1.94
1940	2.05	0.83	1.13	2.50	2.80	2.21	1.98	2.68	1.00	0.42	9.99	3.83	0.19	0.98	0.64	0.13	0.15	1.67
1935	5.45	0.95	1.32	2.26	6.30	2.97	2.96	6.32	1.00	0.40	14.73	3.23	0.20	0.91	0.62	0.14	0.16	1.83
1930	2.78	0.84	1.52	5.11	3.95	2.30	2.28	4.33	1.00	0.42	9.12	6.20	0.22	1.65	0.68	0.13	0.15	1.69
1925	9.87	1.05	1.43	4.49	13.67	2.66	6.74	11.05	1.00	0.31	18.78	7.83	0.30	2.06	0.84	0.19	0.15	1.81
1920	4.55	0.79	1.32	3.05	12.14	2.01	4.32	15.90	1.00	0.35	16.23	6.26	0.25	2.44	0.75	0.17	0.15	1.75
1915	2.27	0.77	1.77	2.51	4.97	1.86	2.62	4.46	1.00	0.32	11.52	6.21	0.19	1.47	0.60	0.15	0.14	1.53
1910	1.45	0.79	0.97	1.28	3.66	1.92	2.88	2.97	1.00	0.38	12.87	5.78	0.20	1.21	0.57	0.17	0.17	1.57
1905	1.77	0.88	0.58	0.68	3.05	2.52	1.97	4.11	1.00	0.57	6.84	2.48	0.22	0.64	0.70	0.14	0.14	1.75
1900	2.65	0.73	0.56	0.86	3.96	1.80	2.00	4.29	1.00	0.40	9.84	2.92	0.20	1.11	0.60	0.16	0.16	1.55
1895	2.72	0.84	0.57	0.28	5.37	2.58	2.89	8.59	1.00	0.47	9.00	1.62	0.20	0.63	0.72	0.15	0.11	1.97
1890	2.10	0.90	0.37	0.36	5.33	2.41	2.42	5.83	1.00	0.41	8.15	1.78	0.23	0.54	0.73	0.15	0.17	1.87
1885	2.07	0.77	0.39	0.34	3.43	1.90	2.70	10.83	1.00	0.35	12.59	1.44	0.21	0.68	0.62	0.14	0.14	1.67
1880	4.60	0.92	0.44	0.28	4.75	2.99	3.48	5.06	1.00	0.51	9.64	1.37	0.18	0.33	0.65	0.13	0.16	1.77
1875	4.99	1.03	0.46	0.24	6.96	3.44	3.52	8.37	1.00	0.34	10.23	1.35	0.23	0.36	0.75	0.16	0.18	1.81
1870	0.58	0.74	0.41	0.15	2.71	2.09	1.70	1.80	1.00	0.73	9.94	1.13	0.21	0.27	0.68	0.14	0.15	1.61
1865	0.30	0.74	0.43	0.17	2.58	2.03	2.49	1.62	1.00	0.69	11.25	1.37	0.17	0.39	0.59	0.11	0.18	1.46
1860	0.49	0.74	0.38	0.18	2.61	2.03	2.04	1.86	1.00	0.64	12.71	1.13	0.19	0.42	0.61	0.13	0.19	1.37
1855	0.42	0.78	0.43	0.18	4.74	2.51	2.58	2.82	1.00	0.67	15.68	1.59	0.17	0.40	0.65	0.13	0.14	1.66
1850	1.98	0.97	0.32	0.30	7.21	3.36	3.14	6.49	1.00	0.57	12.70	1.45	0.17	0.40	0.67	0.14	0.15	1.87
1845	2.10	1.09	0.49	0.17	2.94	3.57	1.86	5.38	1.00	0.59	11.65	1.37	0.21	0.73	0.86	0.17	0.22	1.92
1840	0.77	0.79	0.45	0.13	2.30	2.52	2.10	2.34	1.00	0.48	15.67	1.15	0.18	0.63	0.59	0.12	0.24	1.57
1835	0.53	0.82	0.40	0.14	4.24	2.96	1.45	2.03	1.00	1.35	6.30	1.30	0.18	0.34	0.65	0.12	0.23	1.45
1830	0.70	0.80	0.35	0.16	3.85	3.28	1.51	1.83	1.00	1.61	9.91	1.43	0.19	0.31	0.51	0.14	0.22	1.33
1825	0.71	0.87	0.41	0.16	5.82	4.67	2.12	2.70	1.00	4.78	7.95	1.58	0.19	0.40	0.67	0.21	0.26	1.56
1820	1.65	1.05	0.70	0.22	10.58	4.30	3.06	13.37	1.00	3.07	20.00	2.54	0.26	1.12	1.03	0.27	0.37	2.51
1815	5.22	0.94	0.54	0.26	8.02	3.26	3.94	7.71	1.00	0.69	17.29	1.90	0.18	0.63	0.65	0.15	0.16	1.80
1810	2.66	0.92	0.65	0.15	3.94	3.24	2.55	3.07	1.00	0.92	12.88	1.93	0.17	0.50	0.75	0.14	0.16	1.84
1805	3.51	0.88	0.86	0.26	3.25	2.09	1.98	4.43	1.00	0.50	11.65	3.27	0.18	0.75	0.67	0.22	0.18	1.91
1800	4.25	0.77	0.96	0.87	5.56	2.07	4.38	7.31	1.00	0.49	24.87	4.34	0.20	0.90	0.94	0.38	0.20	1.72
1795	2.52	0.63	0.45	0.66	1.30	1.40	1.26	5.34	1.00	0.39	17.98	1.88	0.17	0.58	0.75	0.17	0.11	1.39
1790	2.79	0.61	0.63	0.41	9.38	1.20	3.04	5.00	1.00	0.27	12.26	2.70	0.17	1.09	0.57	0.20	0.13	1.17
1785	3.15	0.93	0.75	0.19	5.13	2.41	3.21	7.06	1.00	0.44	13.30	2.65	0.18	0.78	0.71	0.35	0.37	2.35
1780	8.47	1.32	0.77	0.31	9.08	3.45	5.88	15.48	1.00	0.81	25.52	3.89	0.24	1.30	0.87	0.29	0.25	2.47
