# Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://ncdc.noaa.gov/paleo/study/17418
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/trop/quelccaya/quelccaya2015elem5yrefcwet.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2015-02-09
#--------------------
# Title
#	Study_Name: Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#--------------------
# Investigators
# 	Investigators: Uglietti, C; Gabrielli, P; Cooke, C.A.; Vallelonga, P; Thompson, L.G.  
#--------------------
# Description_and_Notes
#	Description: Trace element data from ice cores collected on the North Dome of the Quelccaya Ice Cap, Peru. 
#	5-year median/average concentration, enrichment factor and flux of trace elements for the Quelccaya 
#	North Dome (QND) ice core from 795 to 1990 AD. Concentrations, fluxes and enrichment factors of 
#	Ag, Al, As, Bi, Cd, Co, Cr, Cu, Fe, Mn, Mo, Pb, Rb, Sb, Ti, Tl, U and V are included. 
#
#	Raw concentration data are at annual or decadal resolution for the past 1200 years and are based on freshly 
#	cut ice samples. Included are 5 years average and median concentration, enrichment factor (EFc) and flux 
#	of trace elements for the Quelccaya North Dome core from  795 to 1990 AD; 5 years average/median concentrations 
#	and EFc are calculated as average/median of the individual sample values 5 years average/median fluxes 
#	are calculated as average/median of annual fluxes that are obtained by using reconstructed annual snow 
#	accumulation and average annual trace element concentration. Raw concentration data will be released after 
#	the planned successive publication of the detailed trace element records or within 5 years from the publication 
#	of the 2015 PNAS trace element paper.  Time scale is from Thompson et al. (2013) Science, vol. 340, 6135, 945-950. 
#	The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
#	Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
#	isotopic record to that of the Quelccaya Summit Dome core.
#
#--------------------
# Publication 
# 	Authors: Chiara Uglietti, Paolo Gabrielli, Colin A. Cooke, Paul Vallelonga, and Lonnie G. Thompson
#	Published_Date_or_Year: 2015-02-09 
#	Published_Title: Widespread pollution of the South American atmosphere predates the industrial revolution by 240 y
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages: 
#	DOI: 10.1073/pnas.1421119112
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: In the Southern Hemisphere, evidence for preindustrial atmospheric pollution is restricted to a few geological archives of low temporal resolution that record trace element deposition originating from past mining and metallurgical operations in South America. Therefore, the timing and the spatial impact of these activities on the past atmosphere remain poorly constrained. Here we present an annually resolved ice core record (A.D. 793-1989) from the high-altitude drilling site of Quelccaya (Peru) that archives preindustrial and industrial variations in trace elements. During the precolonial period (i.e., pre-A.D. 1532), the deposition of trace elements was mainly dominated by the fallout of aeolian dust and of ash from occasional volcanic eruptions, indicating that metallurgic production during the Inca Empire (A.D. 1438-1532) had a negligible impact on the South American atmosphere. In contrast, a widespread anthropogenic signal is evident after around A.D. 1540, which corresponds with the beginning of colonial mining and metallurgy in Peru and Bolivia, ~240 y before the Industrial Revolution. This shift was due to a major technological transition for silver extraction in South America (A.D. 1572), from lead-based smelting to mercury amalgamation, which precipitated a massive increase in mining activities. However, deposition of toxic trace metals during the Colonial era was still several factors lower than 20th century pollution that was unprecedented over the entirety of human history.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation 
#	Grant: ATM-0318430, MRI-0820779
#------------------
# Site_Information 
#	Site_Name: Quelccaya North Dome Ice Core
#	Location: South America>Peru
#	Country: Peru
#	Northernmost_Latitude: -13.91379
#	Southernmost_Latitude: -13.91379
#	Easternmost_Longitude: -70.80607
#	Westernmost_Longitude: -70.80607
#	Elevation: 5600 m  
#------------------
# Data_Collection   
#	Collection_Name: Quelccaya2015elem5YrEFcWet
#	Earliest_Year: 1500
#	Most_Recent_Year: 1990
#	Time_Unit: AD
#	Core_Length: 128.49 m 
#	Notes: 
#------------------
# Chronology: 
#
# The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
# Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
# isotopic record to that of the Quelccaya Summit Dome core.
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , year AD, , , First thermal year (AD) after the five-years period considered, ,N
##Ag EFcW	Silver median crustal enrichment factor, , , , Wet Season, , , ,N
##Al EFcW	Aluminum median crustal enrichment factor, , , , Wet Season, , , ,N
##As EFcW	Arsenic median crustal enrichment factor, , , , Wet Season, , , ,N
##Bi EFcW	Bismuth median crustal enrichment factor, , , , Wet Season, , , ,N
##Cd EFcW	Cadmium median crustal enrichment factor, , , , Wet Season, , , ,N
##Co EFcW	Cobalt median crustal enrichment factor, , , , Wet Season, , , ,N
##Cr EFcW	Chromium median crustal enrichment factor, , , , Wet Season, , , ,N
##Cu EFcW	Copper median crustal enrichment factor, , , , Wet Season, , , ,N
##Fe EFcW	Iron median crustal enrichment factor, , , , Wet Season, , , ,N
##Mn EFcW	Manganese median crustal enrichment factor, , , , Wet Season, , , ,N
##Mo EFcW	Aluminum median crustal enrichment factor, , , , Wet Season, , , ,N
##Pb EFcW	Lead median crustal enrichment factor, , , , Wet Season, , , ,N
##Rb EFcW	Rubidium median crustal enrichment factor, , , , Wet Season, , , ,N
##Sb EFcW	Antimony median crustal enrichment factor, , , , Wet Season, , , ,N
##Ti EFcW	Titanium median crustal enrichment factor, , , , Wet Season, , , ,N
##Tl EFcW	Thallium median crustal enrichment factor, , , , Wet Season, , , ,N
##U EFcW	Uranium median crustal enrichment factor, , , , Wet Season, , , ,N
##V EFcW	Vanadium median crustal enrichment factor, , , , Wet Season, , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# Quelccaya 2003 North Dome core 5-years median crustal enrichment factor from 1500 AD to 1990 AD during the wet season 
#
age_AD	Ag EFcW	Al EFcW	As EFcW	Bi EFcW	Cd EFcW	Co EFcW	Cr EFcW	Cu EFcW	Fe EFcW	Mn EFcW	Mo EFcW	Pb EFcW	Rb EFcW	Sb EFcW	Ti EFcW	Tl EFcW	U EFcW	V EFcW
1990	7.73	1.10	1.92	2.31	96.75	3.85	13.10	28.30	1.00	0.77	4926.88	4.50	0.26	11.96	0.56	0.21	0.21	2.35
1985	7.73	1.05	1.69	2.53	34.66	3.54	9.76	23.34	1.00	0.57	125.13	5.52	0.25	3.95	0.70	0.16	0.26	2.11
1980	6.28	0.92	1.32	2.40	18.92	3.07	4.15	14.85	1.00	0.48	67.79	5.86	0.24	1.45	0.60	0.14	0.23	2.02
1975	9.30	1.17	1.24	1.42	28.98	4.27	8.08	15.74	1.00	0.38	42.89	3.50	0.24	0.98	0.73	0.15	0.16	2.25
1970	4.19	0.89	1.05	1.31	13.01	2.25	4.74	9.15	1.00	0.36	42.00	3.46	0.21	1.05	0.64	0.14	0.16	1.71
1965	7.40	0.92	0.89	1.59	23.16	3.01	7.35	14.33	1.00	0.34	43.31	3.61	0.21	1.18	0.70	0.14	0.15	1.76
1960	9.88	0.97	0.97	1.49	20.17	2.83	8.47	16.19	1.00	0.40	35.18	3.73	0.20	1.00	0.75	0.14	0.19	1.99
1955	6.75	1.05	0.98	1.19	9.97	4.16	3.40	10.13	1.00	0.46	19.05	3.33	0.25	1.25	0.64	0.16	0.17	2.00
1950	5.59	0.94	0.81	0.87	9.21	3.41	4.24	8.36	1.00	0.42	16.71	2.64	0.21	0.77	0.66	0.13	0.18	1.96
1945	4.87	0.98	0.96	1.37	11.15	3.79	4.01	14.83	1.00	0.40	18.26	2.77	0.22	1.78	0.68	0.15	0.14	2.14
1940	4.49	0.87	1.18	2.91	4.38	2.48	3.01	4.93	1.00	0.39	15.69	3.80	0.19	1.19	0.63	0.14	0.16	1.75
1935	8.07	1.13	1.40	2.49	9.54	4.09	4.81	12.05	1.00	0.36	17.83	3.27	0.19	1.07	0.67	0.15	0.17	2.25
1930	3.90	0.87	1.57	6.35	5.68	2.69	3.51	6.16	1.00	0.41	10.83	6.93	0.24	1.67	0.69	0.14	0.15	1.79
1925	14.17	1.25	1.48	5.34	24.29	5.76	9.35	18.67	1.00	0.28	29.43	8.06	0.30	2.31	0.90	0.20	0.15	2.25
1920	8.33	0.80	1.32	3.72	18.24	2.81	5.80	27.39	1.00	0.33	33.12	6.37	0.27	2.79	0.80	0.17	0.15	1.80
1915	4.25	0.82	1.79	3.00	16.54	3.33	3.42	8.47	1.00	0.32	24.25	6.38	0.21	1.63	0.64	0.16	0.14	1.62
1910	6.33	0.85	1.19	1.97	5.33	1.98	4.00	4.83	1.00	0.34	17.43	6.06	0.21	1.48	0.58	0.19	0.19	1.64
1905	5.49	1.02	0.64	1.05	11.92	3.28	3.46	10.64	1.00	0.46	13.50	2.63	0.23	0.94	0.70	0.15	0.14	2.00
1900	4.97	0.81	0.64	1.27	5.66	1.93	2.86	5.33	1.00	0.38	14.22	3.31	0.22	1.54	0.59	0.19	0.18	1.56
1895	6.22	1.03	0.64	0.36	9.23	4.39	4.93	15.95	1.00	0.43	15.57	1.90	0.20	0.91	0.75	0.18	0.10	2.28
1890	7.80	1.00	0.43	0.63	20.76	3.34	7.24	20.32	1.00	0.40	19.95	2.26	0.24	1.02	0.75	0.18	0.16	2.05
1885	6.08	0.90	0.48	0.87	9.44	3.60	4.00	13.59	1.00	0.31	17.42	1.77	0.24	1.09	0.72	0.16	0.14	1.98
1880	7.76	1.01	0.51	0.30	7.15	3.65	4.15	8.97	1.00	0.41	10.52	1.43	0.17	0.50	0.64	0.13	0.15	2.04
1875	8.70	1.24	0.49	0.37	9.03	4.01	4.58	10.15	1.00	0.32	12.74	1.57	0.26	0.48	0.82	0.17	0.16	2.02
1870	5.31	0.74	0.60	0.20	4.57	2.12	2.12	2.34	1.00	0.73	14.15	1.12	0.22	0.36	0.74	0.16	0.15	1.79
1865	7.64	0.75	0.54	0.19	5.99	1.87	3.84	3.29	1.00	0.57	28.61	2.53	0.17	0.64	0.63	0.11	0.16	1.47
1860	3.33	0.67	0.44	0.21	4.23	2.13	3.97	2.21	1.00	0.64	25.67	1.29	0.21	0.50	0.55	0.13	0.17	1.30
1855	6.28	0.92	0.56	0.26	6.61	3.09	3.50	5.12	1.00	0.63	25.87	1.70	0.17	0.54	0.63	0.14	0.13	1.69
1850	3.60	1.11	0.46	0.37	14.09	4.48	4.49	8.33	1.00	0.49	18.21	1.93	0.15	0.46	0.68	0.16	0.14	2.13
1845	3.84	1.24	0.50	0.36	9.37	5.72	3.81	7.80	1.00	0.36	27.79	1.53	0.29	1.01	0.94	0.21	0.17	2.39
1840	4.29	0.65	0.46	0.12	3.44	2.32	3.11	3.17	1.00	0.44	22.88	1.40	0.19	0.71	0.62	0.14	0.24	1.44
1835	2.09	0.84	0.45	0.12	5.27	3.38	1.45	2.34	1.00	1.35	12.31	1.49	0.16	0.44	0.68	0.12	0.21	1.47
1830	1.24	0.81	0.36	0.16	5.26	3.65	2.29	2.18	1.00	2.02	16.72	1.56	0.18	0.42	0.48	0.14	0.22	1.30
1825	2.90	0.86	0.48	0.24	11.50	8.02	2.43	3.14	1.00	8.88	15.51	1.79	0.18	0.60	0.74	0.23	0.27	1.56
1820	14.30	1.33	0.96	0.36	25.44	7.94	14.41	32.06	1.00	4.16	38.77	4.50	0.31	1.46	1.14	0.38	0.43	3.39
1815	5.38	1.19	0.60	0.30	16.21	4.57	5.17	12.63	1.00	0.42	19.91	2.02	0.21	0.68	0.64	0.18	0.25	1.97
1810	4.44	1.02	0.77	0.30	9.41	4.19	5.34	8.54	1.00	0.92	17.54	2.32	0.16	0.73	0.56	0.14	0.18	2.10
1805	5.08	0.96	1.03	0.50	12.03	2.65	3.94	11.20	1.00	0.40	23.53	4.96	0.23	0.89	0.67	0.32	0.29	2.13
1800	17.35	1.22	1.08	0.96	18.96	3.71	7.80	31.75	1.00	0.55	79.83	5.12	0.20	2.29	0.99	0.47	0.33	2.86
1795	3.67	0.58	0.43	0.93	2.66	1.33	1.77	6.07	1.00	0.33	21.13	2.03	0.16	0.89	0.74	0.18	0.11	1.39
1790	10.85	0.81	0.69	1.34	26.70	1.44	4.70	27.23	1.00	0.27	32.52	5.06	0.20	1.99	0.54	0.20	0.18	1.13
1785	3.72	1.05	0.90	0.32	7.90	2.55	3.76	9.09	1.00	0.42	14.84	3.11	0.20	0.96	0.72	0.36	0.39	2.57
1780	11.26	2.01	1.00	0.84	16.62	4.97	8.94	22.83	1.00	0.83	39.98	4.97	0.35	2.46	0.88	0.36	0.29	3.31
1775	5.50	0.87	0.55	0.62	6.71	2.38	2.81	14.53	1.00	0.97	22.11	2.29	0.15	1.93	0.64	0.17	0.17	1.75
