# Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: http://ncdc.noaa.gov/paleo/study/17418
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/icecore/trop/quelccaya/quelccaya2015elem5yrmed.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2015-02-09
#--------------------
# Title
#	Study_Name: Quelccaya Ice Cap, Peru 1200 Year Trace Element Data
#--------------------
# Investigators
# 	Investigators: Uglietti, C; Gabrielli, P; Cooke, C.A.; Vallelonga, P; Thompson, L.G.  
#--------------------
# Description_and_Notes
#	Description: Trace element data from ice cores collected on the North Dome of the Quelccaya Ice Cap, Peru. 
#	5-year median/average concentration, enrichment factor and flux of trace elements for the Quelccaya 
#	North Dome (QND) ice core from 795 to 1990 AD. Concentrations, fluxes and enrichment factors of 
#	Ag, Al, As, Bi, Cd, Co, Cr, Cu, Fe, Mn, Mo, Pb, Rb, Sb, Ti, Tl, U and V are included. 
#
#	Raw concentration data are at annual or decadal resolution for the past 1200 years and are based on freshly 
#	cut ice samples. Included are 5 years average and median concentration, enrichment factor (EFc) and flux 
#	of trace elements for the Quelccaya North Dome core from  795 to 1990 AD; 5 years average/median concentrations 
#	and EFc are calculated as average/median of the individual sample values 5 years average/median fluxes 
#	are calculated as average/median of annual fluxes that are obtained by using reconstructed annual snow 
#	accumulation and average annual trace element concentration. Raw concentration data will be released after 
#	the planned successive publication of the detailed trace element records or within 5 years from the publication 
#	of the 2015 PNAS trace element paper.  Time scale is from Thompson et al. (2013) Science, vol. 340, 6135, 945-950. 
#	The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
#	Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
#	isotopic record to that of the Quelccaya Summit Dome core.
#
#--------------------
# Publication 
# 	Authors: Chiara Uglietti, Paolo Gabrielli, Colin A. Cooke, Paul Vallelonga, and Lonnie G. Thompson
#	Published_Date_or_Year: 2015-02-09 
#	Published_Title: Widespread pollution of the South American atmosphere predates the industrial revolution by 240 y
#	Journal_Name: Proceedings of the National Academy of Sciences
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages: 
#	DOI: 10.1073/pnas.1421119112
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: In the Southern Hemisphere, evidence for preindustrial atmospheric pollution is restricted to a few geological archives of low temporal resolution that record trace element deposition originating from past mining and metallurgical operations in South America. Therefore, the timing and the spatial impact of these activities on the past atmosphere remain poorly constrained. Here we present an annually resolved ice core record (A.D. 793-1989) from the high-altitude drilling site of Quelccaya (Peru) that archives preindustrial and industrial variations in trace elements. During the precolonial period (i.e., pre-A.D. 1532), the deposition of trace elements was mainly dominated by the fallout of aeolian dust and of ash from occasional volcanic eruptions, indicating that metallurgic production during the Inca Empire (A.D. 1438-1532) had a negligible impact on the South American atmosphere. In contrast, a widespread anthropogenic signal is evident after around A.D. 1540, which corresponds with the beginning of colonial mining and metallurgy in Peru and Bolivia, ~240 y before the Industrial Revolution. This shift was due to a major technological transition for silver extraction in South America (A.D. 1572), from lead-based smelting to mercury amalgamation, which precipitated a massive increase in mining activities. However, deposition of toxic trace metals during the Colonial era was still several factors lower than 20th century pollution that was unprecedented over the entirety of human history.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US National Science Foundation 
#	Grant: ATM-0318430, MRI-0820779
#------------------
# Site_Information 
#	Site_Name: Quelccaya North Dome Ice Core
#	Location: South America>Peru
#	Country: Peru
#	Northernmost_Latitude: -13.91379
#	Southernmost_Latitude: -13.91379
#	Easternmost_Longitude: -70.80607
#	Westernmost_Longitude: -70.80607
#	Elevation: 5600 m  
#------------------
# Data_Collection   
#	Collection_Name: Quelccaya2015elem5YrMed
#	Earliest_Year: 795
#	Most_Recent_Year: 1990
#	Time_Unit: AD
#	Core_Length: 128.49 m 
#	Notes: 
#------------------
# Chronology: 
#
# The North Dome core was dated by layer counting to 1395 AD, and was also constrained by the 1600 AD
# Huaynaputina volcanic event. From 1395 AD to 1000 AD dating was accomplished by matching the 
# isotopic record to that of the Quelccaya Summit Dome core.
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , , year AD, , , First thermal year (AD) after the five-years period considered, ,N
##Ag pg/g	Silver, , , pg/g, , , , ,N
##Al pg/g	Aluminum, , , pg/g, , , , ,N
##As pg/g	Arsenic, , , pg/g, , , , ,N
##Bi pg/g	Bismuth, , , pg/g, , , , ,N
##Cd pg/g	Cadmium, , , pg/g, , , , ,N
##Co pg/g	Cobalt, , , pg/g, , , , ,N
##Cr pg/g	Chromium, , , pg/g, , , , ,N
##Cu pg/g	Copper, , , pg/g, , , , ,N
##Fe pg/g	Iron, , , pg/g, , , , ,N
##Mn pg/g	Manganese, , , pg/g, , , , ,N
##Mo pg/g	Aluminum, , , pg/g, , , , ,N
##Pb pg/g	Lead, , , pg/g, , , , ,N
##Rb pg/g	Rubidium, , , pg/g, , , , ,N
##Sb pg/g	Antimony, , , pg/g, , , , ,N
##Ti pg/g	Titanium, , , pg/g, , , , ,N
##Tl pg/g	Thallium, , , pg/g, , , , ,N
##U pg/g	Uranium, , , pg/g, , , , ,N
##V pg/g	Vanadium, , , pg/g, , , , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
# Quelccaya 2003 North Dome core 5-years median trace element concentrations from 795 AD to 1990 AD
#
age_AD	Ag pg/g	Al pg/g	As pg/g	Bi pg/g	Cd pg/g	Co pg/g	Cr pg/g	Cu pg/g	Fe pg/g	Mn pg/g	Mo pg/g	Pb pg/g	Rb pg/g	Sb pg/g	Ti pg/g	Tl pg/g	U pg/g	V pg/g
1990	1.22	12985.39	49.30	2.21	2.87	4.92	37.54	125.51	7480.60	208.70	73.44	67.51	38.83	23.59	324.33	0.42	2.39	19.95
1985	1.13	11961.52	53.50	3.65	1.45	5.60	37.41	154.01	6798.76	234.48	11.99	88.63	40.29	11.18	414.72	0.44	2.59	17.94
1980	0.80	7204.86	25.77	2.79	0.95	3.59	14.51	66.22	5250.83	96.66	5.65	67.40	25.93	3.50	235.96	0.19	2.49	10.01
1975	0.88	6438.01	21.61	1.31	0.93	3.53	17.77	59.21	3652.94	73.08	2.68	35.12	20.31	1.97	190.39	0.18	1.06	8.13
1970	0.98	11641.76	40.61	2.44	0.86	4.69	31.57	90.48	9446.95	161.85	5.46	62.41	42.82	4.49	487.73	0.36	1.94	17.78
1965	1.01	8252.66	18.96	2.50	1.08	3.94	34.59	82.04	6427.52	103.17	3.80	45.77	23.17	3.37	330.95	0.25	1.81	12.35
1960	1.31	8518.51	23.23	2.28	0.92	5.25	35.61	82.99	6984.74	142.91	3.30	70.42	24.32	3.10	375.29	0.24	2.21	14.72
1955	0.72	7428.96	17.94	1.00	0.45	3.82	10.72	44.61	4431.78	70.01	1.02	30.29	25.29	2.61	292.62	0.23	1.05	10.14
1950	0.57	6760.08	15.22	1.00	0.37	2.95	11.40	36.74	5041.16	70.43	0.96	25.15	25.53	1.72	294.98	0.18	1.30	10.80
1945	0.79	8795.57	27.20	2.94	0.69	4.86	24.52	106.21	6934.39	95.67	2.44	58.22	38.14	7.88	378.69	0.36	2.63	15.96
1940	0.70	14678.82	41.51	4.81	0.39	5.58	17.75	47.92	10607.49	164.28	1.27	89.74	49.53	4.61	671.02	0.39	2.47	22.15
1935	1.24	6847.55	22.22	2.88	0.40	4.54	15.66	47.93	4172.91	59.27	0.99	32.30	20.31	2.80	205.89	0.19	1.72	9.31
1930	0.97	16166.00	73.01	13.45	0.52	7.35	20.34	75.34	11998.38	184.40	1.68	156.55	68.07	8.38	591.66	0.43	2.24	20.73
1925	1.27	7979.38	19.05	3.51	0.66	3.53	22.33	54.39	2922.94	35.27	1.05	49.24	18.28	2.85	247.12	0.16	0.64	9.17
1920	0.96	8615.59	32.80	4.02	0.55	2.87	18.14	103.24	6161.19	83.51	2.15	83.25	52.13	5.80	415.73	0.44	1.80	11.73
1915	0.79	14126.93	58.21	5.14	0.96	3.84	22.07	59.10	12941.44	120.46	4.05	142.94	55.79	7.45	423.88	0.53	2.53	13.00
1910	0.70	8859.29	28.80	1.79	0.36	3.35	18.58	52.52	6625.36	59.36	0.88	93.64	25.74	3.77	314.65	0.28	1.39	12.28
1905	0.99	19050.81	31.58	2.38	0.51	7.86	21.62	77.69	13123.62	310.83	1.69	88.43	66.67	5.50	682.30	0.58	4.78	23.25
1900	0.58	7054.65	12.58	1.01	0.26	2.10	10.57	41.95	6502.26	77.52	0.83	35.60	28.28	2.69	302.87	0.26	1.65	10.01
1895	0.67	4838.40	8.84	0.28	0.29	2.23	11.04	39.97	4196.40	61.97	0.60	14.63	16.22	1.18	347.34	0.15	0.36	10.01
1890	1.00	20094.38	19.96	1.15	1.10	5.67	36.60	84.75	13321.74	134.68	1.64	47.83	78.56	3.88	911.89	0.72	4.89	26.95
1885	0.69	8799.25	10.80	0.91	0.47	3.07	22.45	102.93	8960.58	77.79	2.27	23.68	33.92	2.59	390.93	0.31	1.69	15.71
1880	1.26	12357.98	17.20	0.61	0.45	5.22	19.99	60.27	8952.17	154.13	1.36	38.28	34.30	1.88	571.03	0.31	2.14	18.13
1875	0.77	7909.29	9.15	0.40	0.52	4.04	18.99	48.34	5029.33	66.42	0.74	18.29	33.52	0.89	290.62	0.32	0.94	10.35
1870	0.40	8339.24	8.63	0.23	0.15	3.32	8.87	19.51	5957.39	129.62	0.64	13.81	30.90	0.65	441.37	0.27	1.02	10.96
1865	0.31	9204.19	9.42	0.28	0.21	2.79	7.98	16.57	8066.53	134.23	1.24	27.24	30.84	0.79	439.50	0.23	1.49	10.93
1860	0.25	12037.35	16.23	0.33	0.26	4.48	19.02	30.76	9772.92	207.41	1.44	35.83	40.19	1.65	472.22	0.28	2.74	13.78
1855	0.44	7132.45	11.48	0.38	0.65	4.25	17.39	44.62	4406.67	109.69	1.87	20.60	31.02	1.08	336.42	0.19	1.56	9.91
1850	0.65	12674.30	10.63	0.70	1.16	6.72	22.61	57.84	8711.71	185.08	1.68	27.86	31.42	1.82	505.65	0.33	1.82	18.40
1845	0.53	22025.04	18.83	0.38	0.76	7.19	17.37	63.06	13446.85	239.20	1.48	37.92	47.30	3.21	735.91	0.51	3.38	28.79
1840	0.36	10369.19	12.86	0.21	0.21	4.43	11.72	43.24	7868.98	183.64	1.24	36.56	34.08	1.63	582.00	0.28	2.07	14.84
1835	0.92	24865.04	53.91	1.00	1.18	23.27	29.93	40.98	22029.46	1455.30	2.46	59.84	123.48	3.86	1419.95	1.26	7.14	44.77
1830	0.47	14805.59	20.39	0.43	0.88	11.03	18.95	29.51	15967.11	1205.03	2.46	39.23	59.40	2.51	665.89	0.63	4.37	32.20
1825	0.34	8785.34	15.06	0.27	0.62	9.05	13.61	30.00	11851.92	1272.27	1.28	33.74	28.86	0.95	366.56	0.29	4.11	11.55
1820	0.39	2794.71	5.05	0.17	0.53	2.40	11.75	28.77	1522.43	220.44	0.64	24.62	7.86	0.84	136.74	0.12	0.93	4.72
1815	0.69	10810.28	22.32	0.34	0.59	4.16	11.67	54.05	8457.61	148.99	1.57	21.92	31.56	2.15	336.30	0.31	1.84	13.68
1810	0.90	8352.62	19.65	0.46	0.82	11.15	22.65	74.94	10027.88	1062.43	2.47	44.10	23.65	2.40	300.41	0.38	2.48	14.10
1805	1.12	17895.78	25.15	0.44	0.50	7.02	16.35	53.56	13166.54	318.12	1.42	61.46	57.04	2.51	860.03	0.67	3.13	26.34
1800	0.55	4653.76	15.07	0.80	0.39	1.48	14.60	31.32	4090.93	31.96	1.33	45.39	14.53	1.32	265.68	0.59	1.10	7.73
1795	1.73	12698.75	27.93	1.89	0.65	4.08	17.43	91.64	15104.86	130.68	4.26	58.86	51.03	6.56	900.52	0.91	2.42	21.51
