# Tropical Peruvian Ice Core 50 Year Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22251 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/quelccaya/quelccaya2017qic1983deepd18o.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes, geochemistry, physical properties 
#--------------------
# Contribution_Date
#	Date: 2017-09-07
#--------------------
# File_Last_Modified_Date
#	Date: 2017-09-07
#--------------------
# Title
#	Study_Name: Tropical Peruvian Ice Core 50 Year Oxygen Isotope Data
#--------------------
# Investigators
#	Investigators: Thompson, L.G.; Davis, M.E.; Mosley-Thompson, E.; Beaudon, E.; Porter, S.E.; Kutuzov, S.; Lin, P.-N.; Mikhalenko, V.N.; Mountain, K.R.
#--------------------
# Description_Notes_and_Keywords
#	Description: Ice core and snow pit oxygen isotope (d18O) data, at sub-annual resolution for recent decades, from two ice core locations in tropical Peru 
#	(Quelccaya and Huascarán), plus ice density and geochemical measurements made on some samples. 
#	Individual data sets are as follows: 
#	
#	Figure 2 data:
#	Individual d18O sample values for Quelccaya (QIC) summit dome cores drilled in 1976, 1979, 1983, 1991, 2003, 2016, plotted by depth to 16 meter maximum
#	Individual d18O sample values for Huascarán (HS) col cores drilled in 1991, 1993, 2016, plotted by depth to 16 meter maximum
#	
#	Figure 3 data:
#	Individual d18O sample values from the 2003 QIC Summit deep core (top ~60 meters)
#	Individual d18O sample values from the 1983 QIC Summit deep core (4.46 to 60 meters)
#	Individual d18O sample values from 1983 QIC Summit pit (0 to 2.5 meters) and shallow core (2.6 to 4.5 meters) drilled at bottom of pit
#	Discrete density values from the 1983 QIC Summit cores (0-32 meters)
#	Discrete density values from the 2003 QIC Summit core (0-~40 meters)
#	QIC 2003 d18O time series (thermal years) from 1900 to 2003
#	QIC 1983 d18O time series (thermal years) from 1900 to 1984 (includes the 1984 pit)
#	
#	Figure 4 QIC data:
#	Individual sample d18O values for each TY1 in the QIC summit between 1973/74 and 2015/16
#	TY1 annual d18O, layer thicknesses, densities, NSA (the net sum of accumulation over the previous year), and standard deviation of d18O for pits, cores and averages of multiple data sets where applicable
#	
#	Figure 4 HS data
#	Individual sample d18O values for each TY in HS col from 1973/74 to 1992/93 (from the 1993 deep core) and 2012/13 to 2015/2016 (from the 2016 shallow core)
#	TY annual averages of d18O, NSA (the net sum of accumulation over the previous year), and standard deviation of d18O
#	
#	Figure S1 data
#	Individual d18O values from pit and core samples from the summit of the QIC between TY1973/74 to TY2015/16, plotted by depth to a maximum of 16 meters
#	
#	Figure S2 data
#	2016 QIC summit dome core and Huascarán col shallow core data
#	Individual d18O sample values, and insoluble dust and nitrate concentrations (3-sample running means)
#	
#	Figure S4 data
#	Density  (kg/m3) of each 2016 QIC summit dome pit sample 
#	
#--------------------
# Publication 
#	Authors: Thompson, L.G. M.E, Davis, E. Mosley-Thompson, E. Beaudon, S.E. Porter, S. Kutuzov, P-N. Lin, V.N. Mikhalenko, K.R. Mountain
#	Published_Date_or_Year: 2017 in press 
#	Published_Title: Impacts of recent warming and the 2015/16 El Nino on tropical Peruvian ice fields
#	Journal_Name: Journal of Geophysical Research Atmospheres
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#       Site_Name: Quelccaya 
#       Location: South America>Peru
#	Country: Peru
#	Northernmost_Latitude: -13.93
# 	Southernmost_Latitude: -13.93
# 	Easternmost_Longitude: -70.83
# 	Westernmost_Longitude: -70.83
# 	Elevation: 5670 m 
#------------------
# Data_Collection   
#	Collection_Name: QIC1983deepd18O
#	Earliest_Year: 1905
#	Most_Recent_Year: 2013
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 1983 Deep core
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_m	depth, , , m, , , , ,N,
## d18O	delta18O, ice, , per mil, ,ice core, ,isotope ratio mass spectrometry,N, 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NA
#
depth_m	d18O
4.46	-14.15
4.66	-14.51
4.81	-13.64
4.97	-12.60
5.14	-16.23
5.34	-15.35
5.55	-15.83
5.70	-18.91
5.88	-20.85
6.02	-22.93
6.16	NA
6.66	-18.77
6.79	-19.77
6.95	-18.21
7.12	-14.07
7.28	-15.01
7.39	-16.14
7.56	-15.68
7.75	-15.15
7.93	-15.68
8.10	-15.90
8.31	-15.97
8.53	-15.33
8.74	-16.00
8.96	-16.08
9.09	-16.59
9.30	-17.26
9.52	-17.73
9.73	-17.99
9.95	-18.24
10.16	-18.03
10.36	-17.63
10.58	-17.62
10.79	-17.05
10.90	-17.05
11.11	-16.98
11.32	-17.25
11.55	-17.65
11.77	-17.64
11.95	-17.64
12.12	-17.82
12.33	-17.91
12.58	-18.14
12.82	-18.19
13.08	-17.63
13.29	-17.71
13.50	-17.56
13.76	-17.65
13.97	-17.46
14.14	-17.90
14.30	-18.10
14.50	-18.37
14.65	-18.49
14.85	-18.92
15.00	-18.64
15.13	-18.61
15.34	-18.84
15.56	-18.88
15.71	-18.97
15.86	-18.76
16.04	-18.55
16.21	-18.45
16.38	-18.09
16.59	-18.01
16.78	-18.04
16.96	-18.42
17.12	-19.04
17.32	-19.39
17.46	-19.54
17.59	-20.29
17.74	-21.03
17.86	-19.46
18.05	-20.01
18.21	-19.90
18.33	-19.82
18.48	-19.65
18.64	-19.87
18.79	-19.74
18.91	-19.72
19.05	-19.15
19.19	-17.56
19.32	-19.00
19.47	-19.01
19.60	-18.81
19.72	-18.75
19.84	-18.62
19.96	-18.54
20.07	-18.78
20.20	-18.88
20.34	-18.78
20.48	-19.02
20.64	-19.12
20.78	-18.96
20.93	-19.31
21.09	-19.06
21.23	-19.11
21.38	-19.26
21.54	-19.33
21.66	-19.60
21.82	-19.64
21.97	-19.54
22.09	-19.56
22.25	-19.63
22.40	-19.19
22.57	-18.23
22.72	-18.13
22.89	-16.16
23.05	-16.50
23.19	-16.83
23.33	-16.80
23.50	-16.74
23.70	-16.46
23.85	-16.51
23.99	-16.23
24.16	-15.62
24.32	-16.26
24.47	-15.84
24.64	-15.64
24.81	-15.30
24.95	-15.53
25.08	-15.88
25.22	-16.86
25.35	-16.74
25.47	-16.79
25.60	-16.38
25.71	-16.73
25.89	-16.19
26.02	-15.42
26.14	-15.50
26.28	-15.90
26.43	-15.86
26.53	-16.53
26.67	-16.67
26.82	-16.71
26.96	-16.01
27.13	-15.51
27.29	-16.39
27.42	-16.41
27.60	-16.49
27.78	-17.19
27.92	-16.57
28.04	-16.31
28.19	-16.07
28.34	-15.99
28.49	-16.04
28.65	-16.07
28.80	-15.81
28.95	-16.14
29.10	-16.25
29.25	-16.10
29.40	-16.37
29.55	-17.02
29.71	-17.01
29.81	-17.02
29.94	-16.79
30.06	-16.64
30.22	-16.27
30.37	-16.71
30.51	-16.69
30.65	-17.02
30.80	-17.30
30.95	-17.62
31.10	-17.54
31.25	-17.26
31.40	-17.29
31.52	-17.28
31.62	-17.55
31.73	-18.08
31.85	-18.80
31.97	-18.38
32.09	-18.79
32.19	-18.61
32.28	-18.35
32.38	-18.16
32.49	-17.86
32.59	-17.98
32.69	-17.94
32.80	-17.94
32.90	-18.00
32.99	-18.48
33.10	-18.26
33.20	-17.58
33.29	-16.79
33.39	-16.01
33.48	-16.18
33.56	-16.59
33.65	-16.65
33.75	-17.02
33.86	-18.01
33.99	-19.61
34.10	-19.71
34.23	-18.69
34.35	-17.75
34.47	-16.60
34.57	-17.50
34.66	-18.37
34.79	-19.05
34.89	-18.37
35.01	-17.09
35.14	-16.20
35.26	-15.20
35.38	-15.15
35.49	-14.92
35.57	-15.08
35.65	-15.21
35.77	-16.05
35.88	-16.78
35.98	-16.65
36.09	-16.54
36.19	-16.27
36.29	-16.17
36.39	-15.91
36.49	-15.88
36.59	-16.36
36.70	-16.06
36.81	-16.31
36.91	-16.05
37.02	-15.78
37.12	-15.88
37.22	-16.10
37.34	-16.04
37.44	-16.67
37.53	-17.01
37.61	-17.31
37.69	-17.43
37.81	-17.41
37.93	-17.64
38.04	-17.84
38.14	-17.97
38.24	-18.14
38.34	-18.78
38.44	-18.44
38.53	-18.56
38.64	-18.18
38.74	-17.87
38.85	-17.41
38.95	-18.12
39.06	-19.26
39.16	-19.11
39.27	-19.83
39.38	-19.70
39.47	-18.79
39.59	-19.22
39.72	-19.27
39.89	-19.81
40.03	-20.51
40.15	-21.00
40.26	-20.02
40.37	-20.15
40.47	-19.66
40.57	-18.85
40.68	-18.19
40.78	-17.52
40.88	-17.31
40.99	-18.29
41.09	-18.88
41.18	-18.80
41.29	-19.06
41.39	-19.07
41.48	-19.16
41.58	-18.87
41.69	-18.74
41.78	-19.05
41.87	-18.78
41.96	-18.58
42.07	-18.70
42.15	-18.71
42.26	-19.18
42.36	-19.34
42.49	-19.91
42.62	-19.82
42.72	-19.59
42.82	-18.74
42.92	-18.42
43.02	-18.27
43.15	-18.06
43.25	-18.03
43.35	-18.12
43.45	-18.74
