# Tropical Peruvian Ice Core 50 Year Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22251 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/quelccaya/quelccaya2017qic2003d18o.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes, geochemistry, physical properties 
#--------------------
# Contribution_Date
#	Date: 2017-09-07
#--------------------
# File_Last_Modified_Date
#	Date: 2017-09-07
#--------------------
# Title
#	Study_Name: Tropical Peruvian Ice Core 50 Year Oxygen Isotope Data
#--------------------
# Investigators
#	Investigators: Thompson, L.G.; Davis, M.E.; Mosley-Thompson, E.; Beaudon, E.; Porter, S.E.; Kutuzov, S.; Lin, P.-N.; Mikhalenko, V.N.; Mountain, K.R.
#--------------------
# Description_Notes_and_Keywords
#	Description: Ice core and snow pit oxygen isotope (d18O) data, at sub-annual resolution for recent decades, from two ice core locations in tropical Peru 
#	(Quelccaya and Huascarán), plus ice density and geochemical measurements made on some samples. 
#	Individual data sets are as follows: 
#	
#	Figure 2 data:
#	Individual d18O sample values for Quelccaya (QIC) summit dome cores drilled in 1976, 1979, 1983, 1991, 2003, 2016, plotted by depth to 16 meter maximum
#	Individual d18O sample values for Huascarán (HS) col cores drilled in 1991, 1993, 2016, plotted by depth to 16 meter maximum
#	
#	Figure 3 data:
#	Individual d18O sample values from the 2003 QIC Summit deep core (top ~60 meters)
#	Individual d18O sample values from the 1983 QIC Summit deep core (4.46 to 60 meters)
#	Individual d18O sample values from 1983 QIC Summit pit (0 to 2.5 meters) and shallow core (2.6 to 4.5 meters) drilled at bottom of pit
#	Discrete density values from the 1983 QIC Summit cores (0-32 meters)
#	Discrete density values from the 2003 QIC Summit core (0-~40 meters)
#	QIC 2003 d18O time series (thermal years) from 1900 to 2003
#	QIC 1983 d18O time series (thermal years) from 1900 to 1984 (includes the 1984 pit)
#	
#	Figure 4 QIC data:
#	Individual sample d18O values for each TY1 in the QIC summit between 1973/74 and 2015/16
#	TY1 annual d18O, layer thicknesses, densities, NSA (the net sum of accumulation over the previous year), and standard deviation of d18O for pits, cores and averages of multiple data sets where applicable
#	
#	Figure 4 HS data
#	Individual sample d18O values for each TY in HS col from 1973/74 to 1992/93 (from the 1993 deep core) and 2012/13 to 2015/2016 (from the 2016 shallow core)
#	TY annual averages of d18O, NSA (the net sum of accumulation over the previous year), and standard deviation of d18O
#	
#	Figure S1 data
#	Individual d18O values from pit and core samples from the summit of the QIC between TY1973/74 to TY2015/16, plotted by depth to a maximum of 16 meters
#	
#	Figure S2 data
#	2016 QIC summit dome core and Huascarán col shallow core data
#	Individual d18O sample values, and insoluble dust and nitrate concentrations (3-sample running means)
#	
#	Figure S4 data
#	Density  (kg/m3) of each 2016 QIC summit dome pit sample 
#	
#--------------------
# Publication 
#	Authors: Thompson, L.G. M.E, Davis, E. Mosley-Thompson, E. Beaudon, S.E. Porter, S. Kutuzov, P-N. Lin, V.N. Mikhalenko, K.R. Mountain
#	Published_Date_or_Year: 2017 in press 
#	Published_Title: Impacts of recent warming and the 2015/16 El Nino on tropical Peruvian ice fields
#	Journal_Name: Journal of Geophysical Research Atmospheres
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#       Site_Name: Quelccaya 
#       Location: South America>Peru
#	Country: Peru
#	Northernmost_Latitude: -13.93
# 	Southernmost_Latitude: -13.93
# 	Easternmost_Longitude: -70.83
# 	Westernmost_Longitude: -70.83
# 	Elevation: 5670 m 
#------------------
# Data_Collection   
#	Collection_Name: QIC2003d18O
#	Earliest_Year: 1905
#	Most_Recent_Year: 2013
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#---------------- 
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_m	depth, , , m, , , , ,N,
## d18O	delta18O, ice, , per mil, ,ice core, ,isotope ratio mass spectrometry,N, 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
depth_m	d18O
0.00	-9.60
0.10	-21.90
0.22	-27.86
0.34	-27.90
0.44	-23.33
0.55	-22.20
0.69	-26.69
0.82	-26.86
0.94	-22.34
1.05	-19.77
1.19	-16.88
1.31	-19.02
1.41	-21.07
1.51	-20.42
1.61	-19.00
1.73	-20.36
1.85	-15.89
1.98	-14.82
2.10	-14.72
2.22	-15.17
2.33	-16.05
2.42	-13.21
2.52	-9.95
2.63	-9.79
2.74	-10.49
2.86	-15.20
2.96	-15.97
3.04	-15.87
3.13	-17.84
3.22	-18.27
3.31	-18.61
3.42	-18.97
3.53	-20.59
3.66	-21.50
3.79	-22.95
3.88	-23.77
3.98	-23.04
4.08	-22.41
4.18	-18.71
4.30	-18.30
4.41	-17.06
4.53	-16.00
4.63	-15.82
4.73	-15.32
4.85	-14.14
4.97	-11.90
5.09	-13.13
5.22	-11.98
5.35	-12.12
5.47	-13.06
5.57	-14.01
5.67	-14.68
5.77	-15.25
5.91	-15.04
6.01	-15.74
6.14	-15.92
6.27	-17.52
6.39	-18.52
6.51	-19.25
6.65	-20.62
6.77	-20.93
6.89	-21.14
7.00	-16.88
7.15	-21.54
7.32	-21.38
7.43	-21.04
7.53	-20.72
7.65	-18.85
7.75	-17.99
7.85	-17.87
7.97	-18.00
8.08	-17.62
8.18	-17.37
8.28	-17.26
8.37	-17.35
8.46	-17.58
8.55	-18.34
8.65	-18.21
8.75	-18.29
8.85	-18.40
8.96	-18.46
9.07	-18.56
9.17	-18.45
9.29	-17.23
9.42	-15.92
9.53	-15.74
9.64	-16.09
9.74	-16.12
9.84	-16.02
9.97	-16.12
10.07	-16.21
10.17	-16.50
10.27	-16.73
10.39	-16.96
10.52	-16.98
10.62	-17.19
10.72	-17.16
10.82	-17.12
10.92	-16.85
11.02	-16.81
11.12	-16.63
11.22	-16.46
11.33	-16.36
11.45	-15.91
11.58	-15.68
11.69	-15.53
11.80	-15.28
11.93	-14.93
12.04	-14.87
12.14	-14.95
12.24	-15.00
12.34	-15.06
12.44	-14.70
12.55	-14.52
12.66	-14.44
12.77	-14.55
12.88	-14.44
12.99	-14.56
13.09	-14.52
13.19	-14.56
13.29	-14.57
13.41	-14.72
13.53	-14.84
13.64	-14.92
13.75	-14.98
13.86	-14.97
13.97	-15.06
14.09	-15.17
14.19	-15.35
14.29	-15.29
14.39	-15.59
14.49	-15.79
14.60	-15.73
14.70	-15.71
14.80	-15.74
14.90	-15.70
15.00	-15.74
15.11	-15.87
15.21	-15.80
15.32	-15.45
15.43	-15.92
15.53	-15.88
15.63	-16.03
15.74	-16.07
15.84	-16.14
15.94	-16.72
16.04	-16.12
16.14	-16.15
16.24	-16.16
16.34	-16.22
16.45	-16.19
16.56	-16.17
16.68	-16.29
16.79	-16.37
16.89	-16.43
16.99	-16.37
17.09	-16.48
17.19	-16.47
17.29	-16.47
17.39	-16.67
17.49	-16.63
17.59	-16.62
17.74	-16.61
17.85	-16.65
17.96	-16.63
18.07	-16.73
18.17	-16.72
18.27	-16.74
18.37	-16.75
18.47	-16.72
18.56	-16.70
18.65	-16.96
18.79	-16.85
18.87	-16.80
18.95	-16.77
19.03	-16.71
19.11	-16.65
19.19	-16.69
19.27	-16.84
19.35	-16.61
19.44	-16.66
19.52	-16.56
19.60	-16.52
19.68	-16.33
19.76	-16.63
19.82	-16.91
19.89	-16.96
19.97	-16.84
20.05	-16.73
20.14	-16.64
20.22	-16.80
20.30	-16.78
20.40	-16.67
20.48	-16.72
20.56	-16.72
20.65	-16.79
20.71	-16.48
20.78	-16.77
20.87	-16.67
20.95	-16.36
21.03	-16.63
21.10	-16.58
21.17	-16.58
21.25	-16.56
21.32	-16.21
21.39	-16.35
21.46	-16.07
21.54	-16.10
21.62	-16.22
21.70	-16.45
21.78	-15.86
21.86	-16.70
21.93	-16.48
22.01	-16.53
22.10	-16.89
22.19	-17.08
22.27	-17.12
22.36	-17.25
22.44	-17.57
22.52	-17.56
22.60	-17.40
22.69	-16.74
22.77	-17.62
22.84	-17.61
22.91	-17.32
22.98	-17.20
23.06	-17.31
23.14	-17.38
23.22	-17.31
23.30	-17.18
23.38	-17.21
23.46	-17.14
23.54	-16.93
23.62	-16.94
23.70	-16.76
23.78	-17.01
23.86	-17.32
23.95	-17.11
24.04	-16.74
24.12	-16.75
24.21	-16.72
24.29	-16.70
24.37	-16.64
24.45	-17.00
24.54	-16.95
24.63	-17.04
24.71	-16.89
24.79	-17.03
24.88	-17.13
24.96	-17.35
25.02	-16.97
25.09	-17.05
25.16	-17.15
25.23	-17.34
25.31	-17.47
25.39	-17.32
25.47	-17.52
25.55	-17.53
25.63	-17.44
25.72	-17.32
25.80	-17.54
25.88	-17.68
25.96	-17.56
26.05	-17.85
26.14	-18.03
26.23	-18.13
26.32	-18.35
26.40	-18.33
26.48	-18.58
26.57	-18.98
26.65	-19.28
26.73	-19.53
26.82	-19.87
26.90	-19.46
26.98	-20.32
27.06	-20.09
27.15	-20.39
27.23	-19.92
