# Weissfluhjoch, Swiss Alps 2017 Snowpit Major Ions and Trace Element Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/26750 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/weissfluhjoch/weissfluhjoch2017snowpit.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#
# Dataset DOI: 
#
# Parameter_Keywords: chemistry, oxygen isotopes
#--------------------
# Contribution_Date
#	Date: 2019-06-19
#--------------------
# File_Last_Modified_Date
#	Date: 2019-06-19
#--------------------
# Title
#	Study_Name: Weissfluhjoch, Swiss Alps 2017 Snowpit Major Ions and Trace Element Data
#--------------------
# Investigators
#	Investigators: Avak, S.E.; Trachsel, J.C.; Edebeli, J.; Brutsch, S.; Bartels-Rausch, T.; Schneebeli, M.; Schwikowski, M.; Eichler, A.
#--------------------
# Description_Notes_and_Keywords
#	Description: Major ions and trace elements data from 5 snow pits at the Weissfluhjoch, Switzerland. Snow pits were taken on the following dates in 2017:
#	25 January, 22 February, 21 March, 17 April, and 1 June. Concentration values are given for the different depths of the 5 snow pits.
#
#--------------------
# Publication 
#	Authors: Sven E. Avak, Jurg C. Trachsel, Jacinta Edebeli, Sabina Brutsch, Thorsten Bartels-Rausch, Martin Schneebeli, Margit Schwikowski, Anja Eichler
#	Published_Date_or_Year: 2019-05-31 
#	Published_Title: Melt-Induced Fractionation of Major Ions and Trace Elements in an Alpine Snowpack
#	Journal_Name: Journal of Geophysical Research: Earth Surface
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 10.1029/2019JF005026
#	Online_Resource: https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2019JF005026
#	Full_Citation: 
#	Abstract: Understanding the impact of melting on the preservation of atmospheric compounds in high-Alpine snow and glacier ice is crucial for future reconstruction of past atmospheric conditions. However, detailed studies investigating melt-related changes of such proxy information are rare. Here, we present a series of five snow pit profiles of 6 major ions and 34 trace elements at Weissfluhjoch, Switzerland, collected between January and June 2017. Atmospheric composition was preserved during the cold season while melting towards the summer resulted in preferential loss of certain species from the snowpack or enrichment at the base of the snowpack. Increasing mobilization of major ions with meltwater (NH4+ < Cl- ~ Na+ < NO3- ~ Ca2+ ~ SO42-) can be related to their stronger enrichment at ice crystal surfaces during snow metamorphism. Results for trace elements show that less abundant elements such as Ce, Eu, La, Mo, Nd, Pb, Pr, Sb, Sc, Sm, U, and W were best preserved and may still serve as tracers to reconstruct past natural and anthropogenic atmospheric emissions from melt-affected snow pit and ice core records. The obtained elution behavior matches the findings from another high-Alpine site (upper Grenzgletscher) for major ions and the large majority of investigated trace elements. Both studies indicate that water solubility and location at the microscopic scale are likely to determine the relocation behavior with meltwater and also suggest that the observed species-dependent preservation from melting snow and ice is representative for the Alpine region, reflecting Central European atmospheric aerosol composition.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: Swiss National Science Foundation
#	Grant: 155999
#------------------
# Site_Information 
#	Site_Name: Weissfluhjoch
#	Location: Europe>Western Europe>Switzerland
#	Country: Switzerland
#	Northernmost_Latitude: 46.82972
# 	Southernmost_Latitude: 46.82972 
# 	Easternmost_Longitude: 9.80917
# 	Westernmost_Longitude: 9.80917 
# 	Elevation: 2536
#------------------
# Data_Collection   
#	Collection_Name: Weissfluhjoch2017snowpit
#	Earliest_Year: 2016
#	Most_Recent_Year: 2017
#	Time_Unit: CE
#	Core_Length: 0.67
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## PitDate	Snowpit date,,,,,,,,C,	
## depth_cm	depth, , , cm water equivalent, , , , ,N,
## Cl-	chloride, , , microgram per liter, ,ice cores, , ,N,
## NO3-	nitrate, , , microgram per liter, , ice cores, , ,N,
## SO42-	sulfate, , , microgram per liter, ,ice cores, , ,N,
## Na+	sodium, , , microgram per liter, ,ice cores, , ,N,
## NH4+	ammonium, , , microgram per liter, ,ice cores, , ,N,
## Ca2+	calcium, , , microgram per liter, ,ice cores, , ,N,
## d18O	delta 18O, , , per mil, ,ice cores,,isotope ratio mass spectrometry,N, 
## Al	aluminum, , , nanogram per liter, ,ice cores, , ,N,
## Ba	barium, , , nanogram per liter, ,ice cores, , ,N,
## Bi	bismuth, , , nanogram per liter, ,ice cores, , ,N,
## Ca	calcium, , , nanogram per liter, ,ice cores, , ,N,
## Cd	cadmium, , , nanogram per liter, ,ice cores, , ,N,
## Ce	Cerium, , , nanogram per liter, ,ice cores, , ,N,
## Co	cobalt, , , nanogram per liter, ,ice cores, , ,N,
## Cs	Caesium, , , nanogram per liter, ,ice cores, , ,N,
## Cu	copper, , , nanogram per liter, ,ice cores, , ,N,
## Eu	Europium, , , nanogram per liter, ,ice cores, , ,N,
## Fe	iron, , , nanogram per liter, ,ice cores, , ,N,
## La	Lanthanum, , , nanogram per liter, ,ice cores, , ,N,
## Li	Lithium, , , nanogram per liter, ,ice cores, , ,N,
## Mg	magnesium, , , nanogram per liter, ,ice cores, , ,N,
## Mn	manganese, , , nanogram per liter, ,ice cores, , ,N,
## Mo	molybdenum, , , nanogram per liter, ,ice cores, , ,N,
## Na	sodium, , , nanogram per liter, ,ice cores, , ,N,
## Nd	neodymium, , , nanogram per liter, ,ice cores, , ,N,
## Ni	nickel, , , nanogram per liter, ,ice cores, , ,N,
## Pb	lead, , , nanogram per liter, ,ice cores, , ,N,
## Pr	Praseodymium, , , nanogram per liter, ,ice cores, , ,N,
## Rb	rubidium, , , nanogram per liter, ,ice cores, , ,N,
## Sb	Antimony, , , nanogram per liter, ,ice cores, , ,N,
## Sc	Scandium, , , nanogram per liter, ,ice cores, , ,N,
## Sm	Samarium, , , nanogram per liter, ,ice cores, , ,N,
## Sr	strontium, , , nanogram per liter, ,ice cores, , ,N,
## Th	Thorium, , , nanogram per liter, ,ice cores, , ,N,
## Tl	Thallium, , , nanogram per liter, ,ice cores, , ,N,
## U	uranium, , , nanogram per liter, ,ice cores, , ,N,
## V	Vanadium, , , nanogram per liter, ,ice cores, , ,N,
## W	Tungsten, , , nanogram per liter, ,ice cores, , ,N,
## Yb	Ytterbium, , , nanogram per liter, ,ice cores, , ,N,
## Zn	zinc, , , nanogram per liter, ,ice cores, , ,N,
## Zr	Zirconium, , , nanogram per liter, ,ice cores, , ,N,
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
PitDate	depth_cm	Cl-	NO3-	SO42-	Na+	NH4+	Ca2+	d18O	Al	Ba	Bi	Ca	Cd	Ce	Co	Cs	Cu	Eu	Fe	La	Li	Mg	Mn	Mo	Na	Nd	Ni	Pb	Pr	Rb	Sb	Sc	Sm	Sr	Th	Tl	U	V	W	Yb	Zn	Zr
1/25/2017	43.98	56.70	777.70	57.31	25.14	18.92	27.55	-22.59	9803	79.7	7.68	38328	11.73	16.76	4.46	3.23	47.4	0.38	8959	3.80	7.67	12409	200.0	5.37	34275.7	4.95	27.6	274.4	1.31	15.1	17.3	0.89	1.10	214.3	2.84	1.45	1.60	7.69	2.89	0.47	2395	17.85
1/25/2017	45.00	29.82	108.90	21.77	5.31	1.39	14.59	-22.83	775	31.5	2.51	22040	1.08	1.54	2.69	1.02	41.1	0.17	3946	0.81	4.30	8994	145.9	0.92	7573.7	1.06	21.2	222.0	0.24	3.6	9.5	0.34	0.30	29.9	0.50	0.51	0.21	4.85	0.84	0.10	1414	6.87
1/25/2017	46.31	19.35	152.40	21.89	8.40	6.08	21.14	-21.34	1194	46.7	4.38	28248	1.04	1.62	3.94	0.88	15.0	0.17	820	0.92	1.92	9086	120.4	1.88	9904.7	1.06	24.7	171.4	0.25	4.6	8.8	0.42	0.26	41.8	0.27	0.36	0.21	5.43	0.51	0.11	887	3.83
1/25/2017	47.88	26.96	356.92	53.68	11.47	16.88	109.72	-15.30	3285	220.3	1.09	94336	2.20	10.32	29.48	2.77	38.0	0.58	3456	4.86	5.97	16007	959.4	3.02	9970.7	5.69	91.2	98.8	1.33	18.5	6.8	2.33	1.65	206.3	1.09	0.45	1.15	17.03	0.81	0.63	1023	4.61
1/25/2017	49.57	19.23	310.17	60.35	6.53	13.39	83.16	-15.82	4241	358.6	2.23	167103	2.70	14.38	34.93	4.68	81.8	0.86	5922	7.13	6.27	40519	1221.1	2.69	8062.0	9.09	92.5	163.2	2.01	19.3	7.1	4.18	2.52	303.4	1.80	0.48	1.49	18.33	1.44	1.12	1523	8.47
1/25/2017	51.17	96.02	335.56	67.59	45.62	25.30	41.53	-18.11	2741	69.4	3.41	64897	1.89	5.80	16.09	1.24	49.0	0.22	2411	2.64	3.99	22805	393.3	3.37	63130.7	2.89	53.4	128.2	0.72	12.9	13.1	1.26	0.86	152.6	0.66	0.53	0.78	10.35	0.84	0.24	2068	5.70
1/25/2017	53.12	115.07	296.49	72.86	65.66	31.64	75.25	-17.52	2785	91.9	5.73	103013	1.93	9.87	26.54	1.62	48.2	0.35	2786	3.49	5.32	40214	606.3	9.01	88655.7	4.70	76.2	229.3	1.02	14.2	22.2	1.60	1.10	197.1	0.54	0.46	1.13	12.83	0.74	0.38	1632	3.99
1/25/2017	55.28	30.23	281.77	62.55	13.13	20.86	416.76	-16.79	21211	379.8	9.18	854013	4.29	81.69	85.71	14.75	99.1	3.57	21795	33.38	24.99	133810	4364.9	2.08	17872.7	57.40	124.6	404.9	12.96	64.9	16.9	14.55	16.51	1838.3	5.93	0.88	4.71	65.05	0.76	4.70	1891	18.72
1/25/2017	56.96	44.96	483.08	135.03	15.87	50.91	168.30	-16.20	20755	341.4	3.90	341333	3.30	70.09	154.45	7.11	118.2	1.94	24734	30.99	15.31	124970	2417.1	5.69	15186.7	40.03	728.3	211.0	9.74	59.3	9.1	11.87	9.73	650.9	3.36	0.92	7.45	60.79	1.02	3.12	5884	14.78
1/25/2017	58.58	21.33	271.96	67.60	5.79	20.70	68.77	-17.28	10955	2328.8	4.13	297943	3.57	44.51	101.31	6.22	126.3	2.54	14495	22.02	7.34	135640	1595.4	6.41	15564.7	25.89	344.6	418.7	6.18	31.4	17.4	7.93	10.11	490.9	4.41	0.85	5.74	58.27	1.55	3.03	5884	21.49
1/25/2017	60.26	19.44	296.45	47.51	3.09	12.85	53.36	-19.61	4175	2672.3	2.36	109693	2.39	11.58	20.50	1.56	44.0	0.95	3652	6.14	1.92	46616	962.4	3.92	5043.3	5.83	64.4	288.2	1.30	10.5	9.8	1.71	1.37	175.4	1.09	0.30	2.63	15.85	0.34	0.44	4808	18.04
1/25/2017	62.36	21.96	252.74	69.62	14.11	7.74	105.34	-20.40	1898	2410.6	1.48	117033	1.37	9.69	6.03	1.16	24.4	0.84	2247	4.82	4.71	34726	283.7	4.43	13965.7	5.16	19.7	398.5	1.31	9.7	5.1	0.85	1.11	325.1	0.91	0.23	3.75	8.99	0.28	0.28	3513	8.04
1/25/2017	65.16	7.37	66.62	28.67	0.87	12.34	17.28	-19.81	442	52.8	2.42	36125	3.21	0.78	1.23	0.49	27.5	0.19	314	0.40	1.92	21129	25.9	2.37	2601.7	0.39	4.5	116.3	0.07	3.9	4.3	0.09	0.11	119.4	0.29	0.25	1.92	4.67	0.59	0.04	1605	2.79
2/22/2017	28.58	7.66	74.40	50.51	2.23	19.59	10.56	-11.93	2670	27.6	2.97	8953	4.02	1.97	1.89	2.02	40.1	0.07	744	1.05	5.03	979	113.8	0.92	4346.4	1.15	40.2	217.9	0.31	8.9	4.5	0.35	0.29	35.3	0.98	1.27	0.13	10.50	1.49	0.11	2412	10.79
2/22/2017	30.08	5.95	40.81	25.49	1.00	3.80	9.20	-12.10	436	12.1	1.08	10600	2.71	1.28	1.64	1.31	25.5	0.07	268	0.56	1.92	4042	46.3	0.92	4818.8	0.63	11.7	155.5	0.17	6.5	2.2	0.21	0.17	29.1	0.49	0.80	0.20	4.62	0.56	0.06	1953	5.32
2/22/2017	31.58	31.10	298.90	71.75	11.04	34.35	61.38	-16.59	4602	152.4	2.13	95998	5.77	15.64	10.50	2.04	78.8	0.56	4230	6.79	7.91	11849	574.7	4.97	13655.7	9.20	29.8	144.5	2.33	19.1	9.9	1.65	2.31	272.6	1.42	0.87	0.72	21.77	0.78	0.66	11614	9.29
2/22/2017	33.08	15.59	247.32	47.72	4.39	7.52	26.43	-20.83	1155	33.5	1.22	16011	0.56	3.31	1.73	0.89	15.0	0.07	872	1.45	1.92	2376	108.2	0.92	4540.9	1.81	4.5	56.8	0.40	6.3	2.6	0.37	0.44	44.5	0.58	0.46	0.17	3.80	0.65	0.11	1716	4.85
2/22/2017	34.64	25.73	270.58	18.29	10.08	9.35	38.77	-19.89	842	25.5	4.24	37341	0.44	2.54	5.09	1.03	23.0	0.07	605	1.18	1.92	3743	209.3	0.92	8709.3	2.14	4.5	90.1	0.41	4.3	1.1	0.38	0.61	76.2	0.51	0.30	0.26	4.28	0.47	0.16	447	3.54
2/22/2017	36.44	7.30	56.15	13.29	1.79	3.34	14.36	-18.10	1429	27.8	2.26	22990	0.38	2.38	1.56	0.56	17.7	0.07	434	0.86	1.92	4378	59.0	2.92	2456.7	1.37	4.5	75.6	0.29	3.0	2.0	0.09	0.40	46.4	0.26	0.21	0.13	4.78	0.20	0.10	422	2.24
2/22/2017	38.24	1.00	7.18	4.60	1.00	1.00	10.00	-20.37	57	1.7	0.22	249	0.13	0.03	0.11	0.34	1.3	0.07	123	0.02	1.92	43	0.8	0.92	638.5	0.03	4.5	9.8	0.00	0.7	0.2	0.09	0.01	1.7	0.16	0.16	0.01	0.39	0.28	0.01	240	1.83
2/22/2017	40.16	2.82	48.07	17.19	1.45	3.37	10.00	-18.15	126	9.6	0.75	751	0.29	0.33	0.11	0.34	5.6	0.07	123	0.17	1.92	231	12.1	0.92	1489.7	0.17	4.5	23.9	0.05	2.1	1.1	0.09	0.06	3.7	0.13	0.18	0.03	3.64	0.23	0.02	398	1.58
