Vostok composite VRS13 ( a stack of 15 individual isotopic records from snow pits and shallow cores recovered in the vicinity of Vostok Station);0.16
B32Site DML05;0.2
DML Plateau Amundsenisen FB96DML02;0.2
DML Plateau Amundsenisen FB97DML03;0
DML Plateau (DML11) FB9803;0.13
DML Plateau (DML18) FB9804;0
DML Plateau (DML19) FB9805;0
DML Plateau (DML05) FB9807;0.23
DML Plateau (DML20) FB9808;0
DML Plateau (DML03) FB9809;0.22
DML Plateau (DML22) FB9811;0.05
DML Plateau (DML23) FB9812;0
DML Plateau (DML16) FB9813;0.16
DML Plateau (DML14) FB9815;0.04
DML Plateau (DML13) FB9816;0.21
DML Plateau (DML12) FB9817;0.06
DML Plateau (DML02) SS9813;0.16
US-ITASE-2002-4;0
Plateau Remote;0.13
TD96 Talos Dome;0.3
SPRESSO (South Pole);0.03
NUS 08-7;0
NUS 07-1;0
DSS Law Dome;0.34
Berkner Island (South) B25;0
Gomez;0.06
James Ross Island;0
Bruce Plateau;0
Ferrigno;0.26
Siple Station;0.53
WDC05A;0.22
WDC06A;0.32
US-ITASE-1999-1;0.32
US-ITASE-2000-1;0.32
US-ITASE-2000-4;0.26
US-ITASE-2000-5;0.39
US-ITASE-2001-2;0
US-ITASE-2001-3;0
US-ITASE-2001-5;0.24
US-ITASE-2002-1;0.31
US-ITASE-2002-2;0.02
RICE (Rosevelt Island);0.08
Hercules N<e9>v<e9>;0.1
VLG;0.23
Mt Erebus Saddle - MES;0.23
Whitehall Glacier WGH;0
IND 22B4 Coastal DML;0
IND 25B5 Coastal DML;0.03
DML Fimbulisen S20;0.11
DML Fimbulisen S100;0
DML Ritscherflya E91;0.41
DML Plateau (Kottas Camp) FB9802;0.11
