"Year";"PAGES2013method_NB_infilled_posr_DML-coast Recon";"2SE";"PAGES2013method_NB_infilled_posr_DML-coast Recon decadal";"2SE_decadal";"REs_fullcal";"REs_verif1";"REs_verfi2";"Mean_RE"
1533;NA;NA;NA;NA;NA;NA;NA;NA
1534;NA;NA;NA;NA;NA;NA;NA;NA
1535;NA;NA;NA;NA;NA;NA;NA;NA
1536;NA;NA;NA;NA;NA;NA;NA;NA
1537;NA;NA;NA;NA;NA;NA;NA;NA
1538;NA;NA;NA;NA;NA;NA;NA;NA
1539;NA;NA;NA;NA;NA;NA;NA;NA
1540;NA;NA;NA;NA;NA;NA;NA;NA
1541;NA;NA;NA;NA;NA;NA;NA;NA
1542;NA;NA;NA;NA;NA;NA;NA;NA
1543;NA;NA;NA;NA;NA;NA;NA;NA
1544;NA;NA;NA;NA;NA;NA;NA;NA
1545;NA;NA;NA;NA;NA;NA;NA;NA
1546;NA;NA;NA;NA;NA;NA;NA;NA
1547;NA;NA;NA;NA;NA;NA;NA;NA
1548;NA;NA;NA;NA;NA;NA;NA;NA
1549;NA;NA;NA;NA;NA;NA;NA;NA
1550;NA;NA;NA;NA;NA;NA;NA;NA
1551;NA;NA;NA;NA;NA;NA;NA;NA
1552;NA;NA;NA;NA;NA;NA;NA;NA
1553;NA;NA;NA;NA;NA;NA;NA;NA
1554;NA;NA;NA;NA;NA;NA;NA;NA
1555;NA;NA;NA;NA;NA;NA;NA;NA
1556;NA;NA;NA;NA;NA;NA;NA;NA
1557;NA;NA;NA;NA;NA;NA;NA;NA
1558;NA;NA;NA;NA;NA;NA;NA;NA
1559;NA;NA;NA;NA;NA;NA;NA;NA
1560;NA;NA;NA;NA;NA;NA;NA;NA
1561;NA;NA;NA;NA;NA;NA;NA;NA
1562;NA;NA;NA;NA;NA;NA;NA;NA
1563;NA;NA;NA;NA;NA;NA;NA;NA
1564;NA;NA;NA;NA;NA;NA;NA;NA
1565;NA;NA;NA;NA;NA;NA;NA;NA
1566;NA;NA;NA;NA;NA;NA;NA;NA
1567;NA;NA;NA;NA;NA;NA;NA;NA
1568;NA;NA;NA;NA;NA;NA;NA;NA
1569;NA;NA;NA;NA;NA;NA;NA;NA
1570;NA;NA;NA;NA;NA;NA;NA;NA
