Table S1. 
Identification number (the first number identifies the region: 1 East Antarctic Plateau, 2 Wilkes Land Coast, 3 Weddell Sea Coast, 
4 Antarctic Peninsula, 5 West Antarctic Ice Sheet, 6 Victoria Land Coast and 7 Dronning Maud Land Coast), name, latitude and longitude, 
elevation, minimun and maximum time period covered by the core, data resolution, inclusion (Y) or not (N) in this study and previous 
PAGES 2k reconstructions (a: PAGES 2K consortium, 2013; b: PAGES 2k consortium, 2017), bibliographic citation of the core sites and original data URL.

Site id	Site name	Lat (dec degree)	Long (dec degree)	elevation (m)	Min year (CE)	Max year (CE)	Resolution (years)	Included	Citation	original data URL	
1.01	EDC Dome C	-75.1	123.39	3233	3	1919	15	"Y, a, b"	"Jouzel et al, 2001; Stenni et al., 2001"	https://www.ncdc.noaa.gov/paleo/study/6080	
1.02	Vostok VRS13	-78.47	106.83	3488	1654	2010	1	"Y, b"	"Ekaykin et al., 2014"	https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Ant-Vostok.Ekaykin.2014-2.txt	
1.03	B31Site DML07	-75.58	-3.43	2680	1000	1994	1	"Y, b"	"Graf et al., 2002"	https://doi.pangaea.de/10.1594/PANGAEA.104882	
1.04	B32Site DML05	-75	-0.01	2892	166	1996	1	"Y, b"	"Graf et al., 2002"	https://doi.pangaea.de/10.1594/PANGAEA.104881	
1.05	B33Site DML17	-75.17	6.5	3160	1000	1997	1	"Y, b"	"Graf et al., 2002"	https://doi.pangaea.de/10.1594/PANGAEA.104888	
1.06	DML E98	-72.68	3.67	2751	1976	1996	1	N	"Isaksson et al., 1999"	NOT USED	
1.07	DML L89	-74.65	12.8	3406	1962	1996	1	Y	"Isaksson et al., 1999"	https://www.ncdc.noaa.gov/paleo-search/study/22589	
1.08	FB96 DML01	-74.86	-2.55	2817	1895	1995	1	Y	"Oerter et al., 1999"	https://www.ncdc.noaa.gov/paleo/study/22589	
1.09	FB96 DML02	-74.97	-3.92	3014	1919	1995	1	Y	"Oerter et al., 1999"	https://doi.pangaea.de/10.1594/PANGAEA.104876	
1.1	FB97 DML03	-74.49	1.97	2843	1941	1996	1	Y	"Oerter et al., 1999"	https://doi.pangaea.de/10.1594/PANGAEA.104879	
1.11	FB97 DML04	-74.41	7.22	3161	1905	1996	1	Y	"Oerter et al., 1999"	https://www.ncdc.noaa.gov/paleo/study/22589	
1.12	FB97 DML05	-75	0.01	2882	1930	1996	1	Y	"Oerter et al., 1999"	https://doi.pangaea.de/10.1594/PANGAEA.104880	
1.13	FB97 DML06	-75	8.01	3246	1899	1996	1	Y	"Oerter et al., 1999"	https://www.ncdc.noaa.gov/paleo-search/study/22589	
1.14	FB97 DML07	-74.59	-3.44	2669	1908	1996	1	Y	"Oerter et al., 1999"	https://doi.pangaea.de/10.1594/PANGAEA.104863	
1.15	FB97 DML08	-75.75	3.29	2962	1919	1996	1	Y	"Oerter et al., 1999"	https://www.ncdc.noaa.gov/paleo-search/study/22589	
1.16	FB97 DML09	-75.93	7.22	3145	1897	1996	1	Y	"Oerter et al., 1999"	https://www.ncdc.noaa.gov/paleo-search/study/22589	
1.17	FB97 DML10	-75.22	11.35	3349	1900	1996	1	Y	"Oerter et al., 1999"	https://www.ncdc.noaa.gov/paleo/study/22589	
1.18	DML11 FB9803	-74.85	-8.5	2600	1921	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104883	
1.19	DML18 FB9804	-75.25	-6	2630	1801	1996	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104889	
1.2	DML19 FB9805	-75.17	-1	2840	1800	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104890	
1.21	DML05 FB9807	-75	0.04	2880	1758	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104880	
1.22	DML20 FB9808	-74.75	1	2860	1801	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104891	
1.23	DML03 FB9809	-74.5	1.96	2843	1801	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104879	
1.24	DML21 FB9810	-74.67	4	2980	1801	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104892	
1.25	DML22 FB9811	-75.08	6.5	3160	1801	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104893	
1.26	DML23 FB9812	-75.25	6.5	3160	1810	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104894	
1.27	DML16 FB9813	-75.17	5	3100	1800	1997	1	Y	"Oerter et al., 2000"	https://www.ncdc.noaa.gov/paleo-search/study/22589	
1.28	DML15 FB9814	-75.08	2.5	2970	1801	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104887	
1.29	DML14 FB9815	-74.96	-1.5	2840	1801	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104880	
1.3	DML13 FB9816	-75	-4.51	2740	1800	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104885	
1.31	DML12 FB9817	-75	-6.5	2680	1800	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104884	
1.32	DML02S SS9813	-74.97	3.92	3014	1801	1997	1	Y	"Oerter et al., 2000"	https://doi.pangaea.de/10.1594/PANGAEA.104878	
