Regional mean temperature time series, calculated from Nicolas and Bromwich reconstruction		
Column 1 : 	time	(year AD)
Columns 2-11	temperature anomalies for each region	(°C)


time	1. Plateau	2. Wilkes Land Coast	3. Weddel Sea Coast	4. Antarctic Peninsula	5. WAIS	6.Victoria Land, Ross Sea	 7. DML coast	 8. West Antarctica	9. East Antarctica	10. All
1958	-0.0898	-0.422	-0.0015	-2.4743	-1.2046	-0.8765	0.1755	-1.389	-0.14	-0.4394
1959	-0.2324	-0.4217	-0.6543	-2.9535	-0.5354	-0.5369	0.1393	-0.8865	-0.2684	-0.426
1960	-1.0565	-1.0448	-0.264	-0.8924	-0.9741	-1.19	-0.9516	-0.9622	-0.994	-0.9631
1961	0.5479	0.8048	-0.5817	-0.9336	-0.5299	-0.0122	0.3556	-0.5886	0.4391	0.1937
1962	-0.6841	-0.6624	-0.6876	0.0427	-1.6196	-1.5348	-0.9726	-1.3782	-0.758	-0.8519
1963	-0.0213	-0.5999	0.5921	-0.9788	-0.3779	-0.339	-0.0643	-0.4651	-0.0575	-0.1568
1964	-0.4494	-0.5008	-1.6313	-0.7689	-0.2705	-0.0601	-0.4136	-0.3428	-0.5177	-0.4772
1965	-0.4288	-0.5033	-0.3023	-0.2103	0.1321	-0.2426	-0.662	0.0824	-0.4369	-0.3221
1966	-0.318	0.0933	0.3402	-0.9759	0.1703	0.1286	-0.2062	0.0038	-0.1895	-0.1452
1967	0.0941	0.3191	-0.3358	-0.5907	-0.0097	0.1459	0.3117	-0.0941	0.1075	0.0508
1968	-0.2726	0.2497	-0.1172	-0.1643	-1.0999	-0.8374	-0.1717	-0.9641	-0.231	-0.3659
1969	-0.3819	-0.9704	1.3094	-1.1147	-0.6621	-0.7007	0.4134	-0.7278	-0.2628	-0.3767
1970	-0.1161	-0.1714	-0.1255	0.4624	0.4198	0.3685	-0.3181	0.426	-0.1121	0.0084
1971	0.3562	0.6085	-0.0458	1.0526	-0.1912	0.3077	-0.1472	-0.0105	0.304	0.2399
1972	0.2955	0.3939	-0.7184	0.6178	0.8981	1.0352	0.0356	0.8574	0.2495	0.3712
1973	0.1159	0.4387	-0.5554	-0.1444	0.2623	0.374	-0.037	0.2033	0.1002	0.1131
1974	0.2297	0.4769	0.3827	0.788	0.223	0.5026	0.2793	0.3051	0.2873	0.2933
1975	-0.1444	-0.1222	1.0743	-0.1214	-0.1147	0.2963	0.1687	-0.1157	0.0037	-0.0266
1976	-0.3743	-0.3835	0.9696	-0.7629	-1.1143	-1.482	-0.6004	-1.0633	-0.3594	-0.5163
1977	0.2049	0.1122	0.8267	-0.75	-0.7188	-0.5191	0.5877	-0.7233	0.2339	0.0178
1978	-0.0341	0.0221	0.9821	-1.0357	-1.0063	-0.9336	0.2206	-1.0106	0.0182	-0.2008
1979	-0.6432	-0.2798	-0.2432	-0.3367	-0.471	-0.6185	-0.4097	-0.4515	-0.5531	-0.5089
1980	1.3002	1.4511	-0.0851	-1.9023	1.4911	1.4045	1.144	0.9983	1.2035	1.088
1981	0.794	1.0765	1.0254	-0.9626	-0.4392	0.2541	0.684	-0.5152	0.799	0.4878
1982	-0.4668	-1.0337	1.0511	0.0266	-0.4418	-0.6616	-0.4441	-0.3738	-0.4204	-0.4084
1983	-0.1629	0.0518	-0.0548	0.7134	-1.1326	-0.0003	0.2217	-0.8645	-0.0885	-0.2156
1984	0.1671	0.2781	0.5561	0.877	0.3906	0.8968	-0.1823	0.4612	0.2196	0.2765
1985	-0.336	-0.3674	0.1569	1.1864	-0.2519	-0.277	0.0026	-0.0431	-0.2683	-0.1873
1986	0.1885	0.4791	-0.1954	-0.5165	-0.7674	-0.1025	0.2573	-0.731	0.1786	-0.0197
1987	-0.1672	0.0834	0.2362	-1.4164	0.1044	0.1756	0.1655	-0.1165	-0.0609	-0.0835
1988	0.4559	0.329	0.4337	0.3965	1.3052	1.2704	0.6756	1.1732	0.5087	0.6414
1989	-0.2925	-0.22	0.7893	1.8447	0.0815	-0.1	-0.5047	0.3376	-0.2112	-0.0596
1990	0.301	0.1851	0.8021	0.279	-0.3925	-0.2736	0.4336	-0.295	0.3049	0.1638
1991	1.0965	1.4753	0.2573	-0.3342	0.5686	0.6695	0.908	0.4375	1.0304	0.8611
1992	0.0487	-0.2613	-0.7418	-0.4471	0.7631	0.193	0.0378	0.5873	-0.0355	0.0772
1993	-0.9267	-1.0884	-0.6121	0.6025	0.618	-0.1239	-0.7805	0.6157	-0.8594	-0.5102
1994	-0.3784	-0.5863	-1.5317	-0.2586	-0.0421	-0.4613	-0.1274	-0.0736	-0.4692	-0.3742
1995	-0.1116	0.0715	-0.2845	-0.3823	0.0525	-0.254	-0.2163	-0.0106	-0.1234	-0.1018
1996	0.7253	0.6511	1.2019	0.7742	0.4075	0.7632	0.9098	0.4608	0.7723	0.6989
1997	-0.503	-0.3686	-1.6583	0.226	0.3518	0.0934	-0.6329	0.3335	-0.5528	-0.3472
1998	-0.6579	-0.7498	-0.6766	1.2822	0.1972	0.0022	-0.287	0.3547	-0.5968	-0.351
1999	-1.0409	-1.3474	-0.1595	0.9004	0.1567	-0.0838	-0.5631	0.2647	-0.9071	-0.607
2000	-0.3955	-0.0693	-1.2105	1.1203	0.781	0.2771	-0.7764	0.8303	-0.4177	-0.1129
2001	0.0638	0.0284	-0.0382	1.0969	0.3296	-0.1758	-0.2303	0.441	0.012	0.1131
2002	0.8751	0.9085	-0.206	0.0337	1.288	0.4479	0.886	1.1059	0.7729	0.819
2003	0.1015	-0.184	-0.258	0.9588	0.3557	0.3738	0.4582	0.4433	0.0928	0.1737
2004	0.1853	0.2969	-0.0851	0.56	-0.966	-0.9319	-0.219	-0.7444	0.0745	-0.0911
2005	0.4709	0.0085	0.2275	0.2622	0.921	0.4396	0.2148	0.8253	0.3799	0.4532
2006	-0.2299	-0.136	0.0805	1.2254	0.2175	-0.424	-0.338	0.3639	-0.2179	-0.0655
2007	1.1	0.99	-0.8089	0.237	1.1856	1.3101	0.8697	1.0478	0.9364	0.9145
2008	-0.2517	-0.3073	0.3133	1.3908	0.4623	0.2666	-0.439	0.5972	-0.2011	-0.0064
2009	1.0744	0.913	0.1718	0.6981	0.6235	0.3334	0.381	0.6343	0.8839	0.7937
2010	-0.2365	-0.403	1.3644	1.5772	-0.0622	-0.1216	-0.3689	0.1759	-0.1381	-0.0513
