1. Site information for each site of the PAGES Antarctica2k database																																																																																																																	
																																																																																																																	
	Lat (dec degree)	-75.10	-78.47	-75.58	-75.00	-75.17	-72.68	-74.65	-74.86	-74.97	-74.49	-74.41	-75.00	-75.00	-74.59	-75.75	-75.93	-75.22	-74.85	-75.25	-75.17	-75.00	-74.75	-74.50	-74.67	-75.08	-75.25	-75.17	-75.08	-74.96	-75.00	-75.00	-74.97	-77.32	-77.32	-86.50	-84.00	-72.82	-72.80	-89.93	-74.12	-73.72	-69.95	-77.11	-76.41	-72.81	-66.77	-67.43	-68.25	-79.57	-73.59	-64.20	-70.68	-66.04	-74.57	-74.50	-75.92	-79.46	-79.46	-80.62	-79.38	-79.73	-78.43	-78.08	-77.68	-78.33	-79.16	-82.00	-78.12	-77.61	-77.06	-82.00	-83.50	-79.36	-73.10	-77.33	-77.52	-72.90	-77.78	-70.86	-71.34	-69.83	-70.90	-70.55	-70.42	-70.24	-70.33	-70.25	-70.32	-70.24	-72.66	-72.77	-73.46	-73.60	-73.60	-73.83	-74.02	-74.35	-70.62	-70.62	-70.96	-71.40	-71.84	-71.98	-72.17	-70.66	-71.21	-71.46	-71.90	-72.13	-71.20	-74.21	-70.25
	Long (dec degree)	123.39	106.83	-3.43	-0.01	6.50	3.67	12.80	-2.55	-3.92	1.97	7.22	0.01	8.01	-3.44	3.29	7.22	11.35	-8.50	-6.00	-1.00	0.04	1.00	1.96	4.00	6.50	6.50	5.00	2.50	-1.50	-4.51	-6.50	3.92	39.70	39.70	-107.99	43.00	159.18	159.06	144.39	1.60	7.94	95.62	95.07	102.17	79.93	112.81	93.38	94.08	-45.72	-70.36	-57.69	-64.87	-64.08	-86.90	-81.68	-84.25	-112.09	-112.09	-122.63	-111.24	-111.50	-111.92	-120.08	-124.00	-124.48	-104.97	-110.01	-95.65	-92.25	-89.14	-110.01	-104.99	-161.70	165.40	162.53	167.68	169.08	158.72	11.54	11.59	-0.62	-0.40	-0.05	2.02	4.80	-0.12	4.82	-0.80	4.80	-16.65	-14.77	-12.56	-12.43	-12.43	-12.22	-12.03	-11.73	-8.37	-8.37	-8.52	-8.36	-8.62	-8.73	-8.83	-8.25	-6.79	-9.86	3.08	3.18	4.61	-9.75	26.34
	elevation (m)	3233.00	3488.00	2680.00	2892.00	3160.00	2751.00	3406.00	2817.00	3014.00	2843.00	3161.00	2882.00	3246.00	2669.00	2962.00	3145.00	3349.00	2600.00	2630.00	2840.00	2880.00	2860.00	2843.00	2980.00	3160.00	3160.00	3100.00	2970.00	2840.00	2740.00	2680.00	3014.00	3810.00	3810.00	2586.00	3330.00	2315.00	2316.00	2835.00	2673.00	3174.00	2777.00	3775.00	3528.00	2800.00	1370.00	1407.00	1990.00	890.00	1400.00	1542.00	2002.00	1975.50	1354.00	1177.00	1054.00	1806.00	1766.00	1350.00	1791.00	1675.00	1742.00	1697.00	1828.00	1639.00	1842.00	1746.00	1620.00	1483.00	1239.00	1746.00	1957.00	550.00	2960.00	625.00	1600.00	400.00	2365.00	500.00	1300.00	57.00	66.00	82.00	58.00	48.00	75.00	63.00	53.00	48.00	30.00	70.00	300.00	700.00	700.00	800.00	1200.00	1200.00	28.00	39.00	58.00	75.00	298.00	559.00	788.00	28.00	600.00	630.00	1520.00	2044.00	800.00	1439.00	450.00
	minYear (AD)	3.00	1654.00	1000.00	166.00	1000.00	1976.00	1962.00	1895.00	1919.00	1941.00	1905.00	1930.00	1899.00	1908.00	1919.00	1897.00	1900.00	1921.00	1801.00	1800.00	1758.00	1801.00	1801.00	1801.00	1801.00	1810.00	1800.00	1801.00	1801.00	1800.00	1800.00	1801.00	424.00	695.00	1594.00	2.00	4.00	1232.00	1801.00	1382.00	1706.00	1254.00	1711.00	1978.00	1976.00	173.00	1757.00	1640.00	1000.00	1858.00	0.00	1505.00	1900.00	1703.00	1712.00	1417.00	786.00	-50.00	1724.00	1673.00	1979.00	1971.00	1798.00	1718.00	1965.00	1986.00	1892.00	1858.00	1986.00	1780.00	1855.00	1894.00	-44.00	1770.00	1140.00	1473.00	1882.00	-25.00	1533.00	1903.00	1993.00	1983.00	1983.00	1991.00	1992.00	1981.00	1956.00	1995.00	1737.00	1975.00	1976.00	1974.00	1973.00	1932.00	1970.00	1971.00	1973.00	1892.00	1972.00	1971.00	1969.00	1967.00	1969.00	1973.00	1975.00	1995.00	1996.00	1971.00	1971.00	1974.00	1881.00	1744.00
	maxYear (AD)	1919.00	2010.00	1994.00	1996.00	1997.00	1996.00	1996.00	1995.00	1995.00	1996.00	1996.00	1996.00	1996.00	1996.00	1996.00	1996.00	1996.00	1997.00	1996.00	1997.00	1997.00	1997.00	1997.00	1997.00	1997.00	1997.00	1997.00	1997.00	1997.00	1997.00	1997.00	1997.00	1467.00	1875.00	2003.00	1986.00	1991.00	1995.00	1998.00	2008.00	2005.00	1987.00	1944.00	2009.00	2009.00	1995.00	1987.00	1988.00	1992.00	2006.00	2007.00	1988.00	2009.00	2010.00	2010.00	1983.00	2005.00	2005.00	2000.00	2001.00	2000.00	2001.00	2000.00	1999.00	1998.00	2002.00	2002.00	2002.00	2001.00	2002.00	2003.00	2002.00	2011.00	1992.00	2000.00	2007.00	2006.00	1939.00	1994.00	2006.00	2009.00	2009.00	2009.00	2009.00	2009.00	2009.00	1996.00	2009.00	1999.00	1988.00	1987.00	1988.00	1988.00	1991.00	1988.00	1988.00	1988.00	1981.00	1986.00	1986.00	1986.00	1986.00	1986.00	1984.00	1988.00	2001.00	2001.00	1996.00	1996.00	1996.00	1997.00	2011.00
	region_id	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	2.00	2.00	2.00	3.00	4.00	4.00	4.00	4.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	5.00	6.00	6.00	6.00	6.00	6.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00	7.00
	site_nb	1.00	2.00	3.00	4.00	5.00	6.00	7.00	8.00	9.00	10.00	11.00	12.00	13.00	14.00	15.00	16.00	17.00	18.00	19.00	20.00	21.00	22.00	23.00	24.00	25.00	26.00	27.00	28.00	29.00	30.00	31.00	32.00	33.00	34.00	35.00	36.00	37.00	38.00	39.00	40.00	41.00	42.00	43.00	44.00	45.00	1.00	2.00	3.00	1.00	1.00	2.00	3.00	4.00	1.00	2.00	3.00	4.00	5.00	6.00	7.00	8.00	9.00	10.00	11.00	12.00	13.00	14.00	15.00	16.00	17.00	18.00	19.00	20.00	1.00	2.00	3.00	4.00	5.00	1.00	2.00	3.00	4.00	5.00	6.00	7.00	8.00	9.00	10.00	11.00	12.00	13.00	14.00	15.00	16.00	17.00	18.00	19.00	20.00	21.00	22.00	23.00	24.00	25.00	26.00	27.00	28.00	29.00	30.00	31.00	32.00	33.00	34.00
	siteName	EDC Dome C	Vostok composite VRS13	B31Site DML07	B32Site DML05	B33Site DML17	Eastern DML E98 (DML Ice divide traverse E)	Eastern DML L89 (DML Ice divide traverse L)	DML Plateau Amundsenisen FB96DML01	DML Plateau Amundsenisen FB96DML02	DML Plateau Amundsenisen FB97DML03	DML Plateau Amundsenisen FB97DML04	DML Plateau Amundsenisen FB97DML05	DML Plateau Amundsenisen FB97DML06	DML Plateau Amundsenisen FB97DML07	DML Plateau Amundsenisen FB97DML08	DML Plateau Amundsenisen FB97DML09	DML Plateau Amundsenisen FB97DML10	DML Plateau (DML11) FB9803	DML Plateau (DML18) FB9804	DML Plateau (DML19) FB9805	DML Plateau (DML05) FB9807	DML Plateau (DML20) FB9808	DML Plateau (DML03) FB9809	DML Plateau (DML21) FB9810	DML Plateau (DML22) FB9811	DML Plateau (DML23) FB9812	DML Plateau (DML16) FB9813	DML Plateau (DML15) FB9814	DML Plateau (DML14) FB9815	DML Plateau (DML13) FB9816	DML Plateau (DML12) FB9817	DML Plateau (DML02) SS9813	Dome F 1993	Dome F 2001	US-ITASE-2002-4	Plateau Remote	TALDICE -Talos Dome	TD96 Talos Dome	SPRESSO (South Pole)	NUS 08-7	NUS 07-1	400th km	NVFL-1	NVFL-3	PV-10	DSS Law Dome	105th km	200th km	Berkner Island (South) B25	Gomez	James Ross Island	Dyer Plateau	Bruce Plateau	Ferrigno	Bryan Coast	Siple Station	WDC05A	WDC06A	US-ITASE-1999-1	US-ITASE-2000-1	US-ITASE-2000-2	US-ITASE-2000-3	US-ITASE-2000-4	US-ITASE-2000-5	US-ITASE-2000-6	US-ITASE-2001-1	US-ITASE-2001-2	US-ITASE-2001-3	US-ITASE-2001-4	US-ITASE-2001-5	US-ITASE-2002-1	US-ITASE-2002-2	RICE (Rosevelt Island)	Hercules Névé	VLG	Mt Erebus Saddle - MES	Whitehall Glacier WGH	Taylor Dome	IND 22B4 Coastal DML	IND 25B5 Coastal DML	DML Fimbulisen G3	DML Fimbulisen G4	DML Fimbulisen G5	DML Fimbulisen G8	DML Fimbulisen LP1	DML Fimbulisen M2	DML Fimbulisen S20	DML Fimbulisen S32	DML Fimbulisen S100	DML Ritscherflya A89	DML Ritscherflya C89	DML Ritscherflya D89	DML Ritscherflya E89	DML Ritscherflya E91	DML Ritscherflya F89	DML Ritscherflya G89	DML Ritscherflya H89	DML Georg-von-Neumayer Station B04	DML Ekstroem E002	DML Ekstroem E040	DML Ekstroem E090	DML Ekstroem E143	DML Ekstroem E160	DML Ekstroem E180	DML Neumayer FB0189	DML Halvfarryggen FB0201	DML Søråsen FB0203	Eastern DML A98 (DML Ice Divide traverse A)	Eastern DML B89 (DML Ice divide traverse B)	Eastern DML S15 (DML Ice divide traverse S15)	DML Plateau (Kottas Camp) FB9802	Derwael Ice Rise IC12
																																																																																																																	0.38
2. Extraction of the time series of temperature anomaly at each Antarctica2k site from the NB2014 climate field reconstruction																																																																																																																	
