% Antarctica 2K 2017 isotope anomalies (relative to 1960-1990 reference interval)
% weighting method : unweighted, with grid reduction
% smoothing : 5-year binned averages
% columns after each regional mean composite give details of n (number of records) as well as 5%, 25%, 75% and 95% levels of composites
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau (mean; per mil, d18O equivalent)
% col 9 : Wilkes Land Coast (mean; per mil, d18O equivalent)
% col 16 : Weddell Sea Coast (mean; per mil, d18O equivalent)
% col 23 : Antarctic Peninsula (mean; per mil, d18O equivalent)
% col 30 : West Antarctic Ice Sheet (mean; per mil, d18O equivalent)
% col 37 : Victoria Land Coast (mean; per mil, d18O equivalent)
% col 44 : Dronning Maud Land Coast (mean; per mil, d18O equivalent)

Time (year AD, centre of 5y bin)	1. East Antarctic Plateau	n	5%	25%	75%	95%		2. Wilkes Land Coast	n	5%	25%	75%	95%		3. Weddell Sea Coast	n	5%	25%	75%	95%		4. Antarctic Peninsula	n	5%	25%	75%	95%		5. West Antarctic Ice Sheet	n	5%	25%	75%	95%		6. Victoria Land Coast	n	5%	25%	75%	95%		7. Dronning Maud Land Coast	n	5%	25%	75%	95%
1802.5	-0.5406	28	-1.7538	-1.1864	0.0027	0.8722		-0.7096	2	-0.9178	-0.9178	-0.5014	-0.5014		0.4510	1	NaN	NaN	NaN	NaN		-0.4678	2	-0.7525	-0.7525	-0.1832	-0.1832		0.1749	10	-0.5832	-0.1811	0.5735	1.0044		-1.0872	4	-1.8042	-1.5507	-0.6980	-0.6672		-0.9942	2	-1.0441	-1.0441	-0.9443	-0.9443
1807.5	-0.1268	28	-1.5245	-1.2084	0.2789	3.2187		-1.0188	2	-1.6155	-1.6155	-0.4221	-0.4221		1.3410	1	NaN	NaN	NaN	NaN		-0.4338	2	-0.9025	-0.9025	0.0348	0.0348		-0.6027	10	-1.8231	-1.0194	-0.2613	0.4143		-0.9971	4	-2.1103	-1.6986	-0.4290	-0.4176		0.4198	2	-1.9483	-1.9483	2.7879	2.7879
1812.5	-0.0841	29	-1.2220	-0.8790	0.6051	1.2937		-0.4481	2	-0.9069	-0.9069	0.0107	0.0107		0.7850	1	NaN	NaN	NaN	NaN		-0.1727	2	-0.5485	-0.5485	0.2031	0.2031		0.0603	10	-1.0142	-0.4072	0.4281	1.2143		-0.2295	4	-1.6284	-1.3386	0.9397	1.4093		0.5827	2	0.4017	0.4017	0.7637	0.7637
1817.5	-0.1406	29	-1.7201	-0.5533	0.4890	0.6814		-0.5546	2	-0.6812	-0.6812	-0.4279	-0.4279		1.7370	1	NaN	NaN	NaN	NaN		-0.1781	2	-0.3925	-0.3925	0.0363	0.0363		0.1408	10	-0.5506	-0.3080	0.6031	1.1283		-0.9781	4	-3.3079	-2.5742	0.4667	0.7468		-1.8455	2	-3.5526	-3.5526	-0.1383	-0.1383
1822.5	-0.6242	29	-1.4643	-1.1475	-0.0072	0.4359		-0.4509	2	-0.6253	-0.6253	-0.2766	-0.2766		-0.2230	1	NaN	NaN	NaN	NaN		-0.0786	2	-0.4705	-0.4705	0.3134	0.3134		0.0839	10	-0.6875	-0.5606	0.2663	1.6193		-0.9972	4	-3.3402	-2.5754	0.4020	0.6297		-0.2178	2	-0.5163	-0.5163	0.0806	0.0806
1827.5	-0.2842	29	-1.6416	-0.9247	0.1018	1.3773		0.1164	2	-0.1450	-0.1450	0.3778	0.3778		-0.3710	1	NaN	NaN	NaN	NaN		-0.685	2	-0.9985	-0.9985	-0.3716	-0.3716		0.4294	10	-1.2585	-0.5411	1.2135	2.3477		-0.1902	4	-1.4868	-1.0292	0.5154	0.5728		-1.6969	2	-2.8115	-2.8115	-0.5823	-0.5823
1832.5	-0.1231	28	-1.5808	-0.4466	0.3441	0.6380		0.0924	2	-0.1687	-0.1687	0.3535	0.3535		1.1970	1	NaN	NaN	NaN	NaN		-0.009	2	-0.2265	-0.2265	0.2085	0.2085		0.4367	10	-1.5394	-0.1833	0.6759	3.1068		0.036	4	-1.6479	-1.1756	1.1964	1.5148		-0.0392	2	-0.8663	-0.8663	0.7880	0.7880
1837.5	-0.1901	29	-1.3651	-0.9255	0.7144	1.0964		-0.3915	2	-0.5140	-0.5140	-0.2689	-0.2689		-0.3150	1	NaN	NaN	NaN	NaN		0.5708	2	0.4702	0.4702	0.6715	0.6715		0.8678	10	-0.2503	-0.0193	0.8216	3.6518		-1.3046	4	-1.3632	-1.3596	-1.2387	-1.2021		-0.9864	2	-1.1546	-1.1546	-0.8183	-0.8183
1842.5	-0.4965	28	-1.7139	-1.2895	0.1065	1.4982		-1.1338	2	-2.0165	-2.0165	-0.2510	-0.2510		0.5190	1	NaN	NaN	NaN	NaN		-0.8962	2	-1.4825	-1.4825	-0.3099	-0.3099		0.1446	10	-1.0220	-0.2736	0.3278	2.2843		-0.8563	4	-1.3507	-1.3108	-0.3182	-0.0272		0.2227	2	-0.0963	-0.0963	0.5417	0.5417
1847.5	-0.4054	28	-2.8990	-0.8492	-0.0121	1.9246		-0.1461	2	-0.8942	-0.8942	0.6020	0.6020		0.0930	1	NaN	NaN	NaN	NaN		-0.6435	2	-0.6965	-0.6965	-0.5905	-0.5905		-0.2707	10	-0.9585	-0.6645	0.2145	0.5190		-0.7673	4	-2.6067	-2.1083	0.5353	0.9182		-0.395	2	-0.7323	-0.7323	-0.0577	-0.0577
