% Antarctica 2K 2017 isotope anomalies
% weighting method : unweighted, with grid reduction
% smoothing : 5-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast


Time (year AD, centre of 5y bin)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast
1802.5	-0.5406	-0.7096	0.451	-0.4678	0.1749	-1.0872	-0.9942
1807.5	-0.1268	-1.0188	1.341	-0.4338	-0.6027	-0.9971	0.4198
1812.5	-0.0841	-0.4481	0.785	-0.1727	0.0603	-0.2295	0.5827
1817.5	-0.1406	-0.5546	1.737	-0.1781	0.1408	-0.9781	-1.8455
1822.5	-0.6242	-0.4509	-0.223	-0.0786	0.0839	-0.9972	-0.2178
1827.5	-0.2842	0.1164	-0.371	-0.685	0.4294	-0.1902	-1.6969
1832.5	-0.1231	0.0924	1.197	-0.009	0.4367	0.036	-0.0392
1837.5	-0.1901	-0.3915	-0.315	0.5708	0.8678	-1.3046	-0.9864
1842.5	-0.4965	-1.1338	0.519	-0.8962	0.1446	-0.8563	0.2227
1847.5	-0.4054	-0.1461	0.093	-0.6435	-0.2707	-0.7673	-0.395
1852.5	-0.4166	-0.3107	-0.903	-0.7548	0.6505	-0.4933	-0.2623
1857.5	-0.4849	0.2896	0.003	-0.3124	0.4325	-1.1284	-0.9408
1862.5	-0.1317	0.7442	-1.129	-0.5759	0.1942	-0.2528	0.1172
1867.5	-0.0651	-0.1947	-1.139	-0.6981	0.0366	0.2648	0.4343
1872.5	0.0303	-0.1916	-0.689	-0.4901	-0.4534	-1.1641	-1.831
1877.5	-0.0974	-0.4261	-0.915	0.0113	0.4808	-0.8248	-1.2582
1882.5	-0.3495	-0.7964	-0.097	-0.8466	0.1406	-0.5786	-0.6871
1887.5	-0.3884	-0.5028	1.007	0.1749	0.3992	-0.581	-0.8542
1892.5	0.2623	-0.8427	0.729	0.3046	-0.2446	0.0567	-1.558
1897.5	0.3144	-0.5337	-0.705	-0.7367	0.2424	0.3198	-1.0282
1902.5	-0.1407	-0.4918	0.769	-0.2369	-0.0244	-0.1501	0.2427
1907.5	-0.0698	-0.8248	-0.063	-0.543	-0.334	-0.5435	-0.784
1912.5	-0.2211	-0.5997	1.133	-0.5932	-0.0292	0.1487	-0.5684
1917.5	-0.1204	-0.8672	1.097	-0.1931	0.2171	-0.0879	-0.5182
1922.5	0.4515	-0.1099	0.079	-0.2998	0.0107	0.3662	-0.0887
1927.5	0.2095	-0.3502	-0.563	-0.8114	-0.0883	-0.1565	-0.498
1932.5	0.1175	-0.4267	-0.135	-0.5256	0.0234	0.4947	-0.81
1937.5	0.9	-1.0804	0.011	-0.0754	0.535	0.2192	-1.1902
1942.5	0.1759	-0.1375	0.227	-0.0757	0.2887	-0.0482	-0.6653
1947.5	0.3705	-0.1621	1.127	-0.5353	-0.1872	-0.0701	-0.8624
1952.5	-0.3724	0.0283	-0.585	-0.3205	-0.0026	-0.0301	-0.9912
1957.5	0.3663	-0.3122	0.421	-0.1638	-0.4457	0.6255	0.0346
1962.5	0.1482	-0.3205	-0.521	-0.2444	-0.4229	-0.4271	0.1533
1967.5	-0.1883	-0.013	-0.275	-0.5127	0.1179	0.9183	-0.0755
1972.5	-0.0189	-0.4852	-0.645	0.4256	0.3282	-0.1038	0.2882
1977.5	0.0374	-0.1434	-0.335	-0.0332	-0.3855	-0.1405	0.5679
1982.5	-0.2355	0.582	1.079	0.179	0.45	0.1302	-0.0334
1987.5	0.2949	0.38	0.697	0.1856	-0.128	-0.3771	0.0965
1992.5	-0.1098	-0.3518	-1.5623	0.1405	0.3649	0.6456	0.8
1997.5	0.6216	      NaN	      NaN	0.5949	0.1317	-1.2467	0.5679
2002.5	0.0921	      NaN	      NaN	0.5509	0.2033	-1.2246	0.3563
2007.5	0.6357	      NaN	      NaN	0.5383	0.9463	      NaN	0.5825
2012.5	      NaN	      NaN	      NaN	      NaN	2.1462	      NaN	       NaN
