% Antarctica 2K 2017 isotope anomalies
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% smoothing : 5-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
1802.5	-0.8197	-0.7064	0.451	-0.6919	-0.0252	-0.9217	-0.9742	-0.1217	-0.6794	-0.5486
1807.5	-0.28	-1.0095	1.341	-0.8028	-0.47	-0.9326	-0.5318	-0.6135	-0.3744	-0.3339
1812.5	-0.2608	-0.441	0.785	-0.4685	0.1341	0.3834	0.51	-0.1366	-0.0103	0.063
1817.5	-0.3782	-0.5526	1.737	-0.3469	0.0463	-0.7881	-1.1595	-0.1657	-0.2202	-0.0671
1822.5	-0.6616	-0.4482	-0.223	-0.3871	0.1362	-1.2673	-0.3378	-0.0861	-0.4569	-0.2695
1827.5	-0.3471	0.1204	-0.371	-0.9318	0.4256	-0.7259	-1.2491	0.02	-0.3067	-0.1241
1832.5	-0.3015	0.0965	1.197	-0.1802	0.3571	-0.286	-0.3715	-0.0336	-0.0351	0.1936
1837.5	-0.4224	-0.3934	-0.315	0.6501	0.8879	-1.8448	-0.9189	0.7012	-0.8429	-0.4271
1842.5	-0.5338	-1.12	0.519	-1.3577	0.1392	-0.9223	0.0945	-0.327	-0.7352	-0.5495
1847.5	-0.6924	-0.1345	0.093	-0.6018	-0.5866	-0.0713	-0.5306	-0.591	-0.7733	-0.584
1852.5	-0.6814	-0.3013	-0.903	-1.2599	0.6863	-0.6942	-0.3612	0.0515	-0.7168	-0.4947
1857.5	-0.4275	0.289	0.003	-0.5221	0.0474	-1.4861	-0.8779	-0.0866	-0.477	-0.3757
1862.5	-0.1084	0.735	-1.129	-0.9642	0.0893	0.0124	0.2443	-0.371	-0.2704	-0.0156
1867.5	-0.185	-0.1934	-1.139	-0.684	0.1902	0.592	0.553	-0.2846	-0.3021	-0.0881
1872.5	0.1321	-0.1931	-0.689	-0.7162	-0.2038	-0.7899	-1.879	-0.5521	-0.0015	0.0094
1877.5	0.0463	-0.4246	-0.915	0.1812	0.3296	-0.2492	-1.2615	0.3066	-0.2917	-0.1952
1882.5	-0.3584	-0.7884	-0.097	-1.1397	0.0385	0.9917	-0.5986	-0.4524	-0.4727	-0.2435
1887.5	-0.1539	-0.4998	1.007	-0.0098	0.4511	0.512	-0.7488	0.2967	0.0392	0.1893
1892.5	0.2469	-0.8297	0.729	0.0581	-0.1025	-0.5893	-1.5802	-0.1771	0.0358	0.0077
1897.5	0.6058	-0.5232	-0.705	-0.9717	0.086	-0.337	-0.895	-0.2869	0.2687	0.1506
1902.5	-0.0218	-0.4839	0.769	-0.1977	-0.2414	0.4391	0.503	-0.293	0.0449	0.1813
1907.5	0.3039	-0.8096	-0.063	-0.4756	-0.2994	-0.6906	-0.0948	-0.3497	0.2706	0.1793
1912.5	-0.3001	-0.5913	1.133	-0.4847	0.0122	0.1836	-0.5099	-0.0766	-0.3121	-0.163
1917.5	0.137	-0.8487	1.097	-0.1881	-0.071	-0.2211	0.2598	-0.1034	-0.0227	0.0357
1922.5	1.4582	-0.1119	0.079	-0.2465	0.114	0.2006	-0.3686	-0.0167	0.6291	0.3755
1927.5	0.9152	-0.3464	-0.563	-0.765	-0.3693	-0.0757	-0.0487	-0.5233	0.4844	0.1911
1932.5	-0.0395	-0.4182	-0.135	-0.5319	-0.128	0.1559	-0.5662	-0.3061	-0.6054	-0.4632
1937.5	0.6222	-1.0673	0.011	-0.139	0.1355	0.1025	-1.1641	0.0571	0.051	0.0642
1942.5	-0.0915	-0.1357	0.227	-0.0758	-0.0597	0.281	-0.2509	-0.0214	-0.2914	-0.1559
1947.5	0.1868	-0.1639	1.127	-0.5044	-0.5941	-0.5089	-0.5626	-0.6099	0.0064	0.0283
1952.5	-0.337	0.033	-0.585	-0.2919	0.0495	-0.1569	-0.7554	0.0019	-0.3622	-0.1935
1957.5	0.0707	-0.3084	0.421	-0.0938	-0.5946	0.3534	0.0163	-0.4591	0.1635	0.0703
1962.5	-0.047	-0.3193	-0.521	-0.1369	-0.5053	-0.3827	0.5354	-0.4093	0.0078	-0.0131
1967.5	0.0112	-0.0194	-0.275	-0.536	0.0754	0.9265	0.1552	-0.0195	-0.0273	-0.0981
1972.5	-0.2299	-0.4774	-0.645	0.3331	0.524	-0.195	0.8703	0.5353	-0.1914	-0.1347
1977.5	-0.1623	-0.1375	-0.335	-0.0926	-0.5326	0.2932	0.1581	-0.492	-0.0535	-0.0282
1982.5	-0.1512	0.5825	1.079	0.2428	0.4727	0.2127	0.338	0.4988	-0.0635	0.0533
1987.5	0.1613	0.3711	0.697	0.1896	-0.1484	-0.8546	0.0769	-0.2002	0.2602	0.2215
1992.5	-0.1194	-0.3518	-1.5623	0.1108	0.1854	0.9408	1.1717	0.2104	-0.1321	0.0272
1997.5	0.6707	      NaN	      NaN	0.5441	-0.0828	-1.2733	0.4326	0.0365	0.3028	0.1357
2002.5	0.094	      NaN	      NaN	0.5786	0.1598	-1.2388	0.1614	0.2241	-0.1943	-0.2177
2007.5	0.3361	      NaN	      NaN	0.7141	0.8794	      NaN	0.5825	0.8013	0.6114	0.7387
