% Antarctica 2K 2017 isotope anomalies
% weighting method : based on the correlation between site d18O and regional d18O from ECHAM5 nudged by ERA-Interim
% smoothing : 5-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
1802.5	-0.2878	-0.8038	0.451	-0.5318	-0.0299	-0.8477	-1.037	-0.049	-0.3182	0.0212
1807.5	0.8852	-1.2887	1.341	-0.5391	-0.3421	-0.829	2.4492	-0.4456	0.5942	-0.3862
1812.5	0.0094	-0.6556	0.785	-0.2571	0.223	0.4987	0.7379	-0.0242	0.2388	0.2743
1817.5	0.2182	-0.6119	1.737	-0.2263	0.0968	-0.5466	-3.3085	-0.0523	-0.0679	0.2962
1822.5	-0.5051	-0.5298	-0.223	-0.1666	0.4325	-1.079	0.038	0.2809	-0.3483	0.1235
1827.5	-0.2393	-0.0019	-0.371	-0.7555	0.6685	-0.6218	-2.6521	0.1418	-0.3105	0.4249
1832.5	-0.0184	-0.0257	1.197	-0.0579	0.7082	-0.1193	0.6697	0.2326	0.0204	0.5343
1837.5	0.4299	-0.336	-0.315	0.5935	1.4153	-1.8632	-1.1305	1.2412	-0.1906	0.8188
1842.5	0.41	-1.533	0.519	-1.0279	0.5473	-0.8576	0.4961	0.3742	0.0426	0.3127
1847.5	0.2014	-0.4845	0.093	-0.6316	-0.2097	0.0939	-0.1059	-0.2504	0.2936	0.2217
1852.5	-0.0724	-0.5834	-0.903	-0.899	1.226	-0.673	-0.0515	1.0506	-0.0275	0.7096
1857.5	0.0999	0.3076	0.003	-0.43	0.5805	-1.4273	-1.0748	0.7883	0.0586	0.3792
1862.5	0.4471	1.0106	-1.129	-0.6392	0.5312	0.0784	-0.1541	0.12	0.3828	0.3652
1867.5	0.5244	-0.23	-1.139	-0.7428	0.3852	0.6558	0.1811	0.1733	0.5102	0.2976
