% Antarctica 2K 2017 isotope anomalies (relative to 1900-1990 reference interval)
% weighting method : unweighted, with grid reduction
% smoothing : 10-year binned averages
% columns after each regional mean composite give details of n (number of records) as well as 5%, 25%, 75% and 95% levels of composites
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau (mean; per mil, d18O equivalent)
% col 9 : Wilkes Land Coast (mean; per mil, d18O equivalent)
% col 16 : Weddell Sea Coast (mean; per mil, d18O equivalent)
% col 23 : Antarctic Peninsula (mean; per mil, d18O equivalent)
% col 30 : West Antarctic Ice Sheet (mean; per mil, d18O equivalent)
% col 37 : Victoria Land Coast (mean; per mil, d18O equivalent)
% col 44 : Dronning Maud Land Coast (mean; per mil, d18O equivalent)


Time (year AD, centre of 10y bin)	1. East Antarctic Plateau	n	5%	25%	75%	95%		2. Wilkes Land Coast	n	5%	25%	75%	95%		3. Weddell Sea Coast	n	5%	25%	75%	95%		4. Antarctic Peninsula	n	5%	25%	75%	95%		5. West Antarctic Ice Sheet	n	5%	25%	75%	95%		6. Victoria Land Coast	n	5%	25%	75%	95%		7. Dronning Maud Land Coast	n	5%	25%	75%	95%
5	-0.3009	3	-0.5589	-0.5180	-0.0602	0.0516		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1431	1	NaN	NaN	NaN	NaN		-1.0052	2	-1.6155	-1.6155	-0.3948	-0.3948		0.1196	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
15	-0.5229	3	-1.2591	-1.2199	0.3188	0.7926		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.0994	1	NaN	NaN	NaN	NaN		0.6529	2	-0.0946	-0.0946	1.4004	1.4004		0.6353	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
25	0.2781	3	-0.7553	-0.4393	0.9380	1.0812		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.0569	1	NaN	NaN	NaN	NaN		0.0564	2	-0.6211	-0.6211	0.7339	0.7339		-0.834	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
35	-0.4162	3	-1.1554	-0.9828	0.1624	0.3715		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.2762	1	NaN	NaN	NaN	NaN		0.7945	2	0.1596	0.1596	1.4294	1.4294		-0.501	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
45	-0.6579	3	-1.3418	-1.1092	-0.2682	-0.2205		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.0112	1	NaN	NaN	NaN	NaN		-0.2051	2	-1.6117	-1.6117	1.2016	1.2016		0.4678	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
55	0.4962	3	0.0846	0.0893	1.0012	1.3004		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1437	1	NaN	NaN	NaN	NaN		0.0547	2	-1.4233	-1.4233	1.5328	1.5328		-0.8535	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
65	-0.1151	3	-1.0404	-0.9079	0.7765	1.2054		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.6481	1	NaN	NaN	NaN	NaN		0.1587	2	-1.1103	-1.1103	1.4277	1.4277		0.81	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
75	-0.2163	3	-1.1574	-0.8699	0.3850	0.5156		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.1724	1	NaN	NaN	NaN	NaN		0.3012	2	-0.9412	-0.9412	1.5436	1.5436		0.402	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
85	-0.1807	3	-1.1254	-0.8855	0.5203	0.7489		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.3662	1	NaN	NaN	NaN	NaN		0.7567	2	0.0596	0.0596	1.4538	1.4538		1.669	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
95	-0.9599	3	-1.6232	-1.4075	-0.5621	-0.4960		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		-0.2551	1	NaN	NaN	NaN	NaN		-0.4742	2	-2.1790	-2.1790	1.2306	1.2306		0.323	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
105	-0.3346	3	-0.4006	-0.3993	-0.2547	-0.2077		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.2831	1	NaN	NaN	NaN	NaN		-0.0063	2	-1.0803	-1.0803	1.0677	1.0677		-1.229	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
115	-0.352	3	-1.0954	-0.9216	0.2297	0.4397		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.2787	1	NaN	NaN	NaN	NaN		-0.4677	2	-1.8459	-1.8459	0.9106	0.9106		-0.121	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
125	-0.0555	3	-1.3954	-1.0334	0.8954	1.1763		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.4949	1	NaN	NaN	NaN	NaN		0.1365	2	-0.3891	-0.3891	0.6621	0.6621		2.449	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
135	0.2002	3	-0.0486	-0.0053	0.4246	0.5247		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.4112	1	NaN	NaN	NaN	NaN		0.6555	2	0.4564	0.4564	0.8545	0.8545		0.2429	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
145	0.7752	3	0.0076	0.2342	1.2815	1.4039		      NaN	0	NaN	NaN	NaN	NaN		      NaN	0	NaN	NaN	NaN	NaN		0.6689	1	NaN	NaN	NaN	NaN		0.2057	2	-0.8042	-0.8042	1.2156	1.2156		-0.0993	1	NaN	NaN	NaN	NaN		       NaN	0	NaN	NaN	NaN	NaN
