% Antarctica 2K 2017 isotope anomalies
Units
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica: WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
5	-0.1375	      NaN	      NaN	0.1431	-0.5485	0.1196	      NaN	-0.5249	-0.0831	-0.1102
15	-0.3912	      NaN	      NaN	-0.0994	1.2122	0.6353	      NaN	0.6838	-0.2776	0.1569
25	0.8389	      NaN	      NaN	-0.0569	0.5633	-0.834	      NaN	0.2312	0.579	0.3999
35	-0.7569	      NaN	      NaN	0.2762	1.2696	-0.501	      NaN	0.8519	-0.6961	-0.296
45	-0.9482	      NaN	      NaN	0.0112	0.8475	0.4678	      NaN	0.2744	-0.7402	-0.2204
55	0.786	      NaN	      NaN	0.1437	1.1607	-0.8535	      NaN	0.5229	0.549	0.5151
65	-0.7346	      NaN	      NaN	0.6481	1.1083	0.81	      NaN	0.6673	-0.466	0.0502
75	-0.4937	      NaN	      NaN	0.1724	1.2308	0.402	      NaN	0.6421	-0.3152	0.1119
85	-0.044	      NaN	      NaN	0.3662	1.2783	1.669	      NaN	0.8658	0.2885	0.6871
95	-1.2582	      NaN	      NaN	-0.2551	0.8014	0.323	      NaN	0.0958	-1.0212	-0.4273
105	-0.3984	      NaN	      NaN	0.2831	0.7973	-1.229	      NaN	0.3919	-0.5353	-0.3534
115	-0.6943	      NaN	      NaN	0.2787	0.5636	-0.121	      NaN	0.1401	-0.5812	-0.2543
125	0.0884	      NaN	      NaN	0.4949	0.5298	2.449	      NaN	0.3873	0.5464	0.8333
135	0.0246	      NaN	      NaN	0.4112	0.8044	0.2429	      NaN	0.6523	0.0559	0.2241
145	0.5307	      NaN	      NaN	0.6689	0.9613	-0.0993	      NaN	0.6295	0.4514	0.5032
155	0.5698	      NaN	      NaN	0.3128	1.0746	-0.6504	      NaN	0.5497	0.408	0.4246
165	0.5472	      NaN	      NaN	0.4393	0.7217	-1.8197	      NaN	0.4541	0.1985	0.0274
175	0.8334	-0.2578	      NaN	0.0468	0.4161	0.0953	      NaN	0.1249	0.4411	0.4934
185	-0.3625	0.6046	      NaN	0.2312	0.0827	1.094	      NaN	-0.144	-0.0523	0.1422
195	-0.3238	-0.0952	      NaN	0.3556	0.311	-1.006	      NaN	0.0487	-0.2828	-0.0841
205	-0.6156	0.5562	      NaN	-0.3132	0.8505	-1.1422	      NaN	0.1725	-0.4799	-0.198
215	0.1211	0.0202	      NaN	0.1356	0.9621	1.2218	      NaN	0.2957	0.3635	0.5914
225	0.2888	0.1535	      NaN	-0.2932	1.4268	-0.003	      NaN	0.699	0.2289	0.4268
235	0.4753	-0.2326	      NaN	-0.0232	0.8783	1.457	      NaN	0.404	0.5459	0.6655
245	0.1249	0.416	      NaN	0.1406	0.6267	0.956	      NaN	0.2633	0.3011	0.4468
255	-0.6414	0.1462	      NaN	-0.278	0.7774	-0.621	      NaN	0.3269	-0.4557	-0.173
265	-0.1482	0.1196	      NaN	-0.4134	0.4814	-0.221	      NaN	0.1389	-0.1274	-0.0189
275	0.323	0.0607	      NaN	0.3618	0.7109	0.134	      NaN	0.5236	0.187	0.3188
285	-0.2875	-0.3666	      NaN	0.0049	0.0456	-1.704	      NaN	-0.2433	-0.3277	-0.2252
295	0.1316	0.5039	      NaN	-0.1119	0.3585	0.4965	      NaN	0.1343	0.2087	0.3283
305	-0.1447	0.0811	      NaN	0.0456	1.0682	-0.977	      NaN	0.6558	-0.2583	0.0552
315	0.4055	0.225	      NaN	-0.1869	0.6853	-1.4135	      NaN	0.2731	0.0504	0.1625
325	0.3248	0.5196	      NaN	-0.5551	0.61	-0.466	      NaN	0.0268	0.2469	0.2634
335	0.748	0.322	      NaN	-0.1269	0.2408	0.393	      NaN	0.0185	0.5342	0.5061
345	0.0743	0.2203	      NaN	-0.5657	1.485	0.0565	      NaN	0.5681	0.0581	0.3175
355	0.4015	0.1534	      NaN	0.5518	0.4589	-0.0388	      NaN	0.2884	0.2685	0.4514
365	0.2749	0.736	      NaN	0.3756	-0.0813	-0.6397	      NaN	-0.1357	0.0806	0.1234
375	1.189	0.0983	      NaN	0.1968	0.5925	      NaN	      NaN	0.1025	0.8887	0.7517
385	0.4462	0.4238	      NaN	0.5699	0.6698	-0.336	      NaN	0.4089	0.3334	0.4702
395	-0.1277	0.3922	      NaN	0.8399	0.081	0.25	      NaN	0.1071	-0.1846	0.0428
405	1.5426	-0.3372	      NaN	0.0306	0.9577	-1.8288	      NaN	0.363	0.8888	0.8777
415	0.8002	0.7066	      NaN	0.1674	0.3233	0.0524	      NaN	0.0787	0.8118	0.7726
425	0.6457	0.1877	      NaN	-0.5119	0.7858	-1.1831	      NaN	0.1707	0.1685	0.1939
435	0.393	0.0908	      NaN	0.3381	0.7974	-0.696	      NaN	0.428	0.0883	0.3307
445	2.3166	0.4948	      NaN	-0.0513	0.6345	-0.5197	      NaN	0.1372	1.2241	0.9358
455	1.6198	0.1412	      NaN	0.1556	1.0366	-0.356	      NaN	0.4518	0.834	0.7445
465	0.6952	0.2563	      NaN	0.7118	1.2928	-0.239	      NaN	0.646	0.3036	0.5423
475	0.4716	0.1213	      NaN	0.8499	0.0067	-0.9	      NaN	-0.2074	0.1276	0.2653
485	-0.2306	0.5589	      NaN	0.5262	0.8467	0.78	      NaN	0.4892	0.0346	0.3169
