% Antarctica 2K 2017 isotope anomalies
% units:
% weighting method : based on the correlation between site d18O and regional d18O from ECHAM5 nudged by ERA-Interim
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
5	-0.0347	      NaN	      NaN	0.1431	-1.0613	0.1196	      NaN	-1.2846	0.0029	-0.8737
15	-0.8629	      NaN	      NaN	-0.0994	0.5842	0.6353	      NaN	0.2262	-0.2118	0.6324
25	0.9706	      NaN	      NaN	-0.0569	-0.0059	-0.834	      NaN	-0.3081	0.2711	-0.076
35	-0.5981	      NaN	      NaN	0.2762	0.7361	-0.501	      NaN	0.4368	-0.5926	0.6105
45	-1.1621	      NaN	      NaN	0.0112	-0.3344	0.4678	      NaN	-0.9442	-0.5119	-0.1518
55	1.0656	      NaN	      NaN	0.1437	-0.0812	-0.8535	      NaN	-0.7273	0.2947	-0.0994
65	-0.6127	      NaN	      NaN	0.6481	0.042	0.81	      NaN	-0.4966	-0.105	0.2126
75	-0.2292	      NaN	      NaN	0.1724	0.187	0.402	      NaN	-0.3641	-0.0449	0.2841
85	0.3869	      NaN	      NaN	0.3662	0.6926	1.669	      NaN	0.3709	0.782	0.8584
95	-1.4566	      NaN	      NaN	-0.2551	-0.631	0.323	      NaN	-1.3717	-0.7535	-0.412
105	-0.3996	      NaN	      NaN	0.2831	-0.105	-1.229	      NaN	-0.5658	-0.7091	-0.1915
115	-0.5345	      NaN	      NaN	0.2787	-0.5944	-0.121	      NaN	-1.1709	-0.4111	-0.4561
125	0.6797	      NaN	      NaN	0.4949	0.0882	2.449	      NaN	-0.1288	1.2256	0.4246
135	-0.0152	      NaN	      NaN	0.4112	0.6372	0.2429	      NaN	0.5401	0.0889	0.5969
145	0.7391	      NaN	      NaN	0.6689	0.1128	-0.0993	      NaN	-0.3129	0.3855	0.1414
155	0.9026	      NaN	      NaN	0.3128	-0.0117	-0.6504	      NaN	-0.5718	0.258	-0.0229
165	0.8961	      NaN	      NaN	0.4393	0.0772	-1.8197	      NaN	-0.2485	-0.1858	-0.127
175	1.2496	-0.2578	      NaN	0.0468	-0.232	0.0953	      NaN	-0.5628	0.4838	-0.1497
185	-0.1589	0.6046	      NaN	0.2312	-0.7945	1.094	      NaN	-1.217	0.3093	-0.4615
195	-0.0307	-0.0952	      NaN	0.3556	-0.5951	-1.006	      NaN	-1.0357	-0.287	-0.5784
205	-0.3988	0.5562	      NaN	-0.3132	-0.3988	-1.1422	      NaN	-1.0544	-0.4477	-0.392
215	0.4218	0.0202	      NaN	0.1356	-0.5373	1.2218	      NaN	-1.3017	0.6494	-0.2026
225	0.4776	0.1535	      NaN	-0.2932	0.4879	-0.003	      NaN	-0.0378	0.2592	0.4756
235	0.7717	-0.2326	      NaN	-0.0232	0.079	1.457	      NaN	-0.3465	0.7852	0.2989
245	0.387	0.416	      NaN	0.1406	-0.1604	0.956	      NaN	-0.5637	0.5386	0.0472
255	-0.2422	0.1462	      NaN	-0.278	0.1882	-0.621	      NaN	-0.1408	-0.2975	0.1202
265	0.0693	0.1196	      NaN	-0.4134	0.1125	-0.221	      NaN	-0.1027	-0.0616	0.093
275	0.4071	0.0607	      NaN	0.3618	0.3892	0.134	      NaN	0.2185	0.1995	0.3685
285	0.0486	-0.3666	      NaN	0.0049	-0.8757	-1.704	      NaN	-1.327	-0.4525	-0.9115
295	0.6533	0.5039	      NaN	-0.1119	0.0186	0.4965	      NaN	-0.1658	0.4995	0.1136
305	0.402	0.0811	      NaN	0.0456	0.5774	-0.977	      NaN	0.2977	-0.1683	0.396
315	0.8652	0.225	      NaN	-0.1869	0.0663	-1.4135	      NaN	-0.2701	-0.053	-0.0812
325	0.4969	0.5196	      NaN	-0.5551	-0.3247	-0.466	      NaN	-0.8266	0.2007	-0.263
335	1.0651	0.322	      NaN	-0.1269	-0.1808	0.393	      NaN	-0.401	0.6231	-0.0679
345	0.2489	0.2203	      NaN	-0.5657	0.2028	0.0565	      NaN	-0.5034	0.157	0.2652
355	1.0505	0.1534	      NaN	0.5518	-0.1848	-0.0388	      NaN	-0.4954	0.4504	-0.117
365	0.493	0.736	      NaN	0.3756	-0.652	-0.6397	      NaN	-0.9127	0.0512	-0.5799
375	1.5116	0.0983	      NaN	0.1968	-0.691	      NaN	      NaN	-1.3332	1.0869	-0.6698
