% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% Temperature scaling method : based on the correlation between annual mean regional d18O and regional T from ECHAM-wiso forced by ERA-Interim
% smoothing : 5-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
1802.5	-0.7796	-1.3471	0.4533	-1.7298	-0.0262	-0.7632	-1.0502	-0.125	-0.6794	-0.5612
1807.5	-0.2662	-1.9251	1.3477	-2.0069	-0.4888	-0.7722	-0.5732	-0.6301	-0.3744	-0.3416
1812.5	-0.248	-0.8409	0.7889	-1.1713	0.1394	0.3174	0.5497	-0.1403	-0.0103	0.0644
1817.5	-0.3596	-1.0538	1.7457	-0.8672	0.0481	-0.6526	-1.25	-0.1702	-0.2202	-0.0686
1822.5	-0.6291	-0.8548	-0.2241	-0.9677	0.1417	-1.0493	-0.3641	-0.0884	-0.4569	-0.2757
1827.5	-0.3301	0.2297	-0.3729	-2.3295	0.4426	-0.601	-1.3465	0.0205	-0.3067	-0.127
1832.5	-0.2867	0.1839	1.203	-0.4505	0.3714	-0.2368	-0.4005	-0.0345	-0.0351	0.1981
1837.5	-0.4017	-0.7502	-0.3166	1.6252	0.9234	-1.5275	-0.9906	0.7201	-0.8429	-0.4369
1842.5	-0.5076	-2.1358	0.5216	-3.3943	0.1448	-0.7637	0.1019	-0.3358	-0.7352	-0.5621
1847.5	-0.6584	-0.2564	0.0935	-1.5044	-0.61	-0.0591	-0.5719	-0.607	-0.7733	-0.5974
1852.5	-0.648	-0.5746	-0.9075	-3.1498	0.7137	-0.5748	-0.3894	0.0529	-0.7168	-0.5061
1857.5	-0.4065	0.5511	0.003	-1.3052	0.0493	-1.2305	-0.9464	-0.0889	-0.477	-0.3843
1862.5	-0.1031	1.4016	-1.1346	-2.4105	0.0929	0.0102	0.2634	-0.3811	-0.2704	-0.016
1867.5	-0.176	-0.3689	-1.1447	-1.71	0.1978	0.4901	0.5961	-0.2923	-0.3021	-0.0901
1872.5	0.1256	-0.3682	-0.6924	-1.7904	-0.212	-0.654	-2.0255	-0.567	-0.0015	0.0096
1877.5	0.044	-0.8098	-0.9196	0.453	0.3428	-0.2063	-1.3599	0.3148	-0.2917	-0.1997
1882.5	-0.3408	-1.5036	-0.0975	-2.8493	0.04	0.8211	-0.6453	-0.4646	-0.4727	-0.2491
1887.5	-0.1464	-0.9532	1.012	-0.0245	0.4691	0.4239	-0.8072	0.3047	0.0392	0.1936
1892.5	0.2348	-1.5822	0.7326	0.1453	-0.1066	-0.488	-1.7035	-0.1819	0.0358	0.0079
1897.5	0.5761	-0.9978	-0.7085	-2.4294	0.0895	-0.279	-0.9648	-0.2946	0.2687	0.1541
1902.5	-0.0207	-0.9227	0.7728	-0.4943	-0.251	0.3636	0.5422	-0.3009	0.0449	0.1855
1907.5	0.289	-1.544	-0.0633	-1.189	-0.3113	-0.5718	-0.1022	-0.3592	0.2706	0.1835
1912.5	-0.2854	-1.1276	1.1387	-1.2118	0.0127	0.1521	-0.5497	-0.0786	-0.3121	-0.1667
1917.5	0.1303	-1.6184	1.1025	-0.4703	-0.0738	-0.1831	0.28	-0.1062	-0.0227	0.0365
1922.5	1.3867	-0.2134	0.0794	-0.6162	0.1185	0.1661	-0.3973	-0.0171	0.6291	0.3842
1927.5	0.8704	-0.6607	-0.5658	-1.9125	-0.384	-0.0626	-0.0525	-0.5374	0.4844	0.1955
1932.5	-0.0375	-0.7974	-0.1357	-1.3297	-0.1331	0.1291	-0.6104	-0.3144	-0.6054	-0.4738
1937.5	0.5917	-2.0354	0.0111	-0.3476	0.1409	0.0849	-1.2549	0.0587	0.051	0.0657
1942.5	-0.087	-0.2588	0.2281	-0.1895	-0.0621	0.2327	-0.2705	-0.022	-0.2914	-0.1595
1947.5	0.1776	-0.3125	1.1326	-1.261	-0.6179	-0.4213	-0.6065	-0.6263	0.0064	0.029
1952.5	-0.3205	0.0629	-0.5879	-0.7298	0.0515	-0.1299	-0.8143	0.002	-0.3622	-0.1979
1957.5	0.0673	-0.5881	0.4231	-0.2345	-0.6184	0.2926	0.0176	-0.4715	0.1635	0.072
1962.5	-0.0447	-0.6088	-0.5236	-0.3421	-0.5255	-0.3169	0.5772	-0.4204	0.0078	-0.0134
1967.5	0.0106	-0.0369	-0.2764	-1.3401	0.0784	0.7671	0.1673	-0.0201	-0.0273	-0.1004
1972.5	-0.2186	-0.9104	-0.6482	0.8326	0.545	-0.1615	0.9382	0.5498	-0.1914	-0.1378
1977.5	-0.1543	-0.2622	-0.3367	-0.2315	-0.5539	0.2428	0.1704	-0.5053	-0.0535	-0.0289
1982.5	-0.1438	1.1108	1.0844	0.607	0.4916	0.1761	0.3643	0.5122	-0.0635	0.0545
1987.5	0.1534	0.7077	0.7005	0.4741	-0.1543	-0.7076	0.0829	-0.2056	0.2602	0.2266
1992.5	-0.1135	-0.671	-1.5701	0.2769	0.1928	0.779	1.2631	0.2161	-0.1321	0.0278
1997.5	0.6379	      NaN	      NaN	1.3604	-0.0861	-1.0543	0.4664	0.0375	0.3028	0.1388
2002.5	0.0894	      NaN	      NaN	1.4465	0.1662	-1.0258	0.174	0.2302	-0.1943	-0.2227
2007.5	0.3196	      NaN	      NaN	1.7852	0.9145	      NaN	0.628	0.823	0.6114	0.7557
2012.5	      NaN	      NaN	      NaN	      NaN	2.2321	      NaN	      NaN	2.2042	      NaN	2.1956
