% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% Temperature scaling method : based on the correlation between annuam mean regional d18O and regional T from ECHAM-wiso forced by ERA-Interim
% West Antarctica adjusted to match the temperature trend between 1000 and 1400 AD based on borehole temperature measurements (Orsi et al, 2012)
% smoothing : 5-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : Whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
1802.5	-0.7796	-1.3471	0.4533	-1.7298	-0.0307	-0.7632	-1.0502	-0.2689	-0.6794	-0.443
1807.5	-0.2662	-1.9251	1.3477	-2.0069	-0.5725	-0.7722	-0.5732	-0.7736	-0.3744	-0.3427
1812.5	-0.248	-0.8409	0.7889	-1.1713	0.1633	0.3174	0.5497	-0.0238	-0.0103	-0.0098
1817.5	-0.3596	-1.0538	1.7457	-0.8672	0.0564	-0.6526	-1.25	-0.0731	-0.2202	-0.1414
1822.5	-0.6291	-0.8548	-0.2241	-0.9677	0.166	-1.0493	-0.3641	0.007	-0.4569	-0.2683
1827.5	-0.3301	0.2297	-0.3729	-2.3295	0.5184	-0.601	-1.3465	0.1192	-0.3067	-0.1621
1832.5	-0.2867	0.1839	1.203	-0.4505	0.4351	-0.2368	-0.4005	0.3109	-0.0351	0.0283
1837.5	-0.4017	-0.7502	-0.3166	1.6252	1.0816	-1.5275	-0.9906	1.1578	-0.8429	-0.3146
1842.5	-0.5076	-2.1358	0.5216	-3.3943	0.1696	-0.7637	0.1019	-0.33	-0.7352	-0.4856
1847.5	-0.6584	-0.2564	0.0935	-1.5044	-0.7145	-0.0591	-0.5719	-0.8253	-0.7733	-0.5861
1852.5	-0.648	-0.5746	-0.9075	-3.1498	0.836	-0.5748	-0.3894	0.2772	-0.7168	-0.3791
1857.5	-0.4065	0.5511	0.003	-1.3052	0.0577	-1.2305	-0.9464	-0.1333	-0.477	-0.3023
1862.5	-0.1031	1.4016	-1.1346	-2.4105	0.1088	0.0102	0.2634	-0.2444	-0.2704	-0.198
1867.5	-0.176	-0.3689	-1.1447	-1.71	0.2317	0.4901	0.5961	-0.0405	-0.3021	-0.1846
1872.5	0.1256	-0.3682	-0.6924	-1.7904	-0.2483	-0.654	-2.0255	-0.4645	-0.0015	-0.0741
1877.5	0.044	-0.8098	-0.9196	0.453	0.4015	-0.2063	-1.3599	0.4087	-0.2917	-0.1076
1882.5	-0.3408	-1.5036	-0.0975	-2.8493	0.0469	0.8211	-0.6453	-0.3591	-0.4727	-0.3354
1887.5	-0.1464	-0.9532	1.012	-0.0245	0.5495	0.4239	-0.8072	0.469	0.0392	0.0971
1892.5	0.2348	-1.5822	0.7326	0.1453	-0.1248	-0.488	-1.7035	-0.087	0.0358	0.0074
1897.5	0.5761	-0.9978	-0.7085	-2.4294	0.1048	-0.279	-0.9648	-0.2505	0.2687	0.119
1902.5	-0.0207	-0.9227	0.7728	-0.4943	-0.294	0.3636	0.5422	-0.3221	0.0449	-0.0243
1907.5	0.289	-1.544	-0.0633	-1.189	-0.3647	-0.5718	-0.1022	-0.4802	0.2706	0.0839
1912.5	-0.2854	-1.1276	1.1387	-1.2118	0.0148	0.1521	-0.5497	-0.1571	-0.3121	-0.2088
1917.5	0.1303	-1.6184	1.1025	-0.4703	-0.0864	-0.1831	0.28	-0.1403	-0.0227	-0.0355
1922.5	1.3867	-0.2134	0.0794	-0.6162	0.1388	0.1661	-0.3973	0.033	0.6291	0.3762
1927.5	0.8704	-0.6607	-0.5658	-1.9125	-0.4498	-0.0626	-0.0525	-0.6549	0.4844	0.1824
1932.5	-0.0375	-0.7974	-0.1357	-1.3297	-0.156	0.1291	-0.6104	-0.3205	-0.6054	-0.4075
1937.5	0.5917	-2.0354	0.0111	-0.3476	0.1651	0.0849	-1.2549	0.0932	0.051	0.0448
1942.5	-0.087	-0.2588	0.2281	-0.1895	-0.0727	0.2327	-0.2705	-0.0891	-0.2914	-0.1859
1947.5	0.1776	-0.3125	1.1326	-1.261	-0.7237	-0.4213	-0.6065	-0.7991	0.0064	-0.1221
1952.5	-0.3205	0.0629	-0.5879	-0.7298	0.0604	-0.1299	-0.8143	-0.0504	-0.3622	-0.2215
1957.5	0.0673	-0.5881	0.4231	-0.2345	-0.7243	0.2926	0.0176	-0.6556	0.1635	-0.0069
1962.5	-0.0447	-0.6088	-0.5236	-0.3421	-0.6156	-0.3169	0.5772	-0.5772	0.0078	-0.0864
1967.5	0.0106	-0.0369	-0.2764	-1.3401	0.0918	0.7671	0.1673	-0.1089	-0.0273	-0.0333
1972.5	-0.2186	-0.9104	-0.6482	0.8326	0.6383	-0.1615	0.9382	0.6656	-0.1914	-0.008
1977.5	-0.1543	-0.2622	-0.3367	-0.2315	-0.6488	0.2428	0.1704	-0.5903	-0.0535	-0.1246
1982.5	-0.1438	1.1108	1.0844	0.607	0.5758	0.1761	0.3643	0.5802	-0.0635	0.054
1987.5	0.1534	0.7077	0.7005	0.4741	-0.1808	-0.7076	0.0829	-0.089	0.2602	0.1394
