% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% Temperature scaling method : based on the correlation between annual mean regional d18O and regional T from ECHAM-wiso forced by ERA-Interim
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica: WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
5	-0.1308	      NaN	      NaN	0.3576	-0.5704	0.099	      NaN	-0.539	-0.0831	-0.1127
15	-0.372	      NaN	      NaN	-0.2486	1.2607	0.526	      NaN	0.7022	-0.2776	0.1605
25	0.7978	      NaN	      NaN	-0.1424	0.5859	-0.6905	      NaN	0.2374	0.579	0.4091
35	-0.7198	      NaN	      NaN	0.6905	1.3204	-0.4148	      NaN	0.8749	-0.6961	-0.3028
45	-0.9018	      NaN	      NaN	0.028	0.8814	0.3873	      NaN	0.2818	-0.7402	-0.2255
55	0.7475	      NaN	      NaN	0.3592	1.2071	-0.7067	      NaN	0.537	0.549	0.527
65	-0.6986	      NaN	      NaN	1.6201	1.1526	0.6707	      NaN	0.6853	-0.466	0.0514
75	-0.4696	      NaN	      NaN	0.4311	1.28	0.3329	      NaN	0.6595	-0.3152	0.1145
85	-0.0419	      NaN	      NaN	0.9155	1.3295	1.382	      NaN	0.8892	0.2885	0.7029
95	-1.1966	      NaN	      NaN	-0.6377	0.8334	0.2675	      NaN	0.0984	-1.0212	-0.4372
105	-0.3789	      NaN	      NaN	0.7076	0.8292	-1.0176	      NaN	0.4025	-0.5353	-0.3615
115	-0.6603	      NaN	      NaN	0.6967	0.5861	-0.1001	      NaN	0.1439	-0.5812	-0.2602
125	0.0841	      NaN	      NaN	1.2373	0.551	2.0278	      NaN	0.3978	0.5464	0.8525
135	0.0234	      NaN	      NaN	1.028	0.8366	0.2012	      NaN	0.6699	0.0559	0.2293
145	0.5047	      NaN	      NaN	1.6722	0.9998	-0.0822	      NaN	0.6465	0.4514	0.5148
155	0.5419	      NaN	      NaN	0.7821	1.1175	-0.5385	      NaN	0.5645	0.408	0.4343
165	0.5204	      NaN	      NaN	1.0983	0.7506	-1.5067	      NaN	0.4663	0.1985	0.0281
175	0.7926	-0.4916	      NaN	0.117	0.4327	0.0789	      NaN	0.1283	0.4411	0.5047
185	-0.3447	1.153	      NaN	0.578	0.086	0.9059	      NaN	-0.1479	-0.0523	0.1454
195	-0.308	-0.1816	      NaN	0.8889	0.3234	-0.8329	      NaN	0.05	-0.2828	-0.086
205	-0.5854	1.0606	      NaN	-0.783	0.8845	-0.9457	      NaN	0.1772	-0.4799	-0.2026
215	0.1151	0.0386	      NaN	0.3389	1.0006	1.0117	      NaN	0.3037	0.3635	0.605
225	0.2747	0.2928	      NaN	-0.733	1.4838	-0.0024	      NaN	0.7179	0.2289	0.4366
235	0.452	-0.4435	      NaN	-0.058	0.9134	1.2064	      NaN	0.4149	0.5459	0.6808
245	0.1188	0.7933	      NaN	0.3514	0.6517	0.7916	      NaN	0.2705	0.3011	0.4571
255	-0.61	0.2789	      NaN	-0.695	0.8085	-0.5141	      NaN	0.3357	-0.4557	-0.177
265	-0.1409	0.228	      NaN	-1.0335	0.5006	-0.1829	      NaN	0.1426	-0.1274	-0.0194
275	0.3072	0.1157	      NaN	0.9045	0.7393	0.111	      NaN	0.5377	0.187	0.3261
285	-0.2734	-0.6991	      NaN	0.0123	0.0474	-1.4109	      NaN	-0.2498	-0.3277	-0.2303
