% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% Temperature scaling method : based on 1960-2010 variance of NB2014
% West Antarctica adjusted to match the temperature trend between 1000 and 1400 AD based on borehole temperature measurements (Orsi et al, 2012)
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : Whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
5	-0.0768	      NaN	      NaN	0.1437	-0.8748	0.0675	      NaN	-0.6167	-0.0539	-0.1174
15	-0.4175	      NaN	      NaN	-0.0999	2.2134	0.3585	      NaN	1.0472	-0.4031	0.1623
25	0.6663	      NaN	      NaN	-0.0572	1.0726	-0.4705	      NaN	0.4198	0.606	0.4703
35	-0.5289	      NaN	      NaN	0.2774	2.2984	-0.2827	      NaN	1.2698	-0.6328	-0.1444
45	-0.77	      NaN	      NaN	0.0112	1.6654	0.2639	      NaN	0.5948	-0.7833	-0.166
55	0.6649	      NaN	      NaN	0.1443	2.2211	-0.4815	      NaN	0.9489	0.617	0.6675
65	-0.5216	      NaN	      NaN	0.6508	2.1017	0.4571	      NaN	1.1278	-0.4267	0.169
75	-0.3031	      NaN	      NaN	0.1732	2.3118	0.2268	      NaN	1.0756	-0.2382	0.2667
85	0.079	      NaN	      NaN	0.3677	2.3219	0.9417	      NaN	1.3012	0.388	0.8309
95	-0.9995	      NaN	      NaN	-0.2562	1.6248	0.1823	      NaN	0.39	-1.0523	-0.3583
105	-0.3005	      NaN	      NaN	0.2843	1.5336	-0.6934	      NaN	0.711	-0.5147	-0.2488
115	-0.4815	      NaN	      NaN	0.2799	1.1667	-0.0682	      NaN	0.4148	-0.5228	-0.1462
125	0.2205	      NaN	      NaN	0.497	0.9938	1.3818	      NaN	0.6251	0.6782	0.9346
135	0.0082	      NaN	      NaN	0.4129	1.429	0.1371	      NaN	0.9332	0.0422	0.2691
145	0.454	      NaN	      NaN	0.6717	1.811	-0.056	      NaN	1.0363	0.4977	0.6124
155	0.5159	      NaN	      NaN	0.3142	2.0461	-0.367	      NaN	0.9613	0.4927	0.5786
165	0.503	      NaN	      NaN	0.4412	1.3607	-1.0267	      NaN	0.7523	0.3001	0.1751
175	0.7909	-0.3783	      NaN	0.047	0.8284	0.0538	      NaN	0.2924	0.5688	0.6119
185	-0.2201	0.8871	      NaN	0.2322	0.2835	0.6173	      NaN	-0.0266	0.0839	0.2645
195	-0.2099	-0.1397	      NaN	0.3571	0.6861	-0.5676	      NaN	0.2454	-0.28	-0.0419
205	-0.4379	0.8161	      NaN	-0.3145	1.6814	-0.6445	      NaN	0.4589	-0.3703	-0.053
215	0.1239	0.0297	      NaN	0.1361	1.9158	0.6894	      NaN	0.6865	0.3425	0.6504
225	0.2607	0.2253	      NaN	-0.2944	2.6368	-0.0017	      NaN	1.1202	0.2746	0.5488
