% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on the correlation between site T and regional T from NB2014 forced by ERA-Interim
% Temperature scaling method : based on the correlation between annual mean regional d18O and regional T from ECHAM-wiso forced by ERA-Interim
% West Antarctica adjusted to match the temperature trend between 1000 and 1400 AD based on borehole temperature measurements (Orsi et al, 2012)
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : Whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
5	-0.1308	      NaN	      NaN	0.3576	-0.6681	0.099	      NaN	-0.5243	-0.0831	-0.1316
15	-0.372	      NaN	      NaN	-0.2486	1.4767	0.526	      NaN	1.2349	-0.2776	0.0309
25	0.7978	      NaN	      NaN	-0.1424	0.6862	-0.6905	      NaN	0.5701	0.579	0.4313
35	-0.7198	      NaN	      NaN	0.6905	1.5466	-0.4148	      NaN	1.4266	-0.6961	-0.1857
45	-0.9018	      NaN	      NaN	0.028	1.0324	0.3873	      NaN	0.8915	-0.7402	-0.296
55	0.7475	      NaN	      NaN	0.3592	1.414	-0.7067	      NaN	1.2661	0.549	0.5233
65	-0.6986	      NaN	      NaN	1.6201	1.3501	0.6707	      NaN	1.3879	-0.466	-0.0561
75	-0.4696	      NaN	      NaN	0.4311	1.4994	0.3329	      NaN	1.3496	-0.3152	0.0268
85	-0.0419	      NaN	      NaN	0.9155	1.5572	1.382	      NaN	1.4673	0.2885	0.4014
95	-1.1966	      NaN	      NaN	-0.6377	0.9762	0.2675	      NaN	0.75	-1.0212	-0.4841
105	-0.3789	      NaN	      NaN	0.7076	0.9713	-1.0176	      NaN	0.9343	-0.5353	-0.1684
115	-0.6603	      NaN	      NaN	0.6967	0.6866	-0.1001	      NaN	0.688	-0.5812	-0.2343
125	0.0841	      NaN	      NaN	1.2373	0.6454	2.0278	      NaN	0.7283	0.5464	0.437
135	0.0234	      NaN	      NaN	1.028	0.9799	0.2012	      NaN	0.9866	0.0559	0.1884
145	0.5047	      NaN	      NaN	1.6722	1.1711	-0.0822	      NaN	1.2413	0.4514	0.4618
155	0.5419	      NaN	      NaN	0.7821	1.309	-0.5385	      NaN	1.2351	0.408	0.4352
165	0.5204	      NaN	      NaN	1.0983	0.8792	-1.5067	      NaN	0.9099	0.1985	0.2604
175	0.7926	-0.4916	      NaN	0.117	0.5068	0.0789	      NaN	0.4522	0.4411	0.3314
185	-0.3447	1.153	      NaN	0.578	0.1007	0.9059	      NaN	0.1676	-0.0523	-0.0044
195	-0.308	-0.1816	      NaN	0.8889	0.3788	-0.8329	      NaN	0.4503	-0.2828	-0.0958
205	-0.5854	1.0606	      NaN	-0.783	1.0361	-0.9457	      NaN	0.781	-0.4799	-0.1599
215	0.1151	0.0386	      NaN	0.3389	1.1721	1.0117	      NaN	1.0553	0.3635	0.3807
225	0.2747	0.2928	      NaN	-0.733	1.7381	-0.0024	      NaN	1.3916	0.2289	0.3543
235	0.452	-0.4435	      NaN	-0.058	1.0699	1.2064	      NaN	0.9117	0.5459	0.4656
245	0.1188	0.7933	      NaN	0.3514	0.7634	0.7916	      NaN	0.7056	0.3011	0.2888
255	-0.61	0.2789	      NaN	-0.695	0.9471	-0.5141	      NaN	0.7169	-0.4557	-0.1558
265	-0.1409	0.228	      NaN	-1.0335	0.5864	-0.1829	      NaN	0.3593	-0.1274	-0.0185
275	0.3072	0.1157	      NaN	0.9045	0.866	0.111	      NaN	0.8714	0.187	0.2476
285	-0.2734	-0.6991	      NaN	0.0123	0.0555	-1.4109	      NaN	0.0495	-0.3277	-0.1854
295	0.1251	0.9609	      NaN	-0.2799	0.4368	0.4111	      NaN	0.3363	0.2087	0.1761
305	-0.1377	0.1547	      NaN	0.1139	1.3012	-0.8089	      NaN	1.1348	-0.2583	0.0265
315	0.3856	0.4292	      NaN	-0.4674	0.8349	-1.1703	      NaN	0.6523	0.0504	0.1325
325	0.3089	0.9909	      NaN	-1.3877	0.7431	-0.3858	      NaN	0.4444	0.2469	0.2157
335	0.7113	0.6141	      NaN	-0.3174	0.2933	0.3254	      NaN	0.2077	0.5342	0.3477
345	0.0707	0.42	      NaN	-1.4142	1.809	0.0468	      NaN	1.3571	0.0581	0.2481
355	0.3818	0.2926	      NaN	1.3795	0.559	-0.0321	      NaN	0.674	0.2685	0.2646
365	0.2614	1.4036	      NaN	0.9389	-0.099	-0.5297	      NaN	0.0465	0.0806	0.0548
375	1.1307	0.1875	      NaN	0.492	0.7218	      NaN	      NaN	0.6896	0.8887	0.6328
385	0.4243	0.8082	      NaN	1.4248	0.8159	-0.2782	      NaN	0.9013	0.3334	0.3387
395	-0.1214	0.7478	      NaN	2.0998	0.0986	0.207	      NaN	0.3792	-0.1846	-0.0491
405	1.467	-0.643	      NaN	0.0764	1.1667	-1.5143	      NaN	1.0138	0.8888	0.6839
415	0.761	1.3475	      NaN	0.4186	0.3938	0.0434	      NaN	0.3973	0.8118	0.5414
425	0.6141	0.3579	      NaN	-1.2799	0.9572	-0.9796	      NaN	0.6436	0.1685	0.2008
435	0.3737	0.1731	      NaN	0.8451	0.9714	-0.5762	      NaN	0.9537	0.0883	0.2024
445	2.2031	0.9436	      NaN	-0.1283	0.7729	-0.4303	      NaN	0.6466	1.2241	0.8238
455	1.5404	0.2692	      NaN	0.3889	1.2627	-0.2947	      NaN	1.1402	0.834	0.6715
465	0.6611	0.4887	      NaN	1.7795	1.5749	-0.1979	      NaN	1.6036	0.3036	0.4317
475	0.4485	0.2314	      NaN	2.1248	0.0082	-0.7452	      NaN	0.3049	0.1276	0.1233
485	-0.2193	1.0659	      NaN	1.3155	1.0314	0.6459	      NaN	1.0712	0.0346	0.1892
495	-0.2373	0.9782	      NaN	1.2405	0.9898	-0.0546	      NaN	1.025	-0.1331	0.083
505	0.3403	0.7772	      NaN	0.3936	0.9246	0.0814	      NaN	0.8501	0.3452	0.3375
515	0.6746	0.3123	      NaN	1.3248	1.2973	      NaN	      NaN	1.3011	0.6686	0.5993
525	0.4636	-0.0843	      NaN	0.7748	1.0217	0.3776	      NaN	0.9871	0.2698	0.3146
535	0.5265	0.4015	      NaN	0.8514	1.1021	      NaN	      NaN	1.067	0.4831	0.453
545	0.4685	1.2992	      NaN	-0.0689	1.5415	-0.0767	      NaN	1.3157	0.4434	0.4688
555	1.2233	1.5972	      NaN	0.2701	0.907	0.3428	      NaN	0.8177	0.9088	0.6648
565	0.6537	-0.6963	      NaN	-0.7502	0.688	-0.3237	      NaN	0.4864	0.246	0.2217
575	0.3355	1.0801	      NaN	-0.9564	0.8908	-0.125	      NaN	0.6318	0.2638	0.2551
585	0.786	0.5225	      NaN	0.553	0.3657	-1.0316	      NaN	0.3919	0.3899	0.2917
595	1.0758	0.6977	      NaN	0.2858	0.7341	0.6152	      NaN	0.6712	0.9036	0.6386
605	-0.3063	0.7366	      NaN	0.1123	2.0103	-1.054	      NaN	1.7442	-0.3133	0.0901
615	1.118	0.1296	      NaN	0.2217	1.3935	-0.6773	      NaN	1.2293	0.5957	0.545
625	0.3803	0.4059	      NaN	-1.4502	1.1372	0.3925	      NaN	0.7744	0.2628	0.277
635	-0.3055	0.1523	      NaN	-0.308	0.7156	1.2346	      NaN	0.5721	-0.1097	0.0255
645	0.3822	0.8118	      NaN	-0.4799	0.3471	0.135	      NaN	0.2311	0.3201	0.2252
655	-0.4777	-0.0561	      NaN	-0.9017	0.5088	0.0392	      NaN	0.3111	-0.4531	-0.2182
665	0.5605	0.7461	      NaN	-0.4017	0.8005	0.6299	      NaN	0.632	0.4947	0.3914
675	0.559	0.1745	      NaN	0.2076	1.7733	0.3495	      NaN	1.5538	0.4493	0.5098
685	0.7416	0.9229	      NaN	-0.7095	0.9183	-0.4918	      NaN	0.6901	0.4522	0.3754
695	0.2323	1.0747	      NaN	-0.4142	-0.0365	1.2528	      NaN	-0.0894	0.2974	0.1613
705	1.0721	1.8427	      NaN	-0.3366	1.0037	-0.5928	      NaN	0.8158	0.6515	0.5127
715	0.2736	2.1031	      NaN	-0.6028	0.6562	0.0098	      NaN	0.4797	0.3621	0.2892
725	0.4857	-0.2681	      NaN	0.7873	1.5065	0.4091	      NaN	1.4056	0.4925	0.5119
735	0.4197	0.6518	      NaN	0.5467	0.5356	-0.2947	      NaN	0.5371	0.1954	0.1999
745	0.3742	1.3324	      NaN	-1.2345	1.17	-0.2243	      NaN	0.8329	0.3422	0.3331
755	0.216	0.9416	      NaN	-0.7236	1.1586	-0.3403	      NaN	0.8947	0.0544	0.1731
765	-0.0991	0.796	      NaN	-1.4392	0.4035	0.3783	      NaN	0.1452	0.0887	0.0752
775	0.708	1.3831	      NaN	0.553	0.8605	-0.2699	      NaN	0.8174	0.529	0.4408
785	-0.5333	0.5773	      NaN	-1.0439	0.3383	-0.173	      NaN	0.1445	-0.357	-0.1878
795	0.5069	1.1824	      NaN	-0.3236	0.5086	-0.6228	      NaN	0.3919	0.3247	0.2532
805	0.5466	0.846	      NaN	-0.2642	1.1752	-0.0318	      NaN	0.9734	0.439	0.4123
815	-0.7267	0.6583	      NaN	0.6483	0.5562	-0.2515	      NaN	0.5691	-0.3517	-0.1177
825	0.4101	0.4499	      NaN	1.5123	0.3142	-0.3288	      NaN	0.4822	0.3354	0.2738
835	-0.1175	1.6883	      NaN	0.7014	1.0777	-0.9687	      NaN	1.025	-0.2678	0.0036
845	-0.4424	0.8132	      NaN	-0.2611	0.2436	-1.0519	      NaN	0.1728	-0.4163	-0.2183
855	0.5115	0.844	      NaN	-0.2049	0.3558	-0.794	      NaN	0.2772	0.1458	0.1297
865	-0.3291	2.0969	      NaN	0.2576	0.4511	0.4244	      NaN	0.424	0.046	0.094
875	0.4534	1.0809	      NaN	-0.5877	0.9228	-0.0942	      NaN	0.7111	0.3025	0.2905
885	0.3453	0.5446	      NaN	-0.572	0.5568	-0.4624	      NaN	0.3985	0.1746	0.1658
895	0.7843	1.5277	      NaN	-0.3408	0.4679	-0.6077	      NaN	0.3545	0.4405	0.3156
905	0.9337	-0.0925	      NaN	-0.2033	0.6123	-0.1012	      NaN	0.4979	0.5532	0.4047
915	0.943	0.1495	      NaN	-1.4627	0.9273	-0.3129	      NaN	0.5923	0.5651	0.4266
925	0.1226	1.3226	      NaN	-0.0939	0.7973	0.5813	      NaN	0.6724	0.2694	0.2648
935	0.6611	1.0675	      NaN	1.6264	0.408	-0.8851	      NaN	0.5788	0.3367	0.2898
945	0.547	0.0532	      NaN	-1.1845	0.7673	-0.3014	      NaN	0.4937	0.327	0.2707
955	0.4135	-0.0363	      NaN	-1.6095	0.3792	-0.2666	      NaN	0.1004	0.2565	0.1671
965	0.1153	-0.1063	      NaN	-1.1252	0.9571	0.7154	      NaN	0.6652	0.1977	0.2214
975	0.5888	0.2959	      NaN	-0.4049	0.3879	0.6989	      NaN	0.2767	0.4344	0.2998
985	-0.3189	0.9975	      NaN	1.3686	0.479	0.8075	      NaN	0.6037	-0.0612	0.0591
995	-0.1151	1.2118	      NaN	-0.8158	0.4877	-0.42	      NaN	0.3049	-0.1011	-0.0116
1005	-0.9106	-0.0309	0.6478	0.5076	0.5688	1.2106	      NaN	0.5602	-0.2095	-0.0353
1015	0.1779	0.9777	-0.9612	1.6326	0.8134	-0.014	      NaN	0.9283	0.1417	0.2298
1025	-0.2532	0.754	0.4327	-0.8986	0.1363	-0.1217	      NaN	-0.0088	0.0435	0.0243
1035	0.0368	0.7724	-0.1331	-1.2799	1.5072	-0.2975	      NaN	1.1165	0.1106	0.2412
1045	-0.7882	0.916	0.088	-0.0314	0.4368	-1.0353	      NaN	0.3712	-0.4754	-0.2219
1055	-0.4528	1.0936	1.3422	-0.9283	0.3479	0.8429	      NaN	0.169	0.1835	0.1348
1065	-0.3634	0.1136	-0.303	-1.9017	1.1211	-0.065	      NaN	0.6973	-0.2343	-0.0283
1075	-0.0269	0.8611	0.6297	-0.3439	0.5423	-0.6094	      NaN	0.4181	0.1057	0.1282
1085	-0.7972	0.7156	-0.4155	0.0561	0.6561	-0.0132	      NaN	0.572	-0.502	-0.2059
1095	-0.0778	0.9332	-0.307	-0.2986	-0.2192	0.5887	      NaN	-0.2303	-0.0129	-0.0439
1105	0.4096	-0.5499	0.4719	-0.222	0.6774	-0.4458	      NaN	0.5513	0.1236	0.1597
1115	-0.163	0.2959	0.0287	-0.4502	0.6217	0.8214	      NaN	0.4714	-0.1249	0.0006
1125	0.6705	-0.245	0.3855	0.5092	0.3387	-0.0977	      NaN	0.3626	0.2084	0.1801
1135	1.1548	0.442	0.299	-0.322	-0.0821	-0.1457	      NaN	-0.1158	0.4368	0.2394
