Distribution of the 100 year slopes in normalized regional reconstruction of the past 2000 years (Figure 6)		
1 table is presented for each region		
line	value	unit
Line 1	interval start	in stdev/100 years
Line 2	interval end	in stdev/100 years
Line 3	interval mean	in stdev/100 years
Line 4	number of trends in the bin defined by line 1 and 2	count


1. Plateau											
	interval start	-0.037	-0.0289	-0.0209	-0.0128	-0.0047	0.0034	0.0114	0.0195	0.0276	0.0357
	interval end	-0.0411	-0.033	-0.0249	-0.0168	-0.0087	-0.0007	0.0074	0.0155	0.0236	0.0316
	interval mean	-0.033	-0.0249	-0.0168	-0.0087	-0.0007	0.0074	0.0155	0.0236	0.0316	0.0397
	count	2	5	16	28	40	40	36	13	7	4
											
2. Wilkes Land Coast											
	interval start	-0.0376	-0.0279	-0.0183	-0.0086	0.001	0.0106	0.0203	0.0299	0.0396	0.0492
	interval end	-0.0424	-0.0327	-0.0231	-0.0135	-0.0038	0.0058	0.0155	0.0251	0.0347	0.0444
	interval mean	-0.0327	-0.0231	-0.0135	-0.0038	0.0058	0.0155	0.0251	0.0347	0.0444	0.054
	count	4	15	17	36	45	32	16	4	2	3
											
3. Weddell Sea Coast											
	interval start	-0.0295	-0.0238	-0.0181	-0.0123	-0.0066	-0.0008	0.0049	0.0107	0.0164	0.0222
	interval end	-0.0324	-0.0267	-0.0209	-0.0152	-0.0094	-0.0037	0.002	0.0078	0.0135	0.0193
	interval mean	-0.0267	-0.0209	-0.0152	-0.0094	-0.0037	0.002	0.0078	0.0135	0.0193	0.025
	count	2	3	6	13	14	17	9	11	8	7
											
4. Antarctic Peninsula											
	interval start	-0.0221	-0.0167	-0.0113	-0.0059	-0.0005	0.0049	0.0103	0.0156	0.021	0.0264
	interval end	-0.0248	-0.0194	-0.014	-0.0086	-0.0032	0.0022	0.0076	0.0129	0.0183	0.0237
	interval mean	-0.0194	-0.014	-0.0086	-0.0032	0.0022	0.0076	0.0129	0.0183	0.0237	0.0291
	count	10	10	21	33	35	45	17	9	7	4
											
5. WAIS											
	interval start	-0.0232	-0.0181	-0.013	-0.0078	-0.0027	0.0025	0.0076	0.0128	0.0179	0.0231
	interval end	-0.0258	-0.0207	-0.0155	-0.0104	-0.0052	-0.0001	0.0051	0.0102	0.0153	0.0205
	interval mean	-0.0207	-0.0155	-0.0104	-0.0052	-0.0001	0.0051	0.0102	0.0153	0.0205	0.0256
	count	4	10	15	36	40	44	22	13	4	3
											
6. Victoria Land, Ross Sea											
	interval start	-0.0553	-0.0453	-0.0353	-0.0254	-0.0154	-0.0054	0.0045	0.0145	0.0244	0.0344
	interval end	-0.0602	-0.0503	-0.0403	-0.0304	-0.0204	-0.0104	-0.0005	0.0095	0.0195	0.0294
	interval mean	-0.0503	-0.0403	-0.0304	-0.0204	-0.0104	-0.0005	0.0095	0.0195	0.0294	0.0394
	count	2	1	7	10	23	36	38	27	20	5
											
7. DML coast											
	interval start	-0.0091	-0.0044	0.0002	0.0048	0.0094	0.014	0.0186	0.0232	0.0279	0.0325
	interval end	-0.0114	-0.0068	-0.0021	0.0025	0.0071	0.0117	0.0163	0.0209	0.0256	0.0302
	interval mean	-0.0068	-0.0021	0.0025	0.0071	0.0117	0.0163	0.0209	0.0256	0.0302	0.0348
	count	5	9	4	7	4	2	3	2	0	2
											
8. West Antarctica											
	interval start	-0.0161	-0.0124	-0.0087	-0.005	-0.0013	0.0024	0.0061	0.0098	0.0136	0.0173
	interval end	-0.018	-0.0143	-0.0106	-0.0068	-0.0031	0.0006	0.0043	0.008	0.0117	0.0154
	interval mean	-0.0143	-0.0106	-0.0068	-0.0031	0.0006	0.0043	0.008	0.0117	0.0154	0.0191
	count	1	11	20	35	48	40	14	15	6	1
											
9. East Antarctica											
	interval start	-0.0212	-0.0164	-0.0115	-0.0067	-0.0019	0.0029	0.0078	0.0126	0.0174	0.0223
	interval end	-0.0236	-0.0188	-0.014	-0.0091	-0.0043	0.0005	0.0054	0.0102	0.015	0.0199
	interval mean	-0.0188	-0.014	-0.0091	-0.0043	0.0005	0.0054	0.0102	0.015	0.0199	0.0247
	count	1	4	20	40	40	34	28	14	8	2
											
10.  All Antarctica											
	interval start	-0.0128	-0.0099	-0.0071	-0.0042	-0.0014	0.0015	0.0043	0.0072	0.0101	0.0129
	interval end	-0.0142	-0.0114	-0.0085	-0.0057	-0.0028	0.0001	0.0029	0.0058	0.0086	0.0115
	interval mean	-0.0114	-0.0085	-0.0057	-0.0028	0.0001	0.0029	0.0058	0.0086	0.0115	0.0144
	count	1	10	21	35	38	27	28	21	7	3
