% Antarctica 2K 2017 temperature reconstruction
% weighting method : based on composite plus scaling (CPS)
% Temperature scaling method : based on CPS using NB2014 dataset as a target
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : Whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
0	NaN	NaN	NaN	-0.132751182	0.629181437	NaN	NaN	0.574876521	NaN	0.382921265
10	-0.293451212	NaN	NaN	-0.332696938	1.071242661	NaN	NaN	0.889544315	-0.277731141	0.506679065
20	0.307600887	NaN	NaN	-0.297654899	1.107238556	NaN	NaN	0.942389221	0.288221364	0.708453951
30	-0.089424796	NaN	NaN	-0.022987145	1.666237417	NaN	NaN	1.4695833	-0.085619241	0.881539126
40	-0.314693864	NaN	NaN	-0.24148457	0.949070914	NaN	NaN	0.840037962	-0.297733288	0.466243323
50	0.363900966	NaN	NaN	-0.132235858	1.603494335	NaN	NaN	1.435332592	0.341233691	1.009880205
60	-0.101134819	NaN	NaN	0.283630703	1.514613133	NaN	NaN	1.429381031	-0.096645434	0.822705897
70	0.02809333	NaN	NaN	-0.108530948	1.131033922	NaN	NaN	1.00894175	0.025036188	0.648382001
80	0.222256025	NaN	NaN	0.051219527	1.613365031	NaN	NaN	1.439964494	0.207860379	0.943832191
90	-0.386973161	NaN	NaN	-0.461012643	1.091586139	NaN	NaN	0.938580227	-0.365791696	0.534652716
100	-0.072962168	NaN	NaN	-0.01731858	0.83819872	NaN	NaN	0.77136529	-0.070117979	0.463999801
110	-0.072873028	NaN	NaN	-0.020925849	0.500305219	NaN	NaN	0.492276376	-0.070034045	0.297160872
120	0.332047858	NaN	NaN	0.157376295	0.914297582	NaN	NaN	0.854182934	0.311240707	0.606138429
130	0.017429095	NaN	NaN	0.088322864	1.388371004	NaN	NaN	1.237446533	0.014994712	0.755383659
140	0.26471663	NaN	NaN	0.300808174	0.912359364	NaN	NaN	0.891607809	0.247841415	0.594587381
150	0.333545772	NaN	NaN	0.007245203	1.421550606	NaN	NaN	1.295155249	0.312651147	0.897779894
160	0.151771455	NaN	NaN	0.111512449	0.738290626	NaN	NaN	0.695695047	0.129432674	0.396870571
170	-0.048998819	NaN	NaN	-0.212111095	0.373570669	NaN	NaN	0.318275643	-0.168531606	0.024736235
180	-0.202359564	0.507963418	NaN	-0.060090481	0.430217583	NaN	NaN	0.419840962	0.168104362	0.308022722
190	-0.06461822	-0.07577756	NaN	0.042459017	1.11408887	NaN	NaN	1.040425147	-0.089191465	0.384066665
200	-0.178122446	0.467580431	NaN	-0.508937786	1.286808456	NaN	NaN	1.090405953	0.168667066	0.636147944
210	0.061288915	0.020547593	NaN	-0.138935071	1.361565406	NaN	NaN	1.239713364	0.060478237	0.578519308
220	-0.043831242	0.131728927	NaN	-0.492447414	1.38331333	NaN	NaN	1.146136812	0.045383702	0.554104351
230	0.029513498	-0.19031602	NaN	-0.269827396	0.654703962	NaN	NaN	0.551805061	-0.103653023	0.175078664
240	-0.030259746	0.350638006	NaN	-0.134812478	1.054740046	NaN	NaN	0.938185147	0.195733684	0.541276405
250	-0.148299435	0.125647873	NaN	-0.479907861	0.578866458	NaN	NaN	0.434683096	-0.02531972	0.213776933
260	-0.173554475	0.103384337	NaN	-0.591561419	1.229123459	NaN	NaN	0.983906042	-0.064678533	0.427155573
270	-0.16129135	0.054250441	NaN	0.047612259	0.702996531	NaN	NaN	0.634224906	-0.094381058	0.197062433
280	0.015882042	-0.302112117	NaN	-0.246637811	0.262536109	NaN	NaN	0.238550191	-0.168468385	0.009530304
290	6.56E-05	0.423974183	NaN	-0.343003421	1.313937124	NaN	NaN	1.109112311	0.254452036	0.661423716
300	-0.108245859	0.071330192	NaN	-0.213141744	1.155149143	NaN	NaN	0.983299462	-0.046038202	0.396723871
310	-0.034773411	0.191375588	NaN	-0.404842314	0.974463582	NaN	NaN	0.803506472	0.077151009	0.413595138
320	-0.001552277	0.437085027	NaN	-0.708368218	0.546360839	NaN	NaN	0.385197482	0.269687632	0.401832676
