% Antarctica 2K 2017 isotope anomalies
% weighting method : based on the correlation between site T and regional T from ECHAM5 nudged by ERA-Interim
% smoothing : 5-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
1802.5	-0.3926	-0.7156	0.451	-0.6618	-0.2937	-1.0858	-1.0243	-0.1363	-0.3347	-0.2383
1807.5	-0.1788	-1.036	1.341	-0.7532	-0.5109	-1.0881	1.846	-0.6341	-0.0863	-0.6585
1812.5	-0.1414	-0.4613	0.785	-0.4288	0.2266	-0.0126	0.6917	0.4891	0.183	0.0542
1817.5	-0.0825	-0.5582	1.737	-0.3242	0.2803	-1.1763	-2.8736	0.7199	0.0838	0.2957
1822.5	-0.2407	-0.456	-0.223	-0.3457	0.4788	-1.3753	-0.0381	0.4536	-0.1605	0.0085
1827.5	0.0737	0.1089	-0.371	-0.8987	0.4701	-0.6222	-2.3682	1.0241	-0.2402	0.0077
1832.5	0.0415	0.0849	1.197	-0.1572	0.7868	-0.36	0.459	1.4487	0.331	0.2899
1837.5	-0.1317	-0.3879	-0.315	0.6394	1.589	-1.5857	-1.0877	1.9057	-0.3961	0.672
1842.5	-0.2619	-1.1591	0.519	-1.2958	0.5875	-0.9814	0.4148	1.0284	-0.3096	-0.0593
1847.5	0.0834	-0.1676	0.093	-0.6074	-0.5031	-0.5674	-0.1918	-0.1846	0.2391	-0.1953
1852.5	-0.2714	-0.328	-0.903	-1.1921	1.4387	-0.6229	-0.1142	1.6453	-0.0225	0.3795
1857.5	-0.1371	0.2908	0.003	-0.5971	0.5662	-1.3867	-1.035	0.4607	-0.1596	0.2795
1862.5	-0.0204	0.7611	-1.129	-0.749	0.2416	-0.1645	-0.0734	0.5126	0.0691	-0.0939
1867.5	0.1071	-0.1969	-1.139	-0.7994	0.0671	0.3906	0.2563	0.8599	-0.0669	-0.1408
1872.5	0.2377	-0.1889	-0.689	-0.5159	-0.7051	-1.2228	-1.7592	0.3296	-0.1046	-0.6584
1877.5	-0.0456	-0.4288	-0.915	0.1189	0.5556	-0.508	-1.2534	0.3618	-0.3085	0.3508
1882.5	0.4445	-0.8111	-0.097	-0.9117	0.0526	-0.0947	-0.6477	0.8561	0.1836	0.1006
1887.5	0.2387	-0.5084	1.007	0.0418	0.4247	-0.1091	-1.1177	0.3599	0.1917	0.4251
1892.5	1.0999	-0.8667	0.729	0.0515	0.1544	-0.8595	-1.6517	-0.1623	0.3447	-0.0202
1897.5	0.5572	-0.553	-0.705	-0.774	0.307	-0.2407	-0.2522	0.8512	0.2888	0.2872
1902.5	0.0828	-0.5063	0.769	-0.273	-0.1209	0.142	0.5865	0.0155	0.0408	0.1831
1907.5	0.704	-0.8529	-0.063	-0.7495	0.0625	-0.9371	-0.2249	0.1369	0.1011	-0.1637
1912.5	-0.0774	-0.615	1.133	-0.8762	-0.2643	-0.0766	-0.0503	0.4205	0.1012	-0.2524
1917.5	0.3629	-0.9014	1.097	-0.1049	-0.0121	-0.501	0.1075	0.1191	0.2951	0.0741
