Figure 
% Antarctica 2K 2017 isotope anomalies
Units
% weighting method : based on the correlation between site T and regional T from ECHAM5 nudged by ERA-Interim
% smoothing : 10-year binned averages
% col 1 : time, in year AD
% col 2 : East Antarctic Plateau
% col 3 : Wilkes Land Coast
% col 4 : Weddell Sea Coast
% col 5 : Antarctic Peninsula
% col 6 : West Antarctic Ice Sheet
% col 7 : Victoria Land Coast
% col 8 : Dronning Maud Land Coast
% col 9 : West Antarctica : WAIS+Peninsula
% col 10 : East Antarctica
% col 11 : whole Antarctica


Time (year AD)	1. East Antarctic Plateau	2. Wilkes Land Coast	3. Weddell Sea Coast	4. Antarctic Peninsula	5. West Antarctic Ice Sheet	6. Victoria Land Coast	7. Dronning Maud Land Coast	West Antarctica	East Antarctica	All Antarctica
5	-0.0623	      NaN	      NaN	0.1431	-0.916	0.1196	      NaN	-0.8958	-0.0129	-0.7307
15	-0.7361	      NaN	      NaN	-0.0994	0.7622	0.6353	      NaN	0.7869	-0.5459	0.5892
25	0.9352	      NaN	      NaN	-0.0569	0.1554	-0.834	      NaN	0.1779	0.6199	0.0426
35	-0.6408	      NaN	      NaN	0.2762	0.8873	-0.501	      NaN	0.9083	-0.591	0.6496
45	-1.1046	      NaN	      NaN	0.0112	0.0005	0.4678	      NaN	0.0471	-0.8386	-0.0493
55	0.9905	      NaN	      NaN	0.1437	0.2708	-0.8535	      NaN	0.3197	0.6827	0.1247
65	-0.6454	      NaN	      NaN	0.6481	0.3442	0.81	      NaN	0.3862	-0.3522	0.3404
75	-0.3003	      NaN	      NaN	0.1724	0.4828	0.402	      NaN	0.5239	-0.1287	0.3846
85	0.2711	      NaN	      NaN	0.3662	0.8586	1.669	      NaN	0.8817	0.5987	0.8526
95	-1.4033	      NaN	      NaN	-0.2551	-0.2251	0.323	      NaN	-0.1686	-1.1058	-0.2852
105	-0.3993	      NaN	      NaN	0.2831	0.1507	-1.229	      NaN	0.1862	-0.5564	-0.0179
115	-0.5774	      NaN	      NaN	0.2787	-0.2662	-0.121	      NaN	-0.2206	-0.4677	-0.2637
125	0.5208	      NaN	      NaN	0.4949	0.2133	2.449	      NaN	0.2307	0.9723	0.4374
135	-0.0045	      NaN	      NaN	0.4112	0.6845	0.2429	      NaN	0.6911	0.0365	0.5945
145	0.6831	      NaN	      NaN	0.6689	0.3533	-0.0993	      NaN	0.3867	0.5657	0.316
155	0.8132	      NaN	      NaN	0.3128	0.2961	-0.6504	      NaN	0.339	0.5852	0.1838
165	0.8024	      NaN	      NaN	0.4393	0.2598	-1.8197	      NaN	0.2852	0.3576	0.0843
175	1.5961	-0.2578	      NaN	0.0468	-0.0483	0.0953	      NaN	-0.0228	1.0861	-0.1238
185	-0.2102	0.6046	      NaN	0.2312	-0.5459	1.094	      NaN	-0.5114	0.1878	-0.3404
195	-0.2399	-0.0952	      NaN	0.3556	-0.3383	-1.006	      NaN	-0.3026	-0.2864	-0.2833
205	-0.6078	0.5562	      NaN	-0.3132	-0.0448	-1.1422	      NaN	0.0044	-0.5191	-0.1696
215	0.2665	0.0202	      NaN	0.1356	-0.1124	1.2218	      NaN	-0.0533	0.5328	0.0395
225	0.5005	0.1535	      NaN	-0.2932	0.754	-0.003	      NaN	0.791	0.3914	0.5146
235	0.7561	-0.2326	      NaN	-0.0232	0.3055	1.457	      NaN	0.337	0.843	0.3448
245	0.2906	0.416	      NaN	0.1406	0.0627	0.956	      NaN	0.0937	0.495	0.1449
255	-0.508	0.1462	      NaN	-0.278	0.3552	-0.621	      NaN	0.3784	-0.3587	0.2002
265	-0.0042	0.1196	      NaN	-0.4134	0.217	-0.221	      NaN	0.2316	-0.0057	0.0944
275	0.5663	0.0607	      NaN	0.3618	0.4804	0.134	      NaN	0.4931	0.4046	0.357
285	-0.2287	-0.3666	      NaN	0.0049	-0.6146	-1.704	      NaN	-0.5783	-0.422	-0.5502
295	0.6477	0.5039	      NaN	-0.1119	0.115	0.4965	      NaN	0.1284	0.6867	0.0993
305	0.3887	0.0811	      NaN	0.0456	0.7165	-0.977	      NaN	0.7358	0.1544	0.4171
315	0.9952	0.225	      NaN	-0.1869	0.2417	-1.4135	      NaN	0.2661	0.4579	-0.0034
325	0.4798	0.5196	      NaN	-0.5551	-0.0598	-0.466	      NaN	-0.0229	0.3261	-0.1349
335	1.3085	0.322	      NaN	-0.1269	-0.0613	0.393	      NaN	-0.0447	1.0229	-0.0799
345	0.3333	0.2203	      NaN	-0.5657	0.5662	0.0565	      NaN	0.6167	0.2904	0.308
355	1.1002	0.1534	      NaN	0.5518	-0.0024	-0.0388	      NaN	0.023	0.8512	0.0142
365	0.6384	0.736	      NaN	0.3756	-0.4903	-0.6397	      NaN	-0.4678	0.3717	-0.4433
375	1.8284	0.0983	      NaN	0.1968	-0.3273	      NaN	      NaN	-0.2767	1.7402	-0.2641
385	0.7914	0.4238	      NaN	0.5699	0.1122	-0.336	      NaN	0.1429	0.5783	0.1154
395	0.2166	0.3922	      NaN	0.8399	-0.3219	0.25	      NaN	-0.2998	0.1922	-0.2687
405	2.5455	-0.3372	      NaN	0.0306	0.115	-1.8288	      NaN	0.1614	1.4981	-0.0262
415	1.2614	0.7066	      NaN	0.1674	-0.1614	0.0524	      NaN	-0.1347	1.121	0.004
425	1.2148	0.1877	      NaN	-0.5119	0.1218	-1.1831	      NaN	0.1583	0.4945	-0.0855
435	1.0554	0.0908	      NaN	0.3381	0.2027	-0.696	      NaN	0.2354	0.5467	0.0552
445	3.4409	0.4948	      NaN	-0.0513	-0.1251	-0.5197	      NaN	-0.0833	1.9114	-0.1737
455	2.2225	0.1412	      NaN	0.1556	0.1892	-0.356	      NaN	0.2358	1.1591	0.0676
465	1.2635	0.2563	      NaN	0.7118	0.1146	-0.239	      NaN	0.1794	0.7019	0.0768
475	0.9674	0.1213	      NaN	0.8499	-1.0177	-0.9	      NaN	-0.9613	0.4266	-0.8206
485	-0.0946	0.5589	      NaN	0.5262	0.1952	0.78	      NaN	0.231	0.2457	0.2566
495	-0.0744	0.5129	      NaN	0.4962	0.1686	-0.066	      NaN	0.204	0.0502	0.1195
505	0.6815	0.4076	      NaN	0.1574	0.1979	0.0983	      NaN	0.2288	0.5874	0.2168
515	1.1515	0.1638	      NaN	0.5299	0.1151	      NaN	      NaN	0.1674	1.4305	0.1869
525	0.9107	-0.0442	      NaN	0.3099	0.0511	0.456	      NaN	0.0945	0.6087	0.0665
535	0.9742	0.2106	      NaN	0.3406	0.4531	      NaN	      NaN	0.478	1.2153	0.4659
545	0.6751	0.6813	      NaN	-0.0276	0.6291	-0.0926	      NaN	0.6641	0.5531	0.4589
555	1.6367	0.8376	      NaN	0.1081	-0.1794	0.414	      NaN	-0.1286	1.1344	-0.1278
565	0.8252	-0.3651	      NaN	-0.3001	0.0164	-0.391	      NaN	0.0466	0.2578	-0.1045
575	0.727	0.5664	      NaN	-0.3826	0.4718	-0.151	      NaN	0.4861	0.5421	0.3077
585	1.1824	0.274	      NaN	0.2212	0.831	-1.246	      NaN	0.8018	0.5117	0.5843
595	1.5307	0.3659	      NaN	0.1143	0.0369	0.743	      NaN	0.068	1.1805	0.1257
605	-0.4539	0.3863	      NaN	0.0449	0.3821	-1.273	      NaN	0.4519	-0.4742	0.1662
615	1.5596	0.068	      NaN	0.0887	0.0268	-0.818	      NaN	0.0882	0.7364	-0.0832
625	0.4785	0.2128	      NaN	-0.5801	0.1354	0.474	      NaN	0.1793	0.3397	0.033
635	-0.1979	0.0799	      NaN	-0.1232	0.7147	1.491	      NaN	0.7077	0.1525	0.5779
645	0.7787	0.4257	      NaN	-0.1919	-0.2672	0.163	      NaN	-0.2368	0.615	-0.2344
655	-0.5306	-0.0294	      NaN	-0.3607	-0.4398	0.0474	      NaN	-0.3927	-0.4084	-0.4467
665	0.7966	0.3913	      NaN	-0.1607	0.0593	0.7607	      NaN	0.0922	0.6789	0.1146
675	0.8112	0.0915	      NaN	0.0831	0.8794	0.422	      NaN	0.9111	0.6065	0.7168
685	1.1158	0.484	      NaN	-0.2838	0.1748	-0.594	      NaN	0.2067	0.6219	0.0508
695	0.4231	0.5635	      NaN	-0.1657	-0.1879	1.513	      NaN	-0.1793	0.5684	-0.097
705	1.8387	0.9663	      NaN	-0.1347	0.1663	-0.716	      NaN	0.2025	1.1052	0.0438
715	0.5689	1.1028	      NaN	-0.2411	0.1654	0.0118	      NaN	0.1859	0.5964	0.1319
725	0.5988	-0.1406	      NaN	0.3149	0.7531	0.494	      NaN	0.7797	0.5322	0.6771
735	0.5374	0.3418	      NaN	0.2187	-0.1477	-0.356	      NaN	-0.1154	0.2235	-0.1777
745	0.3804	0.6987	      NaN	-0.4938	0.3756	-0.271	      NaN	0.4078	0.2914	0.227
755	0.2254	0.4938	      NaN	-0.2894	0.5957	-0.411	      NaN	0.6153	0.0273	0.3385
765	0.0327	0.4174	      NaN	-0.5757	0.1093	0.4569	      NaN	0.1215	0.2545	0.0921
775	1.3076	0.7253	      NaN	0.2212	0.1029	-0.326	      NaN	0.1361	0.9101	0.1277
785	-0.5185	0.3027	      NaN	-0.4176	-0.3609	-0.209	      NaN	-0.3258	-0.2719	-0.3335
795	0.4581	0.62	      NaN	-0.1294	-0.2668	-0.7522	      NaN	-0.2292	0.1737	-0.2558
805	0.886	0.4436	      NaN	-0.1057	0.7125	-0.0385	      NaN	0.7264	0.6434	0.5787
815	-0.9539	0.3452	      NaN	0.2593	0.3034	-0.3037	      NaN	0.3119	-0.4559	0.2824
825	0.4809	0.2359	      NaN	0.6049	-0.0464	-0.3971	      NaN	-0.0297	0.3003	0.0614
835	0.131	0.8853	      NaN	0.2806	0.3327	-1.17	      NaN	0.363	-0.0905	0.0821
845	-0.3668	0.4264	      NaN	-0.1044	-0.1023	-1.2704	      NaN	-0.0857	-0.3721	-0.1893
855	1.0563	0.4426	      NaN	-0.0819	-0.3455	-0.959	      NaN	-0.3104	0.4681	-0.3681
865	-0.4266	1.0996	      NaN	0.1031	0.1893	0.5126	      NaN	0.1992	0.0862	0.2118
875	0.6738	0.5668	      NaN	-0.2351	0.3016	-0.1137	      NaN	0.3267	0.4327	0.1577
885	0.3295	0.2856	      NaN	-0.2288	0.1776	-0.5585	      NaN	0.1929	0.0805	0.0559
895	1.2248	0.8011	      NaN	-0.1363	0.0047	-0.734	      NaN	0.0256	0.6641	-0.0622
905	1.6236	-0.0485	      NaN	-0.0813	0.3753	-0.1222	      NaN	0.3823	0.9694	0.3102
915	1.8734	0.0784	      NaN	-0.5851	0.7273	-0.378	      NaN	0.7292	1.1579	0.4931
925	0.4215	0.6935	      NaN	-0.0376	0.061	0.702	      NaN	0.0936	0.5705	0.1089
935	1.2267	0.5598	      NaN	0.6506	-0.0255	-1.069	      NaN	-0.0057	0.6397	-0.0177
945	1.0512	0.0279	      NaN	-0.4738	-0.1576	-0.364	      NaN	-0.1143	0.6274	-0.1704
955	0.6225	-0.019	      NaN	-0.6438	0.2032	-0.322	      NaN	0.2092	0.3364	0.1264
965	0.3377	-0.0557	      NaN	-0.4501	0.5006	0.864	      NaN	0.5163	0.4231	0.4281
975	1.3169	0.1552	      NaN	-0.1619	0.0525	0.844	      NaN	0.0671	1.0192	0.043
985	-0.1188	0.5231	      NaN	0.5474	-0.3964	0.9753	      NaN	-0.3529	0.2459	-0.2406
995	0.1222	0.6354	      NaN	-0.3263	-0.077	-0.5072	      NaN	-0.0508	0.0956	-0.1494
1005	-1.1063	-0.0162	0.6446	0.2031	0.3816	1.462	      NaN	0.3863	0.277	0.4535
1015	0.7257	0.5127	-0.9564	0.6531	0.1788	-0.017	      NaN	0.2057	-0.0322	0.0093
1025	-0.3282	0.3954	0.4306	-0.3594	-0.1752	-0.147	      NaN	-0.1594	0.1912	-0.1287
1035	0.0017	0.405	-0.1324	-0.5119	1.0663	-0.3593	      NaN	1.0757	0.1055	0.7038
1045	-0.7352	0.4803	0.0876	-0.0126	0.1064	-1.2504	      NaN	0.1202	-0.039	-0.0095
1055	-0.5678	0.5735	1.3356	-0.3713	-0.0636	1.018	      NaN	-0.0444	0.6203	0.0918
1065	-0.5058	0.0596	-0.3014	-0.7607	0.3764	-0.0785	      NaN	0.4063	-0.0706	0.1593
1075	0.347	0.4515	0.6266	-0.1376	0.1	-0.736	      NaN	0.119	0.1759	0.0512
1085	-1.3534	0.3753	-0.4134	0.0224	-0.019	-0.016	      NaN	0.0116	-0.3211	-0.1408
1095	-0.2635	0.4894	-0.3054	-0.1194	-0.0995	0.711	      NaN	-0.1039	-0.0362	-0.0724
1105	0.4231	-0.2884	0.4696	-0.0888	0.0061	-0.5385	      NaN	0.0364	0.001	-0.0761
1115	-0.2936	0.1552	0.0286	-0.1801	0.2993	0.992	      NaN	0.3109	-0.0026	0.2387
1125	0.9321	-0.1285	0.3836	0.2037	0.0714	-0.118	      NaN	0.0828	-0.0886	0.0883
1135	1.8686	0.2318	0.2976	-0.1288	-0.3208	-0.176	      NaN	-0.3069	-0.039	-0.2659
1145	1.7181	0.3941	1.2211	0.1387	-1.2376	0.522	      NaN	-1.1961	0.4743	-0.7745
1155	0.4283	0.1268	-1.4924	-0.7601	0.0399	1.2379	      NaN	0.0505	0.0681	-0.0068
1165	0.3292	-0.0369	0.5096	-0.2176	-0.4969	0.3485	      NaN	-0.4818	-0.1766	-0.2937
1175	1.035	0.1973	-0.3784	-0.1188	-0.0764	-0.1564	      NaN	-0.0631	-0.1013	-0.1068
1185	0.2461	0.2767	-0.0934	-0.4026	0.1799	-0.375	      NaN	0.1862	0.599	0.0595
1195	-0.3116	-0.1533	0.0256	-0.7563	-0.28	-0.8521	      NaN	-0.2514	-0.1641	-0.3872
1205	-0.1812	0.3	1.2206	-0.4688	0.4018	-1.2952	      NaN	0.4238	-0.1239	0.1925
1215	-0.2475	0.4273	-1.2834	-0.3113	0.5329	-0.1433	      NaN	0.537	-0.4324	0.2621
1225	-0.7252	0.0636	-0.4204	-0.2238	0.0759	-0.1638	      NaN	0.0871	-0.3728	-0.0598
1235	-0.2187	0.278	0.3666	-0.3926	0.0432	0.057	      NaN	0.0514	0.1006	-0.0108
1245	-0.5715	0.3434	1.5886	-0.1701	0.3145	0.6026	      NaN	0.332	0.2957	0.4279
1255	-0.3454	0.0705	0.5476	0.4184	0.2151	-0.3211	      NaN	0.2256	-0.1645	0.168
1265	-0.2624	-0.0924	0.2426	-0.1927	-0.0802	0.8729	      NaN	-0.0687	-0.0273	-0.005
1275	-0.1634	-0.2265	1.0516	0.4728	-0.1419	1.6982	      NaN	-0.1423	0.0274	0.1882
1285	-0.6494	-0.0909	0.4216	-0.7527	-0.3186	-0.185	      NaN	-0.2886	-0.1167	-0.3488
1295	-0.3042	-0.0696	0.4496	0.2528	-0.5794	-3.1116	      NaN	-0.572	0.0287	-0.7869
1305	-0.4739	0.3554	0.2296	-0.4889	0.3198	-2.2559	      NaN	0.3347	-0.1259	-0.0937
1315	0.2268	0.4176	0.0866	0.1775	0.1153	-1.7049	      NaN	0.1326	0.1384	-0.1729
1325	-0.2961	0.4673	0.0846	0.0833	-0.239	-2.4749	      NaN	-0.2362	0.1984	-0.4049
1335	-0.8769	0.3664	-1.1714	-0.0703	0.035	-2.7558	      NaN	0.0491	-0.5468	-0.405
1345	0.144	0.67	0.9956	0.3091	-0.4233	-1.3198	      NaN	-0.4015	0.1812	-0.3386
1355	-0.0618	0.4242	0.4076	-0.2057	0.3793	-0.7987	      NaN	0.3744	0.1534	0.2017
1365	0.1523	0.1566	0.4286	-0.467	0.0919	-1.941	      NaN	0.1043	0.1424	-0.218
1375	0.1953	0.1865	0.2326	-0.7589	-0.069	0.1407	      NaN	-0.0625	0.2582	-0.0063
1385	0.7726	0.4828	1.3986	-0.9056	-0.3203	-1.311	      NaN	-0.3178	0.4904	-0.2996
1395	-0.5044	0.4387	1.2666	-0.1673	-0.5227	-1.1133	      NaN	-0.5019	0.1078	-0.3862
1405	-0.225	0.5316	0.6756	0.3294	0.4983	-0.7072	      NaN	0.5217	-0.0801	0.3679
1415	-0.8879	0.5285	0.1606	-0.4398	-0.0249	0.1178	      NaN	-0.021	-0.4743	-0.0428
1425	-0.4554	-0.0005	1.3556	-1.3072	0.0666	-1.5014	      NaN	0.0651	0.0244	-0.0461
1435	-0.4564	0.4233	0.4986	-0.6248	-0.0385	-0.6044	      NaN	0.0583	0.1485	-0.1949
1445	-0.1782	-0.011	-0.0064	0.1212	0.03	1.3395	      NaN	0.0631	0.0007	-0.0603
1455	-0.7564	0.2178	0.0006	-0.8767	-0.7105	-1.2857	      NaN	-0.7218	-0.3527	-0.684
1465	0.236	0.2826	0.3306	0.6809	-0.56	-1.8304	      NaN	-0.5913	0.0711	-0.4638
1475	-0.9427	0.5344	0.4126	0.0882	-0.1145	-1.4095	      NaN	-0.1778	-0.2495	-0.0558
1485	-0.1635	0.019	-0.9944	-0.3425	0.8056	-1.7726	      NaN	0.8527	-0.5815	0.5812
1495	-0.4303	0.081	1.1056	-0.4272	0.2085	-1.3589	      NaN	0.3393	0.1583	0.1429
1505	-0.1142	0.1769	-0.4304	0.1983	-0.0905	-1.3662	      NaN	-0.1488	-0.4197	-0.1827
1515	-0.1567	0.4325	-0.1534	-0.4401	0.0899	-0.802	      NaN	0.391	-0.2099	-0.1264
1525	-0.4151	0.9204	0.1786	-0.1454	0.6074	0.0736	      NaN	0.6221	-0.0527	0.4832
1535	0.1005	0.1926	0.8236	0.1188	0.4303	1.1782	-1.0429	0.4171	0.0147	0.4927
1545	-0.2503	0.0206	0.9926	0.0099	0.0742	0.0923	-1.0379	0.0522	-0.0517	-0.1123
1555	0.2692	0.3213	0.1206	-0.7091	0.5365	0.3367	-1.4402	0.6138	0.2963	0.3379
1565	-0.1452	0.3581	0.2546	-0.1392	0.2121	0.7516	-1.3512	0.254	-0.0161	0.0673
1575	-0.8957	-0.1132	0.0676	-0.457	-0.1761	-0.9116	-1.8259	-0.1275	-0.5833	-0.3814
1585	0.2188	0.1277	-0.6834	-0.5597	-0.3003	-1.461	-0.9721	-0.2852	-0.6371	-0.4969
