# WDC PALEO DATA SUBMISSION for PAGES 2k database
#
# Created 28 Jan 2013 by Raphi Neukom based on WDC template from 21 Dec 2012 using make_NOAA_files.r
#-----------------------------------------------------------------------
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# plus the Online Resource and date accessed.
#
# Original_Source_URL: IGBP PAGES/WDCA Data Contribution Series #: 92-008
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2013-01-28
#--------------------
# Title
#	Study_Name: Quelccaya Ice core Accumulation
#--------------------
# Investigators
#	Investigators: Thompson, Lonnie G.
#--------------------
# Description_and_Notes
#	Description: Uploaded by R. Neukom, data obtained from NOAA Paleo DB.
#--------------------
# Publication
#	Authors: Thompson, L. G.; Mosley-Thompson, E.; Henderson, K. A.
#	Published_Date_or_Year: 2000
#	Published_Title: Ice-core palaeoclimate records in tropical South America since the Last Glacial Maximum
#	Journal_Name: Journal of Quaternary Science
#	Volume: 15
#	Issue: 4
#	Pages: 377-394
#	Abstract: Ice-core records spanning the last 25 000 yr from the tropical Andes of South America are reviewed. These records from Quelccaya, Huascaran and Sajama present a high temporal resolution picture of both the Late Glacial Stage (LGS) and the Holocene climatic and environmental conditions in the South American Andes. Late Glacial Stage conditions at high elevations appear to have been cooler than today, although the magnitude of the inferred cooling differs with the particular proxy used (e.g. snowline depression, pollen, ice cores). Insoluble dust and anion concentrations in the ice cores reveal that LGS hydrological conditions in the tropics (9 degrees S) were much drier than today, whereas in the subtropics (18 degrees S) LGS conditions were much wetter. This probably reflects the migration of the tropical Hadley Cell in response to a different meridional temperature gradient. Low nitrate concentrations in the LGS ice from both Huascaran and Sajama suggest that the Amazon Basin forest cover may have been much less extensive. Discussed is the conundrum surrounding the use of delta(18)O as a palaeothermometer in the tropics, where temperatures exhibit little seasonal variation yet the ice-core records suggest that delta(18)O records temperature variations on decadal to millennial time-scales. Finally evidence is presented for a strong twentieth century warming. Copyright (C) 2000 John Wiley & Sons, Ltd.
#--------------------
# Funding_Agency
#------------------
# Site_Information 
#	Site_Name: Quelccaya
#	Location: South America>Peru
#	Region: PAGES LOTRED SA
#	Country: Peru
#	Northernmost_Latitude: -13.93
#	Southernmost_Latitude: -13.93
#	Easternmost_Longitude: -70.83
#	Westernmost_Longitude: -70.83
#	Elevation: 5670
#--------------------
# Data_Collection
#	Collection_Name: Ice core Accumulation for PAGES LOTRED SA regional reconstructions
#	Earliest_Year: 488
#	Most_Recent_Year: 1984
#	Time_Unit: AD
#	Notes: These may be processed data. Raw data can be obtained from NOAA Paleo DB
#--------------------
# Species
#------------------
# Chronology: 
#------------------
# Variables
# Short_name  What,Material,Error,Units, Anomaly_period,Archive,Details,Method,Data_type
## year	age, , ,AD, ,ice cores, ,,N
## Quelccaya_Accumulation	ice core net annual accumulation,ice,,Meters of water equivalent,,ice core,,,N
#--------------------
# Data
# Missing values: NA
year	Quelccaya_Accumulation
488	1.45
489	1.448
490	0.965
491	1.445
492	1.444
493	0.961
494	1.441
495	1.439
496	1.438
497	1.915
498	1.435
499	0.956
500	0.955
501	2.861
502	1.906
503	1.904
504	0.951
505	1.9
506	0.475
507	0.948
508	1.421
509	1.42
510	1.418
511	0.945
512	0.472
513	1.886
514	1.413
515	0.941
516	0.94
517	1.409
518	1.408
519	0.938
520	1.873
521	1.404
522	0.935
523	2.335
524	1.4
525	1.399
526	1.397
527	0.931
528	0.93
529	1.394
530	0.928
531	0.835
532	0.927
533	0.926
534	0.462
535	1.386
536	1.385
537	0.922
538	1.382
539	1.381
540	1.38
541	1.838
542	0.918
543	0.918
544	0.917
545	1.832
546	0.915
547	1.829
548	0.914
549	0.913
550	1.824
551	1.823
552	1.821
553	0.91
554	0.909
555	1.816
556	1.361
557	1.36
558	1.359
559	1.358
560	1.809
561	1.807
562	1.354
563	1.353
564	1.352
565	1.351
566	0.9
567	0.899
568	0.898
569	0.898
570	0.897
571	1.344
572	0.896
573	0.895
574	0.894
575	0.893
576	0.892
577	0.892
578	1.337
579	0.89
580	0.89
581	1.333
582	0.888
583	1.331
584	0.887
585	0.886
586	0.885
587	1.769
588	0.884
589	0.883
590	0.882
591	1.323
592	1.322
593	1.321
594	0.88
595	1.758
596	1.757
597	1.229
598	1.754
599	1.314
600	0.876
601	0.875
602	1.311
603	1.747
604	1.309
605	2.18
606	0.871
607	1.741
608	2.175
609	1.304
610	0.869
611	1.302
612	0.867
613	2.167
614	1.732
615	1.731
616	1.297
617	2.16
618	1.726
619	1.294
620	1.724
621	1.722
622	0.86
623	2.15
624	1.718
625	0.859
626	2.145
627	1.286
628	1.713
629	1.712
630	1.283
631	1.282
632	1.708
633	2.559
634	1.705
635	2.13
636	1.277
637	0.85
638	1.275
639	1.274
640	1.273
641	0.848
642	1.271
643	1.693
644	0.846
645	0.845
646	1.689
647	1.266
648	1.686
649	1.685
650	0.842
651	1.682
652	1.681
653	0.84
654	1.259
655	1.258
656	1.257
657	1.675
658	0.837
659	0.836
660	1.67
661	1.669
662	1.167
663	1.25
664	1.249
665	1.248
666	1.663
667	0.831
668	1.245
669	1.659
670	0.414
671	0.828
672	1.655
673	1.653
674	0.826
675	0.825
676	0.825
677	1.648
678	0.823
679	1.645
680	1.644
681	0.821
682	0.821
683	1.64
684	0.819
685	0.819
686	1.636
687	1.635
688	1.225
689	1.224
690	1.631
691	1.63
692	1.628
693	0.813
694	1.625
695	1.624
696	1.217
697	1.216
698	1.215
699	0.809
700	1.618
701	1.212
702	1.211
703	1.21
704	1.209
705	0.805
706	1.207
707	1.206
708	1.205
709	0.401
710	1.604
711	0.801
712	1.201
713	1.2
714	1.199
715	0.799
716	1.596
717	0.797
718	1.195
719	1.592
720	0.795
721	1.589
722	0.794
723	1.19
724	1.981
725	1.188
726	1.583
727	1.186
728	1.106
729	1.184
730	1.183
731	1.182
732	1.968
733	1.18
734	1.179
735	1.57
736	1.177
737	1.959
738	1.175
739	1.174
740	2.345
741	1.562
742	0.78
743	1.559
744	1.6365
745	1.4215
746	0.926
747	0.8825
748	1.5475
749	1.139
750	1.418
751	1.4375
752	1.9095
753	1.394
754	1.821
755	1.927
756	1.669
757	1.198
758	1.6665
759	1.217
760	1.8985
761	1.6195
762	1.001
763	1.468
764	1.4455
765	0.977
766	1.931
767	2.014
768	1.7155
769	1.883
770	1.416
771	1.4145
772	1.2655
773	1.3695
774	1.263
775	1.5355
776	1.7005
777	1.1955
778	1.5925
779	1.402
780	1.485
781	1.378
782	1.3135
783	1.521
784	1.5615
785	1.786
786	1.7835
787	1.5555
788	1.5535
789	1.365
790	1.6285
791	1.421
792	1.7915
793	1.5885
794	1.379
795	2.0745
796	1.4565
797	1.3275
798	1.696
799	1.7345
800	1.5065
801	1.424
802	1.6225
803	1.444
804	1.434
805	0.976
806	1.094
807	1.228
808	1.633
809	1.209
810	1.445
811	1.507
812	1.5195
813	1.503
814	1.725
815	1.681
816	1.4965
817	1.508
818	1.7005
819	1.5035
820	1.5135
821	1.136
822	1.689
823	1.6625
824	1.6835
825	1.489
826	1.115
827	1.8555
828	1.471
829	2.029
830	1.8465
831	1.2955
832	1.4625
833	1.659
834	1.4585
835	2.0105
836	1.276
837	1.2735
838	1.4585
839	1.8205
840	1.4625
841	1.4515
842	1.618
843	1.6235
844	1.2675
845	1.258
846	0.9035
847	0.902
848	1.0765
849	1.609
850	1.079
851	1.2525
852	1.601
853	1.78
854	1.7825
855	1.7685
856	1.417
857	1.2355
858	1.238
859	1.902
860	0.882
861	1.228
862	1.368
863	1.3975
864	1.9255
865	1.57
866	1.395
867	1.3925
868	1.3905
869	1.216
870	1.214
871	1.73
872	1.5535
873	1.0345
874	1.5465
875	1.717
876	1.199
877	1.2005
878	1.2
879	1.1955
880	1.3635
881	1.5335
882	1.5305
883	1.189
884	1.1875
885	1.3545
886	1.5215
887	1.0125
888	1.6855
889	1.851
890	1.513
891	1.6785
892	2.011
893	1.506
894	1.002
895	1.3335
896	1.6645
897	1.331
898	1.8285
899	1.328
900	1.16
901	1.4885
902	1.654
903	1.155
904	1.481
905	1.6455
906	1.642
907	1.4765
908	1.4745
909	1.7975
910	0.9795
911	1.466
912	1.466
913	1.951
914	1.462
915	1.916
916	2.106
917	1.296
918	0.969
919	2.0975
920	1.4505
921	1.608
922	1.4465
923	1.1245
924	1.572
925	1.7575
926	1.278
927	1.282
928	1.4035
929	1.433
930	1.432
931	1.43
932	1.588
933	1.266
934	1.737
935	1.1035
936	1.261
937	1.107
938	1.417
939	1.2565
940	1.565
941	1.4115
942	1.0935
943	1.25
944	0.7755
945	1.404
946	1.249
947	1.3975
948	1.092
949	1.2405
950	1.2395
951	1.5505
952	1.2365
953	1.3905
954	2.0055
955	1.695
956	1.693
957	0.925
958	0.917
959	1.3805
960	1.379
961	1.3775
962	1.2215
963	1.676
964	1.3725
965	1.371
966	1.369
967	1.061
968	1.969
969	1.814
970	1.662
971	1.66
972	1.3595
973	1.8085
974	0.9005
975	1.5065
976	1.3535
977	1.649
978	1.35
979	1.0465
980	1.6435
981	1.9425
982	1.043
983	1.347
984	1.491
985	0.8895
986	1.6325
987	1.1865
988	1.1855
989	1.478
990	1.4505
991	1.33
992	0.8835
993	1.298
994	1.622
995	1.6165
996	1.3195
997	1.4685
998	1.7555
999	1.465
1000	0.8785
1001	1.606
1002	1.607
1003	1.6025
1004	1.7475
1005	1.5995
1006	1.4535
1007	1.7415
1008	1.16
1009	1.3055
1010	1.1575
1011	1.0115
1012	1.155
1013	1.1535
1014	1.441
1015	1.5825
1016	1.2935
1017	1.292
1018	1.864
1019	1.719
1020	1.431
1021	1.43
1022	1.2855
1023	1.8545
1024	1.2835
1025	1.281
1026	1.5645
1027	0.853
1028	1.9855
1029	1.275
1030	1.2735
1031	1.5565
1032	1.414
1033	1.1295
1034	1.692
1035	1.2695
1036	1.5485
1037	1.5465
1038	1.266
1039	1.4045
1040	1.5385
1041	0.9805
1042	1.261
1043	1.256
1044	1.397
1045	1.2575
1046	1.1135
1047	1.5305
1048	1.1115
1049	1.11
1050	1.109
1051	1.387
1052	1.1065
1053	0.9405
1054	2.0715
1055	1.218
1056	1.2435
1057	1.2365
1058	1.513
1059	1.4835
1060	1.2325
1061	1.238
1062	1.098
1063	1.785
1064	1.092
1065	1.5015
1066	1.224
1067	1.3645
1068	1.9065
1069	1.629
1070	1.085
1071	1.6255
1072	1.349
1073	1.3555
1074	1.62
1075	1.0785
1076	0.804
1077	1.6145
1078	1.49
1079	1.4695
1080	1.468
1081	1.344
1082	1.4735
1083	1.6035
1084	1.34
1085	1.469
1086	1.467
1087	1.4655
1088	1.464
1089	1.332
1090	0.9305
1091	1.459
1092	1.058
1093	1.326
1094	1.9815
1095	1.441
1096	1.579
1097	1.32
1098	1.447
1099	1.061
1100	1.3155
1101	1.1805
1102	1.1725
1103	1.038
1104	1.1825
1105	1.308
1106	1.1795
1107	1.3045
1108	1.1765
1109	1.036
1110	1.944
1111	1.2985
1112	1.158
1113	1.295
1114	1.294
1115	1.793
1116	1.804
1117	0.9005
1118	1.412
1119	1.2855
1120	1.657
1121	1.506
1122	1.4045
1123	1.527
1124	1.512
1125	1.5225
1126	1.274
1127	1.6555
1128	1.148
1129	1.1325
1130	1.635
1131	1.143
1132	1.6305
1133	1.3845
1134	1.1245
1135	1.5025
1136	1.5005
1137	1.512
1138	1.361
1139	1.494
1140	1.357
1141	1.249
1142	1.6225
1143	1.245
1144	1.738
1145	0.9875
1146	1.479
1147	1.3575
1148	0.9835
1149	1.354
1150	1.604
1151	1.2165
1152	1.3475
1153	1.4645
1154	1.699
1155	1.592
1156	1.4715
1157	1.206
1158	1.336
1159	1.216
1160	1.8005
1161	1.3295
1162	1.8235
1163	1.559
1164	1.0765
1165	1.931
1166	1.203
1167	1.4335
1168	1.431
