# WDC PALEO DATA SUBMISSION for PAGES 2k database
#
# Created 28 Jan 2013 by Raphi Neukom based on WDC template from 21 Dec 2012 using make_NOAA_files.r
#-----------------------------------------------------------------------
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# plus the Online Resource and date accessed.
#
# Original_Source_URL: IGBP PAGES/WDCA Data Contribution Series #: 92-008
#
# Archive: Ice Cores
#--------------------
# Contribution_Date
#	Date: 2013-01-28
#--------------------
# Title
#	Study_Name: Quelccaya Ice core d18O
#--------------------
# Investigators
#	Investigators: Thompson, Lonnie G.
#--------------------
# Description_and_Notes
#	Description: Uploaded by R. Neukom, data obtained from NOAA Paleo DB.
#--------------------
# Publication
#	Authors: Thompson, L. G.; Mosley-Thompson, E.; Henderson, K. A.
#	Published_Date_or_Year: 2000
#	Published_Title: Ice-core palaeoclimate records in tropical South America since the Last Glacial Maximum
#	Journal_Name: Journal of Quaternary Science
#	Volume: 15
#	Issue: 4
#	Pages: 377-394
#	Abstract: Ice-core records spanning the last 25 000 yr from the tropical Andes of South America are reviewed. These records from Quelccaya, Huascaran and Sajama present a high temporal resolution picture of both the Late Glacial Stage (LGS) and the Holocene climatic and environmental conditions in the South American Andes. Late Glacial Stage conditions at high elevations appear to have been cooler than today, although the magnitude of the inferred cooling differs with the particular proxy used (e.g. snowline depression, pollen, ice cores). Insoluble dust and anion concentrations in the ice cores reveal that LGS hydrological conditions in the tropics (9 degrees S) were much drier than today, whereas in the subtropics (18 degrees S) LGS conditions were much wetter. This probably reflects the migration of the tropical Hadley Cell in response to a different meridional temperature gradient. Low nitrate concentrations in the LGS ice from both Huascaran and Sajama suggest that the Amazon Basin forest cover may have been much less extensive. Discussed is the conundrum surrounding the use of delta(18)O as a palaeothermometer in the tropics, where temperatures exhibit little seasonal variation yet the ice-core records suggest that delta(18)O records temperature variations on decadal to millennial time-scales. Finally evidence is presented for a strong twentieth century warming. Copyright (C) 2000 John Wiley & Sons, Ltd.
#--------------------
# Funding_Agency
#------------------
# Site_Information 
#	Site_Name: Quelccaya
#	Location: South America>Peru
#	Region: PAGES LOTRED SA
#	Country: Peru
#	Northernmost_Latitude: -13.93
#	Southernmost_Latitude: -13.93
#	Easternmost_Longitude: -70.83
#	Westernmost_Longitude: -70.83
#	Elevation: 5670
#--------------------
# Data_Collection
#	Collection_Name: Ice core d18O for PAGES LOTRED SA regional reconstructions
#	Earliest_Year: 488
#	Most_Recent_Year: 2002
#	Time_Unit: AD
#	Notes: These may be processed data. Raw data can be obtained from NOAA Paleo DB
#--------------------
# Species
#------------------
# Chronology: 
#------------------
# Variables
# Short_name  What,Material,Error,Units, Anomaly_period,Archive,Details,Method,Data_type
## year	age, , ,AD, ,ice cores, ,,N
## Quelccaya_d18O	ice core d18o,ice,,per mil,,ice core,,,N
#--------------------
# Data
# Missing values: NA
year	Quelccaya_d18O
488	-17.87
489	-17.23
490	-17.23
491	-16.7
492	-16.7
493	-16.63
494	-16.63
495	-17.01
496	-17.01
497	-17.22
498	-17.34
499	-17.34
500	-17.34
501	-17.61
502	-17.98
503	-18.21
504	-17.99
505	-17.99
506	-17.93
507	-17.93
508	-17.93
509	-17.68
510	-17.68
511	-17.28
512	-17.28
513	-17.14
514	-17.14
515	-17.52
516	-17.52
517	-17.97
518	-17.97
519	-18.01
520	-18.01
521	-17.88
522	-17.88
523	-17.7
524	-17.98
525	-17.98
526	-17.84
527	-17.84
528	-17.97
529	-17.97
530	-18.19
531	-18.19
532	-18.3
533	-18.3
534	-18.3
535	-18.04
536	-18.04
537	-17.57
538	-17.57
539	-17.32
540	-17.32
541	-17.2
542	-16.9
543	-16.9
544	-16.9
545	-17.29
546	-17.29
547	-17.89
548	-18.25
549	-18.25
550	-18.25
551	-18.22
552	-18.08
553	-18.2
554	-18.2
555	-17.79
556	-17.79
557	-17.73
558	-17.57
559	-17.57
560	-17.31
561	-17.58
562	-17.58
563	-17.69
564	-17.69
565	-17.69
566	-17.69
567	-17.69
568	-17.69
569	-17.69
570	-17.69
571	-17.69
572	-17.69
573	-17.69
574	-17.69
575	-17.69
576	-17.42
577	-17.26
578	-17.26
579	-17.26
580	-17.2
581	-17.2
582	-17.2
583	-17.19
584	-17.19
585	-16.22
586	-16.22
587	-16.21
588	-16.21
589	-16.42
590	-16.42
591	-16.42
592	-17.12
593	-17.12
594	-18.01
595	-18.01
596	-17.82
597	-17.24
598	-17.24
599	-17.28
600	-17.4
601	-17.4
602	-17.4
603	-17.44
604	-17.44
605	-17.33
606	-17.7
607	-17.7
608	-17.25
609	-17.3
610	-17.3
611	-17.15
612	-17.15
613	-17.15
614	-17.28
615	-17.9
616	-17.9
617	-17.9
618	-17.69
619	-17.77
620	-17.77
621	-17.55
622	-16.95
623	-16.95
624	-17.34
625	-17.34
626	-17.34
627	-17.59
628	-17.59
629	-17.29
630	-18
631	-18
632	-18
633	-18.14
634	-17.18
635	-17.18
636	-17.2
637	-17.2
638	-17.11
639	-17.11
640	-17.32
641	-17.32
642	-17.75
643	-17.75
644	-18.16
645	-18.16
646	-18.24
647	-18.24
648	-17.78
649	-17.78
650	-17.18
651	-17.18
652	-17.32
653	-17.61
654	-17.61
655	-17.95
656	-17.95
657	-16.99
658	-16.99
659	-16.99
660	-17.04
661	-17.04
662	-17.69
663	-17.69
664	-17.31
665	-17.31
666	-17.41
667	-17.03
668	-17.03
669	-17.03
670	-16.87
671	-16.87
672	-16.26
673	-16.26
674	-16.17
675	-16.17
676	-16.08
677	-16.08
678	-16.49
679	-16.49
680	-17.09
681	-17.09
682	-17.31
683	-17.31
684	-17.31
685	-17.52
686	-17.52
687	-17.89
688	-17.89
689	-17.45
690	-17.45
691	-17.45
692	-17.88
693	-17.88
694	-18.76
695	-18.76
696	-18.22
697	-17.31
698	-17.31
699	-17.8
700	-17.8
701	-17.66
702	-17.66
