# Tropical Peruvian Ice Core 50 Year Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# Template Version 3.0
# Encoding: UTF-8
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/22251 
#       Description: NOAA Landing Page
# Online_Resource: https://www1.ncdc.noaa.gov/pub/data/paleo/icecore/trop/quelccaya/quelccaya2017qic1976d18o.txt
#       Description: NOAA location of the template
#
# Original_Source_URL:  
#       Description:
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
#
# Dataset DOI: 
#
# Parameter_Keywords: oxygen isotopes, geochemistry, physical properties 
#--------------------
# Contribution_Date
#	Date: 2017-09-07
#--------------------
# File_Last_Modified_Date
#	Date: 2017-09-07
#--------------------
# Title
#	Study_Name: Tropical Peruvian Ice Core 50 Year Oxygen Isotope Data
#--------------------
# Investigators
#	Investigators: Thompson, L.G.; Davis, M.E.; Mosley-Thompson, E.; Beaudon, E.; Porter, S.E.; Kutuzov, S.; Lin, P.-N.; Mikhalenko, V.N.; Mountain, K.R.
#--------------------
# Description_Notes_and_Keywords
#	Description: Ice core and snow pit oxygen isotope (d18O) data, at sub-annual resolution for recent decades, from two ice core locations in tropical Peru 
#	(Quelccaya and Huascarán), plus ice density and geochemical measurements made on some samples. 
#	Individual data sets are as follows: 
#	
#	Figure 2 data:
#	Individual d18O sample values for Quelccaya (QIC) summit dome cores drilled in 1976, 1979, 1983, 1991, 2003, 2016, plotted by depth to 16 meter maximum
#	Individual d18O sample values for Huascarán (HS) col cores drilled in 1991, 1993, 2016, plotted by depth to 16 meter maximum
#	
#	Figure 3 data:
#	Individual d18O sample values from the 2003 QIC Summit deep core (top ~60 meters)
#	Individual d18O sample values from the 1983 QIC Summit deep core (4.46 to 60 meters)
#	Individual d18O sample values from 1983 QIC Summit pit (0 to 2.5 meters) and shallow core (2.6 to 4.5 meters) drilled at bottom of pit
#	Discrete density values from the 1983 QIC Summit cores (0-32 meters)
#	Discrete density values from the 2003 QIC Summit core (0-~40 meters)
#	QIC 2003 d18O time series (thermal years) from 1900 to 2003
#	QIC 1983 d18O time series (thermal years) from 1900 to 1984 (includes the 1984 pit)
#	
#	Figure 4 QIC data:
#	Individual sample d18O values for each TY1 in the QIC summit between 1973/74 and 2015/16
#	TY1 annual d18O, layer thicknesses, densities, NSA (the net sum of accumulation over the previous year), and standard deviation of d18O for pits, cores and averages of multiple data sets where applicable
#	
#	Figure 4 HS data
#	Individual sample d18O values for each TY in HS col from 1973/74 to 1992/93 (from the 1993 deep core) and 2012/13 to 2015/2016 (from the 2016 shallow core)
#	TY annual averages of d18O, NSA (the net sum of accumulation over the previous year), and standard deviation of d18O
#	
#	Figure S1 data
#	Individual d18O values from pit and core samples from the summit of the QIC between TY1973/74 to TY2015/16, plotted by depth to a maximum of 16 meters
#	
#	Figure S2 data
#	2016 QIC summit dome core and Huascarán col shallow core data
#	Individual d18O sample values, and insoluble dust and nitrate concentrations (3-sample running means)
#	
#	Figure S4 data
#	Density  (kg/m3) of each 2016 QIC summit dome pit sample 
#	
#--------------------
# Publication 
#	Authors: Thompson, L.G. M.E, Davis, E. Mosley-Thompson, E. Beaudon, S.E. Porter, S. Kutuzov, P-N. Lin, V.N. Mikhalenko, K.R. Mountain
#	Published_Date_or_Year: 2017 in press 
#	Published_Title: Impacts of recent warming and the 2015/16 El Nino on tropical Peruvian ice fields
#	Journal_Name: Journal of Geophysical Research Atmospheres
#	Volume: 
#	Edition: 
#	Issue: 
#	Pages:
#	Report_Number: 
#	DOI: 
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: 
#------------------
# Funding_Agency 
#	Funding_Agency_Name: 
#	Grant: 
#------------------
# Site_Information 
#       Site_Name: Quelccaya 
#       Location: South America>Peru
#	Country: Peru
#	Northernmost_Latitude: -13.93
# 	Southernmost_Latitude: -13.93
# 	Easternmost_Longitude: -70.83
# 	Westernmost_Longitude: -70.83
# 	Elevation: 5670 m 
#------------------
# Data_Collection   
#	Collection_Name: QIC1976d18O
#	Earliest_Year: 1973
#	Most_Recent_Year: 2013
#	Time_Unit: AD
#	Core_Length: 
#	Notes: 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  one per line, shortname-tab-variable components (what, material, error, units, seasonality, data type,detail, method, C or N for Character or Numeric data, free text) 
#
## depth_m	depth, , , m, , , , ,N,
## d18O	delta18O, ice, , per mil, ,ice core, ,isotope ratio mass spectrometry,N, 
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
depth_m	d18O
0.05	-11.30
0.10	-16.20
0.15	-13.80
0.20	-16.50
0.25	-17.20
0.30	-16.80
0.35	-17.80
0.40	-18.40
0.45	-25.20
0.50	-25.40
0.55	-23.50
0.60	-23.00
0.65	-23.50
0.70	-18.50
0.75	-17.20
0.80	-18.60
0.85	-20.20
0.90	-22.40
0.95	-24.60
1.00	-23.70
1.05	-22.20
1.10	-19.20
1.15	-19.30
1.20	-21.40
1.25	-24.70
1.30	-25.50
1.35	-23.20
1.40	-23.30
1.45	-24.40
1.50	-24.10
1.55	-25.70
1.60	-25.60
1.65	-25.00
1.70	-25.30
1.75	-25.50
1.80	-27.20
1.85	-29.80
1.90	-27.30
1.95	-24.20
2.00	-22.20
2.05	-21.70
2.10	-21.40
2.15	-20.50
2.20	-21.60
2.25	-22.50
2.30	-22.30
2.35	-20.00
2.40	-18.40
2.45	-17.40
2.50	-17.60
2.55	-17.70
2.60	-17.10
2.65	-16.20
2.70	-13.10
2.75	-10.70
2.80	-9.80
2.85	-10.30
2.90	-12.30
2.95	-11.20
3.00	-11.30
3.05	-13.00
3.10	-17.10
3.15	-13.40
3.20	-13.90
3.25	-14.20
3.30	-15.10
3.35	-17.30
3.40	-19.10
3.45	-20.60
3.50	-21.10
3.55	-18.30
3.61	-20.10
3.71	-20.90
3.83	-22.80
3.94	-23.70
4.05	-22.70
4.14	-17.40
4.24	-22.70
4.34	-23.70
4.44	-24.50
4.54	-23.10
4.64	-24.30
4.71	-22.90
4.78	-22.00
4.85	-20.40
4.91	-19.20
4.97	-14.90
5.12	-11.30
5.19	-14.30
5.29	-12.30
5.39	-16.80
5.49	-17.60
5.59	-18.20
5.65	-16.30
5.75	-19.50
5.82	-21.70
5.89	-25.00
5.98	-28.60
6.07	-25.90
6.15	-25.10
6.25	-23.10
6.35	-22.50
6.45	-23.80
6.54	-23.90
6.64	-24.10
6.74	-25.10
6.82	-25.30
6.90	-25.20
7.15	-23.80
7.25	-19.50
7.35	-18.10
7.45	-15.70
7.55	-12.80
7.63	-13.30
7.69	-15.30
7.79	-17.90
7.89	-20.20
7.99	-21.80
8.15	-21.80
8.25	-21.00
8.35	-20.40
8.45	-20.10
8.51	-20.90
8.61	-21.10
8.71	-20.40
8.81	-19.90
9.16	-18.90
9.27	-17.70
9.37	-15.80
9.50	-12.30
9.57	-14.70
9.64	-16.00
9.75	-17.30
9.82	-18.80
9.89	-20.40
10.15	-20.20
10.25	-19.80
10.33	-19.10
10.41	-19.40
10.49	-20.20
10.52	-21.00
10.63	-21.10
10.73	-20.50
10.78	-19.60
10.88	-19.40
10.98	-18.00
11.02	-16.90
11.15	-16.00
11.25	-15.80
11.35	-16.40
11.39	-17.50
11.49	-19.00
11.59	-19.80
11.68	-20.20
11.77	-20.90
11.85	-21.60
11.93	-22.00
12.01	-22.10
12.12	-22.30
12.18	-22.50
12.29	-22.40
12.40	-17.00
12.53	-19.90
12.64	-17.20
12.74	-14.90
12.86	-13.50
13.18	-14.60
13.28	-15.50
13.38	-16.90
13.48	-17.40
13.57	-17.50
13.66	-17.40
13.75	-18.10
13.84	-17.60
13.94	-18.00
14.04	-18.10
14.15	-17.90
14.25	-17.60
14.35	-17.00
14.45	-14.70
14.53	-14.50
14.63	-14.30
14.73	-15.20
14.83	-20.00
14.91	-16.00
